Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.09,4.34,3.82,4.17,3.398544,64500
2010-01-05,4.13,4.43,3.93,4.08,3.325193,129100
2010-01-06,4.08,4.17,3.61,3.7,3.015494,83600
2010-01-07,3.76,3.86,3.68,3.7,3.015494,38100
2010-01-08,3.89,3.89,3.64,3.75,3.056244,12200
2010-01-11,3.75,3.77,3.67,3.7,3.015494,8900
2010-01-12,3.63,3.69,3.6,3.62,2.950294,19100
2010-01-13,3.64,3.72,3.6,3.61,2.942144,3400
2010-01-14,3.63,3.89,3.63,3.72,3.031794,3300
2010-01-15,3.7,3.74,3.62,3.67,2.991044,7100
2010-01-19,3.77,3.88,3.61,3.63,2.958444,23400
2010-01-20,3.7,3.81,3.4,3.4,2.770994,87800
2010-01-21,3.53,3.76,3.34,3.51,2.860645,35800
2010-01-22,3.56,3.7,3.5,3.69,3.007344,6100
2010-01-25,3.54,3.54,3.52,3.52,2.868794,200
2010-01-26,3.7,3.71,3.5,3.58,2.917694,5900
2010-01-27,3.57,3.72,3.57,3.72,3.031794,300
2010-01-28,3.59,3.75,3.54,3.75,3.056244,3200
2010-01-29,3.53,3.8,3.52,3.8,3.096994,22400
2010-02-01,3.75,3.8,3.57,3.79,3.088844,4800
2010-02-02,3.77,3.77,3.6,3.63,2.958444,8000
2010-02-03,3.65,3.7,3.6,3.6,2.933994,12600
2010-02-04,3.66,3.68,3.56,3.56,2.901394,19400
2010-02-05,3.57,3.57,3.57,3.57,2.909544,100
2010-02-08,3.56,3.81,3.56,3.81,3.105143,10300
2010-02-09,3.75,3.75,3.64,3.64,2.966594,1200
2010-02-10,3.62,3.62,3.56,3.57,2.909544,4600
2010-02-11,3.62,3.76,3.62,3.76,3.064393,3100
2010-02-12,3.76,3.77,3.76,3.77,3.072544,800
2010-02-16,3.77,3.77,3.75,3.75,3.056244,1700
2010-02-17,3.73,3.77,3.73,3.77,3.072544,400
2010-02-18,3.75,3.75,3.75,3.75,3.056244,2200
2010-02-19,3.71,3.75,3.55,3.75,3.056244,10400
2010-02-22,3.71,3.71,3.71,3.71,3.023644,200
2010-02-23,3.62,3.62,3.55,3.55,2.893245,2600
2010-02-24,3.51,3.59,3.51,3.51,2.860645,7100
2010-02-25,3.65,3.69,3.59,3.69,3.007344,4700
2010-02-26,3.62,3.62,3.5,3.5,2.852494,1800
2010-03-01,3.51,3.89,3.51,3.7,3.015494,20900
2010-03-02,3.64,3.66,3.52,3.52,2.868794,800
2010-03-03,3.66,3.86,3.66,3.79,3.088844,5500
2010-03-04,3.82,3.95,3.62,3.93,3.202944,18800
2010-03-05,4.02,4.26,3.85,3.91,3.186644,14800
2010-03-08,3.86,3.86,3.85,3.85,3.137744,1500
