Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.342889,8.548042,8.103543,8.548042,7.119644,15700
2010-01-05,8.325793,8.325793,8.12064,8.12064,6.763665,700
2010-01-06,8.539494,8.548042,8.137736,8.325793,6.934535,1500
2010-01-07,8.325793,8.325793,8.325793,8.325793,6.934535,0
2010-01-08,8.325793,8.530946,8.325793,8.377081,6.977253,2100
2010-01-11,8.377081,8.377081,8.377081,8.377081,6.977253,0
2010-01-12,8.368533,8.377081,8.0779,8.0779,6.728067,1000
2010-01-13,8.283052,8.283052,8.154832,8.154832,6.792142,5400
2010-01-14,8.274505,8.377081,8.12064,8.12064,6.763665,900
2010-01-15,8.12064,8.129188,8.12064,8.129188,6.770783,300
2010-01-19,8.0779,8.42837,8.069351,8.2916,6.906054,3400
2010-01-20,8.2916,8.548042,8.12064,8.436917,7.027091,6400
2010-01-21,8.462562,8.462562,8.129188,8.257408,6.877577,2100
2010-01-22,8.419822,8.462562,8.419822,8.462562,7.048451,400
2010-01-25,8.214668,8.377081,8.214668,8.223216,6.849098,2300
2010-01-26,8.2916,8.2916,8.2916,8.2916,6.906054,300
2010-01-27,8.2916,8.2916,8.2916,8.2916,6.906054,0
2010-01-28,8.377081,8.377081,8.24886,8.377081,6.977253,1300
2010-01-29,8.377081,8.377081,8.377081,8.377081,6.977253,0
2010-02-01,8.530946,8.539494,8.522398,8.539494,7.112524,700
2010-02-02,8.539494,8.539494,8.539494,8.539494,7.112524,0
2010-02-03,8.385629,8.385629,8.385629,8.385629,6.984371,100
2010-02-04,8.377081,8.377081,8.377081,8.377081,6.977253,100
2010-02-05,8.377081,8.377081,8.377081,8.377081,6.977253,100
2010-02-08,8.377081,8.377081,8.377081,8.377081,6.977253,0
2010-02-09,8.377081,8.377081,8.377081,8.377081,6.977253,100
2010-02-10,8.377081,8.377081,8.377081,8.377081,6.977253,500
2010-02-11,8.377081,8.813031,8.377081,8.59933,7.162364,11900
2010-02-12,8.719003,8.761743,8.548042,8.59933,7.162364,4700
2010-02-16,8.975444,9.402846,8.975444,9.283174,7.731938,500
2010-02-17,9.283174,9.394298,8.9498,9.360106,7.79601,10600
2010-02-18,9.360106,9.360106,9.360106,9.360106,7.79601,0
2010-02-19,9.129309,9.308818,9.129309,9.240434,7.696339,2100
2010-02-22,9.240434,9.402846,9.231885,9.402846,7.831612,600
2010-02-23,9.402846,9.402846,9.402846,9.402846,7.831612,100
2010-02-24,9.402846,9.402846,9.402846,9.402846,7.831612,0
2010-02-25,9.402846,9.402846,9.402846,9.402846,7.831612,0
2010-02-26,9.402846,9.744768,9.402846,9.539615,7.945522,5000
