Date,Open,High,Low,Close,Adj Close,Volume
2014-02-06,15.3,16.790001,15.25,15.81,7.481826,232900
2014-02-07,15.55,16.389999,15.5,15.95,7.548078,100700
2014-02-10,15.9,16.24,15.705,15.85,7.500757,39400
2014-02-11,15.78,16.1,15.78,15.86,7.505486,29300
2014-02-12,16.24,16.24,15.56,15.65,7.406108,81100
2014-02-13,15.5,15.9,15.43,15.7,7.429771,39900
2014-02-14,15.99,15.99,15.22,15.48,7.32566,44700
2014-02-18,15.98,15.99,15.318,15.575,7.370615,45600
2014-02-19,15.57,15.9,15.5,15.85,7.500757,47300
2014-02-20,15.6,17.040001,15.6,16.049999,7.595402,33600
2014-02-21,16.09,16.5,15.65,16.09,7.614333,63800
2014-02-24,15.99,16.299999,15.8,15.91,7.529149,10900
2014-02-25,16.0,16.299999,15.75,16.0,7.571741,35700
2014-02-26,16.049999,16.049999,15.76,15.9,7.524417,26800
2014-02-27,16.0,16.0,15.77,15.89,7.519684,26100
2014-02-28,15.98,15.99,15.5,15.52,7.344588,48200
2014-03-03,15.49,15.98,15.25,15.57,7.36825,39500
2014-03-04,15.5,15.96,15.5,15.67,7.415572,59000
2014-03-05,15.67,15.67,15.25,15.38,7.278337,33600
2014-03-06,15.44,15.64,15.3,15.47,7.320928,39400
2014-03-07,15.45,15.5,15.27,15.4,7.287799,33600
2014-03-10,15.49,15.9,15.49,15.6,7.382447,31200
2014-03-11,15.69,15.7,15.39,15.6,7.382447,37000
2014-03-12,15.59,15.6,15.26,15.6,7.382447,43900
2014-03-13,15.6,15.6,15.25,15.44,7.306729,20600
2014-03-14,15.6,15.69,15.26,15.69,7.425037,22000
2014-03-17,15.7,15.7,15.0,15.03,7.112703,54000
2014-03-18,15.33,15.532,15.05,15.07,7.131632,76800
2014-03-19,15.05,15.54,15.05,15.5,7.335122,30300
2014-03-20,15.29,15.5,15.05,15.19,7.273356,24500
2014-03-21,15.49,15.7,15.1,15.61,7.474462,177400
2014-03-24,15.53,15.55,15.19,15.33,7.340392,26500
2014-03-25,15.34,15.38,15.1,15.24,7.297296,8200
2014-03-26,15.19,15.29,15.1,15.16,7.25899,40300
2014-03-27,15.11,15.25,15.0,15.12,7.239838,29300
2014-03-28,15.09,15.15,15.0,15.02,7.191954,29300
2014-03-31,15.25,15.78,14.915,15.59,7.464886,174100
2014-04-01,15.3,15.35,15.05,15.075,7.218291,34100
2014-04-02,15.1,15.67,15.01,15.45,7.397849,117100
2014-04-03,15.56,15.56,15.02,15.35,7.349967,33600
