Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.84,32.0,25.440001,28.879999,28.879999,625100
2010-01-05,27.84,29.120001,26.0,28.4,28.4,143700
2010-01-06,28.799999,32.080002,28.799999,31.76,31.76,185700
2010-01-07,32.080002,37.84,30.799999,31.84,31.84,306400
2010-01-08,34.720001,35.439999,31.84,32.080002,32.080002,119600
2010-01-11,32.0,32.32,30.799999,31.92,31.92,45400
2010-01-12,31.280001,32.080002,30.08,31.280001,31.280001,34000
2010-01-13,31.84,31.84,30.799999,31.040001,31.040001,21600
2010-01-14,30.879999,31.200001,28.32,30.16,30.16,65300
2010-01-15,29.6,30.4,28.4,29.040001,29.040001,19300
2010-01-19,30.0,31.6,28.0,28.4,28.4,46200
2010-01-20,29.360001,31.52,28.4,29.76,29.76,18500
2010-01-21,28.24,30.08,26.4,27.52,27.52,42700
2010-01-22,27.68,27.68,24.16,24.4,24.4,75800
2010-01-25,24.16,26.16,22.799999,22.799999,22.799999,48100
2010-01-26,22.879999,22.879999,21.360001,22.16,22.16,33900
2010-01-27,22.639999,23.52,22.24,22.559999,22.559999,20300
2010-01-28,21.360001,22.719999,20.959999,22.559999,22.559999,14800
2010-01-29,22.0,23.200001,21.6,22.559999,22.559999,13200
2010-02-01,23.200001,23.68,22.16,22.48,22.48,5000
2010-02-02,22.0,22.24,21.68,21.68,21.68,7400
2010-02-03,21.92,22.639999,21.440001,21.92,21.92,5000
2010-02-04,22.0,22.0,20.879999,20.879999,20.879999,6200
2010-02-05,20.799999,20.879999,19.440001,20.24,20.24,9400
2010-02-08,20.0,20.639999,19.68,20.08,20.08,2000
2010-02-09,20.0,21.200001,20.0,21.040001,21.040001,2600
2010-02-10,21.040001,22.16,20.32,22.16,22.16,6500
2010-02-11,22.4,23.280001,22.16,23.280001,23.280001,5000
2010-02-12,23.200001,23.6,22.559999,23.6,23.6,3000
2010-02-16,23.200001,23.280001,22.24,22.24,22.24,3700
2010-02-17,22.4,23.360001,22.4,22.959999,22.959999,4000
2010-02-18,22.959999,23.200001,22.48,23.200001,23.200001,4400
2010-02-19,23.440001,23.440001,21.92,22.559999,22.559999,4200
2010-02-22,22.799999,22.799999,22.0,22.16,22.16,2900
2010-02-23,23.040001,23.040001,21.440001,21.84,21.84,1400
2010-02-24,21.92,22.959999,21.76,22.799999,22.799999,2400
2010-02-25,22.48,22.48,20.48,21.120001,21.120001,6400
2010-02-26,20.959999,22.4,20.959999,21.84,21.84,3700
2010-03-01,21.6,21.6,20.08,20.4,20.4,7400
2010-03-02,20.639999,21.84,20.4,21.200001,21.200001,3300
2010-03-03,21.6,21.76,20.559999,21.52,21.52,6600
2010-03-04,21.120001,21.280001,20.08,21.200001,21.200001,3800
2010-03-05,21.68,21.68,20.08,20.48,20.48,5500
2010-03-08,20.4,20.719999,20.0,20.48,20.48,2500
2010-03-09,20.48,20.48,20.0,20.16,20.16,5000
2010-03-10,20.32,20.799999,20.16,20.48,20.48,6700
2010-03-11,20.4,20.4,19.440001,19.84,19.84,6000
2010-03-12,19.200001,19.6,19.120001,19.280001,19.280001,10300
2010-03-15,18.639999,18.879999,17.6,18.24,18.24,7400
2010-03-16,18.16,18.16,17.200001,17.68,17.68,7900
2010-03-17,17.6,18.559999,17.440001,18.48,18.48,7300
2010-03-18,18.799999,19.200001,18.639999,19.040001,19.040001,10300
2010-03-19,19.280001,19.76,18.559999,19.280001,19.280001,3700
2010-03-22,18.799999,19.6,18.799999,19.360001,19.360001,4600
2010-03-23,19.200001,19.6,18.799999,18.959999,18.959999,9500
2010-03-24,19.040001,19.200001,18.16,18.16,18.16,5000
2010-03-25,18.0,18.0,17.120001,17.92,17.92,12700
2010-03-26,17.440001,17.6,17.040001,17.440001,17.440001,5100
2010-03-29,17.440001,18.4,17.440001,18.32,18.32,3600
2010-03-30,18.16,18.24,17.200001,17.52,17.52,2300
2010-03-31,17.280001,17.6,16.719999,17.6,17.6,2100
2010-04-01,17.360001,17.360001,16.799999,17.280001,17.280001,4300
2010-04-05,16.24,18.24,15.84,16.959999,16.959999,28000
2010-04-06,16.959999,17.6,16.4,17.6,17.6,4400
2010-04-07,17.280001,17.440001,16.799999,17.440001,17.440001,5400
2010-04-08,17.200001,17.200001,16.799999,16.799999,16.799999,2000
2010-04-09,17.040001,17.200001,16.719999,16.799999,16.799999,4300
2010-04-12,17.120001,17.200001,16.719999,16.959999,16.959999,1500
2010-04-13,16.639999,17.280001,16.639999,17.120001,17.120001,2400
2010-04-14,17.040001,17.200001,16.4,17.040001,17.040001,15100
2010-04-15,16.719999,17.200001,16.48,16.719999,16.719999,3100
2010-04-16,16.48,16.799999,16.0,16.639999,16.639999,6200
2010-04-19,16.0,16.4,15.84,16.0,16.0,4600
2010-04-20,15.84,16.32,15.84,16.32,16.32,3000
2010-04-21,16.4,16.719999,16.24,16.559999,16.559999,2400
2010-04-22,16.4,16.4,15.6,15.92,15.92,5600
2010-04-23,15.76,16.24,15.2,15.36,15.36,36400
2010-04-26,15.12,15.2,14.4,14.72,14.72,10900
2010-04-27,14.56,14.96,14.4,14.56,14.56,6500
2010-04-28,14.96,15.04,14.4,14.64,14.64,4800
2010-04-29,14.72,14.88,14.4,14.48,14.48,7300
2010-04-30,14.64,15.76,14.48,14.96,14.96,8600
2010-05-03,14.96,15.52,13.76,14.4,14.4,8300
2010-05-04,14.64,14.64,14.4,14.4,14.4,3900
2010-05-05,14.56,14.8,14.16,14.16,14.16,6400
2010-05-06,14.48,20.0,14.16,15.52,15.52,40100
2010-05-07,15.92,16.32,14.32,14.56,14.56,13800
2010-05-10,14.56,15.68,13.04,13.6,13.6,18400
2010-05-11,13.84,14.24,13.68,13.92,13.92,2700
2010-05-12,13.92,15.84,13.92,14.4,14.4,9200
2010-05-13,13.92,14.4,12.96,13.6,13.6,6700
2010-05-14,13.28,13.52,13.04,13.2,13.2,6800
2010-05-17,13.36,13.6,13.36,13.52,13.52,1900
2010-05-18,13.2,13.28,12.56,12.56,12.56,5500
2010-05-19,12.4,12.4,12.08,12.08,12.08,4000
2010-05-20,12.24,12.24,12.0,12.08,12.08,6000
2010-05-21,12.0,12.16,11.44,11.84,11.84,4100
2010-05-24,12.0,12.0,10.88,11.12,11.12,4200
2010-05-25,10.4,11.12,10.4,11.04,11.04,3200
2010-05-26,10.8,12.16,10.8,11.84,11.84,4500
2010-05-27,11.92,13.12,11.84,12.16,12.16,3300
2010-05-28,12.48,12.48,12.0,12.0,12.0,600
2010-06-01,12.16,12.16,11.6,11.6,11.6,1600
2010-06-02,11.04,11.76,11.04,11.6,11.6,1000
2010-06-03,11.52,11.6,11.2,11.36,11.36,2900
2010-06-04,10.8,11.76,10.8,11.68,11.68,3600
2010-06-07,11.92,12.16,11.76,11.84,11.84,8300
2010-06-08,12.0,12.0,11.36,12.0,12.0,3000
2010-06-09,11.76,13.12,11.76,12.72,12.72,11100
2010-06-10,12.72,12.88,11.12,11.36,11.36,7300
2010-06-11,11.6,11.84,11.36,11.44,11.44,4400
2010-06-14,11.44,12.0,11.28,11.36,11.36,900
2010-06-15,11.6,11.76,11.6,11.68,11.68,200
2010-06-16,11.28,11.36,11.2,11.2,11.2,2000
2010-06-17,11.04,11.04,10.48,10.64,10.64,2700
2010-06-18,10.88,11.52,10.72,11.52,11.52,1200
2010-06-21,11.04,11.2,10.4,10.64,10.64,2900
2010-06-22,10.64,10.72,10.4,10.4,10.4,2300
2010-06-23,10.48,11.44,10.4,10.8,10.8,3100
2010-06-24,10.88,11.12,10.08,10.08,10.08,3200
2010-06-25,10.32,10.48,8.24,9.6,9.6,15300
2010-06-28,9.76,19.92,9.76,16.799999,16.799999,199100
2010-06-29,16.08,18.16,12.4,13.04,13.04,223700
2010-06-30,12.8,15.04,12.72,12.72,12.72,43800
2010-07-01,12.4,13.12,11.36,12.48,12.48,17500
2010-07-02,12.8,13.04,12.0,12.16,12.16,11000
2010-07-06,13.04,13.92,12.16,12.8,12.8,17500
2010-07-07,12.48,12.48,9.84,10.96,10.96,40000
2010-07-08,10.64,11.44,10.48,11.44,11.44,3100
2010-07-09,11.36,11.36,10.48,11.12,11.12,5300
2010-07-12,10.72,11.2,10.24,10.72,10.72,4200
2010-07-13,11.04,11.44,9.84,11.2,11.2,5700
2010-07-14,10.64,12.48,10.4,12.24,12.24,8900
2010-07-15,11.6,13.2,11.04,12.8,12.8,14000
2010-07-16,13.28,13.28,11.28,11.28,11.28,7000
2010-07-19,11.92,12.4,11.44,11.44,11.44,3300
2010-07-20,10.8,12.4,10.4,12.08,12.08,11300
2010-07-21,12.56,12.56,11.36,11.6,11.6,6700
2010-07-22,11.76,11.76,11.04,11.04,11.04,5900
2010-07-23,10.8,11.12,10.72,10.8,10.8,5500
2010-07-26,11.52,12.24,11.2,11.76,11.76,8700
2010-07-27,11.12,11.36,10.88,11.2,11.2,6300
2010-07-28,11.04,12.4,11.04,11.6,11.6,4900
2010-07-29,11.68,11.92,11.2,11.52,11.52,2200
2010-07-30,11.28,12.64,11.28,12.56,12.56,2300
2010-08-02,12.72,12.8,11.84,11.92,11.92,3100
2010-08-03,11.6,12.32,11.28,11.92,11.92,1800
2010-08-04,11.52,12.08,11.28,11.28,11.28,1400
2010-08-05,11.28,11.44,11.12,11.12,11.12,2000
2010-08-06,11.36,11.52,10.96,11.36,11.36,4700
2010-08-09,11.52,11.52,11.44,11.44,11.44,300
2010-08-10,10.96,11.36,10.8,10.96,10.96,3500
2010-08-11,10.8,11.2,10.56,10.88,10.88,6400
2010-08-12,10.8,11.52,10.64,10.88,10.88,1900
2010-08-13,10.64,10.96,10.4,10.64,10.64,1200
2010-08-16,10.08,11.6,9.84,10.16,10.16,3800
2010-08-17,10.16,10.16,9.6,9.76,9.76,3400
2010-08-18,10.24,10.24,9.44,9.6,9.6,3100
2010-08-19,9.6,10.24,9.36,9.6,9.6,4200
2010-08-20,10.0,10.0,9.36,9.76,9.76,2600
2010-08-23,10.0,10.32,9.2,9.76,9.76,4800
2010-08-24,9.36,9.84,9.2,9.52,9.52,5400
2010-08-25,9.44,9.52,9.12,9.44,9.44,1300
2010-08-26,9.36,9.44,9.2,9.36,9.36,2100
2010-08-27,9.52,9.6,9.04,9.36,9.36,6100
2010-08-30,9.36,9.44,8.88,9.28,9.28,400
2010-08-31,8.96,9.44,8.96,8.96,8.96,300
2010-09-01,8.88,9.52,8.88,9.44,9.44,3900
2010-09-02,9.52,9.68,9.36,9.52,9.52,2700
2010-09-03,9.52,10.56,8.88,10.08,10.08,9200
2010-09-07,9.84,10.16,8.96,9.92,9.92,2000
2010-09-08,9.76,9.76,8.96,9.36,9.36,3000
2010-09-09,9.2,9.2,8.72,8.88,8.88,3400
2010-09-10,9.2,9.2,8.64,8.64,8.64,2700
2010-09-13,9.2,9.2,8.48,8.72,8.72,2500
2010-09-14,8.56,9.2,8.56,8.8,8.8,6000
2010-09-15,8.56,8.96,8.4,8.48,8.48,2400
2010-09-16,8.4,8.4,7.6,7.6,7.6,30700
2010-09-17,7.6,7.92,7.6,7.76,7.76,6800
2010-09-20,7.84,9.36,7.84,9.12,9.12,16300
2010-09-21,8.96,9.52,8.8,8.96,8.96,8400
2010-09-22,8.72,9.92,8.72,9.44,9.44,7500
2010-09-23,9.36,9.44,8.8,8.96,8.96,2700
2010-09-24,8.96,9.6,8.88,8.88,8.88,13400
2010-09-27,9.76,9.76,8.88,8.96,8.96,3400
2010-09-28,9.04,9.52,8.96,9.44,9.44,5600
2010-09-29,9.6,9.6,9.04,9.12,9.12,2800
2010-09-30,9.04,9.04,7.84,8.56,8.56,21900
2010-10-01,9.6,10.24,8.88,9.6,9.6,36300
2010-10-04,9.76,11.44,9.6,11.12,11.12,28700
2010-10-05,11.12,11.36,10.4,10.88,10.88,8800
