Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.19,3.4,3.19,3.3,3.182143,28300
2010-01-05,3.29,3.29,3.13,3.13,3.018214,16800
2010-01-06,3.14,3.3,3.07,3.09,2.979643,27800
2010-01-07,3.4,3.46,3.18,3.27,3.153214,114700
2010-01-08,3.26,3.5,3.26,3.39,3.268929,36500
2010-01-11,3.4,3.4,3.15,3.17,3.056786,34900
2010-01-12,3.16,3.24,3.08,3.22,3.105,46700
2010-01-13,3.21,3.25,3.19,3.2,3.085714,25400
2010-01-14,3.31,3.31,3.21,3.23,3.114643,11600
2010-01-15,3.27,3.29,3.13,3.22,3.105,41700
2010-01-19,3.23,3.28,3.21,3.25,3.133929,16400
2010-01-20,3.23,3.34,3.2,3.29,3.1725,64300
2010-01-21,3.29,3.31,3.25,3.25,3.133929,33700
2010-01-22,3.33,3.33,3.15,3.22,3.105,58300
2010-01-25,3.22,3.38,3.17,3.31,3.191786,69100
2010-01-26,3.3,3.4,3.23,3.27,3.153214,35800
2010-01-27,3.27,3.45,3.27,3.39,3.268929,193800
2010-01-28,3.44,3.5,3.28,3.46,3.336429,152700
2010-01-29,3.47,3.68,3.3,3.63,3.500357,196500
2010-02-01,3.64,3.79,3.48,3.72,3.587143,84200
2010-02-02,3.71,3.86,3.45,3.48,3.355714,230500
2010-02-03,3.47,3.49,3.37,3.37,3.249643,65600
2010-02-04,3.36,3.47,3.26,3.28,3.162857,41600
2010-02-05,3.27,3.46,3.26,3.42,3.297857,28800
2010-02-08,3.36,3.36,3.05,3.23,3.114643,37800
2010-02-09,3.33,3.47,3.3,3.39,3.268929,47500
2010-02-10,3.38,3.38,3.26,3.29,3.1725,20200
2010-02-11,3.3,3.39,3.25,3.29,3.1725,69600
2010-02-12,3.27,3.36,3.26,3.28,3.162857,47400
2010-02-16,3.29,3.39,3.25,3.37,3.249643,15400
2010-02-17,3.39,3.39,3.23,3.33,3.211071,48100
2010-02-18,3.27,3.27,3.19,3.19,3.076072,31300
2010-02-19,3.2,3.21,3.09,3.12,3.008571,72300
2010-02-22,3.13,3.2,3.09,3.12,3.008571,33000
2010-02-23,3.12,3.25,3.09,3.1,2.989286,33100
2010-02-24,3.1,3.17,3.04,3.09,2.979643,36300
2010-02-25,3.07,3.13,2.98,3.03,2.921786,169900
2010-02-26,3.03,3.23,2.94,2.97,2.863929,88000
2010-03-01,2.96,3.3,2.96,3.28,3.162857,71100
2010-03-02,3.27,3.48,3.2,3.46,3.336429,53300
2010-03-03,3.47,3.57,3.39,3.4,3.278572,31000
2010-03-04,3.45,3.46,3.28,3.44,3.317143,27600
2010-03-05,3.41,3.63,3.41,3.45,3.326786,57900
2010-03-08,3.35,3.42,3.17,3.4,3.278572,27500
2010-03-09,3.4,3.62,3.35,3.56,3.432857,50900
2010-03-10,3.55,3.67,3.51,3.67,3.538929,60400
2010-03-11,3.6,3.7,3.58,3.66,3.529286,68800
2010-03-12,3.61,3.61,3.45,3.54,3.413571,34200
2010-03-15,3.48,3.57,3.45,3.52,3.394286,22600
2010-03-16,3.49,3.58,3.42,3.48,3.355714,15500
2010-03-17,3.49,3.68,3.43,3.54,3.413571,21900
2010-03-18,3.55,3.6,3.45,3.5,3.375,19600
2010-03-19,3.59,3.59,3.49,3.59,3.461786,62300
2010-03-22,3.57,3.66,3.42,3.58,3.452143,28700
2010-03-23,3.51,3.6,3.49,3.6,3.471429,19900
2010-03-24,3.49,3.58,3.48,3.48,3.355714,28900
2010-03-25,3.5,3.54,3.48,3.49,3.365357,18200
2010-03-26,3.48,3.56,3.46,3.47,3.346071,38900
2010-03-29,3.47,3.54,3.47,3.51,3.384643,16100
2010-03-30,3.5,3.53,3.47,3.48,3.355714,28000
2010-03-31,3.5,3.51,3.38,3.41,3.288214,57600
2010-04-01,3.44,3.48,3.41,3.41,3.288214,59100
2010-04-05,3.44,3.5,3.43,3.5,3.375,55700
2010-04-06,3.5,3.5,3.4,3.42,3.297857,58800
2010-04-07,3.43,3.5,3.42,3.45,3.326786,21900
2010-04-08,3.45,3.45,3.41,3.41,3.288214,9500
2010-04-09,3.43,3.46,3.41,3.45,3.326786,14200
2010-04-12,3.46,3.46,3.41,3.42,3.297857,25400
2010-04-13,3.43,3.47,3.38,3.4,3.278572,53800
2010-04-14,3.43,3.5,3.39,3.5,3.375,49800
2010-04-15,3.5,3.5,3.47,3.5,3.375,13100
2010-04-16,3.51,3.51,3.41,3.41,3.288214,39600
2010-04-19,3.42,3.51,3.42,3.49,3.365357,10800
2010-04-20,3.51,3.51,3.47,3.5,3.375,17500
2010-04-21,3.49,3.5,3.43,3.49,3.365357,16200
2010-04-22,3.46,3.5,3.46,3.5,3.375,35900
2010-04-23,3.49,3.5,3.46,3.5,3.375,60200
2010-04-26,3.49,3.5,3.45,3.46,3.336429,16900
2010-04-27,3.44,3.5,3.41,3.47,3.346071,36300
2010-04-28,3.49,3.5,3.48,3.5,3.375,16600
2010-04-29,3.51,3.55,3.21,3.55,3.423214,58000
2010-04-30,3.54,3.55,3.41,3.44,3.317143,38100
2010-05-03,3.42,3.53,3.41,3.47,3.346071,35400
2010-05-04,3.43,3.53,3.41,3.42,3.297857,65800
2010-05-05,3.42,3.49,3.3,3.35,3.230357,40400
2010-05-06,3.25,3.49,3.21,3.28,3.162857,65200
2010-05-07,3.25,3.45,3.0,3.24,3.124286,118200
2010-05-10,3.34,3.48,3.29,3.36,3.24,65000
2010-05-11,3.25,3.33,3.2,3.27,3.153214,67900
2010-05-12,3.29,3.35,3.23,3.31,3.191786,67500
2010-05-13,3.3,3.34,3.26,3.32,3.201429,100300
2010-05-14,3.3,3.3,3.18,3.23,3.114643,92200
2010-05-17,3.25,3.26,3.07,3.18,3.066429,42400
2010-05-18,3.22,3.24,3.06,3.21,3.095357,47600
2010-05-19,3.21,3.22,3.09,3.1,2.989286,36000
2010-05-20,3.06,3.14,2.99,3.01,2.9025,92200
2010-05-21,2.97,2.99,2.92,2.95,2.844643,82000
2010-05-24,2.96,2.99,2.69,2.72,2.622857,81900
2010-05-25,2.58,2.64,2.55,2.58,2.487857,132700
2010-05-26,2.54,2.65,2.53,2.55,2.458929,62000
2010-05-27,2.6,2.69,2.54,2.62,2.526428,70100
2010-05-28,2.61,2.67,2.53,2.56,2.468571,57500
2010-06-01,2.56,2.69,2.51,2.6,2.507143,68500
2010-06-02,2.6,2.8,2.59,2.77,2.671072,30800
2010-06-03,2.75,2.82,2.61,2.67,2.574643,45400
2010-06-04,2.61,2.69,2.4,2.44,2.352857,58600
