Date,Open,High,Low,Close,Adj Close,Volume
2019-06-21,10.5,10.6,10.5,10.55,10.55,66000
2019-06-24,10.57,10.6,10.57,10.57,10.57,51000
2019-06-25,10.58,10.61,10.58,10.6,10.6,3900
2019-06-26,10.61,10.67,10.6,10.65,10.65,178400
2019-06-27,10.64,10.64,10.56,10.56,10.56,6500
2019-06-28,10.603,10.603,10.603,10.603,10.603,100
2019-07-01,10.6,10.6,10.6,10.6,10.6,700
2019-07-02,10.63,10.63,10.58,10.58,10.58,4400
2019-07-03,10.65,10.65,10.65,10.65,10.65,1000
2019-07-05,10.65,10.65,10.65,10.65,10.65,0
2019-07-08,10.57,10.64,10.57,10.64,10.64,2600
2019-07-09,10.63,10.636,10.63,10.636,10.636,600
2019-07-10,10.551,10.63,10.55,10.63,10.63,30800
2019-07-11,10.65,10.85,10.63,10.75,10.75,6600
2019-07-12,10.75,10.75,10.75,10.75,10.75,0
2019-07-15,10.7,10.7,10.7,10.7,10.7,25000
2019-07-16,10.7,10.725,10.69,10.7,10.7,43500
2019-07-17,10.725,10.725,10.725,10.725,10.725,100000
2019-07-18,10.75,10.75,10.73,10.73,10.73,23000
2019-07-19,10.73,10.73,10.73,10.73,10.73,0
2019-07-22,10.75,10.75,10.75,10.75,10.75,14300
2019-07-23,10.76,10.76,10.76,10.76,10.76,2100
2019-07-24,10.76,10.76,10.76,10.76,10.76,200
2019-07-25,10.76,10.76,10.76,10.76,10.76,0
2019-07-26,10.76,10.76,10.76,10.76,10.76,0
2019-07-29,10.75,10.75,10.7,10.74,10.74,6400
2019-07-30,10.75,10.75,10.74,10.75,10.75,43400
2019-07-31,10.75,10.75,10.74,10.75,10.75,43400
2019-08-01,10.75,10.75,10.74,10.75,10.75,43400
2019-08-02,10.75,10.75,10.74,10.75,10.75,43400
2019-08-05,10.75,10.75,10.75,10.75,10.75,4600
2019-08-06,10.75,10.75,10.75,10.75,10.75,2600
2019-08-07,10.75,10.75,10.75,10.75,10.75,1500
2019-08-08,10.75,10.75,10.75,10.75,10.75,1500
2019-08-09,10.75,10.75,10.75,10.75,10.75,1500
2019-08-12,10.75,10.75,10.75,10.75,10.75,1500
2019-08-13,10.75,10.75,10.75,10.75,10.75,100
2019-12-19,16.5,16.5,16.5,16.5,16.5,0
2019-12-20,18.110001,20.0,18.110001,20.0,20.0,2300
2019-12-23,20.0,20.0,20.0,20.0,20.0,0
2019-12-24,19.129999,19.25,19.065001,19.25,19.25,700
2019-12-26,19.25,19.25,19.25,19.25,19.25,0
2019-12-27,20.0,22.0,19.5,22.0,22.0,5600
2019-12-30,21.0,22.0,20.143999,21.940001,21.940001,6600
