Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,9.85,9.85,9.85,9.85,9.85,500
2019-06-05,9.85,9.85,9.85,9.85,9.85,0
2019-06-06,9.85,9.85,9.85,9.85,9.85,0
2019-06-07,9.85,9.85,9.85,9.85,9.85,0
2019-06-10,9.85,9.85,9.85,9.85,9.85,0
2019-06-11,9.85,9.85,9.85,9.85,9.85,0
2019-06-12,9.825,9.825,9.825,9.825,9.825,60000
2019-06-13,9.825,9.825,9.825,9.825,9.825,0
2019-06-14,9.825,9.825,9.825,9.825,9.825,0
2019-06-17,9.825,9.825,9.825,9.825,9.825,100
2019-06-18,9.825,9.825,9.825,9.825,9.825,0
2019-06-19,9.825,9.825,9.825,9.825,9.825,0
2019-06-20,9.825,9.825,9.825,9.825,9.825,0
2019-06-21,9.825,9.825,9.825,9.825,9.825,0
2019-06-24,9.85,9.85,9.85,9.85,9.85,1000
2019-06-25,9.85,9.85,9.85,9.85,9.85,0
2019-06-26,9.85,9.85,9.85,9.85,9.85,0
2019-06-27,9.85,9.85,9.85,9.85,9.85,0
2019-06-28,9.85,9.85,9.85,9.85,9.85,0
2019-07-01,9.85,9.85,9.85,9.85,9.85,0
2019-07-02,9.85,9.85,9.85,9.85,9.85,29800
2019-07-03,9.85,9.85,9.85,9.85,9.85,0
2019-07-05,9.85,9.85,9.85,9.85,9.85,0
2019-07-08,9.85,9.85,9.85,9.85,9.85,490000
2019-07-09,9.85,9.85,9.85,9.85,9.85,1400
2019-07-10,9.85,9.85,9.85,9.85,9.85,0
2019-07-11,9.85,9.85,9.85,9.85,9.85,0
2019-07-12,9.85,9.85,9.85,9.85,9.85,0
2019-07-15,9.85,9.85,9.85,9.85,9.85,100
2019-07-16,9.85,9.85,9.85,9.85,9.85,0
2019-07-17,9.85,9.85,9.85,9.85,9.85,0
2019-07-18,9.85,9.85,9.85,9.85,9.85,0
2019-07-19,9.85,9.85,9.85,9.85,9.85,0
2019-07-22,9.85,9.85,9.85,9.85,9.85,0
2019-07-23,9.85,9.85,9.85,9.85,9.85,10000
2019-07-24,9.85,9.85,9.85,9.85,9.85,0
2019-07-25,9.85,9.85,9.85,9.85,9.85,0
2019-07-26,9.85,9.85,9.85,9.85,9.85,78700
2019-07-29,9.85,9.85,9.85,9.85,9.85,78700
2019-07-30,9.85,9.85,9.85,9.85,9.85,78700
2019-07-31,9.85,9.85,9.85,9.85,9.85,78700
2019-08-01,9.85,9.85,9.85,9.85,9.85,0
2019-08-02,9.85,9.85,9.85,9.85,9.85,0
2019-08-05,9.85,9.85,9.85,9.85,9.85,0
2019-08-06,9.85,9.85,9.85,9.85,9.85,0
2019-08-07,9.85,9.85,9.85,9.85,9.85,0
2019-08-08,9.84,9.95,9.84,9.95,9.95,79800
2019-08-09,9.84,9.95,9.84,9.95,9.95,79800
2019-08-12,9.95,9.95,9.95,9.95,9.95,0
2019-08-13,9.95,9.95,9.95,9.95,9.95,0
2019-08-14,9.9,9.9,9.9,9.9,9.9,100
2019-08-15,9.9,9.9,9.9,9.9,9.9,100
2019-08-16,9.9,9.9,9.9,9.9,9.9,0
2019-08-19,9.87,9.88,9.87,9.88,9.88,450000
2019-08-20,9.88,9.89,9.88,9.89,9.89,251400
2019-08-21,9.88,9.95,9.88,9.95,9.95,105400
2019-08-22,9.95,9.95,9.95,9.95,9.95,0
2019-08-23,9.95,9.95,9.95,9.95,9.95,1500
2019-08-26,9.95,9.95,9.95,9.95,9.95,0
2019-08-27,9.95,9.95,9.95,9.95,9.95,0
