Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,10.43,10.43,10.43,10.43,10.43,0
2019-11-15,10.43,10.43,10.43,10.43,10.43,0
2019-11-18,10.43,10.43,10.43,10.43,10.43,0
2019-11-19,10.43,10.43,10.43,10.43,10.43,0
2019-11-20,10.41,10.45,10.36,10.45,10.45,4702
2019-11-21,10.45,10.45,10.45,10.45,10.45,0
2019-11-22,10.45,10.45,10.45,10.45,10.45,0
2019-11-25,10.45,10.45,10.45,10.45,10.45,0
2019-11-27,10.45,10.45,10.45,10.45,10.45,0
2019-11-29,10.43,10.43,10.43,10.43,10.43,1900
2019-12-02,10.44,10.44,10.44,10.44,10.44,100
2019-12-03,10.44,10.44,10.44,10.44,10.44,0
2019-12-04,10.44,10.44,10.44,10.44,10.44,0
2019-12-05,10.38,10.45,10.38,10.45,10.45,12069
2019-12-06,10.45,10.45,10.45,10.45,10.45,300
2019-12-09,10.45,10.45,10.45,10.45,10.45,0
2019-12-10,10.45,10.45,10.45,10.45,10.45,0
2019-12-11,10.41,10.45,10.41,10.45,10.45,15300
2019-12-12,10.43,10.45,10.43,10.45,10.45,39600
2019-12-13,10.45,10.45,10.45,10.45,10.45,71879
2019-12-16,10.5,10.5,10.5,10.5,10.5,1000
2019-12-17,10.5,10.5,10.5,10.5,10.5,0
2019-12-18,10.5,10.5,10.5,10.5,10.5,0
2019-12-19,10.525,10.55,10.525,10.55,10.55,1000
2019-12-20,10.55,10.55,10.55,10.55,10.55,0
2019-12-23,10.55,10.55,10.55,10.55,10.55,0
2019-12-24,10.55,10.55,10.55,10.55,10.55,0
2019-12-26,10.59,10.6,10.59,10.6,10.6,3000
2019-12-27,10.6,10.6,10.6,10.6,10.6,0
2019-12-30,10.6,10.6,10.6,10.6,10.6,0
