Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.13,10.13,10.13,10.13,10.13,0
2010-01-05,10.13,10.13,10.13,10.13,10.13,0
2010-01-06,10.13,10.13,10.13,10.13,10.13,0
2010-01-07,10.0,10.0,10.0,10.0,10.0,200
2010-01-08,10.0,10.0,10.0,10.0,10.0,0
2010-01-11,10.0,10.0,10.0,10.0,10.0,0
2010-01-12,10.0,10.0,10.0,10.0,10.0,0
2010-01-13,10.0,10.0,10.0,10.0,10.0,0
2010-01-14,9.0,9.11,8.91,9.0,9.0,2300
2010-01-15,9.0,9.0,9.0,9.0,9.0,100
2010-01-19,9.0,9.14,9.0,9.1,9.1,2700
2010-01-20,9.1,9.1,9.1,9.1,9.1,0
2010-01-21,9.1,9.1,9.1,9.1,9.1,200
2010-01-22,9.1,9.1,9.1,9.1,9.1,0
2010-01-25,9.01,9.01,9.01,9.01,9.01,500
2010-01-26,9.01,9.01,9.01,9.01,9.01,0
2010-01-27,9.01,9.01,9.01,9.01,9.01,0
2010-01-28,9.01,9.01,9.01,9.01,9.01,0
2010-01-29,9.21,9.68,9.21,9.68,9.68,400
2010-02-01,9.03,9.19,8.74,9.19,9.19,1300
2010-02-02,9.19,9.19,9.19,9.19,9.19,0
2010-02-03,8.5,9.6,8.5,9.6,9.6,900
2010-02-04,9.58,9.9,9.5,9.5,9.5,2300
2010-02-05,10.87,10.87,10.87,10.87,10.87,100
2010-02-08,10.87,10.87,10.87,10.87,10.87,0
2010-02-09,10.87,10.87,10.87,10.87,10.87,0
2010-02-10,10.54,11.2,10.54,11.2,11.2,500
2010-02-11,10.66,11.34,10.02,11.34,11.34,10600
2010-02-12,10.66,11.34,10.06,10.46,10.46,6000
2010-02-16,11.0,11.0,10.83,10.83,10.83,500
2010-02-17,11.0,11.0,10.96,10.96,10.96,1200
2010-02-18,10.53,11.0,10.5,10.87,10.87,2000
2010-02-19,11.0,11.09,11.0,11.09,11.09,300
2010-02-22,10.8,10.82,10.8,10.82,10.82,200
2010-02-23,11.2,11.2,11.19,11.19,11.19,400
2010-02-24,11.19,11.19,11.19,11.19,11.19,0
2010-02-25,11.01,11.04,11.0,11.04,11.04,700
2010-02-26,11.13,11.24,11.13,11.23,11.23,800
2010-03-01,11.23,11.23,11.23,11.23,11.23,0
2010-03-02,11.25,11.25,11.25,11.25,11.25,500
