Date,Open,High,Low,Close,Adj Close,Volume
2012-04-03,1.5,1.7,1.22,1.69,1.646411,134135
2012-04-04,1.77,1.95,1.47,1.54,1.50028,20707
2012-04-05,1.52,1.54,1.39,1.54,1.50028,10186
2012-04-09,1.54,1.54,1.54,1.54,1.50028,0
2012-04-10,1.54,1.65,1.53,1.56,1.519764,3977
2012-04-11,1.56,1.65,1.56,1.57,1.529506,2330
2012-04-12,1.65,1.65,1.54,1.64,1.5977,6070
2012-04-13,1.64,1.74,1.64,1.74,1.695121,820
2012-04-16,1.74,1.75,1.74,1.75,1.704863,1070
2012-04-17,1.7,1.7,1.7,1.7,1.656153,768
2012-04-18,1.75,1.75,1.74,1.75,1.704863,340
2012-04-19,1.75,1.75,1.65,1.73,1.685379,1560
2012-04-20,1.64,1.7,1.63,1.7,1.656153,1158
2012-04-23,1.71,1.71,1.62,1.7,1.656153,770
2012-04-24,1.7,1.7,1.7,1.7,1.656153,20
2012-04-25,1.69,1.69,1.69,1.69,1.646411,20
2012-04-26,1.69,1.69,1.6,1.6,1.558732,430
2012-04-27,1.64,1.64,1.64,1.64,1.5977,300
2012-04-30,1.65,1.65,1.65,1.65,1.607442,20
2012-05-01,1.64,1.64,1.64,1.64,1.5977,0
2012-05-02,1.65,1.65,1.65,1.65,1.607442,20
2012-05-03,1.65,1.65,1.64,1.64,1.5977,120
2012-05-04,1.65,1.7,1.65,1.7,1.656153,300
2012-05-07,1.7,1.7,1.7,1.7,1.656153,50
2012-05-08,1.7,1.7,1.7,1.7,1.656153,58
2012-05-09,1.7,1.7,1.7,1.7,1.656153,0
2012-05-10,1.7,1.7,1.7,1.7,1.656153,0
2012-05-11,1.75,1.75,1.75,1.75,1.704863,200
2012-05-14,1.75,1.85,1.75,1.85,1.802284,2000
2012-05-15,1.85,1.85,1.85,1.85,1.802284,30
2012-05-16,1.85,1.85,1.76,1.76,1.714605,1700
2012-05-17,1.85,1.85,1.85,1.85,1.802284,150
2012-05-18,1.76,1.8,1.76,1.8,1.753574,2050
2012-05-21,1.8,1.8,1.8,1.8,1.753574,100
2012-05-22,1.8,1.8,1.8,1.8,1.753574,0
2012-05-23,1.8,1.8,1.8,1.8,1.753574,10
2012-05-24,1.71,1.71,1.66,1.71,1.665895,3290
2012-05-25,1.71,1.71,1.71,1.71,1.665895,10
2012-05-29,1.96,1.99,1.96,1.99,1.938673,230
2012-05-30,2.0,2.0,2.0,2.0,1.948415,170
2012-05-31,2.0,2.0,2.0,2.0,1.948415,0
2012-06-01,2.05,2.06,2.05,2.06,2.006867,1000
2012-06-04,2.06,2.06,2.06,2.06,2.006867,0
2012-06-05,2.06,2.06,2.06,2.06,2.006867,0
2012-06-06,2.06,2.06,2.06,2.06,2.006867,0
2012-06-07,2.06,2.06,2.06,2.06,2.006867,0
2012-06-08,2.06,2.06,2.06,2.06,2.006867,0
2012-06-11,2.06,2.06,2.06,2.06,2.006867,0
2012-06-12,2.08,2.08,1.8,1.8,1.753574,170
2012-06-13,1.75,1.75,1.75,1.75,1.704863,1330
