Date,Open,High,Low,Close,Adj Close,Volume
2018-05-04,7.999,9.9,7.85,8.59,8.285943,256200
2018-05-07,9.0,9.649,8.497,9.46,9.125146,362300
2018-05-08,9.31,10.999,8.9,9.5,9.163731,269700
2018-05-09,9.7,10.0,9.21,10.0,9.646031,102100
2018-05-10,10.0,10.35,9.57,9.7,9.356651,153900
2018-05-11,9.7,9.7,9.37,9.5,9.163731,49000
2018-05-14,9.5,9.5,9.03,9.03,8.710367,23100
2018-05-15,9.0,9.29,9.0,9.0,8.681428,81900
2018-05-16,8.995,9.25,8.9,9.04,8.720014,42700
2018-05-17,9.49,9.49,9.05,9.27,8.941874,20900
2018-05-18,9.199,9.199,8.51,8.96,8.642846,30500
2018-05-21,9.24,9.24,8.7,8.99,8.671782,8900
2018-05-22,8.95,9.24,8.49,8.91,8.594615,53700
2018-05-23,8.797,9.0,8.601,9.0,8.681428,33100
2018-05-24,8.59,8.9,8.39,8.39,8.093022,18000
2018-05-25,8.81,9.0,7.01,9.0,8.681428,165700
2018-05-29,8.1,8.28,8.021,8.25,7.957977,23700
2018-05-30,7.8,8.084,7.26,7.52,7.253817,44600
2018-05-31,7.7,8.19,7.6,7.62,7.350277,26200
2018-06-01,7.65,8.0,7.15,7.65,7.379215,47900
2018-06-04,7.6,7.93,7.55,7.58,7.311693,8300
2018-06-05,7.55,8.049,7.55,7.71,7.43709,13300
2018-06-06,7.95,7.97,7.8,7.97,7.687888,800
2018-06-07,7.85,8.23,7.6,7.76,7.485322,18500
2018-06-08,7.925,8.0,7.76,7.76,7.485322,600
2018-06-11,7.6,8.5,7.6,8.05,7.765056,12400
2018-06-12,8.47,8.47,7.86,7.92,7.639657,16700
2018-06-13,8.0,8.49,8.0,8.26,7.967623,21900
2018-06-14,8.32,9.195,7.8,7.8,7.523906,306800
2018-06-15,8.1,9.1,7.85,8.69,8.382401,339600
2018-06-18,8.64,10.39,8.5,9.01,8.691075,608900
2018-06-19,9.0,9.8,8.9,9.3,8.970811,160900
2018-06-20,9.5,9.9,9.26,9.3,8.970811,232500
2018-06-21,9.18,9.3,8.51,8.747,8.437385,68900
2018-06-22,8.82,8.94,8.5,8.7,8.392048,49100
2018-06-25,8.64,8.75,8.15,8.34,8.044791,65800
2018-06-26,8.34,8.68,8.051,8.46,8.160543,62600
2018-06-27,7.94,7.94,6.76,6.81,6.568948,214200
2018-06-28,7.5,7.6,7.1,7.32,7.060895,81900
2018-06-29,7.36,7.465,7.3,7.38,7.118772,43800
2018-07-02,7.21,7.26,6.81,6.93,6.684701,34700
2018-07-03,6.85,7.23,6.7,6.7,6.462842,15000
2018-07-05,6.645,6.89,6.6,6.74,6.501426,18500
2018-07-06,6.782,6.782,5.83,5.91,5.700805,68700
2018-07-09,6.2,6.89,6.2,6.89,6.646116,23800
2018-07-10,6.898,7.44,6.892,7.19,6.935498,71700
2018-07-11,7.29,7.6,7.09,7.34,7.080188,55600
2018-07-12,7.33,7.357,7.2,7.2,6.945143,10500
2018-07-13,7.16,7.3,7.11,7.11,6.85833,11900
2018-07-16,6.96,7.072,6.74,6.81,6.568948,12000
