Date,Open,High,Low,Close,Adj Close,Volume
2010-12-02,23.700001,23.82,23.700001,23.82,10.581957,5200
2010-12-03,23.99,23.99,23.790001,23.82,10.581957,6900
2010-12-06,24.0,24.0,23.98,23.99,10.657471,5400
2010-12-07,24.139999,24.18,24.1,24.1,10.706346,2400
2010-12-08,24.1,24.1,24.0,24.0,10.66192,1500
2010-12-09,24.129999,24.18,24.120001,24.18,10.741882,3500
2010-12-10,24.35,24.440001,24.35,24.42,10.848505,1300
2010-12-13,24.530001,24.559999,24.52,24.530001,10.897367,5100
2010-12-14,24.559999,24.58,24.450001,24.450001,10.861828,21100
2010-12-15,24.540001,24.540001,24.379999,24.440001,10.857388,1900
2010-12-16,24.440001,24.440001,24.440001,24.440001,10.857388,0
2010-12-17,24.27,24.27,24.27,24.27,10.781863,900
2010-12-20,24.540001,24.540001,24.360001,24.4,10.839615,36600
2010-12-21,24.5,24.629999,24.459999,24.610001,10.932904,55100
2010-12-22,24.68,24.76,24.639999,24.700001,10.972895,53000
2010-12-23,24.67,24.77,24.67,24.75,10.995102,31100
2010-12-27,24.74,24.799999,24.74,24.780001,11.008432,8500
2010-12-28,24.709999,24.74,24.700001,24.719999,10.981774,8900
2010-12-29,24.690001,24.780001,24.540001,24.780001,11.008432,18600
2010-12-30,24.790001,24.85,24.790001,24.84,11.035089,4300
2010-12-31,24.74,24.83,24.74,24.75,10.995102,10000
2011-01-03,24.85,24.940001,24.85,24.9,11.061744,6900
2011-01-04,24.65,24.75,24.23,24.299999,10.941522,51400
2011-01-05,24.27,24.42,24.24,24.379999,10.977539,11000
2011-01-06,24.57,24.57,24.41,24.43,11.000056,28200
2011-01-07,24.59,24.59,24.24,24.370001,10.973036,22500
2011-01-10,24.32,24.34,24.209999,24.32,10.950521,16200
2011-01-11,24.51,24.51,24.41,24.49,11.027072,38600
2011-01-12,24.99,24.99,24.57,24.59,11.072091,13500
2011-01-13,24.75,24.75,24.5,24.5,11.031571,17200
2011-01-14,24.5,24.610001,24.290001,24.610001,11.168627,66800
2011-01-18,24.629999,24.66,24.459999,24.66,11.191316,28700
2011-01-19,24.719999,24.719999,24.16,24.17,10.968941,14600
2011-01-20,24.08,24.09,23.969999,24.049999,10.91449,37400
2011-01-21,24.25,24.25,24.1,24.120001,10.946259,24600
2011-01-24,24.139999,24.35,24.129999,24.35,11.050632,6800
2011-01-25,24.280001,24.309999,24.24,24.290001,11.023402,35200
2011-01-26,24.299999,24.51,24.299999,24.459999,11.100553,17800
2011-01-27,24.540001,24.6,24.5,24.6,11.164088,5000
2011-01-28,24.549999,24.549999,24.209999,24.219999,10.991636,6000
2011-01-31,24.190001,24.290001,24.17,24.219999,10.991636,5300
2011-02-01,24.5,24.610001,24.5,24.610001,11.168627,2300
2011-02-02,24.719999,24.719999,24.549999,24.58,11.155015,8900
2011-02-03,24.6,24.67,24.5,24.639999,11.182241,6800
2011-02-04,24.58,24.620001,24.540001,24.620001,11.173169,8900
2011-02-07,24.65,24.780001,24.65,24.780001,11.245778,4500
2011-02-08,24.73,24.82,24.690001,24.82,11.26393,9100
2011-02-09,24.82,24.83,24.76,24.780001,11.245778,80200
2011-02-10,24.709999,24.74,24.67,24.690001,11.204929,20500
2011-02-11,24.709999,24.879999,24.709999,24.879999,11.291164,4200
2011-02-14,25.16,25.16,24.809999,24.9,11.300243,29600
2011-02-15,24.629999,24.65,24.540001,24.559999,11.226644,7100
2011-02-16,24.809999,24.809999,24.620001,24.65,11.267789,5600
2011-02-17,24.66,24.799999,24.66,24.780001,11.3272,5600
2011-02-18,25.299999,25.299999,24.790001,24.84,11.354634,8900
2011-02-22,24.9,24.9,24.42,24.42,11.162646,21300
2011-02-23,24.52,24.52,24.190001,24.35,11.130651,26000
2011-02-24,24.530001,24.530001,24.34,24.469999,11.1855,1600
2011-02-25,24.59,24.780001,24.57,24.75,11.313491,13300
2011-02-28,24.799999,24.959999,24.799999,24.85,11.359205,8800
2011-03-01,25.129999,25.129999,24.6,24.6,11.244923,16200
2011-03-02,24.700001,24.700001,24.549999,24.610001,11.249496,5800
2011-03-03,24.9,24.93,24.809999,24.889999,11.377492,2700
2011-03-04,24.879999,24.879999,24.700001,24.700001,11.290642,5000
2011-03-07,24.84,24.84,24.6,24.6,11.244923,7400
2011-03-08,24.74,24.860001,24.74,24.809999,11.340918,3000
2011-03-09,24.860001,24.879999,24.790001,24.809999,11.340918,4500
2011-03-10,24.75,24.75,24.540001,24.540001,11.217499,6600
2011-03-11,24.42,24.52,24.4,24.52,11.208353,6400
2011-03-14,24.48,24.48,24.299999,24.389999,11.148936,4100
2011-03-15,23.99,24.129999,23.629999,23.99,11.056754,21700
2011-03-16,23.92,24.059999,23.76,23.799999,10.96919,24500
2011-03-17,23.92,24.02,23.889999,23.92,11.024493,14200
2011-03-18,23.92,24.040001,23.92,24.040001,11.079803,11600
2011-03-21,24.379999,24.379999,24.26,24.370001,11.231897,16200
2011-03-22,24.26,24.26,24.049999,24.08,11.098229,10700
2011-03-23,24.049999,24.290001,22.030001,24.16,11.13511,24400
2011-03-24,24.290001,24.290001,24.17,24.209999,11.158153,21300
2011-03-25,24.23,24.4,24.23,24.360001,11.227283,2100
2011-03-28,24.27,24.33,24.09,24.120001,11.116673,10600
2011-03-29,24.1,24.219999,24.1,24.129999,11.121279,21900
2011-03-30,24.24,24.32,24.23,24.32,11.208848,9900
2011-03-31,24.34,24.370001,24.27,24.370001,11.231897,5000
2011-04-01,24.32,24.549999,24.32,24.49,11.287209,9700
2011-04-04,24.540001,24.6,24.52,24.6,11.337895,22000
2011-04-05,24.6,24.690001,24.57,24.620001,11.34712,25300
2011-04-06,24.73,24.75,24.66,24.75,11.407032,8600
2011-04-07,24.68,24.700001,24.5,24.549999,11.31485,9800
2011-04-08,24.5,24.5,24.219999,24.280001,11.190411,4900
2011-04-11,24.139999,24.42,24.139999,24.299999,11.199631,10600
2011-04-12,24.27,24.290001,24.030001,24.030001,11.075187,18500
2011-04-13,24.24,24.24,23.99,24.049999,11.084407,12600
2011-04-14,23.93,24.190001,23.93,24.190001,11.148933,5800
2011-04-15,24.16,24.16,23.969999,24.129999,11.207455,20800
2011-04-18,24.08,24.08,23.790001,23.92,11.10992,11600
2011-04-19,23.950001,23.950001,23.809999,23.84,11.072764,18900
2011-04-20,23.84,24.08,23.84,24.01,11.151723,7800
2011-04-21,24.030001,24.15,24.030001,24.139999,11.212101,16800
2011-04-25,24.200001,24.23,24.139999,24.23,11.253902,14900
2011-04-26,24.360001,24.48,24.360001,24.41,11.337502,16600
2011-04-27,24.48,24.48,24.43,24.48,11.370016,11100
2011-04-28,24.51,24.639999,24.51,24.610001,11.430396,5700
2011-04-29,24.559999,24.75,24.559999,24.73,11.48613,2400
2011-05-02,24.77,24.77,24.57,24.57,11.411818,7500
2011-05-03,24.610001,24.610001,24.4,24.530001,11.393244,10000
2011-05-04,24.549999,24.549999,24.440001,24.469999,11.365372,3500
2011-05-05,24.43,24.51,24.33,24.370001,11.31893,19200
2011-05-06,24.459999,24.559999,24.389999,24.389999,11.328217,2700
2011-05-09,24.41,24.49,24.32,24.459999,11.360726,10000
2011-05-10,24.639999,24.719999,24.57,24.719999,11.481482,7400
2011-05-11,24.73,24.73,24.459999,24.51,11.383953,21000
2011-05-12,24.43,24.66,24.389999,24.6,11.425747,23000
2011-05-13,24.52,24.52,24.17,24.17,11.311558,19100
2011-05-16,24.23,24.23,24.059999,24.07,11.264759,4100
2011-05-17,23.93,24.040001,23.91,23.99,11.227319,15800
2011-05-18,24.059999,24.17,24.040001,24.17,11.311558,16500
2011-05-19,24.200001,24.23,24.17,24.209999,11.330285,4200
2011-05-20,24.15,24.24,24.139999,24.190001,11.320921,2700
2011-05-23,23.940001,24.02,23.940001,23.940001,11.203918,10400
2011-05-24,24.0,24.01,23.870001,23.940001,11.203918,7500
2011-05-25,23.91,23.959999,23.799999,23.940001,11.203918,11100
2011-05-26,23.92,23.940001,23.92,23.940001,11.203918,500
2011-05-27,24.030001,24.190001,24.030001,24.17,11.311558,7700
2011-05-31,24.48,24.48,24.02,24.360001,11.400481,11700
2011-06-01,24.25,24.25,23.9,23.91,11.189886,14600
2011-06-02,23.92,24.01,23.83,23.940001,11.203918,19100
2011-06-03,23.709999,23.92,23.709999,23.780001,11.129037,10800
2011-06-06,23.639999,23.82,23.639999,23.68,11.082236,7900
2011-06-07,23.75,23.879999,23.75,23.82,11.147761,4700
2011-06-08,23.809999,23.85,23.68,23.690001,11.086925,11500
2011-06-09,23.77,23.82,23.67,23.709999,11.09628,28300
2011-06-10,23.709999,23.709999,23.389999,23.42,10.960562,16500
2011-06-13,23.52,23.52,23.379999,23.469999,10.983965,10500
2011-06-14,23.719999,23.719999,23.559999,23.700001,11.091603,18000
2011-06-15,23.35,23.469999,23.190001,23.32,10.996346,13900
2011-06-16,23.32,23.43,23.219999,23.32,10.996346,16300
2011-06-17,23.440001,23.459999,23.25,23.27,10.972771,10200
2011-06-20,23.379999,23.49,23.34,23.459999,11.062367,18000
2011-06-21,23.5,23.65,23.5,23.59,11.123667,5000
2011-06-22,23.620001,23.82,23.620001,23.68,11.1661,9500
2011-06-23,23.549999,23.57,23.309999,23.540001,11.100084,6100
2011-06-24,23.530001,23.530001,23.35,23.370001,11.019928,7600
2011-06-27,23.219999,23.52,23.219999,23.450001,11.057651,5700
2011-06-28,23.32,23.559999,23.32,23.51,11.085939,13100
2011-06-29,23.540001,23.790001,23.540001,23.790001,11.217976,7500
2011-06-30,23.780001,23.98,23.76,23.950001,11.293412,21900
2011-07-01,24.1,24.33,24.1,24.27,11.44431,19000
2011-07-05,24.24,24.25,24.17,24.25,11.434881,9600
2011-07-06,24.200001,24.4,24.200001,24.360001,11.486753,5500
2011-07-07,24.73,24.73,24.370001,24.66,11.628218,12600
2011-07-08,24.48,24.6,24.469999,24.59,11.595208,8900
2011-07-11,24.4,24.4,24.190001,24.209999,11.416025,6000
2011-07-12,24.15,24.25,24.110001,24.120001,11.373581,6900
2011-07-13,24.41,24.41,24.120001,24.16,11.392447,10100
2011-07-14,24.209999,24.209999,23.780001,23.809999,11.227408,5300
2011-07-15,23.620001,23.690001,23.549999,23.59,11.211246,14600
2011-07-18,23.709999,23.709999,23.24,23.33,11.087681,9300
2011-07-19,23.5,23.719999,23.450001,23.719999,11.273026,5600
2011-07-20,23.75,23.799999,23.73,23.799999,11.311048,4900
2011-07-21,23.950001,24.0,23.92,23.940001,11.377586,4900
2011-07-22,24.309999,24.309999,23.9,23.99,11.401344,2500
2011-07-25,23.73,23.799999,23.65,23.66,11.244514,8800
2011-07-26,23.5,23.629999,23.469999,23.530001,11.18273,9500
2011-07-27,23.389999,23.389999,23.049999,23.07,10.964112,16500
2011-07-28,23.08,23.16,23.0,23.02,10.94035,6700
2011-07-29,22.85,22.870001,22.120001,22.82,10.845302,37400
2011-08-01,23.370001,23.459999,23.01,23.17,11.011639,5300
2011-08-02,23.24,23.24,22.690001,22.690001,10.78352,13000
2011-08-03,22.76,22.799999,22.4,22.719999,10.797771,5500
2011-08-04,22.790001,22.790001,21.92,21.92,10.417572,15700
2011-08-05,22.15,22.15,21.360001,21.76,10.341537,20100
2011-08-08,21.1,21.52,20.370001,20.379999,9.685678,32700
2011-08-09,20.5,22.0,20.200001,22.0,10.455586,20900
2011-08-10,21.66,21.719999,21.110001,21.110001,10.032613,10200
2011-08-11,21.139999,22.110001,21.139999,22.07,10.488863,16700
2011-08-12,21.870001,22.040001,21.780001,21.799999,10.360543,6000
2011-08-15,21.98,22.219999,21.98,22.219999,10.651025,4600
2011-08-16,22.200001,22.23,22.0,22.120001,10.603088,65500
2011-08-17,22.309999,22.309999,22.190001,22.200001,10.641435,10300
2011-08-18,21.52,21.530001,21.129999,21.190001,10.157297,10300
2011-08-19,20.9,21.23,20.860001,20.870001,10.003913,7900
2011-08-22,21.469999,21.469999,20.82,20.98,10.056638,5400
2011-08-23,21.200001,21.5,21.200001,21.5,10.305897,3200
2011-08-24,21.66,21.709999,21.370001,21.450001,10.281929,1600
2011-08-25,21.6,21.620001,20.959999,20.98,10.056638,6900
2011-08-26,20.75,21.280001,20.75,21.200001,10.16209,11700
2011-08-29,21.559999,21.98,21.559999,21.98,10.535979,7100
2011-08-30,21.879999,22.16,21.83,22.139999,10.612675,7900
2011-08-31,22.1,22.17,21.959999,22.09,10.588709,3900
2011-09-01,21.780001,21.99,21.370001,21.450001,10.281929,2600
2011-09-02,21.07,21.129999,20.879999,20.9,10.018289,9100
2011-09-06,20.4,20.860001,20.379999,20.84,9.989529,9900
2011-09-07,21.18,21.360001,21.0,21.32,10.21961,4900
2011-09-08,21.42,21.43,21.110001,21.15,10.138127,15500
2011-09-09,21.0,21.040001,20.790001,20.870001,10.003913,9400
2011-09-12,20.870001,20.940001,20.66,20.940001,10.037464,34300
2011-09-13,21.01,21.309999,20.98,21.120001,10.123747,12300
2011-09-14,21.360001,21.639999,21.200001,21.610001,10.358622,8100
2011-09-15,21.469999,21.59,21.34,21.59,10.447664,4400
2011-09-16,21.690001,21.719999,21.48,21.629999,10.467022,7700
2011-09-19,21.6,21.6,21.26,21.440001,10.375077,93000
2011-09-20,21.41,21.540001,21.26,21.26,10.287971,59200
2011-09-21,21.16,21.16,20.469999,20.469999,9.905675,21800
2011-09-22,20.32,20.540001,19.98,20.24,9.794384,15200
2011-09-23,20.299999,20.379999,20.16,20.299999,9.823419,6800
2011-09-26,20.530001,20.559999,20.299999,20.43,9.886322,10900
2011-09-27,21.110001,21.25,20.790001,20.870001,10.099245,17400
2011-09-28,20.879999,20.950001,20.559999,20.559999,9.949232,29400
2011-09-29,21.059999,21.16,20.780001,21.1,10.210547,26500
2011-09-30,21.25,21.25,20.780001,20.780001,10.055693,24500
2011-10-03,20.639999,20.809999,19.790001,19.790001,9.576623,36600
2011-10-04,19.65,20.16,19.0,20.16,9.755671,77100
2011-10-05,20.4,20.5,20.27,20.469999,9.905675,4400
2011-10-06,20.5,21.08,20.5,21.08,10.200865,16000
2011-10-07,20.92,20.92,20.48,20.48,9.910521,9600
2011-10-10,20.84,21.24,20.84,21.23,10.273459,11900
2011-10-11,21.049999,21.26,20.99,21.190001,10.254094,12700
2011-10-12,21.309999,21.540001,21.299999,21.4,10.355718,20800
2011-10-13,21.15,21.370001,21.08,21.25,10.283133,31700
2011-10-14,21.299999,21.43,21.08,21.360001,10.43705,36100
2011-10-17,21.200001,21.200001,20.889999,20.950001,10.236714,14600
2011-10-18,21.09,21.530001,21.09,21.530001,10.520113,10500
2011-10-19,21.48,21.59,21.370001,21.389999,10.451711,9700
2011-10-20,21.290001,21.48,21.040001,21.43,10.471251,14600
2011-10-21,21.67,21.709999,21.459999,21.709999,10.608071,51100
2011-10-24,21.75,22.379999,21.75,22.370001,10.930564,201400
2011-10-25,22.08,22.23,21.950001,21.98,10.739999,40500
2011-10-26,22.16,22.27,22.01,22.26,10.876814,46100
2011-10-27,22.99,23.01,22.59,22.92,11.199305,15200
2011-10-28,22.790001,22.969999,22.75,22.799999,11.140668,28800
2011-10-31,22.48,22.75,22.450001,22.450001,10.969654,120700
2011-11-01,21.84,22.17,21.700001,21.700001,10.603188,32700
2011-11-02,21.99,22.15,21.84,22.07,10.783976,14000
2011-11-03,22.27,22.49,22.049999,22.49,10.989191,28300
2011-11-04,22.309999,22.389999,22.139999,22.290001,10.891472,25000
2011-11-07,22.290001,22.360001,22.040001,22.360001,10.925674,24700
2011-11-08,22.459999,22.639999,22.34,22.639999,11.06249,26700
2011-11-09,22.459999,22.459999,21.84,21.84,10.67159,11900
2011-11-10,22.17,22.17,21.790001,21.879999,10.691135,102200
2011-11-11,22.030001,22.23,21.98,22.16,10.827955,48100
2011-11-14,22.049999,22.049999,21.75,21.809999,10.656936,19100
2011-11-15,21.690001,21.969999,21.559999,21.9,10.801445,50700
2011-11-16,21.82,22.02,21.620001,21.709999,10.707736,28400
2011-11-17,21.83,21.83,21.4,21.450001,10.579495,17000
2011-11-18,21.65,21.65,21.440001,21.52,10.614027,38500
2011-11-21,21.25,21.25,21.01,21.110001,10.411798,73900
2011-11-22,21.09,21.190001,20.93,21.02,10.367414,11700
2011-11-23,20.879999,20.92,20.49,20.51,10.115878,30100
2011-11-25,20.440001,20.610001,20.42,20.610001,10.165195,3500
2011-11-28,21.059999,21.059999,20.82,20.860001,10.2885,84100
2011-11-29,20.9,20.99,20.809999,20.809999,10.263833,65300
2011-11-30,21.57,21.77,21.290001,21.77,10.737329,15000
2011-12-01,21.700001,21.76,21.549999,21.58,10.643612,15200
2011-12-02,21.809999,21.93,21.690001,21.719999,10.712662,13600
2011-12-05,21.870001,22.02,21.780001,21.85,10.776786,12000
2011-12-06,21.889999,22.07,21.889999,21.950001,10.826106,10800
2011-12-07,21.68,22.07,21.68,22.040001,10.870491,10400
2011-12-08,21.889999,21.889999,21.51,21.530001,10.618952,20200
2011-12-09,21.540001,21.889999,21.450001,21.870001,10.786652,17000
