Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.450001,18.23,17.450001,18.0,16.989899,397100
2010-01-05,17.82,18.0,17.27,17.84,16.838879,210200
2010-01-06,18.01,19.0,17.68,17.719999,16.725611,326400
2010-01-07,17.809999,18.469999,17.23,17.389999,16.414129,162600
2010-01-08,17.360001,17.440001,17.120001,17.42,16.442448,110300
2010-01-11,17.42,17.42,16.799999,17.01,16.055454,252100
2010-01-12,16.85,17.0,16.16,16.41,15.489125,251700
2010-01-13,16.42,17.23,16.42,17.18,16.215916,199700
2010-01-14,17.219999,17.33,16.870001,16.98,16.027138,112100
2010-01-15,17.059999,17.23,16.51,16.65,15.715656,178100
2010-01-19,16.629999,17.33,16.459999,16.549999,15.621268,221100
2010-01-20,16.49,16.540001,16.049999,16.139999,15.234276,281000
2010-01-21,16.200001,16.43,14.64,15.39,14.526364,665000
2010-01-22,15.31,16.469999,15.12,15.56,14.686825,314400
2010-01-25,15.7,16.200001,15.7,15.86,14.969989,182400
2010-01-26,15.84,15.93,15.48,15.5,14.630191,222600
2010-01-27,15.4,15.81,15.32,15.62,14.743457,146200
2010-01-28,15.71,15.96,15.4,15.49,14.620752,113300
2010-01-29,15.49,15.71,15.31,15.46,14.592436,233000
2010-02-01,15.46,15.48,14.85,15.37,14.507486,302000
2010-02-02,15.36,15.51,15.12,15.17,14.318709,295900
2010-02-03,15.18,15.55,14.92,14.96,14.120494,125000
2010-02-04,14.96,15.13,14.51,14.52,13.705186,171100
2010-02-05,14.51,14.72,14.09,14.46,13.648553,142100
2010-02-08,14.48,14.74,14.15,14.2,13.403143,112300
2010-02-09,14.31,14.96,14.13,14.92,14.082739,126700
2010-02-10,14.83,15.2,14.68,15.15,14.299831,148900
2010-02-11,15.17,16.690001,15.17,16.65,15.715656,232500
2010-02-12,16.620001,17.0,16.48,16.67,15.734534,172600
2010-02-16,16.85,17.51,16.24,17.5,16.517958,176500
2010-02-17,17.540001,17.940001,17.450001,17.67,16.678417,195200
2010-02-18,17.65,17.66,17.309999,17.610001,16.621786,121200
2010-02-19,17.6,17.6,17.059999,17.200001,16.234793,109700
2010-02-22,17.25,17.450001,16.639999,16.639999,15.706218,119200
2010-02-23,16.67,16.67,15.99,16.51,15.583513,155900
2010-02-24,16.540001,16.93,16.290001,16.690001,15.753413,118100
2010-02-25,16.49,16.690001,16.110001,16.67,15.734534,80300
2010-02-26,16.67,16.719999,16.290001,16.559999,15.630707,78600
2010-03-01,16.65,17.18,16.559999,16.870001,15.923312,142800
2010-03-02,16.85,17.129999,16.639999,16.639999,15.706218,225100
2010-03-03,16.690001,17.24,16.690001,17.23,16.263109,166800
2010-03-04,17.360001,18.219999,17.23,18.0,16.989899,458000
2010-03-05,18.049999,19.09,18.049999,18.809999,17.754444,491600
2010-03-08,19.15,19.98,18.700001,18.74,17.688374,453500
2010-03-09,18.959999,18.98,18.379999,18.65,17.603424,275600
2010-03-10,18.76,19.07,18.469999,18.540001,17.499598,233100
2010-03-11,18.940001,19.629999,18.52,19.51,18.415163,702900
2010-03-12,21.049999,21.450001,19.82,20.110001,18.981493,1199600
2010-03-15,20.59,20.6,19.91,20.280001,19.141954,509800
2010-03-16,20.450001,21.25,20.120001,21.190001,20.000887,690500
2010-03-17,21.299999,22.09,21.25,21.440001,20.236858,447700
2010-03-18,21.4,21.459999,20.85,21.15,19.963131,256100
2010-03-19,21.120001,21.129999,20.01,20.07,18.943737,312600
2010-03-22,19.73,21.02,19.309999,20.780001,19.613895,346700
2010-03-23,20.950001,21.379999,20.74,21.280001,20.085836,161800
2010-03-24,21.219999,21.309999,20.889999,21.040001,19.859306,189800
2010-03-25,21.1,21.799999,21.01,21.25,20.05752,228000
2010-03-26,21.290001,21.73,21.16,21.24,20.04808,285300
2010-03-29,21.629999,21.629999,20.959999,21.0,19.821548,222000
2010-03-30,20.99,21.559999,20.9,21.51,20.302931,212800
2010-03-31,21.07,21.76,20.98,21.0,19.821548,190600
2010-04-01,21.15,21.23,20.379999,20.85,19.679968,218700
2010-04-05,20.879999,21.35,20.82,21.26,20.066959,172500
2010-04-06,21.17,22.309999,21.01,22.26,21.010843,232700
2010-04-07,22.32,22.66,21.889999,22.299999,21.048597,293200
2010-04-08,22.299999,23.969999,22.07,23.07,21.775387,497200
2010-04-09,23.139999,23.370001,22.57,23.02,21.728193,239600
2010-04-12,23.26,24.76,23.1,23.879999,22.539932,482600
2010-04-13,23.9,24.219999,23.450001,23.530001,22.209574,362700
2010-04-14,23.6,24.25,23.6,23.93,22.587128,187000
2010-04-15,24.07,24.49,23.92,23.98,22.634321,170600
2010-04-16,23.98,24.360001,23.200001,23.85,22.511618,212300
2010-04-19,23.84,24.15,23.33,23.85,22.511618,234700
2010-04-20,23.940001,24.02,23.6,23.790001,22.454985,206800
2010-04-21,23.790001,24.049999,23.75,23.93,22.587128,170400
2010-04-22,23.639999,24.41,23.6,24.27,22.908049,249600
2010-04-23,24.23,24.6,24.01,24.450001,23.077948,208700
2010-04-26,24.629999,25.379999,24.5,24.530001,23.153458,210000
2010-04-27,24.52,24.530001,23.15,23.360001,22.049114,291100
2010-04-28,23.440001,23.559999,22.9,23.299999,21.992479,283700
2010-04-29,23.41,24.01,23.299999,24.0,22.653198,239600
2010-04-30,24.15,24.41,22.25,22.27,21.020281,245400
2010-05-03,22.549999,23.870001,22.52,23.65,22.32284,177000
2010-05-04,23.360001,23.48,22.5,22.91,21.624367,274900
2010-05-05,22.620001,23.110001,21.459999,22.219999,20.973085,274100
2010-05-06,22.15,22.780001,17.139999,21.26,20.066959,374400
2010-05-07,21.15,21.34,20.129999,20.84,19.670528,309600
2010-05-10,22.6,22.940001,21.27,21.969999,20.737116,216500
2010-05-11,21.57,22.82,21.299999,22.709999,21.435589,178900
2010-05-12,22.700001,23.620001,22.200001,23.530001,22.209574,236000
2010-05-13,23.610001,23.85,23.07,23.209999,21.90753,141000
2010-05-14,23.040001,23.15,22.59,22.91,21.624367,142200
