Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,10.1,10.12,10.07,10.1,10.1,2969900
2019-10-21,10.08,10.1,10.08,10.08,10.08,297500
2019-10-22,10.071,10.1,10.07,10.08,10.08,85700
2019-10-23,10.07,10.08,10.06,10.07,10.07,8200
2019-10-24,10.09,10.09,10.07,10.07,10.07,5000
2019-10-25,10.066,10.08,10.06,10.07,10.07,99900
2019-10-28,10.06,10.069,10.06,10.06,10.06,102600
2019-10-29,10.06,10.06,10.06,10.06,10.06,9200
2019-10-30,10.06,10.09,10.06,10.09,10.09,88200
2019-10-31,10.054,10.09,10.054,10.08,10.08,5300
2019-11-01,10.1,10.1,10.08,10.08,10.08,4300
2019-11-04,10.062,10.1,10.05,10.1,10.1,53100
2019-11-05,10.05,10.09,10.05,10.08,10.08,26800
2019-11-06,10.052,10.1,10.046,10.046,10.046,121000
2019-11-07,10.04,10.05,10.04,10.05,10.05,4300
2019-11-08,10.06,10.06,10.036,10.043,10.043,65400
2019-11-11,10.053,10.053,10.051,10.051,10.051,400
2019-11-12,10.051,10.051,10.051,10.051,10.051,0
2019-11-13,10.07,10.07,10.04,10.057,10.057,19500
2019-11-14,10.05,10.06,10.05,10.05,10.05,91300
2019-11-15,10.1,10.1,10.04,10.1,10.1,60100
2019-11-18,10.09,10.1,10.04,10.09,10.09,26700
2019-11-19,10.07,10.07,10.07,10.07,10.07,500
2019-11-20,10.07,10.07,10.07,10.07,10.07,500
2019-11-21,10.05,10.05,10.05,10.05,10.05,190600
2019-11-22,10.05,10.05,10.05,10.05,10.05,245900
2019-11-25,10.06,10.09,10.06,10.09,10.09,25200
2019-11-26,10.063,10.08,10.063,10.08,10.08,1100
2019-11-27,10.05,10.09,10.05,10.08,10.08,25400
2019-11-29,10.093,10.095,10.093,10.095,10.095,2900
2019-12-02,10.09,10.09,10.06,10.09,10.09,2200
2019-12-03,10.08,10.09,10.07,10.09,10.09,74700
2019-12-04,10.06,10.07,10.06,10.07,10.07,21200
2019-12-05,10.05,10.1,10.05,10.1,10.1,4500
2019-12-06,10.1,10.1,10.1,10.1,10.1,39600
2019-12-09,10.12,10.15,10.117,10.15,10.15,258200
2019-12-10,10.15,10.15,10.15,10.15,10.15,0
2019-12-11,10.15,10.18,10.15,10.15,10.15,2800
2019-12-12,10.25,10.25,10.118,10.18,10.18,2400
2019-12-13,10.18,10.18,10.18,10.18,10.18,100
2019-12-16,10.18,10.18,10.18,10.18,10.18,0
2019-12-17,10.18,10.18,10.18,10.18,10.18,0
2019-12-18,10.18,10.18,10.18,10.18,10.18,0
2019-12-19,10.18,10.18,10.18,10.18,10.18,0
2019-12-20,10.2,10.224,10.2,10.224,10.224,500
2019-12-23,10.224,10.224,10.224,10.224,10.224,0
2019-12-24,10.224,10.224,10.224,10.224,10.224,0
2019-12-26,10.224,10.224,10.224,10.224,10.224,0
2019-12-27,10.19,10.19,10.19,10.19,10.19,300
2019-12-30,10.19,10.19,10.19,10.19,10.19,0
