Date,Open,High,Low,Close,Adj Close,Volume
2018-04-20,29.0,30.790001,28.959999,29.26,28.96154,355400
2018-04-23,29.25,29.5,28.450001,28.5,28.209291,92600
2018-04-24,28.5,29.139999,28.5,28.51,28.219189,14500
2018-04-25,28.827999,28.959999,28.43,28.549999,28.25878,18800
2018-04-26,28.610001,28.92,28.558001,28.870001,28.57552,8100
2018-04-27,28.790001,28.879999,28.549999,28.76,28.466639,24700
2018-04-30,28.6,29.5,28.586,29.0,28.704191,37300
2018-05-01,28.99,29.200001,28.75,28.98,28.684393,25900
2018-05-02,28.809999,29.030001,28.809999,28.99,28.694294,11100
2018-05-03,28.98,29.0,28.790001,28.889999,28.595312,9900
2018-05-04,28.75,29.299999,28.6,28.76,28.466639,17100
2018-05-07,28.879999,29.0,28.75,28.799999,28.506231,12800
2018-05-08,28.701,29.0,28.701,28.98,28.684393,14000
2018-05-09,28.75,29.0,28.75,28.91,28.615108,5700
2018-05-10,28.969999,28.969999,28.735001,28.799999,28.506231,9600
2018-05-11,28.75,28.959999,28.549999,28.93,28.634905,62700
2018-05-14,28.808001,28.950001,28.719999,28.85,28.555721,15100
2018-05-15,28.75,28.9,28.75,28.870001,28.57552,18100
2018-05-16,28.9,28.9,28.4,28.76,28.466639,25200
2018-05-17,28.620001,28.84,28.620001,28.709999,28.417149,63700
2018-05-18,28.801001,28.83,27.049999,28.65,28.357758,40200
2018-05-21,28.75,28.82,28.530001,28.775,28.481485,38300
2018-05-22,28.9,28.9,28.347,28.799999,28.506231,18000
2018-05-23,28.9,28.9,28.73,28.76,28.466639,32500
2018-05-24,28.75,28.9,28.75,28.75,28.456743,21800
2018-05-25,28.725,28.84,28.360001,28.43,28.140007,21500
2018-05-29,28.639999,28.639999,28.200001,28.59,28.298372,21300
2018-05-30,28.5,28.790001,28.120001,28.75,28.456743,8700
2018-05-31,28.780001,28.780001,28.35,28.42,28.13011,107400
2018-06-01,28.75,28.75,28.450001,28.52,28.229084,13000
2018-06-04,28.549999,28.549999,28.459999,28.52,28.229084,24000
2018-06-05,28.549999,28.549999,28.25,28.25,27.961842,19400
2018-06-06,28.41,28.549999,28.4,28.530001,28.238985,22600
2018-06-07,28.49,28.49,28.049999,28.07,27.783676,37700
2018-06-08,28.0,28.450001,25.504999,27.6,27.31847,32800
2018-06-11,27.6,27.945,27.6,27.75,27.466942,20200
2018-06-12,27.290001,27.75,27.290001,27.629999,27.348166,6100
2018-06-13,28.08,28.15,27.6,27.74,27.457041,17300
2018-06-14,28.200001,28.200001,27.629999,27.629999,27.348166,12300
2018-06-15,27.02,27.690001,27.0,27.1,26.823572,83600
2018-06-18,27.1,27.290001,27.0,27.1,26.823572,28900
2018-06-19,27.0,27.4,27.0,27.299999,27.02153,17500
2018-06-20,27.299999,27.459999,27.299999,27.32,27.041327,29500
2018-06-21,27.299999,27.302999,27.1,27.17,26.892855,8100
2018-06-22,27.15,27.780001,27.15,27.549999,27.268982,185500
2018-06-25,27.719999,27.719999,27.290001,27.6,27.31847,10600
2018-06-26,27.549999,27.549999,27.15,27.32,27.041327,19700
2018-06-27,27.209999,27.209999,27.0,27.030001,26.754284,5200
2018-06-28,27.0,27.125999,26.933001,27.02,26.774105,4800
2018-06-29,27.049999,27.4,27.049999,27.18,26.932648,20900
2018-07-02,27.132999,27.219999,27.01,27.129999,26.883102,8700
2018-07-03,27.25,27.25,26.895,26.959999,26.714649,5100
2018-07-05,27.0,27.49,26.799999,27.469999,27.220009,5700
2018-07-06,27.5,27.5,27.15,27.15,26.90292,8100
2018-07-09,27.200001,27.469999,27.15,27.299999,27.051556,8600
2018-07-10,27.311001,27.67,27.311001,27.559999,27.309189,7600
2018-07-11,27.360001,27.780001,27.360001,27.780001,27.527187,6300
2018-07-12,27.780001,27.879999,27.645,27.879999,27.626278,4800
2018-07-13,27.6,27.764999,27.559999,27.709999,27.457823,4300
2018-07-16,27.559999,27.85,27.549999,27.799999,27.547005,5600
2018-07-17,27.629999,28.15,27.629999,28.15,27.893822,20000
2018-07-18,28.07,28.200001,27.93,28.120001,27.864096,16900
2018-07-19,27.959999,28.0,27.51,27.93,27.675823,3300
2018-07-20,27.82,27.85,27.040001,27.5,27.249739,31100
2018-07-23,27.629999,27.84,27.565001,27.84,27.586641,2400
2018-07-24,27.549999,28.07,26.952,27.700001,27.447918,6500
2018-07-25,27.84,27.924999,27.385,27.549999,27.29928,41700
2018-07-26,27.41,28.110001,26.5,27.75,27.497459,8300
2018-07-27,27.940001,27.940001,27.57,27.57,27.319101,7300
2018-07-30,27.57,27.719999,27.415001,27.6,27.348825,4900
2018-07-31,27.0,27.620001,27.0,27.5,27.249739,85000
2018-08-01,27.709999,27.726,27.4,27.65,27.398369,9600
2018-08-02,27.620001,27.719999,27.450001,27.719999,27.467733,26600
2018-08-03,27.459999,27.75,27.459999,27.75,27.497459,2100
2018-08-06,27.5,27.75,27.459999,27.73,27.477642,2300
2018-08-07,27.468,27.68,27.468,27.68,27.428097,1000
2018-08-08,27.5,27.5,27.450001,27.5,27.249739,7200
2018-08-09,27.459999,27.67,27.445,27.459999,27.2101,14300
2018-08-10,27.41,27.809999,27.209999,27.42,27.170464,5100
2018-08-13,27.73,27.73,27.629999,27.629999,27.378553,2400
2018-08-14,27.719999,27.73,27.5,27.625,27.3736,3600
2018-08-15,27.337999,27.610001,27.337999,27.4,27.150646,5000
2018-08-16,27.26,27.57,27.26,27.57,27.319101,5800
2018-08-17,27.360001,27.370001,27.360001,27.370001,27.12092,1100
2018-08-20,27.24,27.709999,27.24,27.6,27.348825,7400
2018-08-21,27.469999,27.628,27.469999,27.58,27.329004,2100
2018-08-22,27.42,27.879999,27.4,27.860001,27.606461,13300
2018-08-23,27.690001,27.98,27.5,27.969999,27.715458,31300
2018-08-24,27.549999,27.764999,27.4,27.615,27.363689,15400
2018-08-27,27.52,27.709999,27.5,27.709999,27.457823,2700
2018-08-28,27.555,27.879999,27.5,27.6,27.348825,11600
2018-08-29,27.5,27.860001,27.5,27.809999,27.556915,4600
2018-08-30,27.84,27.879999,27.5,27.879999,27.626278,1300
2018-08-31,27.879999,27.91,27.5,27.73,27.477642,1100
2018-09-04,27.52,27.93,27.5,27.889999,27.636187,4600
2018-09-05,27.860001,27.93,27.5,27.66,27.408279,2100
2018-09-06,27.84,27.870001,27.84,27.84,27.586641,1100
