Date,Open,High,Low,Close,Adj Close,Volume
2016-08-31,25.690001,25.889999,25.370001,25.67,19.414063,31700
2016-09-01,25.608999,25.74,25.549999,25.729,19.458683,18400
2016-09-02,25.74,25.74,25.559999,25.65,19.398939,10600
2016-09-06,25.67,25.790001,25.6,25.639999,19.391376,44700
2016-09-07,25.6,25.690001,25.6,25.690001,19.429192,14900
2016-09-08,25.74,25.74,25.5,25.540001,19.315741,35900
2016-09-09,25.5,25.629999,25.299999,25.4,19.209862,37400
2016-09-12,25.41,25.559999,25.379999,25.379999,19.194736,8400
2016-09-13,25.299999,25.5,25.299999,25.4,19.209862,1400
2016-09-14,25.34,25.559999,25.1,25.559999,19.330868,11600
2016-09-15,25.422001,25.5,25.299999,25.5,19.285492,43200
2016-09-16,25.514999,25.530001,25.26,25.5,19.285492,4300
2016-09-19,25.5,25.540001,25.41,25.49,19.277931,10100
2016-09-20,25.360001,25.49,25.360001,25.440001,19.240114,5800
2016-09-21,25.360001,25.49,25.360001,25.49,19.277931,25600
2016-09-22,25.452,25.540001,25.41,25.52,19.300615,9200
2016-09-23,25.52,25.639999,25.5,25.639999,19.391376,19400
2016-09-26,25.639999,25.639999,25.51,25.629999,19.383814,9200
2016-09-27,25.6,25.639999,25.6,25.639999,19.391376,3600
2016-09-28,25.67,25.67,25.658001,25.67,19.414063,1800
2016-09-29,25.67,25.67,25.6,25.67,19.414063,2000
2016-09-30,25.601,25.68,25.59,25.68,19.421627,5700
2016-10-03,25.690001,25.690001,25.485001,25.690001,19.429192,2200
2016-10-04,25.6,25.6,25.5,25.6,19.361122,5200
2016-10-05,25.4,25.690001,25.4,25.459999,19.255241,11100
2016-10-06,25.58,25.59,25.389999,25.5,19.285492,5600
2016-10-07,25.5,25.59,25.35,25.5,19.285492,5300
2016-10-10,25.43,25.59,25.43,25.59,19.353559,3900
2016-10-11,25.68,25.700001,25.4,25.610001,19.368687,3000
2016-10-12,25.610001,25.610001,25.610001,25.610001,19.368687,0
2016-10-13,25.43,25.65,25.4,25.5,19.285492,7100
2016-10-14,25.5,25.6,25.4,25.6,19.361122,16100
2016-10-17,25.549999,25.6,25.5,25.6,19.361122,2400
2016-10-18,25.6,25.6,25.502001,25.59,19.353559,9200
2016-10-19,25.556999,25.59,25.450001,25.59,19.353559,1800
2016-10-20,25.462,25.6,25.4,25.6,19.361122,3000
2016-10-21,25.427999,25.6,25.427999,25.6,19.361122,400
2016-10-24,25.6,25.6,25.51,25.547001,19.321045,2500
2016-10-25,25.57,25.6,25.549999,25.6,19.361122,5900
2016-10-26,25.591,25.639999,25.5,25.639999,19.391376,11300
2016-10-27,25.68,25.75,25.530001,25.6,19.361122,17500
2016-10-28,25.4,25.59,25.183001,25.35,19.578924,9200
2016-10-31,25.389999,25.5,25.280001,25.5,19.694775,7200
2016-11-01,25.370001,25.450001,25.15,25.450001,19.65616,6600
2016-11-02,25.188,25.4,25.01,25.25,19.501686,5800
2016-11-03,25.25,25.25,25.025,25.08,19.370386,4200
2016-11-04,25.1,25.1,25.1,25.1,19.385841,100
2016-11-07,25.0,25.1,24.872999,24.98,19.293154,5600
2016-11-08,25.0,25.139999,24.950001,25.049999,19.347223,3200
