Date,Open,High,Low,Close,Adj Close,Volume
2018-04-19,26.16,26.469999,25.75,26.309999,26.309999,1748000
2018-04-20,25.799999,26.18,25.67,25.82,25.82,142900
2018-04-23,25.940001,26.190001,25.799999,25.799999,25.799999,71100
2018-04-24,25.77,25.790001,24.9,25.15,25.15,99600
2018-04-25,25.08,25.879999,24.969999,25.34,25.34,100900
2018-04-26,25.5,26.68,25.32,26.469999,26.469999,96100
2018-04-27,26.23,26.91,26.045,26.700001,26.700001,141000
2018-04-30,26.65,26.65,26.108,26.18,26.18,66000
2018-05-01,26.18,26.905001,25.969999,26.35,26.35,72000
2018-05-02,26.549999,27.24,26.379999,26.950001,26.950001,39600
2018-05-03,26.540001,27.790001,26.27,26.43,26.43,25200
2018-05-04,26.290001,26.879999,26.110001,26.51,26.51,21300
2018-05-07,26.629999,27.08,26.629999,26.92,26.92,12700
2018-05-08,26.66,26.719999,26.299999,26.700001,26.700001,49500
2018-05-09,26.33,26.6,26.33,26.6,26.6,4500
2018-05-10,27.18,27.639999,27.0,27.120001,27.120001,32000
2018-05-11,26.860001,27.4,26.306,27.4,27.4,17500
2018-05-14,27.219999,27.219999,26.83,27.049999,27.049999,109800
2018-05-15,26.66,27.58,26.27,27.15,27.15,22700
2018-05-16,27.01,27.01,26.02,26.59,26.59,32300
2018-05-17,26.65,26.92,26.375,26.629999,26.629999,6600
2018-05-18,27.02,27.15,26.059999,26.495001,26.495001,104600
2018-05-21,26.91,27.1,25.74,26.08,26.08,134400
2018-05-22,26.92,27.48,26.9,26.92,26.92,27100
2018-05-23,26.75,27.5,26.5,27.5,27.5,96600
2018-05-24,26.84,27.299999,26.75,26.809999,26.809999,315200
2018-05-25,26.620001,26.83,26.57,26.809999,26.809999,33400
2018-05-29,25.85,26.280001,25.731001,26.02,26.02,102300
2018-05-30,26.780001,27.17,26.42,27.09,27.09,8000
2018-05-31,26.83,27.108999,25.879999,26.49,26.49,32900
2018-06-01,26.59,27.030001,26.43,26.66,26.66,43400
2018-06-04,27.16,27.235001,26.440001,26.99,26.99,69200
2018-06-05,27.1,27.41,26.68,27.01,27.01,93000
2018-06-06,27.34,27.4,27.01,27.01,27.01,65300
2018-06-07,27.290001,27.290001,26.76,27.200001,27.200001,61200
2018-06-08,26.809999,27.415001,26.75,27.040001,27.040001,282500
2018-06-11,27.700001,28.370001,27.465,27.799999,27.799999,41600
2018-06-12,27.971001,28.440001,27.9,28.139999,28.139999,56400
2018-06-13,28.110001,29.0,27.92,28.639999,28.639999,80100
2018-06-14,28.290001,29.08,27.950001,28.709999,28.709999,130000
2018-06-15,28.120001,29.48,27.799999,29.27,29.27,149500
2018-06-18,28.57,28.940001,28.4,28.66,28.66,178100
2018-06-19,28.26,29.23,28.110001,29.23,29.23,82700
2018-06-20,29.030001,30.23,28.99,30.18,30.18,110800
2018-06-21,29.75,30.24,29.57,30.219999,30.219999,91900
2018-06-22,30.502001,30.85,30.35,30.6,30.6,15700
2018-06-25,30.65,30.709999,30.200001,30.41,30.41,86600
2018-06-26,30.43,30.610001,29.889999,30.280001,30.280001,117700
2018-06-27,30.68,30.68,29.775,30.129999,30.129999,36400
2018-06-28,29.42,29.879999,29.309999,29.450001,29.450001,34800
2018-06-29,30.219999,30.700001,30.200001,30.34,30.34,34900
2018-07-02,30.299999,30.57,30.153999,30.280001,30.280001,34500
2018-07-03,30.860001,31.1,30.23,30.725,30.725,48400
2018-07-05,30.9,30.9,30.309999,30.43,30.43,31000
2018-07-06,31.110001,31.540001,31.1,31.540001,31.540001,25000
2018-07-09,32.0,32.0,31.6,31.75,31.75,12500
2018-07-10,31.870001,32.02,31.73,31.9,31.9,10900
2018-07-11,31.610001,32.075001,31.52,31.530001,31.530001,16600
