Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,600.0,624.0,552.0,624.0,624.0,0
2010-01-05,588.0,612.0,588.0,612.0,612.0,0
2010-01-06,564.0,600.0,552.0,600.0,600.0,0
2010-01-07,612.0,648.0,540.0,648.0,648.0,0
2010-01-08,612.0,648.0,612.0,636.0,636.0,0
2010-01-11,636.0,660.0,624.0,624.0,624.0,0
2010-01-12,624.0,660.0,624.0,648.0,648.0,0
2010-01-13,684.0,696.0,624.0,624.0,624.0,0
2010-01-14,636.0,720.0,636.0,696.0,696.0,600
2010-01-15,720.0,720.0,636.0,648.0,648.0,200
2010-01-19,648.0,720.0,576.0,672.0,672.0,0
2010-01-20,600.0,720.0,600.0,660.0,660.0,0
2010-01-21,720.0,720.0,648.0,720.0,720.0,0
2010-01-22,720.0,780.0,696.0,696.0,696.0,200
2010-01-25,840.0,840.0,708.0,720.0,720.0,0
2010-01-26,732.0,732.0,672.0,672.0,672.0,0
2010-01-27,672.0,672.0,564.0,636.0,636.0,100
2010-01-28,600.0,660.0,600.0,624.0,624.0,100
2010-01-29,624.0,732.0,600.0,672.0,672.0,100
2010-02-01,648.0,720.0,648.0,720.0,720.0,0
2010-02-02,720.0,780.0,672.0,708.0,708.0,200
2010-02-03,744.0,744.0,672.0,672.0,672.0,0
2010-02-04,696.0,696.0,660.0,696.0,696.0,0
2010-02-05,696.0,720.0,636.0,708.0,708.0,100
2010-02-08,696.0,696.0,612.0,648.0,648.0,0
2010-02-09,672.0,672.0,516.0,588.0,588.0,200
2010-02-10,624.0,624.0,552.0,600.0,600.0,0
2010-02-11,564.0,576.0,540.0,564.0,564.0,0
2010-02-12,540.0,588.0,540.0,588.0,588.0,0
2010-02-16,588.0,588.0,528.0,564.0,564.0,0
2010-02-17,564.0,564.0,516.0,552.0,552.0,0
2010-02-18,564.0,588.0,552.0,588.0,588.0,100
2010-02-19,576.0,624.0,564.0,588.0,588.0,0
2010-02-22,600.0,600.0,480.0,504.0,504.0,200
2010-02-23,516.0,516.0,456.0,504.0,504.0,100
2010-02-24,504.0,588.0,480.0,564.0,564.0,200
2010-02-25,588.0,588.0,504.0,516.0,516.0,0
2010-02-26,516.0,516.0,492.0,516.0,516.0,0
2010-03-01,492.0,540.0,456.0,480.0,480.0,0
2010-03-02,480.0,504.0,444.0,504.0,504.0,100
2010-03-03,492.0,504.0,432.0,504.0,504.0,0
2010-03-04,480.0,480.0,384.0,456.0,456.0,100
2010-03-05,420.0,456.0,384.0,432.0,432.0,0
2010-03-08,456.0,456.0,396.0,420.0,420.0,0
2010-03-09,420.0,420.0,372.0,408.0,408.0,0
2010-03-10,384.0,408.0,360.0,408.0,408.0,0
2010-03-11,372.0,396.0,360.0,372.0,372.0,0
2010-03-12,396.0,408.0,324.0,360.0,360.0,100
2010-03-15,360.0,360.0,336.0,360.0,360.0,0
2010-03-16,336.0,396.0,312.0,348.0,348.0,0
2010-03-17,348.0,348.0,276.0,336.0,336.0,0
2010-03-18,300.0,348.0,276.0,324.0,324.0,0
2010-03-19,276.0,372.0,276.0,372.0,372.0,100
2010-03-22,276.0,444.0,276.0,348.0,348.0,0
2010-03-23,360.0,360.0,336.0,360.0,360.0,0
2010-03-24,336.0,360.0,336.0,360.0,360.0,0
2010-03-25,408.0,408.0,300.0,360.0,360.0,0
2010-03-26,360.0,360.0,300.0,300.0,300.0,0
2010-03-29,300.0,336.0,300.0,336.0,336.0,0
2010-03-30,336.0,336.0,300.0,324.0,324.0,0
2010-03-31,276.0,324.0,276.0,300.0,300.0,0
2010-04-01,300.0,336.0,300.0,336.0,336.0,0
2010-04-05,336.0,336.0,276.0,276.0,276.0,0
2010-04-06,276.0,312.0,252.0,312.0,312.0,100
2010-04-07,264.0,288.0,252.0,288.0,288.0,100
2010-04-08,288.0,324.0,288.0,300.0,300.0,100
2010-04-09,300.0,360.0,300.0,348.0,348.0,0
2010-04-12,360.0,360.0,312.0,312.0,312.0,0
2010-04-13,324.0,324.0,252.0,288.0,288.0,0
2010-04-14,264.0,324.0,264.0,300.0,300.0,0
2010-04-15,324.0,336.0,264.0,324.0,324.0,0
2010-04-16,324.0,336.0,300.0,300.0,300.0,0
2010-04-19,264.0,336.0,264.0,336.0,336.0,0
2010-04-20,312.0,348.0,312.0,348.0,348.0,0
2010-04-21,348.0,348.0,276.0,336.0,336.0,0
2010-04-22,348.0,348.0,288.0,288.0,288.0,0
2010-04-23,300.0,348.0,300.0,348.0,348.0,0
2010-04-26,348.0,384.0,312.0,384.0,384.0,0
2010-04-27,324.0,384.0,324.0,360.0,360.0,0
2010-04-28,336.0,360.0,336.0,360.0,360.0,0
2010-04-29,336.0,360.0,336.0,360.0,360.0,0
2010-04-30,288.0,348.0,288.0,348.0,348.0,0
2010-05-03,348.0,348.0,276.0,300.0,300.0,0
2010-05-04,384.0,384.0,300.0,300.0,300.0,0
2010-05-05,300.0,360.0,300.0,348.0,348.0,0
2010-05-06,300.0,348.0,300.0,348.0,348.0,0
2010-05-07,300.0,336.0,264.0,288.0,288.0,0
2010-05-10,300.0,348.0,300.0,348.0,348.0,600
2010-05-11,336.0,348.0,312.0,324.0,324.0,200
2010-05-12,312.0,324.0,288.0,324.0,324.0,100
2010-05-13,324.0,336.0,288.0,336.0,336.0,100
2010-05-14,324.0,336.0,288.0,324.0,324.0,200
2010-05-17,312.0,336.0,288.0,336.0,336.0,100
2010-05-18,312.0,408.0,312.0,396.0,396.0,700
2010-05-19,444.0,480.0,288.0,312.0,312.0,2800
2010-05-20,300.0,336.0,288.0,288.0,288.0,100
2010-05-21,312.0,312.0,252.0,252.0,252.0,200
2010-05-24,252.0,288.0,228.0,288.0,288.0,100
2010-05-25,288.0,300.0,228.0,300.0,300.0,100
2010-05-26,228.0,300.0,228.0,288.0,288.0,0
2010-05-27,252.0,252.0,240.0,240.0,240.0,0
2010-05-28,228.0,300.0,228.0,300.0,300.0,0
2010-06-01,300.0,300.0,240.0,276.0,276.0,0
2010-06-02,288.0,288.0,252.0,264.0,264.0,0
2010-06-03,252.0,288.0,252.0,288.0,288.0,0
2010-06-04,288.0,288.0,252.0,252.0,252.0,0
2010-06-07,276.0,276.0,252.0,252.0,252.0,0
2010-06-08,252.0,276.0,240.0,264.0,264.0,0
2010-06-09,252.0,252.0,240.0,240.0,240.0,0
2010-06-10,228.0,240.0,216.0,228.0,228.0,0
2010-06-11,228.0,228.0,216.0,216.0,216.0,100
2010-06-14,216.0,228.0,204.0,204.0,204.0,0
2010-06-15,180.0,204.0,180.0,192.0,192.0,0
2010-06-16,192.0,192.0,168.0,180.0,180.0,0
2010-06-17,180.0,180.0,168.0,168.0,168.0,0
2010-06-18,192.0,192.0,168.0,168.0,168.0,0
2010-06-21,180.0,180.0,180.0,180.0,180.0,0
2010-06-22,180.0,192.0,180.0,192.0,192.0,0
