Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.29,8.29,8.06,8.06,5.820005,700
2010-01-05,8.32,8.32,8.0,8.02,5.791122,2800
2010-01-06,8.0,8.31,8.0,8.31,6.000526,1900
2010-01-07,8.37,8.58,8.2,8.2,5.921096,400
2010-01-08,8.15,8.3,8.15,8.3,5.993305,2500
2010-01-11,8.09,8.3,8.0,8.3,5.993305,2100
2010-01-12,8.3,8.3,8.3,8.3,5.993305,0
2010-01-13,8.3,8.3,8.05,8.05,5.812785,37900
2010-01-14,8.3,8.3,8.15,8.15,5.884992,300
2010-01-15,8.01,8.01,8.0,8.0,5.77668,1100
2010-01-19,8.0,8.3,7.76,7.76,5.60338,1700
2010-01-20,7.76,7.76,7.76,7.76,5.60338,0
2010-01-21,7.76,7.76,7.76,7.76,5.60338,0
2010-01-22,7.9,7.9,7.9,7.9,5.704472,200
2010-01-25,7.63,7.63,7.63,7.63,5.509508,200
2010-01-26,7.62,8.04,7.55,8.04,5.805564,4300
2010-01-27,8.07,8.68,8.07,8.63,6.231593,4900
2010-01-28,8.65,8.97,8.38,8.97,6.477102,3400
2010-01-29,8.98,8.98,8.26,8.26,5.964422,10200
2010-02-01,8.15,8.69,7.78,8.37,6.04385,9900
2010-02-02,7.94,8.85,7.94,8.69,6.274919,3200
2010-02-03,8.75,9.05,8.49,9.02,6.513206,1000
2010-02-04,8.48,9.0,8.12,8.99,6.491543,1500
2010-02-05,8.79,9.18,8.5,9.18,6.62874,5800
2010-02-08,8.98,9.1,8.83,8.93,6.448217,10800
2010-02-09,8.15,9.01,8.14,8.91,6.433777,4300
2010-02-10,8.72,8.72,8.72,8.72,6.29658,200
2010-02-11,8.66,8.66,8.24,8.25,5.957201,1700
2010-02-12,8.1,8.9,7.76,8.9,6.426556,1000
2010-02-16,8.35,8.99,8.0,8.58,6.195488,2400
2010-02-17,8.35,8.35,8.35,8.35,6.029409,1000
2010-02-18,8.04,8.85,8.04,8.85,6.390454,1300
2010-02-19,8.89,8.96,8.89,8.96,6.469881,1200
2010-02-22,8.96,8.96,8.96,8.96,6.469881,0
2010-02-23,8.85,8.9,8.31,8.35,6.029409,1000
2010-02-24,8.36,8.91,8.36,8.9,6.426556,5200
2010-02-25,8.27,8.76,8.06,8.28,5.978864,6600
2010-02-26,8.22,8.25,8.21,8.25,5.957201,400
2010-03-01,8.58,8.6,8.4,8.6,6.209932,6500
2010-03-02,8.45,8.6,8.22,8.48,6.12328,5000
2010-03-03,8.47,8.59,8.05,8.51,6.144943,4900
2010-03-04,8.25,8.38,8.18,8.38,6.051072,1500
2010-03-05,8.18,8.6,7.96,8.17,5.899434,6700
2010-03-08,8.55,8.86,8.31,8.36,6.036629,14100
2010-03-09,8.51,8.9,8.31,8.5,6.137722,1000
2010-03-10,8.48,9.01,8.27,8.39,6.058294,1500
2010-03-11,8.4,8.9,8.26,8.34,6.022188,3100
2010-03-12,8.85,8.85,8.22,8.51,6.144943,5900
2010-03-15,8.57,8.57,8.09,8.4,6.065513,2800
2010-03-16,8.57,8.89,8.26,8.58,6.195488,8100
2010-03-17,8.55,8.8,8.25,8.29,5.986084,2100
2010-03-18,8.3,8.77,8.08,8.7,6.282139,9800
2010-03-19,8.26,8.55,7.96,8.26,5.964422,3800
2010-03-22,8.5,8.75,8.5,8.5,6.137722,3300
2010-03-23,8.4,8.4,8.4,8.4,6.065513,300
2010-03-24,8.29,8.29,8.29,8.29,5.986084,200
2010-03-25,8.25,8.28,8.25,8.28,5.978864,200
2010-03-26,8.28,8.28,8.28,8.28,5.978864,0
2010-03-29,8.28,8.28,8.28,8.28,5.978864,0
2010-03-30,8.3,8.99,8.15,8.58,6.195488,5900
2010-03-31,8.27,8.5,8.27,8.33,6.014967,2300
2010-04-01,8.45,8.48,8.21,8.45,6.101617,2000
2010-04-05,8.25,8.5,8.24,8.5,6.137722,9400
2010-04-06,8.5,9.34,8.48,9.34,6.744272,134700
2010-04-07,8.68,9.25,8.61,9.25,6.679286,1600
2010-04-08,9.32,9.32,9.13,9.3,6.715391,3600
2010-04-09,9.34,9.49,9.0,9.4,6.787599,8000
2010-04-12,9.21,10.0,9.21,10.0,7.22085,5300
2010-04-13,9.75,10.5,9.75,10.5,7.581894,6700
2010-04-14,10.54,11.0,10.03,10.56,7.625218,18600
2010-04-15,10.04,12.4,10.04,12.11,8.744447,12500
2010-04-16,12.0,12.7,11.29,11.71,8.455616,16200
2010-04-19,11.8,11.94,10.58,11.12,8.029584,19100
2010-04-20,10.52,12.0,10.4,12.0,8.66502,5900
2010-04-21,11.53,12.0,11.5,12.0,8.66502,7300
2010-04-22,11.93,12.56,11.93,11.97,8.643357,20500
2010-04-23,12.13,12.33,12.13,12.25,8.84554,1100
2010-04-26,11.62,12.5,11.62,12.3,8.881645,5800
2010-04-27,12.3,12.3,12.14,12.28,8.867204,2200
2010-04-28,12.2,12.47,11.49,12.4,8.953852,14100
2010-04-29,12.3,13.14,12.3,13.04,9.415988,10200
2010-04-30,13.13,13.5,13.13,13.49,9.740927,2800
2010-05-03,13.5,14.57,13.26,14.13,10.20306,22400
2010-05-04,13.87,14.45,11.55,12.59,9.091049,42100
2010-05-05,12.46,14.74,11.93,13.1,9.459313,63800
2010-05-06,12.75,13.7,9.91,11.99,8.657799,54400
2010-05-07,11.82,12.02,10.76,11.23,8.109013,4500
2010-05-10,11.5,11.93,10.89,11.37,8.210103,22300
2010-05-11,11.19,13.55,11.19,12.35,8.917749,24700
2010-05-12,12.46,13.24,12.43,12.72,9.184919,25800
2010-05-13,12.92,12.98,12.26,12.4,8.953852,21000
2010-05-14,12.24,12.73,12.09,12.5,9.026061,6900
2010-05-17,12.25,13.0,12.18,12.18,8.794994,5200
2010-05-18,12.4,12.94,12.26,12.52,9.040505,14000
2010-05-19,12.49,12.5,11.66,12.45,8.989956,5400
2010-05-20,12.26,12.38,11.0,12.25,8.84554,6500
2010-05-21,12.09,12.18,10.38,11.04,7.971815,10700
2010-05-24,11.02,12.38,10.83,12.12,8.75167,5600
2010-05-25,11.05,11.8,11.01,11.73,8.470056,3800
2010-05-26,11.07,11.55,10.78,10.88,7.856284,3400
2010-05-27,11.26,11.37,10.75,11.35,8.195665,1900
2010-05-28,11.26,11.26,10.79,11.26,8.130677,2200
2010-06-01,10.9,11.3,10.8,10.86,7.841843,2900
2010-06-02,10.76,10.76,10.02,10.28,7.423033,3800
2010-06-03,10.0,10.37,9.81,10.37,7.48802,8900
2010-06-04,10.37,10.99,10.17,10.4,7.509683,7200
2010-06-07,10.39,10.97,10.0,10.9,7.870726,12600
2010-06-08,10.66,10.77,9.77,9.9,7.148641,17100
2010-06-09,10.07,10.67,9.83,9.83,7.098095,7100
2010-06-10,10.02,10.15,9.85,10.09,7.285837,5100
2010-06-11,10.09,11.0,10.09,10.95,7.90683,15900
