Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,21.629999,21.959999,21.5,21.950001,12.527365,4091400
2019-03-11,21.98,22.51,21.98,22.379999,12.772776,5087100
2019-03-12,22.360001,22.620001,22.32,22.459999,12.818433,3749800
2019-03-13,22.49,23.08,22.459999,22.950001,13.098088,5489300
2019-03-14,22.540001,23.25,22.450001,22.93,13.086675,4309300
2019-03-15,23.0,23.219999,22.85,23.02,13.138039,6255100
2019-03-18,23.02,23.360001,22.98,23.07,13.166574,3371700
2019-03-19,23.23,23.35,23.059999,23.209999,13.246476,3299800
2019-03-20,23.190001,23.280001,22.870001,23.139999,13.206525,2801100
2019-03-21,23.1,23.639999,23.030001,23.59,13.46335,3109800
2019-03-22,23.5,23.57,22.83,22.860001,13.046723,3580900
2019-03-25,22.83,22.93,22.459999,22.879999,13.058137,3268200
2019-03-26,23.040001,23.27,23.01,23.23,13.25789,2506600
2019-03-27,23.190001,23.26,22.700001,22.84,13.035308,3297400
2019-03-28,22.84,23.040001,22.51,22.940001,13.092381,2237200
2019-03-29,23.07,23.120001,22.870001,22.99,13.120916,4312500
2019-04-01,23.1,23.280001,22.99,23.190001,13.235062,4215100
2019-04-02,23.219999,23.26,23.040001,23.15,13.212232,3599300
2019-04-03,23.299999,23.530001,23.25,23.33,13.314962,6957900
2019-04-04,23.43,23.51,22.77,23.040001,13.149453,4393800
2019-04-05,23.059999,23.32,22.93,22.99,13.120916,3999800
2019-04-08,23.709999,24.77,23.65,24.24,13.83432,11619000
2019-04-09,24.07,24.24,23.82,23.879999,13.628859,4925300
2019-04-10,23.870001,24.120001,23.52,23.74,13.548959,4327800
2019-04-11,23.799999,23.98,23.719999,23.9,13.640273,2283300
2019-04-12,24.0,24.030001,23.799999,23.959999,13.674518,3912200
2019-04-15,23.99,24.5,23.99,24.41,13.931343,4021800
2019-04-16,24.5,24.540001,24.129999,24.299999,13.868563,4998100
2019-04-17,24.469999,24.77,24.34,24.469999,13.965587,6602400
2019-04-18,24.549999,24.559999,24.059999,24.4,13.925635,4528600
2019-04-22,24.25,24.42,24.049999,24.26,13.845735,4024000
2019-04-23,24.32,24.49,23.950001,24.290001,13.862857,5963100
2019-04-24,24.280001,24.43,24.139999,24.25,13.840028,2914100
2019-04-25,24.24,24.33,23.969999,24.129999,13.77154,3485400
2019-04-26,24.129999,24.27,24.049999,24.24,13.83432,2483200
2019-04-29,24.27,24.389999,24.110001,24.33,13.885685,3111000
2019-04-30,24.33,24.48,24.08,24.209999,13.817199,2530900
2019-05-01,24.24,24.24,23.84,23.85,13.611738,3784900
2019-05-02,23.799999,23.85,23.24,23.35,13.326377,3918400
2019-05-03,23.540001,23.83,23.4,23.549999,13.44052,5055600
2019-05-06,23.129999,23.309999,23.02,23.190001,13.235062,4160000
2019-05-07,22.83,22.9,22.23,22.370001,12.767069,5742800
2019-05-08,22.42,22.469999,22.24,22.26,12.704288,4133200
2019-05-09,22.059999,22.309999,21.709999,22.17,12.652924,10055600
2019-05-10,18.969999,19.690001,17.889999,19.389999,11.066314,31089400
2019-05-13,19.16,19.629999,18.77,19.139999,10.923634,12367200
2019-05-14,19.200001,19.66,19.120001,19.469999,11.111973,10421600
2019-05-15,19.26,19.690001,19.16,19.49,11.123386,10293300
2019-05-16,19.549999,19.940001,19.5,19.709999,11.248944,8757800
2019-05-17,19.74,20.209999,19.58,19.84,11.323139,10597500
2019-05-20,19.610001,20.26,19.6,20.049999,11.442991,8884000
2019-05-21,20.17,20.66,20.17,20.530001,11.716939,8287200
2019-05-22,20.280001,20.610001,20.209999,20.290001,11.579966,8303600
2019-05-23,20.01,20.15,19.83,19.969999,11.397334,6628500
2019-05-24,20.02,20.1,19.82,19.85,11.328847,5645600
2019-05-28,19.870001,20.030001,19.379999,19.459999,11.106265,8095800
2019-05-29,19.309999,19.32,18.940001,19.01,10.84944,5716300
