Date,Open,High,Low,Close,Adj Close,Volume
2016-08-05,231.25,232.5,212.5,230.0,230.0,26800
2016-08-08,236.25,236.25,222.0,222.0,222.0,1500
2016-08-09,225.0,225.0,220.75,224.0,224.0,500
2016-08-10,224.5,234.524994,220.75,233.5,233.5,1400
2016-08-11,250.0,250.0,220.0,221.75,221.75,2600
2016-08-12,237.5,240.25,220.25,238.050003,238.050003,1600
2016-08-15,243.449997,262.5,239.475006,253.0,253.0,3300
2016-08-16,241.75,254.949997,240.5,249.75,249.75,2400
2016-08-17,250.399994,253.5,232.75,250.0,250.0,2400
2016-08-18,250.25,252.5,225.25,251.25,251.25,1200
2016-08-19,255.0,255.0,250.75,250.75,250.75,400
2016-08-22,250.0,252.5,250.0,250.0,250.0,1100
2016-08-23,250.0,256.25,250.0,253.25,253.25,1000
2016-08-24,262.5,262.5,255.0,255.0,255.0,100
2016-08-25,262.5,262.5,252.5,252.75,252.75,400
2016-08-26,256.0,256.25,250.25,253.5,253.5,500
2016-08-29,251.75,253.75,249.25,253.75,253.75,700
2016-08-30,262.25,299.5,259.975006,282.5,282.5,7400
2016-08-31,300.0,349.5,299.100006,331.0,331.0,20000
2016-09-01,327.0,346.75,326.5,336.25,336.25,2500
2016-09-02,327.75,337.5,327.75,330.75,330.75,1100
2016-09-06,337.25,337.5,328.25,332.0,332.0,1500
2016-09-07,337.5,337.5,313.75,320.75,320.75,1500
2016-09-08,316.25,319.25,301.25,308.75,308.75,2600
2016-09-09,314.975006,314.975006,302.5,310.0,310.0,800
2016-09-12,313.5,313.5,299.899994,307.5,307.5,500
2016-09-13,275.25,307.5,262.5,285.0,285.0,1300
2016-09-14,296.25,296.25,279.5,280.25,280.25,700
2016-09-15,275.25,291.375,247.5,254.75,254.75,2000
2016-09-16,233.100006,274.0,225.25,240.75,240.75,2500
2016-09-19,247.75,267.299988,242.5,250.0,250.0,1800
2016-09-20,247.25,256.625,244.800003,249.75,249.75,700
2016-09-21,250.0,261.75,237.5,261.25,261.25,800
2016-09-22,263.0,324.75,237.75,290.25,290.25,1700
2016-09-23,286.5,286.5,269.25,272.75,272.75,300
2016-09-26,291.0,293.0,271.524994,282.25,282.25,600
2016-09-27,284.75,285.0,278.625,285.0,285.0,400
2016-09-28,279.0,312.75,279.0,309.0,309.0,800
2016-09-29,318.725006,318.75,272.0,282.5,282.5,1100
2016-09-30,276.25,317.0,250.75,273.0,273.0,2500
2016-10-03,274.25,286.75,257.5,275.0,275.0,2400
2016-10-04,275.0,291.75,251.524994,260.5,260.5,2100
2016-10-05,268.375,272.0,257.75,270.0,270.0,700
2016-10-06,271.5,277.25,262.5,277.25,277.25,1100
2016-10-07,277.75,277.75,255.75,268.75,268.75,900
2016-10-10,272.5,283.75,256.5,283.75,283.75,1300
2016-10-11,279.25,287.75,263.75,287.75,287.75,1100
2016-10-12,286.5,298.75,281.5,282.25,282.25,1300
2016-10-13,279.75,292.75,277.25,277.25,277.25,1700
2016-10-14,279.75,284.5,252.5,252.75,252.75,1500
2016-10-17,255.0,277.25,250.5,250.5,250.5,1400
2016-10-18,258.25,260.0,250.0,250.25,250.25,900
2016-10-19,252.0,267.100006,252.0,255.5,255.5,300
2016-10-20,263.75,270.350006,260.75,261.25,261.25,100
2016-10-21,261.25,261.25,252.75,258.0,258.0,100
2016-10-24,261.475006,264.0,255.0,255.0,255.0,100
2016-10-25,259.0,259.725006,254.5,257.0,257.0,200
2016-10-26,255.0,261.975006,241.0,253.0,253.0,900
2016-10-27,250.25,256.975006,244.125,247.25,247.25,500
2016-10-28,249.75,257.225006,244.0,244.0,244.0,300
2016-10-31,247.25,253.25,234.0,234.75,234.75,500
2016-11-01,238.574997,248.625,237.5,237.5,237.5,100
2016-11-02,231.699997,239.0,231.699997,239.0,239.0,100
2016-11-03,233.75,234.100006,225.5,225.5,225.5,100
2016-11-04,227.25,236.425003,227.25,227.5,227.5,100
2016-11-07,232.25,249.75,232.25,249.75,249.75,600
2016-11-08,242.25,247.5,234.75,234.75,234.75,400
2016-11-09,230.0,232.850006,225.0,230.25,230.25,1200
2016-11-10,234.5,247.75,226.0,235.5,235.5,1100
2016-11-11,232.0,236.5,228.0,228.0,228.0,100
2016-11-14,235.0,235.0,227.5,229.5,229.5,0
2016-11-15,229.75,245.800003,227.5,235.0,235.0,100
2016-11-16,231.25,238.100006,231.25,238.100006,238.100006,100
2016-11-17,238.75,246.5,238.75,239.75,239.75,100
2016-11-18,245.100006,245.100006,236.75,236.75,236.75,0
2016-11-21,234.75,234.75,234.75,234.75,234.75,0
2016-11-22,229.574997,240.0,229.25,240.0,240.0,100
2016-11-23,240.0,240.0,240.0,240.0,240.0,0
2016-11-25,235.550003,242.5,227.5,242.5,242.5,0
2016-11-28,230.25,237.5,227.5,235.5,235.5,200
2016-11-29,227.5,240.5,227.5,233.75,233.75,200
2016-11-30,241.5,241.5,232.5,238.25,238.25,0
2016-12-01,230.0,236.25,227.75,236.25,236.25,200
2016-12-02,234.25,237.25,226.25,230.0,230.0,400
2016-12-05,225.5,234.5,225.5,234.5,234.5,200
2016-12-06,227.5,229.875,212.0,218.75,218.75,200
2016-12-07,227.25,236.5,208.0,228.5,228.5,1400
2016-12-08,225.0,237.0,223.5,223.75,223.75,1400
2016-12-09,223.75,224.5,220.0,220.25,220.25,200
2016-12-12,220.0,221.25,210.25,213.0,213.0,600
2016-12-13,215.75,215.75,181.25,202.5,202.5,1800
2016-12-14,221.5,228.5,200.5,204.5,204.5,1300
2016-12-15,201.25,214.0,185.25,190.25,190.25,1700
2016-12-16,196.824997,196.824997,187.75,187.75,187.75,900
2016-12-19,191.0,194.649994,191.0,192.5,192.5,100
2016-12-20,191.0,202.5,189.074997,200.0,200.0,200
2016-12-21,198.25,199.75,192.75,199.75,199.75,300
2016-12-22,192.75,200.0,192.5,198.5,198.5,300
2016-12-23,190.0,205.0,190.0,204.75,204.75,0
2016-12-27,206.25,216.0,191.0,216.0,216.0,300
2016-12-28,196.300003,220.0,196.300003,205.25,205.25,200
2016-12-29,205.5,205.5,204.5,204.5,204.5,0
2016-12-30,196.699997,205.25,191.5,196.0,196.0,800
2017-01-03,215.5,215.5,197.25,197.25,197.25,100
2017-01-04,205.024994,205.5,187.75,200.0,200.0,300
2017-01-05,200.0,208.5,200.0,208.5,208.5,0
2017-01-06,217.649994,232.25,213.875,230.75,230.75,1200
2017-01-09,250.0,250.0,231.449997,237.5,237.5,500
2017-01-10,241.0,254.25,241.0,254.25,254.25,100
2017-01-11,253.274994,254.225006,249.975006,249.975006,249.975006,100
2017-01-12,235.75,247.875,235.0,247.0,247.0,100
2017-01-13,248.75,253.5,248.75,250.0,250.0,100
2017-01-17,226.0,246.875,225.5,246.875,246.875,100
2017-01-18,245.0,252.25,244.25,251.0,251.0,200
2017-01-19,251.0,270.0,251.0,261.25,261.25,200
2017-01-20,268.0,268.875,267.5,267.75,267.75,100
2017-01-23,266.25,266.25,262.75,262.75,262.75,100
2017-01-24,263.5,263.75,251.75,251.75,251.75,100
2017-01-25,263.75,264.25,257.75,264.25,264.25,100
2017-01-26,264.825012,264.825012,249.0,252.5,252.5,500
2017-01-27,252.5,266.0,252.5,266.0,266.0,200
2017-01-30,265.25,265.75,256.25,259.024994,259.024994,200
2017-01-31,267.5,275.75,267.5,275.0,275.0,200
2017-02-01,274.200012,274.75,261.924988,274.75,274.75,100
2017-02-02,271.0,272.0,251.5,271.75,271.75,500
2017-02-03,272.5,274.75,264.25,272.0,272.0,600
2017-02-06,275.0,275.0,268.0,268.0,268.0,300
2017-02-07,256.25,265.0,256.25,262.5,262.5,200
2017-02-08,258.75,263.450012,256.549988,262.5,262.5,1000
2017-02-09,260.0,262.5,253.0,257.0,257.0,300
2017-02-10,258.75,258.75,250.75,252.0,252.0,300
2017-02-13,252.25,263.25,247.0,255.25,255.25,900
2017-02-14,257.5,262.125,257.5,259.0,259.0,100
2017-02-15,259.0,259.0,250.5,250.5,250.5,100
2017-02-16,254.75,259.5,243.75,243.75,243.75,700
2017-02-17,247.0,252.0,243.75,247.5,247.5,200
2017-02-21,247.0,250.0,245.25,245.25,245.25,700
2017-02-22,250.0,250.0,242.5,242.5,242.5,100
2017-02-23,242.5,243.75,225.675003,225.75,225.75,400
2017-02-24,242.024994,243.25,229.074997,230.0,230.0,300
2017-02-27,241.5,242.25,227.5,242.25,242.25,200
2017-02-28,237.5,237.5,232.274994,234.75,234.75,200
2017-03-01,230.0,234.375,230.0,232.5,232.5,200
2017-03-02,237.5,237.5,233.0,234.024994,234.024994,800
2017-03-03,235.0,235.25,232.75,235.0,235.0,300
2017-03-06,244.475006,244.475006,235.975006,237.5,237.5,500
2017-03-07,236.25,236.625,235.0,235.0,235.0,400
2017-03-08,235.725006,237.5,235.0,235.5,235.5,300
2017-03-09,236.5,238.25,235.074997,236.25,236.25,100
2017-03-10,237.5,240.625,228.75,229.25,229.25,1400
2017-03-13,230.0,234.475006,227.5,228.0,228.0,1800
2017-03-14,225.0,231.25,203.75,228.75,228.75,1600
2017-03-15,235.0,235.0,230.274994,231.25,231.25,900
2017-03-16,232.149994,243.75,231.5,243.75,243.75,2900
2017-03-17,235.725006,237.5,225.25,225.25,225.25,2100
2017-03-20,230.25,261.25,230.0,253.100006,253.100006,3800
2017-03-21,254.25,274.575012,250.925003,260.0,260.0,4000
2017-03-22,269.0,295.0,260.0,291.5,291.5,7700
2017-03-23,297.5,300.0,279.924988,295.25,295.25,3300
2017-03-24,299.75,325.0,285.0,306.5,306.5,4200
2017-03-27,302.5,312.25,281.25,290.5,290.5,4100
2017-03-28,287.75,294.5,275.700012,278.75,278.75,1000
2017-03-29,280.0,281.5,261.25,269.5,269.5,1200
2017-03-30,268.75,268.75,258.75,262.75,262.75,1800
2017-03-31,264.5,264.5,259.799988,262.5,262.5,400
2017-04-03,262.5,268.5,251.25,259.25,259.25,1600
2017-04-04,261.5,268.5,259.25,267.0,267.0,600
2017-04-05,266.75,267.5,252.0,252.5,252.5,1600
2017-04-06,255.25,258.5,251.5,251.5,251.5,300
2017-04-07,258.75,259.0,256.75,256.75,256.75,200
2017-04-10,265.25,298.75,265.25,281.75,281.75,4800
2017-04-11,288.5,288.5,277.75,283.75,283.75,1400
2017-04-12,281.075012,292.25,278.850006,287.5,287.5,800
2017-04-13,287.5,301.5,287.5,291.25,291.25,1100
2017-04-17,293.25,303.75,289.25,290.75,290.75,1700
2017-04-18,296.700012,300.75,278.0,293.25,293.25,1200
2017-04-19,294.0,296.5,291.5,293.0,293.0,1400
2017-04-20,300.0,303.049988,286.25,293.25,293.25,1800
2017-04-21,291.75,291.75,270.0,272.75,272.75,3800
2017-04-24,274.75,278.75,264.174988,272.5,272.5,1400
2017-04-25,266.25,275.0,263.75,273.25,273.25,8000
2017-04-26,270.0,274.75,262.5,271.25,271.25,900
2017-04-27,263.75,274.5,263.75,266.5,266.5,1200
2017-04-28,268.5,274.5,262.75,274.5,274.5,1500
2017-05-01,274.75,279.725006,262.75,277.5,277.5,600
2017-05-02,277.5,277.5,271.375,275.75,275.75,700
2017-05-03,276.75,281.0,276.25,278.75,278.75,1900
2017-05-04,279.799988,281.5,277.5,281.25,281.25,1900
2017-05-05,281.0,288.75,267.625,280.25,280.25,1400
2017-05-08,280.5,280.5,271.0,279.0,279.0,900
2017-05-09,278.75,279.200012,262.75,272.75,272.75,1300
2017-05-10,274.75,277.5,272.5,275.0,275.0,700
2017-05-11,276.25,276.25,263.25,275.0,275.0,300
2017-05-12,265.75,274.5,265.350006,274.5,274.5,1800
2017-05-15,274.5,289.0,264.0,270.0,270.0,1300
2017-05-16,273.25,275.5,263.75,265.0,265.0,1800
2017-05-17,265.0,267.5,254.0,267.25,267.25,1800
2017-05-18,261.25,263.25,254.25,260.5,260.5,600
2017-05-19,262.5,262.5,257.0,258.75,258.75,600
2017-05-22,257.75,258.0,250.0,251.5,251.5,1200
2017-05-23,250.25,262.25,246.375,250.75,250.75,1400
2017-05-24,249.600006,261.25,249.5,250.0,250.0,1600
2017-05-25,257.5,280.149994,252.050003,252.75,252.75,900
2017-05-26,253.5,269.75,253.5,262.5,262.5,700
2017-05-30,263.25,267.5,250.399994,256.5,256.5,400
2017-05-31,229.0,257.75,225.25,247.5,247.5,4100
2017-06-01,244.75,281.0,244.524994,269.0,269.0,2100
2017-06-02,257.5,262.5,253.75,261.25,261.25,800
2017-06-05,258.25,274.450012,256.25,265.0,265.0,1800
2017-06-06,269.75,283.75,265.0,265.0,265.0,1700
2017-06-07,274.5,276.25,265.75,270.25,270.25,1200
2017-06-08,269.25,274.5,266.5,270.0,270.0,1100
2017-06-09,270.75,275.0,268.75,272.75,272.75,900
2017-06-12,277.5,277.5,264.399994,272.5,272.5,1200
2017-06-13,268.5,281.25,268.5,270.25,270.25,1300
2017-06-14,270.75,272.5,265.75,272.25,272.25,1100
2017-06-15,269.0,291.25,269.0,276.5,276.5,3400
2017-06-16,283.524994,287.625,263.75,269.5,269.5,4000
2017-06-19,272.5,281.575012,267.0,267.0,267.0,1000
