Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.09,17.23,16.809999,17.08,12.902566,19900
2010-01-05,17.16,17.16,16.66,16.73,12.63817,7300
2010-01-06,16.73,17.219999,15.87,15.93,12.033835,12100
2010-01-07,15.96,16.700001,15.85,16.290001,12.305785,11700
2010-01-08,16.32,16.799999,15.94,16.200001,12.237799,17700
2010-01-11,16.370001,16.690001,15.88,15.96,12.056498,15200
2010-01-12,15.85,16.219999,15.77,15.77,11.912965,12300
2010-01-13,15.87,15.95,15.7,15.71,11.867643,9000
2010-01-14,15.64,16.469999,15.55,16.27,12.290677,15400
2010-01-15,16.25,17.139999,16.25,16.780001,12.675939,100700
2010-01-19,16.950001,16.950001,16.73,16.879999,12.751482,18900
2010-01-20,16.74,16.85,15.57,16.27,12.290677,18700
2010-01-21,16.35,16.610001,15.96,16.0,12.086716,14900
2010-01-22,15.95,16.58,15.91,16.049999,12.124484,10800
2010-01-25,16.08,16.129999,15.6,15.84,11.965849,11600
2010-01-26,15.85,16.33,15.74,15.75,11.89786,5100
2010-01-27,15.67,16.26,15.67,16.030001,12.109375,10100
2010-01-28,16.040001,16.219999,15.83,15.89,12.003616,6600
2010-01-29,15.88,16.129999,15.88,16.030001,12.109375,10000
2010-02-01,16.440001,16.440001,15.78,16.02,12.101825,14600
2010-02-02,16.0,16.17,15.69,16.0,12.086716,17200
2010-02-03,16.02,16.139999,15.37,15.41,11.641014,13400
2010-02-04,15.5,15.7,15.36,15.38,11.618354,17300
2010-02-05,15.6,15.85,15.55,15.73,11.882749,9100
2010-02-08,15.87,16.040001,15.61,15.69,11.852534,6800
2010-02-09,15.81,15.81,15.3,15.51,11.716557,11600
2010-02-10,15.39,15.56,15.37,15.56,11.754331,6200
2010-02-11,15.47,15.78,15.44,15.57,11.761881,16400
2010-02-12,15.55,15.93,15.48,15.69,11.852534,30300
2010-02-16,15.72,15.8,15.43,15.61,11.7921,10100
2010-02-17,15.64,15.95,15.64,15.85,11.973401,11500
2010-02-18,15.81,16.15,15.61,16.15,12.200027,14100
2010-02-19,16.16,16.16,15.81,15.89,12.003616,14800
2010-02-22,15.86,16.360001,15.72,16.360001,12.358666,12500
2010-02-23,16.059999,16.35,16.02,16.120001,12.177366,8900
2010-02-24,16.190001,16.360001,15.94,16.16,12.207582,4300
2010-02-25,16.040001,16.209999,15.79,16.129999,12.184919,3700
2010-02-26,16.049999,16.24,15.85,15.91,12.018729,27000
2010-03-01,16.040001,16.200001,15.63,16.190001,12.230243,6200
2010-03-02,16.24,16.360001,15.72,16.360001,12.358666,7400
2010-03-03,16.35,16.690001,16.35,16.610001,12.547522,9200
2010-03-04,16.690001,16.75,16.41,16.75,12.653279,3500
2010-03-05,16.6,16.950001,16.26,16.950001,12.881266,12800
