Date,Open,High,Low,Close,Adj Close,Volume
2015-10-01,22.0,22.0,22.0,22.0,22.0,0
2015-10-02,20.16,20.48,17.549999,18.280001,18.280001,3210500
2015-10-05,18.77,18.9,18.049999,18.690001,18.690001,307000
2015-10-06,19.360001,19.58,15.01,16.68,16.68,1137800
2015-10-07,16.559999,16.674999,15.34,15.94,15.94,397500
2015-10-08,17.98,19.870001,17.32,18.940001,18.940001,2945700
2015-10-09,19.65,21.959999,19.1,21.02,21.02,1760700
2015-10-12,22.889999,27.398001,21.85,25.879999,25.879999,2133600
2015-10-13,25.5,30.889999,24.67,27.6,27.6,2226600
2015-10-14,27.49,27.5,24.811001,25.450001,25.450001,1324700
2015-10-15,26.309999,26.51,25.5,25.870001,25.870001,427200
2015-10-16,25.700001,26.049999,23.549999,25.98,25.98,563200
2015-10-19,26.0,26.280001,23.040001,23.209999,23.209999,558700
2015-10-20,23.139999,23.4,19.76,19.870001,19.870001,804200
2015-10-21,20.25,20.700001,19.733999,20.200001,20.200001,314200
2015-10-22,20.6,20.663,19.049999,19.15,19.15,285800
2015-10-23,19.15,19.93,19.15,19.52,19.52,239200
2015-10-26,20.85,20.976,19.91,20.58,20.58,350300
2015-10-27,21.0,25.59,21.0,23.870001,23.870001,1088100
2015-10-28,24.969999,25.879999,22.790001,24.200001,24.200001,534000
2015-10-29,24.690001,25.15,22.700001,22.85,22.85,239300
2015-10-30,23.690001,23.690001,22.25,22.469999,22.469999,83700
2015-11-02,22.469999,24.379999,22.469999,23.83,23.83,381200
2015-11-03,24.120001,26.75,24.014999,26.040001,26.040001,594900
2015-11-04,26.26,26.85,25.0,26.309999,26.309999,257300
2015-11-05,26.299999,26.77,25.750999,26.24,26.24,107400
2015-11-06,26.0,26.299999,24.32,25.68,25.68,278900
2015-11-09,25.059999,26.17,24.5,24.83,24.83,105300
2015-11-10,24.5,24.85,23.250999,24.08,24.08,134600
2015-11-11,23.92,24.1,21.5,22.35,22.35,366300
2015-11-12,21.889999,23.4,21.799999,22.700001,22.700001,139300
2015-11-13,22.41,23.5,22.360001,22.799999,22.799999,151800
2015-11-16,22.85,22.85,21.51,21.940001,21.940001,98000
2015-11-17,22.02,23.75,22.0,22.34,22.34,121200
2015-11-18,22.34,22.91,21.75,22.690001,22.690001,94300
2015-11-19,22.82,22.860001,22.02,22.41,22.41,99000
2015-11-20,22.25,22.629999,22.0,22.040001,22.040001,251500
2015-11-23,25.200001,25.74,23.639999,24.9,24.9,719200
2015-11-24,25.17,25.17,23.9,23.91,23.91,189100
2015-11-25,23.74,24.450001,23.559999,23.65,23.65,81400
2015-11-27,23.73,25.0,23.690001,24.99,24.99,94700
2015-11-30,25.0,25.370001,23.84,24.35,24.35,143700
2015-12-01,24.370001,24.530001,23.17,24.07,24.07,138600
2015-12-02,24.530001,24.98,23.860001,24.059999,24.059999,181400
2015-12-03,24.32,24.4,23.74,24.01,24.01,75500
2015-12-04,23.879999,25.5,23.299999,24.82,24.82,528400
2015-12-07,26.0,27.52,25.360001,27.16,27.16,801000
2015-12-08,27.0,27.1,25.370001,26.719999,26.719999,480300
2015-12-09,26.74,27.32,26.32,26.780001,26.780001,197300
2015-12-10,27.33,27.459999,26.25,26.42,26.42,174000
2015-12-11,26.25,27.110001,25.030001,26.860001,26.860001,397000
2015-12-14,26.73,28.0,26.01,27.639999,27.639999,364100
2015-12-15,27.700001,28.645,27.040001,28.110001,28.110001,344100
2015-12-16,27.4,28.200001,26.02,27.120001,27.120001,514000
2015-12-17,27.17,28.132,27.0,27.5,27.5,244600
2015-12-18,27.5,28.32,27.355,27.719999,27.719999,1094500
2015-12-21,27.969999,28.950001,27.469999,27.559999,27.559999,262900
2015-12-22,27.5,27.625,26.9,27.02,27.02,148600
2015-12-23,27.120001,27.469999,26.15,26.59,26.59,157800
2015-12-24,26.33,27.25,25.76,25.93,25.93,102600
2015-12-28,25.91,25.99,24.52,24.799999,24.799999,252600
2015-12-29,24.959999,25.236,23.27,23.82,23.82,311600
2015-12-30,24.01,24.040001,23.02,23.379999,23.379999,296600
2015-12-31,22.870001,23.49,22.0,22.360001,22.360001,328600
2016-01-04,22.0,22.812,21.41,22.549999,22.549999,201700
2016-01-05,22.790001,23.309999,22.35,22.74,22.74,127300
2016-01-06,22.23,22.6,22.0,22.42,22.42,171200
2016-01-07,22.450001,22.450001,19.322001,19.76,19.76,555700
2016-01-08,19.799999,20.68,19.799999,20.15,20.15,468100
2016-01-11,20.200001,21.35,19.459999,20.549999,20.549999,394300
2016-01-12,20.370001,21.9,20.370001,21.9,21.9,324300
2016-01-13,22.09,22.49,20.360001,20.48,20.48,313100
2016-01-14,20.18,20.299999,19.110001,19.299999,19.299999,436500
2016-01-15,18.719999,18.805,17.440001,17.790001,17.790001,355800
2016-01-19,17.52,17.67,16.07,17.059999,17.059999,520600
2016-01-20,16.51,17.309999,13.56,14.23,14.23,1117200
2016-01-21,14.56,15.96,14.56,15.05,15.05,733000
2016-01-22,15.48,15.6,13.52,13.81,13.81,715400
2016-01-25,14.0,15.1,13.7,14.5,14.5,424000
2016-01-26,14.5,14.73,14.05,14.51,14.51,176600
2016-01-27,14.5,14.805,13.86,14.09,14.09,205000
2016-01-28,14.09,14.09,12.82,12.99,12.99,296500
2016-01-29,12.77,13.485,11.3,12.48,12.48,506800
2016-02-01,12.43,12.44,11.23,11.29,11.29,387100
2016-02-02,11.18,12.0,10.15,10.3,10.3,346000
2016-02-03,10.93,11.06,10.16,11.03,11.03,307000
2016-02-04,10.75,12.2,10.75,11.81,11.81,565400
2016-02-05,11.81,12.35,11.4,11.46,11.46,286000
2016-02-08,11.32,12.375,11.234,12.31,12.31,236500
2016-02-09,11.9,13.055,11.75,12.69,12.69,420000
2016-02-10,12.55,13.23,12.38,13.12,13.12,172300
2016-02-11,12.71,13.13,11.76,12.06,12.06,198400
2016-02-12,12.72,12.9,11.93,12.11,12.11,132600
2016-02-16,12.31,13.08,12.15,12.23,12.23,208700
2016-02-17,12.42,12.96,12.17,12.56,12.56,234000
2016-02-18,12.62,12.94,11.85,12.22,12.22,226400
2016-02-19,12.25,12.3,11.61,11.78,11.78,164700
2016-02-22,12.16,12.379,11.99,12.01,12.01,193900
2016-02-23,12.02,12.36,11.67,11.82,11.82,155500
2016-02-24,11.84,11.93,11.26,11.46,11.46,153800
2016-02-25,11.57,11.738,10.64,10.8,10.8,276900
2016-02-26,10.77,11.31,10.5,11.17,11.17,269100
2016-02-29,11.14,12.0,11.14,11.69,11.69,316100
2016-03-01,11.7,12.69,11.65,12.35,12.35,381700
2016-03-02,12.38,15.43,12.36,14.58,14.58,358800
2016-03-03,15.04,16.059999,14.61,16.030001,16.030001,537700
2016-03-04,16.1,18.370001,16.1,16.549999,16.549999,667900
2016-03-07,18.059999,18.719999,16.9,17.4,17.4,418800
2016-03-08,17.18,17.879999,15.38,16.059999,16.059999,281000
2016-03-09,16.02,16.365,14.0,14.34,14.34,297100
2016-03-10,14.34,14.85,13.88,13.91,13.91,207900
2016-03-11,14.09,14.88,13.6,13.75,13.75,211200
2016-03-14,13.92,13.98,12.665,12.82,12.82,323600
2016-03-15,12.77,12.77,12.07,12.31,12.31,293600
2016-03-16,12.34,12.46,11.79,11.99,11.99,236600
2016-03-17,11.8,12.97,11.736,12.75,12.75,190400
2016-03-18,12.84,13.02,12.43,12.45,12.45,182300
2016-03-21,12.44,12.74,12.3,12.62,12.62,151000
2016-03-22,12.58,13.95,12.516,13.22,13.22,239900
2016-03-23,13.27,14.25,13.12,13.17,13.17,181900
2016-03-24,13.0,13.37,12.59,13.13,13.13,159400
2016-03-28,13.2,13.5,12.74,12.85,12.85,66200
2016-03-29,12.84,13.345,12.65,12.94,12.94,125600
2016-03-30,13.3,13.59,13.18,13.36,13.36,93900
2016-03-31,13.59,14.72,13.4,14.48,14.48,237800
2016-04-01,14.33,14.48,14.0,14.13,14.13,109600
2016-04-04,14.24,14.75,13.71,13.81,13.81,263800
2016-04-05,14.36,14.36,13.2,13.64,13.64,204500
2016-04-06,13.76,14.41,13.76,14.16,14.16,187100
2016-04-07,14.35,14.89,14.13,14.79,14.79,283100
2016-04-08,17.0,17.0,15.4,15.66,15.66,797900
2016-04-11,15.6,16.25,15.15,15.23,15.23,434400
2016-04-12,15.02,15.86,15.02,15.17,15.17,250000
