Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,15.55,22.75,15.08,19.9,19.9,1646700
2019-05-10,19.48,19.75,16.790001,19.5,19.5,361700
2019-05-13,19.5,19.700001,17.719999,19.4,19.4,168000
2019-05-14,19.299999,20.488001,18.5,19.48,19.48,174400
2019-05-15,19.450001,20.5,19.450001,20.01,20.01,104500
2019-05-16,19.959999,20.434999,19.801001,20.18,20.18,63000
2019-05-17,19.91,20.0,18.716999,19.799999,19.799999,63900
2019-05-20,19.84,21.32,19.48,20.639999,20.639999,108300
2019-05-21,20.75,21.0,19.889999,20.01,20.01,74800
2019-05-22,20.0,20.15,18.985001,19.879999,19.879999,29800
2019-05-23,19.469999,20.84,19.040001,19.57,19.57,26900
2019-05-24,19.454,20.799999,19.445,19.9,19.9,35300
2019-05-28,19.73,20.620001,19.450001,19.719999,19.719999,55000
2019-05-29,19.469999,20.219999,18.17,18.34,18.34,72500
2019-05-30,18.25,20.455,18.25,19.18,19.18,51600
2019-05-31,18.99,20.139999,18.540001,18.620001,18.620001,39200
2019-06-03,18.889999,19.0,17.16,17.35,17.35,45500
2019-06-04,17.190001,18.799999,17.030001,17.709999,17.709999,44900
2019-06-05,18.049999,18.860001,16.01,16.25,16.25,48900
2019-06-06,16.25,17.93,15.5,16.65,16.65,50000
2019-06-07,16.959999,17.385,15.61,16.57,16.57,39500
2019-06-10,16.5,17.174999,15.5,15.63,15.63,104100
2019-06-11,14.9,16.15,14.9,15.45,15.45,139400
2019-06-12,15.49,16.16,13.925,14.49,14.49,70200
2019-06-13,14.43,16.23,14.05,15.57,15.57,158400
2019-06-14,15.61,15.99,15.035,15.53,15.53,62000
2019-06-17,15.41,15.89,15.04,15.12,15.12,87200
2019-06-18,15.01,16.200001,15.01,15.52,15.52,44400
2019-06-19,15.92,16.121,15.38,15.42,15.42,85800
2019-06-20,15.44,16.25,15.17,15.17,15.17,103800
2019-06-21,15.39,15.65,14.55,14.62,14.62,218100
2019-06-24,14.53,15.255,13.86,14.56,14.56,38700
2019-06-25,14.47,14.76,14.13,14.34,14.34,62800
2019-06-26,14.46,14.7,14.2,14.4,14.4,33000
2019-06-27,14.41,14.845,14.01,14.16,14.16,56000
2019-06-28,14.22,15.91,14.12,14.98,14.98,402900
2019-07-01,15.16,18.368999,15.16,17.65,17.65,75100
2019-07-02,17.809999,18.469999,16.42,17.1,17.1,51500
2019-07-03,17.0,17.110001,15.52,16.889999,16.889999,16400
2019-07-05,16.98,17.174999,16.120001,16.629999,16.629999,28600
2019-07-08,16.629,16.969999,15.69,15.73,15.73,27800
2019-07-09,15.99,17.17,15.99,16.950001,16.950001,41600
2019-07-10,17.360001,18.09,16.209999,16.65,16.65,59700
2019-07-11,16.75,17.34,16.35,17.01,17.01,43500
2019-07-12,17.0,17.245001,16.5,16.780001,16.780001,36900
2019-07-15,16.68,16.955,16.530001,16.57,16.57,24800
2019-07-16,16.51,18.0,16.15,16.280001,16.280001,26100
2019-07-17,16.17,16.98,16.040001,16.5,16.5,66500
2019-07-18,16.360001,17.702,16.360001,17.549999,17.549999,37100
2019-07-19,17.51,19.25,16.924999,19.09,19.09,34300
2019-07-22,19.09,19.49,18.584999,19.34,19.34,48400
2019-07-23,19.299999,19.299999,18.08,18.639999,18.639999,26100
2019-07-24,18.610001,19.25,18.459999,19.219999,19.219999,39400
2019-07-25,19.129999,19.780001,18.700001,19.75,19.75,106200
2019-07-26,19.83,20.25,19.450001,19.77,19.77,36200
2019-07-29,19.73,20.620001,19.73,20.549999,20.549999,68600
2019-07-30,20.42,21.25,20.42,20.91,20.91,34900
2019-07-31,21.0,22.290001,21.0,21.969999,21.969999,142500
2019-08-01,22.325001,24.915001,21.84,22.25,22.25,115700
2019-08-02,22.1,22.49,21.02,22.049999,22.049999,79700
2019-08-05,21.83,21.940001,20.879999,21.549999,21.549999,108100
2019-08-06,21.85,23.48,21.85,23.120001,23.120001,45900
2019-08-07,23.120001,25.690001,23.0,24.4,24.4,74200
2019-08-08,24.67,25.236,22.139999,22.77,22.77,118700
2019-08-09,22.440001,24.0,22.045,23.91,23.91,106500
2019-08-12,23.93,25.455,23.434999,24.24,24.24,62100
2019-08-13,24.92,27.889999,24.0,26.709999,26.709999,145700
2019-08-14,26.24,26.24,23.969999,24.9,24.9,50500
2019-08-15,24.719999,26.16,24.719999,25.75,25.75,33000
2019-08-16,25.889999,28.0,25.75,26.559999,26.559999,40800
2019-08-19,26.93,28.879999,26.5,26.82,26.82,68700
2019-08-20,27.0,27.358999,25.525,25.92,25.92,19400
2019-08-21,25.9,29.870001,25.200001,29.52,29.52,109900
2019-08-22,29.65,30.75,29.389999,29.83,29.83,40700
2019-08-23,30.0,30.969999,28.49,30.129999,30.129999,73300
2019-08-26,30.77,31.440001,29.885,30.5,30.5,27700
2019-08-27,30.68,31.5,30.610001,31.17,31.17,22800
2019-08-28,31.129999,31.5,30.115999,31.290001,31.290001,21600
2019-08-29,31.639999,35.900002,31.083,34.009998,34.009998,62400
2019-08-30,34.560001,36.0,34.119999,34.73,34.73,57700
2019-09-03,34.700001,37.299999,34.326,36.82,36.82,57400
2019-09-04,37.490002,39.52,37.064999,39.43,39.43,63000
2019-09-05,40.490002,44.689999,40.209999,41.599998,41.599998,145500
2019-09-06,43.389999,43.389999,33.119999,34.34,34.34,243400
2019-09-09,34.599998,38.341999,34.5,35.32,35.32,95200
2019-09-10,36.279999,37.499001,35.619999,36.759998,36.759998,46700
2019-09-11,36.810001,37.529999,35.549999,36.799999,36.799999,50800
2019-09-12,37.0,38.25,36.932999,37.68,37.68,29700
2019-09-13,37.68,37.689999,36.540001,37.049999,37.049999,43700
2019-09-16,36.709999,38.080002,36.525002,37.130001,37.130001,29000
2019-09-17,37.049999,41.68,36.488998,40.040001,40.040001,107800
2019-09-18,40.029999,41.734001,38.77,39.529999,39.529999,130300
2019-09-19,39.375,40.48,39.009998,39.610001,39.610001,52600
2019-09-20,39.740002,40.0,37.0,38.68,38.68,131500
2019-09-23,39.080002,39.080002,37.154999,37.779999,37.779999,132800
2019-09-24,37.07,38.549999,36.150002,38.220001,38.220001,84800
2019-09-25,38.23,40.200001,37.450001,38.830002,38.830002,101000
2019-09-26,38.830002,39.779999,35.02,35.689999,35.689999,97500
2019-09-27,35.470001,35.470001,30.792999,32.75,32.75,164500
2019-09-30,32.700001,32.700001,29.66,30.85,30.85,195000
2019-10-01,30.700001,32.189999,30.6,31.200001,31.200001,140900
2019-10-02,30.84,31.58,29.719999,30.17,30.17,208400
2019-10-03,29.99,33.740002,29.99,31.01,31.01,148500
2019-10-04,31.1,32.220001,30.540001,31.0,31.0,53400
2019-10-07,31.0,31.4,29.459999,29.82,29.82,85300
2019-10-08,29.559999,29.718,28.15,28.5,28.5,56900
2019-10-09,28.9,29.799999,25.4,25.540001,25.540001,218100
2019-10-10,25.5,27.110001,25.5,25.98,25.98,120400
2019-10-11,26.299999,28.549999,26.120001,27.200001,27.200001,164000
2019-10-14,27.15,28.76,26.09,26.18,26.18,32900
2019-10-15,26.35,27.795,26.0,27.139999,27.139999,53600
2019-10-16,26.99,27.65,25.5,26.700001,26.700001,55300
2019-10-17,26.690001,27.549999,25.795,26.85,26.85,167100
2019-10-18,26.67,27.870001,26.67,27.120001,27.120001,85800
2019-10-21,27.299999,27.799999,26.190001,27.309999,27.309999,38600
2019-10-22,27.290001,27.5,26.549999,27.23,27.23,55600
2019-10-23,27.219999,28.049999,25.639999,25.98,25.98,107400
2019-10-24,26.129999,26.483999,25.34,25.790001,25.790001,72900
2019-10-25,25.49,27.385,25.49,26.780001,26.780001,80400
2019-10-28,27.34,27.799999,25.629999,26.110001,26.110001,108900
2019-10-29,26.0,28.07,25.0,26.98,26.98,81200
2019-10-30,26.73,28.223,25.610001,25.870001,25.870001,89600
2019-10-31,26.200001,26.365999,24.9,25.0,25.0,117000
2019-11-01,25.219999,27.66,25.219999,27.35,27.35,236100
2019-11-04,27.299999,28.5,26.030001,26.43,26.43,111800
2019-11-05,25.5,109.0,25.5,92.220001,92.220001,7967000
2019-11-06,87.5,89.0,61.52,67.010002,67.010002,2574700
2019-11-07,65.419998,81.794998,65.205002,79.410004,79.410004,619400
2019-11-08,77.120003,86.0,75.470001,82.889999,82.889999,617700
2019-11-11,37.529999,43.990002,37.049999,39.02,39.02,3088100
2019-11-12,38.990002,40.48,36.23,37.41,37.41,705200
2019-11-13,35.509998,38.428001,34.689999,37.75,37.75,575400
2019-11-14,37.650002,38.599998,36.310001,38.549999,38.549999,480200
2019-11-15,37.860001,38.639999,34.41,36.049999,36.049999,2105200
2019-11-18,36.139999,37.299999,35.950001,36.349998,36.349998,365400
2019-11-19,36.689999,36.93,35.220001,36.0,36.0,474000
2019-11-20,36.599998,36.700001,35.639999,36.5,36.5,384000
2019-11-21,36.200001,37.259998,35.939999,36.34,36.34,535900
2019-11-22,36.59,37.509998,36.249001,36.810001,36.810001,454500
2019-11-25,36.75,41.73,36.75,39.84,39.84,992800
2019-11-26,40.799999,41.0,39.0,39.939999,39.939999,419900
2019-11-27,40.200001,42.25,39.801998,40.939999,40.939999,485900
2019-11-29,40.970001,49.169998,40.970001,47.810001,47.810001,734000
2019-12-02,48.299999,48.860001,42.700001,43.59,43.59,632100
2019-12-03,42.169998,48.119999,42.049999,47.200001,47.200001,470700
2019-12-04,47.310001,51.740002,45.75,51.009998,51.009998,580000
2019-12-05,52.43,52.720001,49.509998,49.919998,49.919998,457600
2019-12-06,49.650002,51.695,49.650002,50.27,50.27,303100
2019-12-09,52.779999,55.34,50.0,52.23,52.23,368500
