Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,13.47,13.8,13.2,13.61,8.559381,57500
2010-01-05,13.65,13.9,13.57,13.67,8.597116,18400
2010-01-06,13.84,14.07,13.75,13.78,8.666294,22500
2010-01-07,13.88,14.27,13.71,14.11,8.873834,32200
2010-01-08,13.98,14.6,13.98,14.33,9.012193,54700
2010-01-11,14.26,14.26,14.04,14.1,8.867544,10600
2010-01-12,13.96,13.96,13.44,13.8,8.773455,12300
2010-01-13,13.61,13.62,13.15,13.33,8.474647,21100
2010-01-14,13.15,13.21,12.97,13.04,8.290277,86200
2010-01-15,13.2,13.2,12.58,12.99,8.258488,81300
2010-01-19,12.99,12.99,12.7,12.7,8.074121,81200
2010-01-20,12.55,12.82,12.55,12.82,8.150411,36100
2010-01-21,12.67,12.84,12.31,12.64,8.035975,41800
2010-01-22,12.54,12.54,12.14,12.22,7.768957,59500
2010-01-25,12.48,12.48,12.0,12.09,7.686308,48600
2010-01-26,12.12,12.12,11.82,11.9,7.565514,74900
2010-01-27,11.75,11.97,11.44,11.51,7.317568,97500
2010-01-28,11.68,12.32,11.67,11.9,7.565514,257700
2010-01-29,12.64,12.64,11.99,12.07,7.673594,150400
2010-02-01,12.27,12.6,12.2,12.35,7.851604,17900
2010-02-02,12.46,12.71,12.25,12.57,7.99147,101400
2010-02-03,12.5,12.71,12.26,12.4,7.883393,16700
2010-02-04,12.17,12.34,11.99,12.08,7.67995,20100
2010-02-05,12.09,12.09,11.8,11.99,7.622731,19300
2010-02-08,11.91,12.33,11.83,12.26,7.794388,15400
2010-02-09,12.26,12.53,12.13,12.4,7.883393,4500
2010-02-10,12.37,12.72,12.37,12.62,8.023259,18900
2010-02-11,12.71,13.1,12.63,13.1,8.328422,18800
2010-02-12,12.99,13.08,12.8,12.94,8.226704,22400
2010-02-16,13.1,13.17,13.0,13.09,8.322065,46600
2010-02-17,13.06,13.19,12.92,13.01,8.271205,7300
2010-02-18,13.18,13.39,12.96,13.01,8.271205,14300
2010-02-19,12.71,13.09,12.71,12.9,8.201271,20900
2010-02-22,12.85,13.25,12.75,13.25,8.423787,4400
2010-02-23,13.01,13.13,12.79,12.84,8.163127,13900
2010-02-24,13.0,13.01,12.65,13.0,8.264848,80800
2010-02-25,13.08,13.45,12.6,12.7,8.074121,70100
2010-02-26,12.66,12.83,12.63,12.73,8.093193,17000
2010-03-01,12.99,12.99,12.62,12.66,8.04869,26700
2010-03-02,12.61,12.8,12.35,12.48,7.934252,42100
2010-03-03,13.15,13.21,12.64,13.1,8.328422,110700
2010-03-04,13.1,14.26,13.1,14.07,8.945107,203400
2010-03-05,14.26,14.71,13.94,14.52,9.231197,52100
2010-03-08,14.42,14.75,14.38,14.75,9.377422,42500
2010-03-09,14.75,15.43,14.75,15.37,9.771592,132000
2010-03-10,15.14,15.44,14.92,15.21,9.66987,68900
2010-03-11,15.11,15.15,14.86,14.86,9.447357,11400
2010-03-12,14.89,14.99,14.85,14.93,9.491858,8000
2010-03-15,14.87,15.1,14.58,14.58,9.269347,13100
2010-03-16,14.61,14.97,14.61,14.65,9.313847,55000
2010-03-17,14.69,14.98,14.52,14.67,9.326562,24500
2010-03-18,14.68,14.85,14.55,14.61,9.288416,27800
2010-03-19,14.7,14.85,14.5,14.7,9.345634,18200
2010-03-22,14.85,15.01,14.67,14.96,9.510935,16000
2010-03-23,14.89,15.09,14.69,15.02,9.549077,38800
2010-03-24,15.05,15.2,14.9,15.1,9.599939,28000
2010-03-25,15.1,15.23,14.68,14.68,9.33292,6900
2010-03-26,14.68,14.95,14.62,14.73,9.364706,65400
2010-03-29,14.75,15.0,14.61,14.82,9.421926,47000
2010-03-30,14.83,14.98,14.81,14.98,9.523645,43400
2010-03-31,14.82,15.07,14.77,15.03,9.555435,17700
2010-04-01,15.08,15.25,14.87,14.91,9.479143,7300
2010-04-05,15.15,15.25,15.03,15.13,9.619009,30700
2010-04-06,15.03,15.2,15.01,15.13,9.619009,36600
2010-04-07,15.14,15.15,14.88,15.05,9.56815,46700
2010-04-08,15.05,15.14,14.92,14.99,9.530005,83300
2010-04-09,15.03,15.28,14.93,15.28,9.714373,55000
2010-04-12,15.17,15.33,15.12,15.25,9.791421,52400
2010-04-13,15.13,15.23,14.9,15.06,9.669431,45800
2010-04-14,15.03,15.06,14.94,15.05,9.663011,19000
2010-04-15,15.02,15.82,15.02,15.82,10.157396,36900
2010-04-16,15.84,16.08,15.6,15.75,10.112452,30400
2010-04-19,15.6,15.95,15.51,15.51,9.958356,16900
2010-04-20,15.6,16.0,15.57,15.65,10.048245,44400
