Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,24.51,24.940001,24.51,24.9,20.297958,222500
2016-06-07,24.940001,24.940001,24.85,24.9,20.297958,227800
2016-06-08,24.9,24.950001,24.610001,24.83,20.240898,168300
2016-06-09,24.9,24.9,24.85,24.889999,20.289806,91000
2016-06-10,24.9,24.9,24.85,24.85,20.257198,81900
2016-06-13,24.549999,24.85,24.549999,24.799999,20.216438,123800
2016-06-14,24.92,24.92,24.722,24.85,20.257198,126700
2016-06-15,24.719999,24.9,24.719999,24.889999,20.289806,83500
2016-06-16,24.9,25.0,24.9,24.959999,20.34687,125200
2016-06-17,24.99,24.99,24.84,24.98,20.363174,79200
2016-06-20,24.99,25.01,24.950001,25.0,20.379477,194100
2016-06-21,25.0,25.01,24.92,25.01,20.387629,217100
2016-06-22,25.01,25.059999,25.0,25.0,20.379477,239800
2016-06-23,25.049999,25.25,25.030001,25.15,20.501757,256700
2016-06-24,25.0,25.114,24.9,24.959999,20.34687,84000
2016-06-27,24.959999,24.959999,24.809999,24.870001,20.273502,94500
2016-06-28,24.959999,25.049999,24.950001,25.02,20.395784,146300
2016-06-29,25.129999,25.15,25.049999,25.08,20.444691,127400
2016-06-30,25.16,25.5,25.129999,25.5,20.787062,381900
2016-07-01,25.200001,25.889999,25.200001,25.245001,20.579193,62400
2016-07-05,25.299999,25.379999,25.08,25.17,20.518059,165800
2016-07-06,25.200001,25.277,25.049999,25.08,20.444691,98200
2016-07-07,25.15,25.190001,25.110001,25.190001,20.534357,87300
2016-07-08,25.190001,25.219999,25.110001,25.110001,20.469147,90100
2016-07-11,25.15,25.18,25.1,25.1,20.460995,89000
2016-07-12,25.110001,25.16,25.1,25.125999,20.482189,121800
2016-07-13,25.299999,25.299999,25.08,25.094999,20.456913,212600
2016-07-14,25.09,25.16,25.059999,25.1,20.460995,103300
2016-07-15,25.120001,25.15,25.030001,25.030001,20.403931,70200
2016-07-18,25.1,25.190001,25.1,25.110001,20.469147,129500
2016-07-19,25.15,25.15,25.09,25.1,20.460995,100300
2016-07-20,25.129999,25.200001,25.120001,25.200001,20.542511,114500
2016-07-21,25.24,25.33,25.233999,25.33,20.648485,49000
2016-07-22,25.33,25.35,25.25,25.299999,20.624029,100800
2016-07-25,25.280001,25.35,25.200001,25.32,20.640331,86100
2016-07-26,25.33,25.450001,25.32,25.379999,20.689243,159700
2016-07-27,25.4,25.450001,25.344999,25.4,20.705549,121800
2016-07-28,25.52,25.549999,25.42,25.51,20.795216,152800
2016-07-29,25.75,25.75,25.549999,25.549999,20.827826,113000
2016-08-01,26.0,26.0,25.629999,25.65,20.909342,150400
2016-08-02,25.799999,25.9,25.700001,25.799999,21.031618,186800
2016-08-03,26.0,26.049999,25.799999,25.889999,21.104986,201100
2016-08-04,25.98,26.0,25.799999,25.870001,21.08868,441200
2016-08-05,25.959999,25.969999,25.85,25.9,21.113136,82600
2016-08-08,26.049999,26.1,25.85,25.93,21.137596,181100
2016-08-09,25.98,26.030001,25.85,25.860001,21.08053,212300
2016-08-10,25.950001,25.962,25.870001,25.940001,21.145742,113100
2016-08-11,26.0,26.01,25.27,25.379999,21.003405,276100
2016-08-12,25.42,25.48,25.379999,25.43,21.044785,153600
2016-08-15,25.5,25.559999,25.48,25.530001,21.127539,92900
2016-08-16,25.6,25.639999,25.469999,25.530001,21.127539,139300
2016-08-17,25.58,25.58,25.459999,25.559999,21.152363,190700
2016-08-18,25.549999,25.559999,25.48,25.549999,21.144093,112700
2016-08-19,25.57,25.57,25.360001,25.4,21.019957,137900
2016-08-22,25.4,25.5,25.4,25.450001,21.061333,121800
2016-08-23,25.469999,25.49,25.42,25.49,21.094439,116100
2016-08-24,25.549999,25.549999,25.5,25.549999,21.144093,76600
2016-08-25,25.6,25.639999,25.549999,25.58,21.168915,160800
2016-08-26,25.6,25.67,25.559999,25.620001,21.202017,74400
2016-08-29,25.67,25.75,25.620001,25.700001,21.268225,84400
2016-08-30,25.74,25.85,25.723,25.75,21.309601,61300
2016-08-31,25.84,25.9,25.799999,25.799999,21.350981,83400
2016-09-01,25.969999,25.99,25.799999,25.815001,21.363392,78900
2016-09-02,25.99,26.049999,25.92,26.049999,21.557867,64300
2016-09-06,26.15,26.200001,25.809999,25.99,21.508213,77500
2016-09-07,26.200001,26.308001,26.0,26.200001,21.682001,67900
2016-09-08,26.280001,26.379999,25.85,25.99,21.508213,112300
2016-09-09,26.139999,26.139999,25.559999,25.700001,21.268225,132200
2016-09-12,26.0,26.0,25.43,25.639999,21.218567,100500
2016-09-13,25.639999,25.639999,24.950001,25.139999,20.804789,102500
2016-09-14,25.299999,25.299999,25.16,25.290001,20.928928,82700
2016-09-15,25.299999,25.59,25.200001,25.309999,20.945477,149100
2016-09-16,25.51,25.51,25.348,25.370001,20.995129,81700
2016-09-19,25.5,26.01,25.5,25.708,21.274843,58700
2016-09-20,25.75,25.860001,25.32,25.4,21.019957,84300
2016-09-21,25.700001,25.73,25.5,25.6,21.185467,103100
2016-09-22,25.610001,25.74,25.6,25.629999,21.210297,62900
2016-09-23,25.73,25.73,25.549999,25.625,21.206158,84000
2016-09-26,25.67,25.83,25.559999,25.690001,21.259949,75600
2016-09-27,25.76,25.9,25.6,25.75,21.309601,253500
2016-09-28,25.75,25.879999,25.67,25.76,21.317877,42900
2016-09-29,25.790001,25.940001,25.790001,25.85,21.392359,29900
2016-09-30,25.969999,26.0,25.860001,25.860001,21.400631,52800
2016-10-03,25.879999,25.99,25.879999,25.879999,21.417183,10500
2016-10-04,25.92,25.92,25.799999,25.804001,21.354288,48100
2016-10-05,25.9,25.959,25.792999,25.82,21.367531,32100
2016-10-06,25.99,25.99,25.82,25.84,21.384081,31900
2016-10-07,25.85,25.959999,25.6,25.719999,21.284771,26000
2016-10-10,25.77,25.790001,25.530001,25.530001,21.127539,19900
2016-10-11,25.6,25.6,25.309999,25.309999,20.945477,102400
2016-10-12,25.5,25.500999,25.26,25.26,20.904095,39700
2016-10-13,25.35,25.5,25.35,25.41,21.028233,25600
2016-10-14,25.48,25.549999,25.469999,25.52,21.119265,22500
2016-10-17,25.6,25.700001,25.6,25.690001,21.259949,29800
2016-10-18,25.9,25.915001,25.811001,25.870001,21.408911,58100
2016-10-19,25.99,25.99,25.9,25.9,21.433733,62300
2016-10-20,26.0,26.02,25.9,25.91,21.442009,63600
2016-10-21,25.99,25.99,25.91,25.91,21.442009,47800
2016-10-24,26.0,26.0,25.91,25.940001,21.466837,45900
2016-10-25,26.0,26.0,25.940001,25.940001,21.466837,47600
2016-10-26,26.0,26.0,25.91,25.950001,21.475115,55400
2016-10-27,25.99,25.99,25.52,25.58,21.168915,62700
2016-10-28,25.85,25.92,25.68,25.790001,21.342703,44400
2016-10-31,25.790001,25.82,25.57,25.57,21.160641,41400
2016-11-01,25.68,25.73,25.5,25.58,21.168915,48100
2016-11-02,25.59,25.690001,25.5,25.620001,21.202017,47600
2016-11-03,25.68,25.871,25.360001,25.4,21.019957,66900
2016-11-04,25.559999,25.59,25.4,25.469999,21.077879,34900
2016-11-07,25.719999,25.83,25.5,25.629999,21.210297,50700
2016-11-08,25.65,25.752001,25.5,25.52,21.119265,61000
2016-11-09,25.52,25.530001,25.01,25.07,20.746862,102300
2016-11-10,25.07,25.149,22.469999,22.950001,19.274603,352300
2016-11-11,23.18,23.66,23.08,23.280001,19.551756,127600
2016-11-14,23.280001,23.51,22.858999,22.950001,19.274603,257500
2016-11-15,23.299999,23.732,23.18,23.379999,19.635738,99600
2016-11-16,23.68,24.17,23.51,23.98,20.139647,91300
2016-11-17,24.4,24.4,24.0,24.139999,20.274025,136800
2016-11-18,24.139999,24.200001,23.75,23.870001,20.047266,78400
2016-11-21,24.110001,24.190001,23.91,23.940001,20.106052,85000
2016-11-22,23.940001,23.979,23.5,23.549999,19.778509,79500
2016-11-23,23.6,23.885,23.400999,23.780001,19.971678,78900
2016-11-25,24.02,24.379999,24.02,24.35,20.450394,20100
2016-11-28,24.59,24.59,23.75,23.93,20.097656,60500
2016-11-29,23.93,24.264999,23.93,23.99,20.148046,42000
2016-11-30,23.940001,23.940001,23.57,23.57,19.795311,149100
2016-12-01,23.639999,23.780001,23.358999,23.639999,19.854099,199600
2016-12-02,24.1,24.200001,23.67,23.83,20.01367,26200
2016-12-05,23.85,23.945999,23.83,23.860001,20.038868,40600
2016-12-06,23.83,23.836,23.5,23.639999,19.854099,35300
2016-12-07,23.700001,24.059999,23.530001,23.709999,19.912888,51900
2016-12-08,23.5,23.629999,23.299999,23.450001,19.694529,65600
2016-12-09,23.58,23.6,22.6,22.83,19.173819,81500
2016-12-12,22.82,23.219999,22.27,22.5,18.896667,146300
2016-12-13,23.059999,23.059999,22.354,22.530001,18.921865,115400
2016-12-14,22.68,22.816999,22.549999,22.639999,19.014248,70400
2016-12-15,22.700001,22.700001,22.549999,22.559999,18.94706,155200
2016-12-16,22.700001,22.799999,22.200001,22.34,18.762295,89400
2016-12-19,22.440001,22.639999,22.27,22.5,18.896667,80100
2016-12-20,22.5,22.67,22.5,22.67,19.039442,58500
2016-12-21,22.67,23.049999,22.67,22.85,19.190615,65300
2016-12-22,22.93,23.059999,22.85,23.040001,19.350189,77900
2016-12-23,23.040001,23.309999,22.959999,23.1,19.400578,38200
2016-12-27,23.370001,23.48,23.299999,23.48,19.719721,64400
2016-12-28,23.5,23.549999,23.360001,23.42,19.669333,43600
2016-12-29,23.51,23.679001,23.5,23.65,19.862499,33600
2016-12-30,23.65,23.92,23.52,23.57,19.795311,44100
2017-01-03,23.809999,23.959999,23.687,23.84,20.022068,25200
2017-01-04,23.799999,24.1,23.799999,24.1,20.240431,29100
2017-01-05,24.34,24.450001,24.15,24.360001,20.458792,48400
2017-01-06,24.309999,24.450001,24.299999,24.4,20.492382,48700
2017-01-09,24.4,24.4,24.120001,24.299999,20.408398,28000
2017-01-10,24.16,24.200001,23.92,24.15,20.282423,25200
2017-01-11,23.91,24.139999,23.9,24.139999,20.274025,28800
2017-01-12,24.139999,24.139999,23.809999,24.129999,20.265629,25700
2017-01-13,24.129999,24.25,24.087999,24.25,20.366407,21400
2017-01-17,24.299999,24.5,24.25,24.48,20.559578,80200
