Date,Open,High,Low,Close,Adj Close,Volume
2019-11-14,10.06,10.12,10.06,10.12,10.12,6467
2019-11-15,10.0777,10.0777,10.0752,10.0752,10.0752,260
2019-11-18,10.05,10.12,10.05,10.07,10.07,1546
2019-11-19,10.06,10.06,10.06,10.06,10.06,660
2019-11-20,10.06,10.12,10.06,10.0999,10.0999,37120
2019-11-21,10.0948,10.0948,10.0948,10.0948,10.0948,2100
2019-11-22,10.08,10.11,10.08,10.0926,10.0926,71650
2019-11-25,10.1,10.1,10.1,10.1,10.1,2000
2019-11-27,10.08,10.1,10.08,10.1,10.1,950
2019-11-29,10.1,10.1,10.1,10.1,10.1,0
2019-12-02,10.1,10.1,10.1,10.1,10.1,0
2019-12-03,10.08,10.08,10.08,10.08,10.08,816
2019-12-04,10.115,10.115,10.1065,10.1065,10.1065,210
2019-12-05,10.08,10.12,10.08,10.12,10.12,2070
2019-12-06,10.12,10.12,10.08,10.08,10.08,10900
2019-12-09,10.08,10.08,10.08,10.08,10.08,0
2019-12-10,10.08,10.08,10.08,10.08,10.08,0
2019-12-11,10.1,10.1,10.1,10.1,10.1,300
2019-12-12,10.2065,10.2065,10.14,10.14,10.14,1415
2019-12-13,10.14,10.14,10.12,10.12,10.12,14100
2019-12-16,10.3575,10.3575,10.3575,10.3575,10.3575,125
2019-12-17,10.24,10.24,10.13,10.24,10.24,56021
2019-12-18,10.24,10.24,10.24,10.24,10.24,0
2019-12-19,10.24,10.24,10.24,10.24,10.24,0
2019-12-20,10.24,10.24,10.24,10.24,10.24,0
2019-12-23,10.24,10.24,10.24,10.24,10.24,0
2019-12-24,10.24,10.24,10.24,10.24,10.24,0
2019-12-26,10.1501,10.1501,10.1501,10.1501,10.1501,250
2019-12-27,10.1501,10.1501,10.1501,10.1501,10.1501,0
2019-12-30,10.1501,10.1501,10.1501,10.1501,10.1501,0
