Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.95,15.04,14.87,15.0,11.558493,51800
2010-01-05,15.0,15.04,14.8,14.92,11.496847,54900
2010-01-06,14.84,14.92,14.81,14.87,11.458319,35300
2010-01-07,14.87,14.87,14.7,14.78,11.388968,72000
2010-01-08,14.72,14.88,14.65,14.7,11.327322,30100
2010-01-11,14.7,14.9,14.63,14.7,11.327322,34700
2010-01-12,14.78,14.78,14.51,14.58,11.234855,27800
2010-01-13,14.58,14.69,14.45,14.57,11.227148,27400
2010-01-14,14.7,14.89,14.62,14.88,11.466025,21700
2010-01-15,14.99,15.0,14.82,14.98,11.54308,28800
2010-01-19,15.0,15.01,14.82,14.94,11.512258,42800
2010-01-20,14.95,15.1,14.83,15.05,11.59702,45900
2010-01-21,15.05,15.34,14.87,15.05,11.59702,28600
2010-01-22,14.91,15.27,14.9,15.04,11.589315,31500
2010-01-25,14.96,15.45,14.96,15.09,11.627844,33500
2010-01-26,15.01,15.2,14.89,15.09,11.627844,33000
2010-01-27,15.09,15.48,14.75,15.48,11.928363,26100
2010-01-28,15.48,15.49,14.75,14.76,11.373557,32300
2010-01-29,14.75,14.98,14.75,14.79,11.396673,32300
2010-02-01,14.85,14.9,14.62,14.82,11.41979,37700
2010-02-02,14.92,14.98,14.85,14.9,11.481435,32500
2010-02-03,14.9,15.5,14.9,15.49,11.936071,55000
2010-02-04,15.15,15.2,14.76,14.8,11.404379,36600
2010-02-05,14.67,14.69,13.66,13.82,10.649225,168000
2010-02-08,13.85,14.15,13.75,13.91,10.718575,35700
2010-02-09,14.12,14.3,13.85,14.22,10.95745,30600
2010-02-10,14.2,14.88,14.12,14.76,11.373557,30000
2010-02-11,14.66,15.0,14.54,14.71,11.335029,31200
2010-02-12,14.76,14.9,14.55,14.65,11.288794,16400
2010-02-16,14.66,14.95,14.66,14.9,11.481435,41700
2010-02-17,15.0,15.25,14.88,15.21,11.720312,17500
2010-02-18,15.25,15.39,15.0,15.3,11.789662,44800
2010-02-19,15.39,15.48,15.22,15.42,11.882129,40200
2010-02-22,15.32,15.54,15.32,15.48,11.928363,37400
2010-02-23,15.62,15.62,15.42,15.6,12.020833,31400
2010-02-24,15.6,15.68,15.55,15.62,12.036243,34900
2010-02-25,15.61,15.65,15.4,15.63,12.043948,31000
2010-02-26,15.65,15.72,15.63,15.72,12.1133,40400
2010-03-01,15.75,16.0,15.65,15.93,12.275119,73200
2010-03-02,16.0,16.379999,15.98,16.379999,12.621874,70900
2010-03-03,16.34,16.43,15.96,16.299999,12.560227,46500
2010-03-04,16.200001,16.26,16.01,16.110001,12.413821,27700
2010-03-05,16.200001,16.200001,16.0,16.190001,12.475467,36200
2010-03-08,16.25,16.389999,16.209999,16.389999,12.629578,48200
2010-03-09,16.4,16.700001,16.299999,16.700001,12.868455,69500
2010-03-10,16.700001,16.870001,16.48,16.870001,12.999453,72200
2010-03-11,16.09,16.5,16.030001,16.24,12.833501,47500
2010-03-12,16.43,16.5,15.91,16.09,12.714964,45100
2010-03-15,16.139999,16.139999,15.63,16.049999,12.683353,42600
2010-03-16,15.95,16.200001,15.76,15.86,12.533208,35400
2010-03-17,15.97,16.139999,15.75,15.75,12.446282,47800
2010-03-18,15.85,16.049999,15.75,15.82,12.501599,18500
2010-03-19,15.78,16.059999,15.76,15.78,12.469989,23600
2010-03-22,15.75,16.200001,15.75,15.97,12.620134,30700
2010-03-23,16.0,16.16,15.98,16.120001,12.738671,23500
2010-03-24,16.030001,16.18,15.75,15.75,12.446282,18700
2010-03-25,15.75,16.08,15.75,15.95,12.604329,25300
2010-03-26,16.110001,16.110001,15.81,15.81,12.493698,22500
2010-03-29,15.83,15.96,15.8,15.8,12.485794,26200
2010-03-30,15.98,15.99,15.81,15.95,12.604329,23400
2010-03-31,15.99,16.200001,15.92,16.01,12.651744,36100
2010-04-01,16.01,16.15,15.97,16.15,12.762379,17700
2010-04-05,16.129999,16.190001,15.97,16.190001,12.793989,30200
2010-04-06,16.17,16.5,16.01,16.5,13.038961,23600
2010-04-07,16.379999,16.379999,16.1,16.1,12.722868,13300
2010-04-08,16.049999,16.25,15.98,16.120001,12.738671,21600
2010-04-09,16.24,16.379999,16.030001,16.360001,12.928329,16200
2010-04-12,16.200001,16.370001,16.18,16.26,12.849306,19700
2010-04-13,16.129999,16.24,15.9,15.9,12.564819,22400
2010-04-14,15.98,16.200001,15.91,16.200001,12.80189,12100
2010-04-15,16.139999,16.299999,15.91,16.26,12.849306,17400
2010-04-16,16.23,16.23,15.72,15.81,12.493698,31100
2010-04-19,15.73,16.200001,15.73,16.030001,12.667551,22400
2010-04-20,16.07,16.23,15.8,16.23,12.825598,31700
2010-04-21,16.25,16.25,15.74,15.86,12.533208,24300
2010-04-22,16.059999,16.32,15.87,16.1,12.722868,33800
2010-04-23,16.02,16.190001,15.99,16.040001,12.675453,11100
2010-04-26,16.309999,17.25,16.299999,17.0,13.434083,125300
2010-04-27,17.200001,17.24,17.01,17.17,13.568423,67300
2010-04-28,17.26,17.35,16.75,16.889999,13.347156,64400
2010-04-29,16.52,16.52,15.7,15.84,12.517405,257000
2010-04-30,15.83,15.98,15.75,15.82,12.501599,61200
2010-05-03,15.71,16.02,15.71,16.02,12.659648,83100
2010-05-04,15.93,16.09,15.76,16.01,12.651744,63500
2010-05-05,16.01,16.360001,15.5,15.98,12.628038,110600
2010-05-06,16.0,16.200001,13.9,14.41,11.387362,189900
2010-05-07,14.95,15.89,14.6,15.6,12.327747,125100
2010-05-10,16.200001,16.35,15.82,16.110001,12.73077,97400
2010-05-11,16.299999,16.77,16.190001,16.450001,12.999453,82400
2010-05-12,16.68,16.68,16.200001,16.290001,12.873013,63400
2010-05-13,16.25,16.370001,16.120001,16.360001,12.928329,32900
2010-05-14,16.41,16.49,16.219999,16.32,12.89672,32700
2010-05-17,16.49,16.620001,16.209999,16.620001,13.133793,34800
2010-05-18,16.68,16.799999,16.6,16.74,13.228621,51800
2010-05-19,16.65,16.75,16.4,16.52,13.054769,38900
2010-05-20,16.450001,16.450001,15.78,15.87,12.541112,74600
2010-05-21,15.56,16.280001,15.45,16.030001,12.667551,74800
2010-05-24,16.09,16.35,16.01,16.27,12.857208,52300
2010-05-25,16.01,16.02,15.5,15.71,12.414673,65600
2010-05-26,15.98,16.309999,15.96,16.02,12.659648,34400
2010-05-27,16.299999,16.34,16.059999,16.309999,12.888817,39800
2010-05-28,16.440001,16.5,16.23,16.370001,12.936234,28100
2010-06-01,16.290001,16.709999,16.25,16.58,13.102181,40800
2010-06-02,16.58,16.940001,16.450001,16.940001,13.386668,48500
2010-06-03,16.860001,17.040001,16.75,17.040001,13.465694,55700
2010-06-04,17.0,17.0,16.75,16.82,13.29184,43200
2010-06-07,16.969999,16.969999,16.73,16.870001,13.331354,34400
2010-06-08,16.870001,17.059999,16.629999,16.879999,13.339253,50700
2010-06-09,16.860001,17.040001,16.77,16.98,13.418279,49600
