Date,Open,High,Low,Close,Adj Close,Volume
2013-12-19,9.62,9.62,9.62,9.62,9.31917,27500
2013-12-20,9.62,9.62,9.62,9.62,9.31917,0
2013-12-23,9.62,9.62,9.62,9.62,9.31917,0
2013-12-24,9.62,9.62,9.62,9.62,9.31917,0
2013-12-26,9.62,9.62,9.62,9.62,9.31917,0
2013-12-27,9.62,9.62,9.62,9.62,9.31917,0
2013-12-30,9.62,9.62,9.62,9.62,9.31917,0
2013-12-31,9.62,9.62,9.62,9.62,9.31917,0
2014-01-02,9.62,9.62,9.62,9.62,9.31917,0
2014-01-03,9.62,9.62,9.62,9.62,9.31917,0
2014-01-06,9.62,9.62,9.62,9.62,9.31917,0
2014-01-07,9.62,9.62,9.62,9.62,9.31917,0
2014-01-08,9.62,9.62,9.62,9.62,9.31917,0
2014-01-09,9.62,9.62,9.62,9.62,9.31917,0
2014-01-10,9.62,9.62,9.62,9.62,9.31917,0
2014-01-13,9.62,9.62,9.62,9.62,9.31917,0
2014-01-14,9.62,9.62,9.62,9.62,9.31917,0
2014-01-15,9.62,9.62,9.62,9.62,9.31917,0
2014-01-16,9.62,9.62,9.62,9.62,9.31917,0
2014-01-17,9.62,9.62,9.62,9.62,9.31917,0
2014-01-21,9.62,9.62,9.62,9.62,9.31917,0
2014-01-22,9.62,9.62,9.62,9.62,9.31917,0
2014-01-23,9.6,9.6,9.6,9.6,9.299795,100
2014-01-24,9.6,9.6,9.6,9.6,9.299795,0
2014-01-27,9.73,10.73,9.6,9.89,9.580726,16700
2014-01-28,9.65,9.79,9.65,9.74,9.435417,16600
2014-01-29,9.74,9.74,9.74,9.74,9.435417,0
2014-01-30,9.74,9.83,9.7,9.76,9.454792,238800
2014-01-31,9.7,9.83,9.7,9.74,9.435417,213800
2014-02-03,9.71,9.78,9.7,9.72,9.416041,70500
2014-02-04,9.7,9.73,9.7,9.72,9.416041,9200
2014-02-05,9.72,9.74,9.72,9.73,9.425729,25300
2014-02-06,9.72,9.73,9.71,9.71,9.406354,10400
2014-02-07,9.72,9.72,9.72,9.72,9.416041,300
2014-02-10,9.71,9.74,9.71,9.72,9.416041,1100
2014-02-11,9.72,9.72,9.72,9.72,9.416041,0
2014-02-12,9.73,9.81,9.71,9.71,9.406354,10500
2014-02-13,9.72,9.72,9.72,9.72,9.416041,5200
2014-02-14,9.72,9.81,9.71,9.8,9.493541,17500
