Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.02,6.1,5.86,6.1,4.765097,33200
2010-01-05,6.07,6.1,5.91,6.0,4.686978,36500
2010-01-06,5.99,6.09,5.92,5.97,4.663544,69200
2010-01-07,5.95,6.09,5.92,6.04,4.718225,30300
2010-01-08,6.01,6.07,5.94,6.03,4.710414,33600
2010-01-11,6.11,6.2,5.99,6.08,4.749474,27900
2010-01-12,6.05,6.08,5.97,6.0,4.686978,49100
2010-01-13,6.0,6.02,5.96,5.96,4.655733,35200
2010-01-14,5.96,6.12,5.95,6.03,4.710414,39300
2010-01-15,6.05,6.16,5.75,5.81,4.538558,78700
2010-01-19,5.84,6.0,5.73,5.8,4.530747,75500
2010-01-20,5.75,5.92,5.72,5.73,4.476066,84700
2010-01-21,5.74,5.91,5.72,5.72,4.468254,49500
2010-01-22,5.73,6.2,5.71,5.96,4.655733,88500
2010-01-25,6.0,6.0,5.76,5.8,4.530747,12700
2010-01-26,5.77,6.03,5.76,5.92,4.624486,29600
2010-01-27,5.87,6.02,5.85,5.99,4.679168,27000
2010-01-28,6.02,6.02,5.83,5.87,4.585428,45900
2010-01-29,5.89,5.99,5.78,5.81,4.538558,45600
2010-02-01,5.82,5.82,5.77,5.8,4.530747,37000
2010-02-02,5.79,5.94,5.76,5.89,4.601051,68000
2010-02-03,5.86,5.97,5.8,5.94,4.64011,35800
2010-02-04,5.87,5.92,5.8,5.8,4.530747,47000
2010-02-05,5.82,5.88,5.78,5.85,4.569805,21000
2010-02-08,5.83,5.83,5.73,5.75,4.491689,24500
2010-02-09,5.82,5.87,5.74,5.81,4.538558,17200
2010-02-10,5.79,5.8,5.68,5.74,4.483877,21900
2010-02-11,5.72,6.0,5.68,5.99,4.679168,69000
2010-02-12,5.94,6.02,5.84,6.02,4.702601,60900
2010-02-16,6.01,6.08,5.92,6.0,4.686978,26700
2010-02-17,6.0,6.13,5.87,6.04,4.718225,31700
2010-02-18,5.84,6.28,5.84,6.27,4.897893,18600
2010-02-19,6.23,6.23,6.1,6.19,4.835401,52300
2010-02-22,6.21,6.22,6.09,6.16,4.811966,42900
2010-02-23,6.17,6.18,6.11,6.11,4.772907,27300
2010-02-24,6.11,6.2,6.0,6.17,4.819777,28000
2010-02-25,6.08,6.18,6.02,6.17,4.819777,18900
2010-02-26,6.19,6.22,6.09,6.09,4.757285,42900
2010-03-01,6.09,6.3,6.02,6.28,4.905705,35300
2010-03-02,6.26,6.72,6.11,6.59,5.147865,56900
2010-03-03,6.62,6.62,6.37,6.51,5.085372,35800
2010-03-04,6.54,6.54,6.36,6.51,5.085372,12100
2010-03-05,6.29,6.51,5.88,6.47,5.054127,92500
2010-03-08,6.45,6.48,6.29,6.37,4.97601,55000
2010-03-09,6.15,6.39,6.06,6.39,4.991633,23900
2010-03-10,6.37,6.4,6.16,6.35,4.960386,26300
2010-03-11,6.29,6.33,6.13,6.33,4.944763,11500
2010-03-12,6.32,6.32,6.11,6.15,4.804153,21100
2010-03-15,6.15,6.31,6.12,6.16,4.811966,16100
2010-03-16,6.17,6.27,6.11,6.25,4.88227,20100
2010-03-17,6.24,6.32,6.18,6.26,4.890082,21800
2010-03-18,6.2,6.3,6.2,6.22,4.858836,12700
2010-03-19,6.25,6.25,5.99,6.03,4.710414,61000
2010-03-22,5.99,6.37,5.99,6.29,4.913517,62800
2010-03-23,6.24,6.58,6.03,6.52,5.093184,61100
2010-03-24,6.48,6.59,6.36,6.38,4.983822,30400
2010-03-25,6.45,6.46,6.18,6.22,4.858836,139700
