Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.319571,5.319571,5.129019,5.216356,3.657124,3600
2010-01-05,5.216356,5.414847,5.017864,5.017864,3.517963,9100
2010-01-06,5.462485,5.462485,5.160778,5.240175,3.673822,1700
2010-01-07,5.311632,5.462485,5.232235,5.462485,3.829682,6500
2010-01-08,5.256054,5.335451,5.256054,5.319571,3.729486,13300
2010-01-11,5.327511,5.422787,5.327511,5.35927,3.757318,5000
2010-01-12,5.462485,5.668916,5.35927,5.446606,3.818549,9200
2010-01-13,5.58158,5.597459,5.58158,5.597459,3.924309,1800
2010-01-14,5.621278,5.756252,5.605399,5.756252,4.035639,11800
2010-01-15,5.764192,5.764192,5.756252,5.756252,4.035639,1500
2010-01-19,5.772132,5.922985,5.772132,5.81977,4.08017,5200
2010-01-20,5.938865,6.081779,5.938865,5.978563,4.191497,14600
2010-01-21,6.153235,6.153235,5.764192,5.835649,4.0913,8100
2010-01-22,5.716554,5.922985,5.557761,5.859468,4.108001,12200
2010-01-25,5.645097,5.645097,5.565701,5.645097,3.957709,5100
2010-01-26,5.716554,5.930925,5.716554,5.80389,4.069036,7200
2010-01-27,5.835649,5.835649,5.748313,5.795951,4.06347,4600
2010-01-28,5.835649,5.954744,5.81183,5.954744,4.174798,1300
2010-01-29,5.843589,5.954744,5.843589,5.915046,4.146966,1700
2010-02-01,5.954744,5.954744,5.922985,5.922985,4.152533,4600
2010-02-02,5.80389,5.875347,5.756252,5.875347,4.119133,5200
2010-02-03,5.875347,5.875347,5.875347,5.875347,4.119133,0
2010-02-04,5.915046,5.994442,5.915046,5.994442,4.202629,6200
2010-02-05,5.954744,5.954744,5.954744,5.954744,4.174798,1600
2010-02-08,5.80389,5.80389,5.80389,5.80389,4.069036,300
2010-02-09,5.883287,5.883287,5.883287,5.883287,4.124701,1000
2010-02-10,5.875347,5.875347,5.875347,5.875347,4.119133,1800
2010-02-11,5.954744,5.954744,5.930925,5.930925,4.158099,1500
2010-02-12,5.946805,5.970623,5.938865,5.962684,4.180365,5000
2010-02-16,5.994442,6.04208,5.994442,6.04208,4.23603,11800
2010-02-17,6.073839,6.542279,6.073839,6.431123,4.508781,15100
2010-02-18,6.335847,6.335847,6.208813,6.28027,4.403021,8100
2010-02-19,6.208813,6.319968,6.208813,6.27233,4.397454,11000
2010-02-22,6.27233,6.27233,6.216753,6.216753,4.358489,7700
2010-02-23,6.232632,6.232632,6.232632,6.232632,4.369621,4800
2010-02-24,6.224692,6.248511,5.954744,5.978563,4.191497,6800
2010-02-25,5.954744,5.986503,5.883287,5.970623,4.185931,32600
2010-02-26,6.216753,6.216753,5.875347,5.875347,4.119133,7000
2010-03-01,5.867408,5.930925,5.859468,5.859468,4.108001,9000
2010-03-02,6.208813,6.216753,5.986503,6.026201,4.224895,2300
2010-03-03,5.978563,6.05002,5.946805,6.034141,4.230462,20200
2010-03-04,6.04208,6.05002,5.843589,5.859468,4.108001,9200
2010-03-05,5.891227,6.208813,5.891227,5.915046,4.146966,4100
2010-03-08,6.073839,6.351727,6.073839,6.312028,4.425285,26600
2010-03-09,6.312028,6.312028,6.26439,6.26439,4.391888,1800
2010-03-10,6.26439,6.343787,6.200873,6.27233,4.397454,4500
2010-03-11,6.256451,6.343787,6.248511,6.343787,4.526941,8300
2010-03-12,6.351727,6.621675,6.351727,6.51052,4.645923,16000
2010-03-15,6.470822,6.589917,6.470822,6.534339,4.66292,11500
2010-03-16,6.764589,6.764589,6.629615,6.653434,4.747908,9200
2010-03-17,6.613736,7.066296,6.439063,7.066296,5.042526,15300
2010-03-18,7.137753,7.137753,6.867805,7.113934,5.07652,10800
2010-03-19,6.947201,7.145693,6.947201,7.145693,5.099183,4500
2010-03-22,7.105994,7.137753,6.653434,6.669313,4.759238,22000
2010-03-23,6.677253,6.772529,6.677253,6.772529,4.832893,12500
2010-03-24,6.836046,7.026598,6.74871,7.026598,5.014199,2700
2010-03-25,6.891623,7.113934,6.716951,7.113934,5.07652,10600
2010-03-26,7.002779,7.002779,6.851925,7.002779,4.997199,2700
2010-03-29,7.098055,7.145693,7.050417,7.137753,5.093519,4500
2010-03-30,7.121874,7.121874,6.74871,6.764589,4.827227,10000
2010-03-31,7.042477,7.042477,6.772529,6.843986,4.883884,6600
2010-04-01,6.97102,6.97102,6.597857,6.597857,4.708246,30300
2010-04-05,6.470822,6.558158,6.470822,6.550218,4.674252,1200
2010-04-06,6.574038,6.581977,6.558158,6.558158,4.679918,500
2010-04-07,6.51052,6.756649,6.51052,6.51052,4.645923,6700
2010-04-08,6.613736,6.685193,6.526399,6.621675,4.725244,15700
2010-04-09,6.74871,7.090115,6.74871,7.090115,5.059524,7100
2010-04-12,7.121874,7.121874,6.772529,6.867805,4.900883,9000
2010-04-13,6.875744,6.931322,6.74871,6.756649,4.821561,9700
2010-04-14,6.788408,6.939261,6.788408,6.867805,4.900883,3700
2010-04-15,6.867805,7.098055,6.867805,7.066296,5.042526,9700
2010-04-16,7.129813,7.352124,7.129813,7.312426,5.218164,12500
2010-04-19,7.312426,7.733227,7.312426,7.717348,5.507118,18000
2010-04-20,7.717348,8.003176,7.717348,7.852323,5.603436,29000
2010-04-21,7.852323,8.003176,7.780865,7.788805,5.55811,13200
2010-04-22,7.780865,8.098452,7.780865,8.098452,5.779075,12700
2010-04-23,7.979357,8.019055,7.852323,7.939659,5.665759,5500
