Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,13.5,16.0,13.29,15.94,15.94,4973400
2019-10-28,15.9,18.15,15.861,17.209999,17.209999,1163500
2019-10-29,17.23,17.25,16.110001,16.43,16.43,546100
2019-10-30,16.389999,16.9,16.0,16.209999,16.209999,349100
2019-10-31,16.200001,17.379999,16.120001,16.43,16.43,1200300
2019-11-01,16.459999,18.700001,16.216,18.379999,18.379999,557500
2019-11-04,18.9,19.85,18.700001,19.049999,19.049999,725200
2019-11-05,19.200001,19.879999,19.200001,19.790001,19.790001,342300
2019-11-06,19.879999,20.237,19.209999,19.9,19.9,521600
2019-11-07,19.99,21.040001,19.610001,20.92,20.92,431500
2019-11-08,20.85,21.785,19.440001,21.75,21.75,302100
2019-11-11,21.639999,22.75,20.76,21.99,21.99,376000
2019-11-12,22.15,22.495001,20.190001,20.809999,20.809999,365400
2019-11-13,20.74,21.655001,20.200001,20.5,20.5,422400
2019-11-14,20.42,21.0,19.27,20.559999,20.559999,353400
2019-11-15,22.41,23.99,21.305,23.76,23.76,1284900
2019-11-18,24.0,25.950001,23.02,24.92,24.92,917900
2019-11-19,25.5,29.290001,24.25,26.82,26.82,1191000
2019-11-20,26.34,28.700001,25.030001,26.559999,26.559999,1022900
2019-11-21,26.5,28.719999,26.27,27.0,27.0,783100
2019-11-22,27.25,28.129999,25.57,25.68,25.68,466900
2019-11-25,25.73,26.530001,25.18,25.719999,25.719999,481100
2019-11-26,25.790001,25.99,25.129999,25.76,25.76,445000
2019-11-27,25.76,27.4,25.559999,26.99,26.99,634400
2019-11-29,27.23,27.889999,26.639999,26.639999,26.639999,192000
2019-12-02,27.559999,28.969999,27.059999,28.540001,28.540001,1230800
2019-12-03,27.690001,29.198999,27.5,27.719999,27.719999,548100
2019-12-04,28.15,29.040001,25.110001,26.34,26.34,1538700
2019-12-05,27.620001,27.91,24.17,27.860001,27.860001,1440200
2019-12-06,27.57,32.0,26.43,30.49,30.49,2537900
2019-12-09,31.469999,31.5,25.52,27.809999,27.809999,1901900
2019-12-10,28.0,28.780001,27.02,27.33,27.33,743700
2019-12-11,27.299999,27.57,25.35,26.459999,26.459999,1062200
2019-12-12,26.440001,27.15,25.049999,25.16,25.16,656400
2019-12-13,25.27,26.41,25.200001,25.99,25.99,671100
2019-12-16,26.219999,26.700001,24.32,24.91,24.91,1044800
2019-12-17,24.879999,25.76,24.6,25.49,25.49,646300
2019-12-18,25.469999,25.799999,24.26,24.459999,24.459999,657400
2019-12-19,24.540001,24.983,22.9,23.84,23.84,967100
2019-12-20,23.84,24.639999,23.1,23.540001,23.540001,2407400
2019-12-23,23.530001,25.9,23.129999,25.700001,25.700001,873400
2019-12-24,25.629999,25.99,25.41,25.65,25.65,265400
2019-12-26,25.559999,26.837,24.790001,26.27,26.27,721300
2019-12-27,26.559999,27.99,26.34,27.950001,27.950001,576200
2019-12-30,28.129999,28.65,26.84,28.205,28.205,547700
