Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,5.75,5.86,5.69,5.85,5.421878,9800
2010-01-05,5.84,6.16,5.77,5.95,5.514561,58900
2010-01-06,5.89,6.1,5.69,6.01,5.570169,49000
2010-01-07,6.03,6.03,5.72,5.97,5.533096,21400
2010-01-08,6.0,6.3,5.87,6.2,5.746264,43300
2010-01-11,6.18,6.79,6.09,6.73,6.237477,34500
2010-01-12,6.66,8.15,6.61,7.99,7.405266,119600
2010-01-13,8.07,8.43,7.95,8.4,7.78526,90600
2010-01-14,8.23,8.34,7.94,8.28,7.674044,40700
2010-01-15,8.12,8.45,7.91,8.45,7.831603,47800
2010-01-19,8.61,8.84,8.43,8.82,8.174524,30100
2010-01-20,8.93,9.44,8.81,9.15,8.480371,73600
2010-01-21,9.24,9.36,9.05,9.28,8.600861,28600
2010-01-22,9.39,9.39,8.47,8.47,7.850139,26600
2010-01-25,8.53,8.79,7.98,8.67,8.035502,30300
2010-01-26,8.64,8.88,8.42,8.87,8.220865,26800
2010-01-27,8.99,8.99,8.42,8.78,8.137453,23000
2010-01-28,8.76,8.8,8.3,8.67,8.035502,12400
2010-01-29,8.45,9.14,8.37,9.14,8.471107,47700
2010-02-01,9.0,9.21,8.51,9.08,8.415499,31000
2010-02-02,8.87,9.17,8.62,9.07,8.406228,40100
2010-02-03,9.05,9.18,8.9,9.15,8.480371,26300
2010-02-04,9.1,9.2,8.8,9.08,8.415499,27700
2010-02-05,9.17,9.17,8.43,8.46,7.840873,21100
2010-02-08,8.46,8.61,8.15,8.19,7.590629,30800
2010-02-09,8.19,8.51,7.86,7.86,7.284781,34200
2010-02-10,7.83,8.17,7.56,8.0,7.414534,13300
2010-02-11,8.24,8.25,7.97,8.2,7.599899,13000
2010-02-12,8.1,8.1,7.7,7.73,7.164294,25600
2010-02-16,7.71,7.9,7.45,7.73,7.164294,16400
2010-02-17,7.77,7.77,7.16,7.39,6.849177,58600
2010-02-18,7.23,7.53,6.73,7.4,6.858445,53800
2010-02-19,7.49,7.84,7.22,7.83,7.256977,29200
2010-02-22,7.84,8.72,7.67,8.41,7.794531,48200
2010-02-23,8.52,8.55,7.79,8.34,7.729654,14800
2010-02-24,8.46,8.73,8.15,8.2,7.599899,23300
2010-02-25,8.3,8.3,8.0,8.2,7.599899,10400
2010-02-26,7.84,8.24,7.84,8.02,7.433072,19200
2010-03-01,7.93,8.5,7.6,8.5,7.877944,38600
2010-03-02,8.22,9.04,8.22,8.97,8.313549,47700
2010-03-03,8.67,9.25,8.67,9.04,8.378425,58900
2010-03-04,9.16,9.3,8.9,9.24,8.563787,43600
2010-03-05,9.29,9.29,8.86,9.11,8.4433,25500
2010-03-08,9.11,9.14,8.77,9.01,8.350621,26700
2010-03-09,9.1,9.96,9.1,9.62,8.915979,56200
2010-03-10,9.76,9.92,9.45,9.75,9.036464,23200
2010-03-11,9.85,9.86,9.12,9.74,9.027195,21200
2010-03-12,9.75,9.85,9.35,9.68,8.971587,12900
2010-03-15,9.82,9.89,9.59,9.75,9.036464,36600
2010-03-16,9.52,9.8,9.45,9.7,8.990123,25900
2010-03-17,9.74,9.79,9.48,9.7,8.990123,18200
2010-03-18,9.64,9.81,9.46,9.69,8.980855,30400
2010-03-19,9.79,9.86,8.82,8.82,8.174524,45200
2010-03-22,8.83,9.23,8.35,8.35,7.738921,64900
2010-03-23,8.46,8.79,8.46,8.57,7.942819,31600
2010-03-24,8.63,8.84,8.35,8.39,7.775995,24300
2010-03-25,8.6,8.7,8.25,8.25,7.646238,39800
2010-03-26,8.41,8.8,8.21,8.25,7.646238,63300
2010-03-29,8.3,8.69,8.16,8.17,7.572093,51700
2010-03-30,8.15,8.73,8.15,8.68,8.044773,31400
2010-03-31,8.65,8.94,8.32,8.74,8.100379,87200
2010-04-01,8.95,9.58,8.8,9.29,8.610128,37200
2010-04-05,9.33,9.9,9.33,9.88,9.156952,44900
2010-04-06,9.76,10.0,9.66,10.0,9.268168,65400
2010-04-07,10.01,10.2,9.65,9.9,9.175486,25600
2010-04-08,9.98,10.12,9.98,9.98,9.249635,21900
2010-04-09,9.88,10.07,9.85,9.85,9.129147,17600
2010-04-12,9.95,10.5,9.95,10.48,9.713042,29900
2010-04-13,10.34,10.89,10.02,10.78,9.991085,51200
2010-04-14,10.84,11.12,10.51,10.99,10.185719,32300
2010-04-15,10.95,11.46,10.93,11.42,10.584249,32400
2010-04-16,11.4,11.41,11.0,11.13,10.315471,33200
2010-04-19,11.17,11.43,10.74,11.06,10.250595,23200
2010-04-20,11.2,11.42,11.08,11.18,10.361814,13600
2010-04-21,11.14,11.63,10.95,11.6,10.751079,32400
2010-04-22,11.55,13.26,11.43,12.98,12.030084,76700
2010-04-23,13.03,13.95,13.03,13.54,12.5491,29400
2010-04-26,13.63,14.98,13.6,13.71,12.706659,84300
2010-04-27,13.77,13.77,11.5,12.08,11.195948,82900
2010-04-28,12.25,13.55,12.25,13.27,12.298858,38600
2010-04-29,13.51,14.71,13.16,13.69,12.688123,52900
2010-04-30,14.0,14.23,12.6,12.87,11.928131,30700
2010-05-03,12.8,13.95,12.8,13.55,12.558369,62200
2010-05-04,13.89,13.89,12.82,13.37,12.39154,61300
2010-05-05,12.89,13.8,12.22,13.67,12.669588,66500
2010-05-06,13.5,13.5,12.31,12.74,11.807646,52800
2010-05-07,13.06,13.81,12.18,12.5,11.585214,48700
2010-05-10,13.13,13.53,12.66,13.46,12.474955,41700
2010-05-11,13.63,13.63,12.83,13.46,12.474955,77600
2010-05-12,13.56,14.24,13.43,14.14,13.105192,44800
2010-05-13,14.23,14.61,13.84,14.0,12.975434,34100
2010-05-14,14.08,14.35,13.18,13.76,12.753001,28900
2010-05-17,14.09,14.23,13.45,14.21,13.170067,20900
2010-05-18,14.51,14.68,14.0,14.25,13.207141,34900
2010-05-19,14.15,14.15,13.54,13.8,12.790075,27700
2010-05-20,13.54,13.57,12.5,13.14,12.178375,38300
2010-05-21,12.62,13.74,12.55,13.38,12.400809,26700
2010-05-24,13.4,14.0,13.4,13.8,12.790075,30500
2010-05-25,13.41,13.76,12.34,13.08,12.122766,57800
2010-05-26,13.72,14.15,13.09,13.86,12.845683,54000
2010-05-27,14.16,14.74,14.01,14.73,13.652014,46700
2010-05-28,14.35,14.73,13.93,14.65,13.577866,48900
2010-06-01,14.66,14.66,14.22,14.22,13.179337,31400
2010-06-02,14.26,14.48,14.16,14.35,13.299824,17000
2010-06-03,14.35,15.23,14.35,14.72,13.642742,128500
2010-06-04,14.31,15.0,12.68,13.73,12.725194,186200
2010-06-07,13.87,14.16,13.6,13.68,12.678853,36300
2010-06-08,13.17,13.86,13.14,13.26,12.289593,83800
2010-06-09,13.3,14.24,12.73,12.85,11.909598,119100
2010-06-10,12.86,13.61,12.86,13.6,12.604711,53400
2010-06-11,13.45,14.25,13.45,14.15,13.114458,35800
2010-06-14,14.7,15.08,14.7,15.0,13.902252,154400
2010-06-15,15.01,15.76,14.92,15.44,14.310054,73000
2010-06-16,15.71,15.8,15.41,15.56,14.421269,73800
2010-06-17,15.76,15.8,15.37,15.57,14.430537,42300
2010-06-18,15.68,15.9,15.51,15.67,14.523222,45000
2010-06-21,16.139999,16.4,15.7,15.77,14.615903,43900
2010-06-22,15.89,16.0,15.33,15.45,14.319319,30000
2010-06-23,15.32,15.71,14.83,15.16,14.050542,32600
2010-06-24,15.11,16.1,14.95,15.28,14.161761,57500
2010-06-25,15.65,15.98,14.95,15.67,14.523222,963300
2010-06-28,15.64,16.1,15.48,15.95,14.782727,116600
2010-06-29,15.69,15.9,15.01,15.09,13.985667,57200
2010-06-30,15.0,15.0,14.26,14.39,13.336895,36400
2010-07-01,14.28,15.66,14.13,15.26,14.143226,64000
2010-07-02,15.48,15.48,13.56,13.85,12.836416,56100
2010-07-06,13.9,14.02,13.02,13.07,12.113495,99900
2010-07-07,13.04,13.9,12.98,13.85,12.836416,65800
2010-07-08,14.0,14.13,13.71,14.0,12.975434,40000
2010-07-09,13.93,14.08,13.48,14.07,13.040315,69200
2010-07-12,13.93,14.09,13.26,13.5,12.512027,60200
2010-07-13,13.77,13.99,13.53,13.97,12.947631,59500
2010-07-14,13.86,13.95,13.43,13.52,12.530564,29600
2010-07-15,13.36,13.36,12.83,13.04,12.085694,32500
2010-07-16,12.86,12.86,10.94,11.26,10.43596,197800
2010-07-19,11.32,11.45,10.49,10.6,9.824257,122500
2010-07-20,10.19,10.97,10.01,10.86,10.065231,57500
2010-07-21,10.92,11.24,10.52,10.53,9.75938,34800
2010-07-22,10.7,11.58,10.64,11.33,10.500835,46500
2010-07-23,11.25,12.12,11.16,12.07,11.18668,37600
2010-07-26,12.08,12.9,12.08,12.86,11.918864,77200
2010-07-27,13.04,13.3,12.78,13.08,12.122766,32900
2010-07-28,13.08,13.4,11.99,12.33,11.427651,102800
2010-07-29,12.57,12.76,11.67,12.15,11.260824,39400
2010-07-30,11.91,13.69,11.91,13.55,12.558369,108400
2010-08-02,13.76,13.98,13.34,13.94,12.919827,90000
2010-08-03,13.91,13.91,13.02,13.02,12.067157,40900
2010-08-04,13.15,14.02,13.14,14.02,12.993974,43000
2010-08-05,13.84,13.84,13.18,13.45,12.465691,44800
2010-08-06,13.18,13.5,12.86,13.22,12.252519,29300
2010-08-09,13.31,14.01,13.31,13.92,12.901292,38400
2010-08-10,13.68,13.87,12.99,13.31,12.335935,30700
2010-08-11,12.95,12.95,11.94,11.97,11.093998,51500
2010-08-12,11.68,12.35,11.57,12.15,11.260824,47800
2010-08-13,12.13,12.19,11.72,11.83,10.964242,26900
2010-08-16,11.66,12.19,11.66,12.12,11.233019,25200
2010-08-17,12.32,12.36,11.92,12.04,11.158875,29300
2010-08-18,11.88,12.2,11.84,12.1,11.214483,24200
2010-08-19,12.0,12.0,11.26,11.65,10.797417,43500
2010-08-20,11.46,11.98,11.33,11.93,11.056928,35400
2010-08-23,12.06,12.25,11.27,11.28,10.454494,26700
2010-08-24,11.09,11.84,11.0,11.22,10.398886,57300
2010-08-25,11.09,11.85,11.07,11.84,10.973512,37200
2010-08-26,11.9,12.1,11.36,11.36,10.528641,11100
2010-08-27,11.56,11.87,11.32,11.6,10.751079,36100
2010-08-30,11.47,11.74,11.01,11.02,10.21352,62200
2010-08-31,11.09,11.33,10.97,11.14,10.324741,16000
2010-09-01,11.38,12.3,11.33,12.29,11.390579,32400
2010-09-02,12.28,12.51,11.86,12.06,11.177412,25300
2010-09-03,12.28,12.5,11.73,12.04,11.158875,18900
2010-09-07,11.98,12.18,11.25,11.35,10.519371,27100
2010-09-08,11.37,11.7,11.32,11.57,10.723271,19300
2010-09-09,11.81,11.81,11.27,11.31,10.482299,15700
2010-09-10,11.34,11.78,11.25,11.59,10.74181,24500
2010-09-13,11.6,11.86,11.35,11.75,10.890099,30800
2010-09-14,11.4,12.16,11.4,11.72,10.862295,41600
2010-09-15,11.71,11.8,11.56,11.69,10.834489,26400
2010-09-16,11.82,11.82,11.31,11.47,10.630589,116700
2010-09-17,11.6,11.79,11.4,11.49,10.649126,45900
2010-09-20,11.5,11.97,11.45,11.88,11.010585,70300
2010-09-21,11.88,12.13,11.72,11.8,10.93644,29200
2010-09-22,11.71,11.88,11.45,11.57,10.723271,31800
