Date,Open,High,Low,Close,Adj Close,Volume
2018-07-16,0.35,0.35,0.35,0.35,0.35,35679
2018-07-17,1.365,1.365,1.33,1.365,1.365,1065
2018-07-18,1.36,1.37,1.325,1.33,1.33,2132
2018-07-19,0.34,0.35,0.34,0.35,0.35,20982
2018-07-20,1.285,1.31,1.285,1.31,1.31,3368
2018-07-23,1.28,1.285,1.25,1.25,1.25,9590
2018-07-24,0.33,0.34,0.33,0.34,0.34,1102
2018-07-25,1.25,1.275,1.25,1.27,1.27,5150
2018-07-26,1.28,1.285,1.26,1.285,1.285,1875
2018-07-27,1.28,1.33,1.28,1.315,1.315,2971
2018-07-30,1.3,1.35,1.3,1.35,1.35,155
2018-07-31,0.33,0.34,0.33,0.34,0.34,552
2018-08-01,0.33,0.33,0.33,0.33,0.33,51404
2018-08-02,0.33,0.34,0.33,0.34,0.34,2268
2018-08-03,1.25,1.375,1.23,1.375,1.375,25847
2018-08-06,1.4,1.47,1.39,1.45,1.45,14653
2018-08-07,1.455,1.47,1.38,1.42,1.42,5867
2018-08-08,1.455,1.455,1.375,1.375,1.375,2270
2018-08-09,1.475,1.475,1.395,1.45,1.45,8170
2018-08-10,1.45,1.45,1.45,1.45,1.45,0
2018-08-13,1.38,1.41,1.345,1.345,1.345,3130
2018-08-14,0.34,0.34,0.33,0.34,0.34,4104
2018-08-15,0.34,0.34,0.33,0.34,0.34,8295
2018-08-16,1.31,1.365,1.3,1.33,1.33,1290
2018-08-17,1.365,1.365,1.31,1.34,1.34,3603
2018-08-20,1.38,1.38,1.33,1.365,1.365,3656
2018-08-21,1.315,1.35,1.315,1.35,1.35,4285
2018-08-22,0.34,0.34,0.34,0.34,0.34,0
2018-08-23,1.34,1.365,1.32,1.365,1.365,6859
2018-08-24,1.36,1.36,1.32,1.32,1.32,3821
2018-08-27,1.315,1.39,1.315,1.39,1.39,4071
2018-08-28,1.33,1.37,1.33,1.37,1.37,433
2018-08-29,1.335,1.35,1.3,1.3,1.3,26385
2018-08-30,1.3,1.32,1.285,1.285,1.285,7382
2018-08-31,1.28,1.315,1.26,1.265,1.265,21105
2018-09-04,1.27,1.29,1.27,1.29,1.29,1655
2018-09-05,0.33,0.34,0.33,0.34,0.34,49790
2018-09-06,1.27,1.27,1.23,1.255,1.255,11623
2018-09-07,1.245,1.255,1.23,1.255,1.255,9608
2018-09-10,1.255,1.28,1.255,1.255,1.255,1220
2018-09-11,0.34,0.34,0.34,0.34,0.34,0
2018-09-12,0.34,0.34,0.34,0.34,0.34,0
2018-09-13,0.33,0.34,0.33,0.34,0.34,100
2018-09-14,1.24,1.275,1.21,1.275,1.275,15555
2018-09-17,1.275,1.28,1.25,1.27,1.27,2281
2018-09-18,0.33,0.33,0.33,0.33,0.33,6189
2018-09-19,1.305,1.32,1.285,1.32,1.32,6225
2018-09-20,0.33,0.33,0.33,0.33,0.33,42869
2018-09-21,1.3,1.335,1.3,1.31,1.31,2680
2018-09-24,0.33,0.33,0.32,0.33,0.33,61014
2018-09-25,0.33,0.33,0.32,0.33,0.33,19852
2018-09-26,0.32,0.33,0.32,0.33,0.33,11100
2018-09-27,0.33,0.33,0.32,0.33,0.33,4300
2018-09-28,1.265,1.285,1.245,1.285,1.285,6678
2018-10-01,0.32,0.33,0.32,0.33,0.33,25400
2018-10-02,0.33,0.33,0.32,0.33,0.33,10590
2018-10-03,1.23,1.25,1.21,1.23,1.23,13286
2018-10-04,0.33,0.33,0.32,0.33,0.33,6820
2018-10-05,1.23,1.23,1.205,1.205,1.205,7210
2018-10-08,1.22,1.22,1.17,1.2,1.2,8177
2018-10-09,1.21,1.22,1.15,1.2,1.2,13754
2018-10-10,1.2,1.22,1.19,1.205,1.205,12310
2018-10-11,0.34,0.34,0.34,0.34,0.34,86700
2018-10-12,1.185,1.195,1.18,1.185,1.185,7902
2018-10-15,1.185,1.21,1.16,1.21,1.21,7565
2018-10-16,0.34,0.34,0.33,0.34,0.34,30753
2018-10-17,1.25,1.25,1.2,1.23,1.23,5747
2018-10-18,1.23,1.25,1.21,1.23,1.23,4820
2018-10-19,1.18,1.25,1.18,1.25,1.25,5345
2018-10-22,1.245,1.245,1.245,1.245,1.245,1012
2018-10-23,1.205,1.215,1.2,1.2,1.2,3740
2018-10-24,0.33,0.33,0.33,0.33,0.33,7000
2018-10-25,0.34,0.34,0.34,0.34,0.34,59760
2018-10-26,1.2,1.25,1.195,1.25,1.25,1528
2018-10-29,0.35,0.36,0.35,0.36,0.36,269444
2018-10-30,0.37,0.37,0.36,0.36,0.36,264346
2018-10-31,0.37,0.37,0.36,0.36,0.36,264346
2018-11-01,0.36,0.36,0.35,0.35,0.35,87950
2018-11-02,1.28,1.28,1.25,1.25,1.25,4615
2018-11-05,1.25,1.25,1.25,1.25,1.25,0
2018-11-06,1.27,1.275,1.23,1.26,1.26,4690
2018-11-07,1.23,1.27,1.2,1.27,1.27,6823
2018-11-08,1.27,1.27,1.225,1.245,1.245,4500
2018-11-09,1.23,1.245,1.215,1.235,1.235,5497
2018-11-12,1.235,1.235,1.235,1.235,1.235,0
2018-11-13,0.35,0.35,0.35,0.35,0.35,500
2018-11-14,0.35,0.35,0.34,0.34,0.34,6905
2018-11-15,0.34,0.34,0.34,0.34,0.34,72740
2018-11-16,1.25,1.265,1.23,1.265,1.265,2761
2018-11-19,0.34,0.34,0.34,0.34,0.34,27560
2018-11-20,0.34,0.34,0.34,0.34,0.34,0
2018-11-21,1.18,1.22,1.17,1.22,1.22,1196
2018-11-23,1.175,1.2,1.15,1.2,1.2,9548
2018-11-26,1.19,1.205,1.17,1.205,1.205,4461
2018-11-27,1.2,1.2,1.17,1.19,1.19,2680
2018-11-28,1.165,1.205,1.165,1.185,1.185,4216
2018-11-29,1.185,1.19,1.165,1.19,1.19,7408
2018-11-30,1.175,1.2,1.165,1.2,1.2,8375
2018-12-03,0.32,0.32,0.32,0.32,0.32,6620
2018-12-04,1.22,1.22,1.18,1.2,1.2,4601
2018-12-06,0.3,0.31,0.3,0.31,0.31,160297
2018-12-07,1.17,1.18,1.16,1.18,1.18,4806
2018-12-10,1.17,1.18,1.17,1.18,1.18,3297
2018-12-11,1.175,1.18,1.175,1.18,1.18,815
2018-12-12,0.29,0.3,0.29,0.29,0.29,15100
2018-12-13,0.3,0.3,0.29,0.3,0.3,18946
2018-12-14,1.225,1.24,1.19,1.21,1.21,8165
2018-12-17,0.3,0.3,0.29,0.3,0.3,3964
2018-12-18,1.205,1.245,1.2,1.225,1.225,1370
2018-12-19,1.2,1.21,1.2,1.21,1.21,3005
2018-12-20,1.2,1.2,1.175,1.175,1.175,1100
2018-12-21,1.18,1.2,1.16,1.2,1.2,1984
2018-12-24,1.2,1.2,1.2,1.2,1.2,0
2018-12-26,1.2,1.2,1.2,1.2,1.2,0
2018-12-27,1.23,1.245,1.21,1.21,1.21,5254
2018-12-28,1.225,1.225,1.2,1.215,1.215,6288
2018-12-31,1.225,1.225,1.21,1.225,1.225,5445
2019-01-02,1.235,1.235,1.21,1.225,1.225,6025
2019-01-03,1.215,1.225,1.215,1.225,1.225,2652
2019-01-04,1.23,1.245,1.225,1.235,1.235,5800
2019-01-07,1.25,1.27,1.25,1.26,1.26,15922
2019-01-08,0.3,0.31,0.3,0.31,0.31,19665
2019-01-09,0.3,0.31,0.3,0.31,0.31,2130
2019-01-10,1.36,1.36,1.35,1.36,1.36,6810
2019-01-11,1.365,1.365,1.33,1.33,1.33,4779
2019-01-14,1.31,1.365,1.305,1.335,1.335,13074
2019-01-15,1.34,1.34,1.33,1.33,1.33,4290
2019-01-16,1.37,1.375,1.36,1.37,1.37,4325
2019-01-17,0.31,0.31,0.31,0.31,0.31,0
2019-01-18,1.39,1.455,1.34,1.44,1.44,34550
2019-01-22,1.45,1.45,1.42,1.445,1.445,6576
2019-01-23,0.3,0.31,0.3,0.31,0.31,9050
2019-01-24,0.3,0.31,0.3,0.3,0.3,7866
2019-01-25,1.4,1.42,1.4,1.415,1.415,1945
2019-01-28,1.43,1.43,1.375,1.425,1.425,9393
2019-01-29,1.435,1.45,1.435,1.45,1.45,1273
2019-01-30,1.445,1.445,1.415,1.44,1.44,6589
2019-01-31,1.44,1.48,1.44,1.465,1.465,11146
2019-02-01,1.46,1.595,1.455,1.56,1.56,101725
2019-02-04,0.32,0.32,0.31,0.32,0.32,1650
2019-02-05,1.65,1.665,1.595,1.61,1.61,17339
2019-02-06,1.64,1.64,1.6,1.62,1.62,32196
2019-02-07,1.635,1.65,1.62,1.625,1.625,7750
2019-02-08,1.625,1.7,1.62,1.7,1.7,25800
2019-02-11,0.34,0.34,0.34,0.34,0.34,0
2019-02-12,1.72,1.73,1.7,1.725,1.725,10576
2019-02-13,0.33,0.33,0.32,0.32,0.32,45320
2019-02-14,0.32,0.32,0.31,0.31,0.31,35251
2019-02-15,1.8,1.86,1.79,1.85,1.85,93343
2019-02-19,1.84,1.85,1.81,1.84,1.84,14612
2019-02-20,0.31,0.32,0.31,0.32,0.32,49234
2019-02-21,0.32,0.33,0.32,0.33,0.33,31705
2019-02-22,1.76,1.795,1.76,1.79,1.79,28899
2019-02-25,0.33,0.34,0.33,0.34,0.34,30274
2019-02-26,1.75,1.75,1.73,1.75,1.75,9935
2019-02-27,0.33,0.33,0.32,0.33,0.33,18190
2019-02-28,0.33,0.33,0.33,0.33,0.33,0
2019-03-01,1.795,1.795,1.755,1.755,1.755,8922
2019-03-04,0.32,0.32,0.32,0.32,0.32,1485
2019-03-05,1.8,1.8,1.74,1.74,1.74,9585
2019-03-06,1.8,1.8,1.735,1.795,1.795,4265
2019-03-07,0.33,0.33,0.32,0.32,0.32,10127
2019-03-08,1.8,1.86,1.77,1.85,1.85,25407
2019-03-11,1.85,1.85,1.85,1.85,1.85,0
2019-03-12,0.35,0.35,0.34,0.35,0.35,357502
2019-03-13,0.35,0.35,0.35,0.35,0.35,51946
2019-03-14,0.35,0.36,0.35,0.35,0.35,61155
2019-03-15,1.94,1.975,1.91,1.91,1.91,8190
2019-03-18,1.93,1.93,1.915,1.93,1.93,3460
2019-03-19,1.92,1.92,1.89,1.9,1.9,12229
2019-03-20,0.35,0.36,0.35,0.36,0.36,7002
2019-03-21,0.35,0.36,0.35,0.35,0.35,25057
2019-03-22,1.92,1.945,1.88,1.88,1.88,8005
2019-03-25,0.35,0.35,0.35,0.35,0.35,62050
2019-03-26,0.35,0.36,0.35,0.36,0.36,39210
2019-03-27,1.945,2.07,1.945,2.04,2.04,87786
2019-03-28,0.36,0.36,0.35,0.35,0.35,17000
2019-03-29,2.06,2.12,2.05,2.08,2.08,20780
2019-04-01,0.35,0.36,0.35,0.36,0.36,122549
