Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2.02,2.05,1.89,2.0,1.211025,7200
2010-01-05,1.97,2.11,1.97,2.04,1.235246,3500
2010-01-06,2.1,2.29,2.1,2.25,1.362403,21400
2010-01-07,2.19,2.25,1.88,2.15,1.301852,14200
2010-01-08,2.15,2.25,2.15,2.15,1.301852,9200
2010-01-11,2.15,2.16,2.15,2.16,1.307907,1300
2010-01-12,2.15,2.19,2.15,2.15,1.301852,4200
2010-01-13,2.19,2.19,2.01,2.01,1.21708,8600
2010-01-14,2.05,2.05,2.05,2.05,1.241301,100
2010-01-15,2.04,2.04,2.03,2.03,1.229191,2700
2010-01-19,2.03,2.07,2.03,2.03,1.229191,1300
2010-01-20,2.01,2.02,2.01,2.02,1.223135,3600
2010-01-21,2.07,2.07,2.0,2.0,1.211025,11300
2010-01-22,1.98,2.1,1.98,2.1,1.271577,2200
2010-01-25,2.0,2.1,2.0,2.1,1.271577,5400
2010-01-26,2.0,2.0,2.0,2.0,1.211025,4400
2010-01-27,2.0,2.0,2.0,2.0,1.211025,0
2010-01-28,2.0,2.0,2.0,2.0,1.211025,600
2010-01-29,1.92,2.02,1.92,2.0,1.211025,10900
2010-02-01,1.96,2.03,1.96,2.0,1.211025,7400
2010-02-02,2.0,2.05,2.0,2.05,1.241301,37200
2010-02-03,2.0,2.05,2.0,2.05,1.241301,5000
2010-02-04,2.0,2.0,2.0,2.0,1.211025,14000
2010-02-05,1.98,2.2,1.98,2.2,1.332128,13100
2010-02-08,2.09,2.09,2.09,2.09,1.265521,300
2010-02-09,2.1,2.1,2.04,2.1,1.271577,1700
2010-02-10,2.1,2.1,2.1,2.1,1.271577,0
2010-02-11,2.1,2.1,2.1,2.1,1.271577,0
2010-02-12,2.01,2.01,2.0,2.0,1.211025,5600
2010-02-16,2.0,2.0,2.0,2.0,1.211025,1800
2010-02-17,2.0,2.0,2.0,2.0,1.211025,1300
2010-02-18,2.0,2.0,2.0,2.0,1.211025,1100
2010-02-19,2.0,2.0,2.0,2.0,1.211025,2600
2010-02-22,1.9,2.05,1.89,2.0,1.211025,3800
2010-02-23,2.0,2.01,2.0,2.0,1.211025,3300
2010-02-24,2.0,2.0,2.0,2.0,1.211025,1300
2010-02-25,2.0,2.0,1.91,1.91,1.156529,1000
2010-02-26,2.0,2.03,2.0,2.0,1.211025,3200
2010-03-01,2.01,2.02,2.0,2.02,1.223135,1600
2010-03-02,2.0,2.0,2.0,2.0,1.211025,5700
2010-03-03,2.0,2.03,2.0,2.03,1.229191,900
2010-03-04,2.0,2.0,2.0,2.0,1.211025,1000
2010-03-05,2.0,2.0,2.0,2.0,1.211025,200
2010-03-08,2.0,2.02,2.0,2.02,1.223135,3000
2010-03-09,2.03,2.03,2.03,2.03,1.229191,4000
2010-03-10,1.95,2.0,1.95,2.0,1.211025,2600
2010-03-11,2.08,2.08,1.95,1.95,1.18075,8000
2010-03-12,1.95,2.0,1.95,2.0,1.211025,7000
2010-03-15,1.95,1.95,1.95,1.95,1.18075,1000
2010-03-16,1.95,2.0,1.95,2.0,1.211025,1500
2010-03-17,2.0,2.0,2.0,2.0,1.211025,0
2010-03-18,1.95,2.0,1.95,1.95,1.18075,6800
2010-03-19,2.0,2.04,1.97,2.03,1.229191,4400
2010-03-22,2.0,2.0,2.0,2.0,1.211025,500
2010-03-23,1.89,2.02,1.89,2.0,1.211025,4000
2010-03-24,2.19,2.19,1.95,2.08,1.259466,8400
2010-03-25,2.07,2.36,2.07,2.13,1.289742,27100
2010-03-26,2.1,2.1,1.96,1.99,1.20497,4200
2010-03-29,2.0,2.0,1.9,1.9,1.150474,4700
2010-03-30,1.88,2.0,1.88,1.99,1.20497,10400
2010-03-31,1.91,2.0,1.9,1.99,1.20497,7100
2010-04-01,2.0,2.05,1.9,2.0,1.211025,37000
2010-04-05,2.0,2.05,1.95,2.01,1.21708,8700
2010-04-06,1.94,2.1,1.94,2.05,1.241301,20300
2010-04-07,2.01,2.05,2.0,2.05,1.241301,14600
2010-04-08,2.05,2.08,1.91,1.91,1.156529,23400
2010-04-09,1.95,2.0,1.9,1.9,1.150474,4900
2010-04-12,1.94,2.1,1.92,2.03,1.229191,2100
2010-04-13,2.09,2.1,1.95,1.95,1.18075,5100
2010-04-14,1.91,1.98,1.91,1.95,1.18075,10300
2010-04-15,1.98,1.98,1.95,1.98,1.198915,3400
2010-04-16,2.0,2.0,1.96,1.97,1.19286,10700
2010-04-19,1.96,2.05,1.95,2.0,1.211025,4300
2010-04-20,2.01,2.04,1.96,1.97,1.19286,2400
2010-04-21,2.05,2.05,2.0,2.0,1.211025,2600
2010-04-22,1.91,1.95,1.9,1.95,1.18075,1600
2010-04-23,1.9,1.91,1.9,1.9,1.150474,3800
2010-04-26,1.95,2.05,1.9,1.93,1.168639,9100
2010-04-27,1.93,1.93,1.93,1.93,1.168639,0
2010-04-28,1.98,2.0,1.98,2.0,1.211025,1600
2010-04-29,2.0,2.0,2.0,2.0,1.211025,0
2010-04-30,1.88,1.94,1.88,1.9,1.150474,9400
2010-05-03,1.9,1.91,1.9,1.91,1.156529,600
2010-05-04,1.95,1.95,1.9,1.95,1.18075,12400
2010-05-05,1.92,1.94,1.92,1.92,1.162584,7000
2010-05-06,1.92,1.92,1.92,1.92,1.162584,5600
2010-05-07,1.9,1.95,1.85,1.85,1.120198,3900
2010-05-10,2.24,2.24,2.24,2.24,1.356348,200
2010-05-11,2.15,2.41,1.69,1.88,1.138364,6200
2010-05-12,1.99,2.0,1.89,1.89,1.144419,6400
2010-05-13,1.76,1.99,1.62,1.85,1.120198,5100
2010-05-14,1.81,1.81,1.71,1.81,1.095978,5400
2010-05-17,1.72,1.95,1.7,1.81,1.095978,21400
2010-05-18,1.73,1.82,1.6,1.74,1.053592,4900
2010-05-19,1.6,1.78,1.5,1.72,1.041482,8500
2010-05-20,1.52,1.58,1.52,1.58,0.95671,900
2010-05-21,1.78,1.78,1.5,1.63,0.986986,6100
2010-05-24,1.53,1.73,1.53,1.69,1.023316,2400
2010-05-25,1.6,1.75,1.6,1.71,1.035427,1100
2010-05-26,1.66,1.78,1.58,1.78,1.077812,8200
2010-05-27,1.65,1.84,1.65,1.84,1.114143,800
2010-05-28,1.8,1.8,1.66,1.71,1.035427,10400
2010-06-01,1.5,1.71,1.46,1.71,1.035427,50300
2010-06-02,1.61,1.7,1.5,1.52,0.920379,12400
2010-06-03,1.52,1.62,1.5,1.52,0.920379,4200
2010-06-04,1.5,1.85,1.5,1.5,0.908269,8800
2010-06-07,1.51,1.6,1.5,1.5,0.908269,2200
2010-06-08,1.7,1.7,1.52,1.52,0.920379,1300
2010-06-09,1.53,1.86,1.5,1.5,0.908269,5500
2010-06-10,1.5,1.6,1.5,1.6,0.96882,2600
2010-06-11,1.51,1.51,1.5,1.51,0.914324,3500
2010-06-14,1.51,1.51,1.51,1.51,0.914324,0
2010-06-15,1.54,1.69,1.5,1.5,0.908269,900
2010-06-16,1.5,1.5,1.5,1.5,0.908269,500
2010-06-17,1.5,1.62,1.5,1.62,0.98093,600
2010-06-18,1.5,1.68,1.5,1.68,1.017261,4300
2010-06-21,1.69,1.69,1.51,1.51,0.914324,1600
2010-06-22,1.5,1.5,1.5,1.5,0.908269,3300
2010-06-23,1.51,1.51,1.5,1.51,0.914324,2000
2010-06-24,1.59,1.6,1.5,1.55,0.938545,3000
2010-06-25,1.51,1.73,1.5,1.73,1.047537,14300
2010-06-28,1.6,1.6,1.27,1.42,0.859828,20400
2010-06-29,1.36,1.36,1.03,1.12,0.678174,15400
2010-06-30,1.05,1.23,1.05,1.09,0.660009,10300
2010-07-01,1.09,1.19,1.09,1.11,0.672119,7100
2010-07-02,1.15,1.2,1.15,1.2,0.726615,400
2010-07-06,1.02,1.09,1.01,1.05,0.635788,4500
2010-07-07,1.01,1.09,1.01,1.05,0.635788,17700
2010-07-08,1.05,1.1,1.05,1.05,0.635788,2400
2010-07-09,1.05,1.09,1.05,1.09,0.660009,600
2010-07-12,1.09,1.1,1.05,1.06,0.641843,5500
2010-07-13,1.05,1.09,1.05,1.09,0.660009,7700
2010-07-14,1.05,1.08,1.05,1.08,0.653954,9200
2010-07-15,1.08,1.08,1.08,1.08,0.653954,0
2010-07-16,1.08,1.08,0.95,0.98,0.593402,10700
2010-07-19,0.95,1.01,0.49,0.9,0.544961,12400
2010-07-20,0.9,0.95,0.9,0.93,0.563127,9100
2010-07-21,0.74,0.95,0.72,0.86,0.520741,12500
2010-07-22,0.75,0.85,0.75,0.81,0.490465,2400
2010-07-23,0.83,0.84,0.75,0.8,0.48441,4100
2010-07-26,0.76,0.85,0.75,0.85,0.514686,4800
2010-07-27,0.85,1.01,0.85,1.01,0.611568,4500
2010-07-28,1.06,1.29,1.05,1.29,0.781111,3900
2010-07-29,1.68,1.99,1.41,1.71,1.035427,48900
2010-07-30,1.74,1.9,1.73,1.85,1.120198,17200
2010-08-02,1.79,1.79,1.46,1.49,0.902214,22800
2010-08-03,1.54,1.75,1.54,1.75,1.059647,1800
2010-08-04,1.74,1.89,1.41,1.6,0.96882,9400
2010-08-05,1.6,1.66,1.5,1.65,0.999096,7400
2010-08-06,1.6,1.82,1.6,1.62,0.98093,7400
2010-08-09,1.7,1.7,1.6,1.6,0.96882,3000
2010-08-10,1.6,1.6,1.6,1.6,0.96882,100
2010-08-11,1.6,1.75,1.4,1.75,1.059647,8900
2010-08-12,1.59,1.78,1.33,1.37,0.829552,7400
2010-08-13,1.38,1.6,1.3,1.56,0.9446,2600
2010-08-16,1.56,1.56,1.56,1.56,0.9446,0
2010-08-17,1.4,1.42,1.4,1.42,0.859828,400
2010-08-18,1.41,1.41,1.39,1.39,0.841663,400
2010-08-19,1.31,1.64,1.21,1.31,0.793221,7600
2010-08-20,1.44,1.6,1.3,1.36,0.823497,4800
2010-08-23,1.33,1.35,1.32,1.32,0.799277,2000
2010-08-24,1.3,1.35,1.24,1.35,0.817442,1600
2010-08-25,1.14,1.34,1.14,1.21,0.73267,3100
2010-08-26,1.21,1.32,1.21,1.32,0.799277,2800
2010-08-27,1.35,1.35,1.23,1.28,0.775056,2300
2010-08-30,1.21,1.28,1.2,1.23,0.744781,2900
2010-08-31,1.23,1.23,1.0,1.0,0.605513,16200
2010-09-01,1.0,1.1,1.0,1.01,0.611568,3000
2010-09-02,1.07,1.08,1.01,1.03,0.623678,800
2010-09-03,1.08,1.08,1.01,1.07,0.647899,5000
2010-09-07,1.17,1.2,1.13,1.13,0.684229,1300
2010-09-08,1.14,1.18,1.02,1.03,0.623678,2800
2010-09-09,1.29,1.35,1.13,1.17,0.70845,8100
2010-09-10,1.28,1.28,1.11,1.17,0.70845,9000
2010-09-13,1.2,1.28,1.09,1.16,0.702395,3700
2010-09-14,1.35,1.35,1.1,1.3,0.787166,12100
2010-09-15,1.3,1.37,1.1,1.25,0.756891,7000
2010-09-16,1.58,1.58,1.19,1.25,0.756891,7800
2010-09-17,1.36,1.5,1.26,1.5,0.908269,23200
2010-09-20,1.4,1.41,1.28,1.36,0.823497,8900
2010-09-21,1.36,1.36,1.29,1.35,0.817442,2800
2010-09-22,1.28,1.33,1.15,1.33,0.805332,3300
