Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.799999,17.799999,17.200001,17.299999,17.299999,1071000
2010-01-05,17.5,17.700001,17.299999,17.700001,17.700001,2374400
2010-01-06,17.700001,18.1,17.700001,17.700001,17.700001,2891600
2010-01-07,17.700001,17.799999,17.200001,17.200001,17.200001,3231400
2010-01-08,17.200001,17.4,17.0,17.0,17.0,4646600
2010-01-11,17.200001,17.700001,17.200001,17.6,17.6,2311800
2010-01-12,17.799999,17.799999,17.200001,17.5,17.5,2029900
2010-01-13,17.5,17.6,17.299999,17.4,17.4,1862400
2010-01-14,17.6,18.200001,17.5,18.200001,18.200001,7044400
2010-01-15,18.299999,18.4,17.700001,18.299999,18.299999,5772800
2010-01-19,18.200001,18.5,18.0,18.1,18.1,8691300
2010-01-20,18.299999,18.299999,17.799999,18.0,18.0,3086100
2010-01-21,17.9,18.299999,17.799999,18.200001,18.200001,3209600
2010-01-22,18.0,18.0,17.4,18.0,18.0,4262500
2010-01-25,17.799999,18.0,17.700001,18.0,18.0,1673800
2010-01-26,17.9,17.9,17.200001,17.200001,17.200001,3259900
2010-01-27,17.299999,17.5,17.200001,17.200001,17.200001,1741700
2010-01-28,17.4,17.6,16.5,16.700001,16.700001,2768600
2010-01-29,16.700001,16.700001,15.8,16.200001,16.200001,6611900
2010-02-01,16.1,16.5,15.9,16.4,16.4,1764900
2010-02-02,16.700001,16.9,16.6,16.700001,16.700001,2952500
2010-02-03,16.9,17.1,16.799999,16.9,16.9,1890100
2010-02-04,16.9,17.1,16.700001,16.799999,16.799999,1362100
2010-02-05,16.5,16.6,15.9,15.9,15.9,4084100
2010-02-08,16.0,16.200001,15.8,15.9,15.9,4290300
2010-02-09,15.6,15.8,15.4,15.7,15.7,2683900
2010-02-10,15.9,15.9,15.5,15.5,15.5,2691200
2010-02-11,15.5,16.1,15.5,15.9,15.9,2558800
2010-02-12,15.9,16.1,15.3,15.5,15.5,3632500
2010-02-16,14.9,15.3,14.9,15.2,15.2,1327900
2010-02-17,15.4,15.7,15.3,15.4,15.4,1531700
2010-02-18,15.5,15.9,15.5,15.6,15.6,1847300
2010-02-19,15.8,15.8,15.6,15.6,15.6,1309500
2010-02-22,15.9,17.0,15.8,16.4,16.4,6284900
2010-02-23,16.5,17.0,16.299999,17.0,17.0,8848500
2010-02-24,16.799999,17.0,16.700001,16.799999,16.799999,2672200
2010-02-25,17.0,17.0,16.6,16.799999,16.799999,2102200
2010-02-26,16.9,16.9,16.799999,16.799999,16.799999,798500
2010-03-02,16.799999,17.9,16.799999,17.700001,17.700001,4500600
2010-03-03,17.9,18.799999,17.799999,18.6,18.6,6422000
2010-03-04,18.5,18.700001,18.200001,18.299999,18.299999,4027000
2010-03-05,18.6,18.700001,18.0,18.0,18.0,1520100
2010-03-08,18.299999,18.299999,17.9,18.0,18.0,1188400
2010-03-09,18.0,18.200001,17.799999,18.200001,18.200001,2486200
2010-03-10,18.5,18.5,18.1,18.299999,18.299999,2022500
2010-03-11,17.9,18.299999,17.799999,18.1,18.1,3722600
2010-03-12,18.0,18.200001,18.0,18.1,18.1,740700
2010-03-15,18.1,18.299999,17.799999,18.0,18.0,1500600
2010-03-16,18.200001,18.200001,17.9,18.200001,18.200001,3110000
2010-03-17,18.4,18.799999,18.299999,18.700001,18.700001,8930700
2010-03-18,18.700001,18.700001,18.1,18.1,18.1,3109000
2010-03-19,18.1,18.4,17.799999,18.0,18.0,4501100
2010-03-22,18.0,18.299999,17.700001,17.700001,17.700001,4665200
2010-03-23,17.799999,18.200001,17.700001,17.9,17.9,4796400
2010-03-24,18.299999,18.299999,17.6,17.6,17.6,4196700
