Date,Open,High,Low,Close,Adj Close,Volume
2010-04-07,25.790001,25.790001,25.49,25.49,24.58729,4900
2010-04-08,25.5,25.57,25.290001,25.57,24.664461,1300
2010-04-09,25.790001,25.790001,25.790001,25.790001,24.876667,400
2010-04-12,25.85,26.030001,25.799999,25.799999,24.886314,1000
2010-04-13,25.639999,25.639999,25.51,25.51,24.606585,500
2010-04-14,25.84,26.110001,25.809999,26.110001,25.185339,2500
2010-04-15,26.25,26.389999,26.25,26.389999,25.455421,5000
2010-04-16,26.32,26.32,25.65,25.83,24.915253,3200
2010-04-19,25.540001,25.67,25.27,25.33,24.432955,2800
2010-04-20,25.59,26.360001,25.59,26.360001,25.426483,3600
2010-04-21,26.49,26.51,26.18,26.469999,25.532587,2600
2010-04-22,28.15,28.15,26.129999,26.709999,25.764084,8100
2010-04-23,26.860001,27.42,26.860001,27.42,26.448942,3600
2010-04-26,27.469999,27.629999,27.360001,27.360001,26.391068,2300
2010-04-27,27.139999,27.139999,26.16,26.16,25.233566,3400
2010-04-28,26.16,26.52,26.16,26.469999,25.532587,5000
2010-04-29,26.709999,26.879999,26.469999,26.879999,25.928066,1900
2010-04-30,26.25,26.35,26.0,26.0,25.079231,4400
2010-05-03,26.139999,26.450001,26.030001,26.379999,25.44577,24600
2010-05-04,26.16,26.16,25.559999,25.799999,24.886314,9000
2010-05-05,25.18,25.5,24.84,25.209999,24.317209,8700
2010-05-06,25.18,25.18,23.23,24.190001,23.333336,27200
2010-05-07,23.709999,23.709999,23.0,23.15,22.330162,2000
2010-05-10,24.200001,24.200001,24.200001,24.200001,23.342976,100
2010-05-11,24.67,25.200001,24.67,24.719999,23.844561,2800
2010-05-12,24.969999,25.700001,24.969999,25.700001,24.78986,5100
2010-05-13,25.77,25.82,25.5,25.67,24.760918,3000
2010-05-14,24.77,24.77,24.77,24.77,23.892794,800
2010-05-17,24.77,24.77,24.77,24.77,23.892794,0
2010-05-18,24.809999,24.809999,24.08,24.08,23.227228,900
2010-05-19,23.559999,23.559999,23.02,23.43,22.600246,1500
2010-05-20,22.5,23.219999,22.0,22.08,21.298056,15200
2010-05-21,21.83,22.75,21.83,22.65,21.84787,1200
2010-05-24,22.65,22.65,22.65,22.65,21.84787,0
2010-05-25,21.360001,22.040001,21.120001,22.040001,21.259468,5700
2010-05-26,22.709999,22.709999,22.43,22.43,21.63566,800
2010-05-27,23.08,23.43,23.08,23.43,22.600246,1000
2010-05-28,23.0,23.01,22.84,22.84,22.031139,600
2010-06-01,21.959999,21.959999,21.51,21.51,20.748238,1000
2010-06-02,21.959999,22.43,21.940001,22.43,21.63566,3400
2010-06-03,22.559999,22.98,22.389999,22.98,22.166183,23800
2010-06-04,22.030001,23.08,22.02,22.059999,21.278763,59800
2010-06-07,21.940001,22.18,21.49,21.530001,20.76753,1000
2010-06-08,21.200001,21.790001,21.200001,21.790001,21.01832,11400
2010-06-09,22.469999,22.469999,21.66,21.66,20.892927,800
2010-06-10,22.879999,22.940001,22.530001,22.91,22.09866,15600
2010-06-11,23.049999,23.459999,23.049999,23.459999,22.629185,1600
2010-06-14,23.98,23.98,23.5,23.549999,22.715994,2800
2010-06-15,24.01,24.450001,24.01,24.43,23.564833,6100
2010-06-16,24.209999,24.530001,24.18,24.290001,23.429792,5600
2010-06-17,23.969999,24.25,23.969999,24.110001,23.256166,17000
2010-06-18,24.129999,24.49,24.110001,24.459999,23.593767,155200
2010-06-21,25.049999,25.049999,24.16,24.299999,23.439432,9200
2010-06-22,24.25,24.25,23.309999,23.35,22.523081,34200
2010-06-23,23.1,23.4,22.809999,23.16,22.339806,31400
2010-06-24,22.82,22.82,22.74,22.74,21.934679,2000
2010-06-25,22.77,23.219999,22.77,23.219999,22.397682,5000
2010-06-28,23.33,23.33,23.0,23.07,22.252993,13200
