Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,11.9,12.09,11.85,12.0,3.643353,816700
2010-01-05,12.02,12.12,11.96,12.09,3.670675,680200
2010-01-06,12.11,12.32,12.09,12.24,3.716216,563400
2010-01-07,12.29,12.4,12.11,12.35,3.749615,628900
2010-01-08,12.35,12.57,12.35,12.53,3.804265,680200
2010-01-11,12.63,12.81,12.5,12.75,3.871061,694700
2010-01-12,12.7,12.8,12.6,12.68,3.849808,610600
2010-01-13,12.69,12.77,12.55,12.67,3.846772,616800
2010-01-14,12.7,12.8,12.6,12.64,3.837662,580200
2010-01-15,12.7,12.72,12.5,12.55,3.810339,572100
2010-01-19,12.57,12.99,12.56,12.97,3.937855,698800
2010-01-20,12.9,13.22,12.72,13.2,4.007688,820000
2010-01-21,12.8,13.21,12.01,12.33,3.743543,1587000
2010-01-22,12.2,12.51,12.0,12.22,3.710146,848600
2010-01-25,12.36,12.64,12.35,12.59,3.822481,620000
2010-01-26,12.6,12.65,11.93,11.95,3.628171,1142700
2010-01-27,12.0,12.04,11.56,11.99,3.640315,1178700
2010-01-28,11.98,12.0,11.66,11.82,3.588701,582400
2010-01-29,11.89,11.93,11.39,11.41,3.464219,898200
2010-02-01,11.48,11.48,10.48,11.16,3.388316,1488900
2010-02-02,11.2,11.61,11.13,11.49,3.488508,842500
2010-02-03,11.5,11.7,11.08,11.17,3.391351,992500
2010-02-04,11.06,11.06,10.67,10.76,3.266872,1210000
2010-02-05,10.7,10.78,10.26,10.78,3.272944,1224700
2010-02-08,10.83,10.99,10.81,10.84,3.291161,824900
2010-02-09,10.98,11.05,10.74,10.92,3.315449,913100
2010-02-10,10.91,10.91,10.3,10.45,3.172753,1620000
2010-02-11,10.48,10.67,10.41,10.56,3.20615,829500
2010-02-12,10.55,10.92,10.46,10.89,3.306342,1064500
2010-02-16,11.0,11.17,10.95,11.16,3.388316,900700
2010-02-17,11.25,11.47,11.15,11.32,3.436894,868400
2010-02-18,11.3,11.49,11.2,11.48,3.485474,672700
2010-02-19,11.5,11.5,11.26,11.31,3.433856,658500
2010-02-22,11.44,11.65,11.4,11.59,3.518869,1114500
2010-02-23,11.65,11.89,11.51,11.59,3.518869,844300
2010-02-24,11.6,11.76,11.53,11.58,3.515834,667200
2010-02-25,11.54,11.69,11.52,11.66,3.540123,651200
2010-02-26,11.7,11.72,11.55,11.62,3.527978,646400
2010-03-01,11.72,11.8,11.69,11.76,3.570483,750600
2010-03-02,11.83,11.84,11.64,11.71,3.555305,716800
2010-03-03,11.7,11.72,11.62,11.69,3.549232,594100
2010-03-04,11.71,11.86,11.63,11.86,3.600846,619000
2010-03-05,11.98,12.5,11.97,12.1,3.673713,1208100
2010-03-08,12.16,12.46,12.11,12.38,3.758724,509600
2010-03-09,12.39,12.49,12.26,12.42,3.770867,638800
2010-03-10,12.48,12.69,12.41,12.52,3.80123,824400
2010-03-11,12.5,12.62,12.46,12.55,3.810339,509100
2010-03-12,12.59,12.65,12.29,12.52,3.80123,686100
2010-03-15,12.57,12.57,12.3,12.41,3.767832,502500
2010-03-16,12.31,12.5,12.24,12.47,3.786049,619300
2010-03-17,12.5,12.56,12.26,12.39,3.761762,949900
2010-03-18,12.39,12.43,12.05,12.17,3.694965,843800
2010-03-19,12.35,12.4,12.21,12.35,3.749615,1212900
2010-03-22,12.3,12.76,12.28,12.67,3.846772,1035200
2010-03-23,12.74,12.82,12.62,12.81,3.889277,799900
2010-03-24,12.8,12.84,12.69,12.7,3.855882,879000
2010-03-25,12.81,12.88,12.7,12.7,3.855882,775100
2010-03-26,12.77,12.84,12.7,12.75,3.871061,833600
2010-03-29,12.46,12.5,12.27,12.48,3.789085,1104300
2010-03-30,12.19,12.35,11.92,12.14,3.811059,1015100
2010-03-31,12.12,12.25,12.1,12.15,3.814197,603100
2010-04-01,12.26,12.27,12.04,12.16,3.817339,673600
2010-04-05,12.16,12.16,11.8,11.96,3.754553,1481900
2010-04-06,12.02,12.11,11.9,12.11,3.801643,767000
2010-04-07,12.11,12.16,11.95,12.03,3.776528,690000
2010-04-08,12.0,12.03,11.85,11.9,3.735717,785800
2010-04-09,11.87,11.91,11.62,11.74,3.685491,946200
2010-04-12,11.73,11.87,11.7,11.85,3.720023,1057600
2010-04-13,11.85,11.87,11.74,11.83,3.71374,639100
2010-04-14,11.84,12.17,11.79,12.14,3.811059,993000
2010-04-15,12.12,12.26,11.97,12.2,3.829895,513500
2010-04-16,12.22,12.26,11.75,11.87,3.7263,857600
2010-04-19,11.86,11.99,11.75,11.99,3.763971,616600
2010-04-20,12.1,12.1,11.9,11.99,3.763971,735700
2010-04-21,12.0,12.05,11.81,11.88,3.72944,562700
2010-04-22,11.84,11.92,11.7,11.91,3.738857,517300
2010-04-23,11.96,11.96,11.81,11.95,3.751414,671800
2010-04-26,11.95,11.96,11.76,11.76,3.691767,720600
2010-04-27,11.75,11.87,11.53,11.53,3.619565,1066000
2010-04-28,11.57,11.71,11.55,11.68,3.666654,859800
2010-04-29,11.72,11.93,11.65,11.83,3.71374,1005300
2010-04-30,11.88,11.88,11.53,11.63,3.650958,874900
2010-05-03,11.65,11.77,11.6,11.71,3.676074,617300
2010-05-04,11.64,11.64,11.21,11.31,3.5505,1061000
2010-05-05,11.05,11.1,10.25,10.81,3.39354,1918400
2010-05-06,10.8,11.02,8.85,10.31,3.236577,1982400
2010-05-07,10.37,10.59,10.11,10.32,3.239715,1302400
2010-05-10,10.99,10.99,10.7,10.98,3.446905,793100
2010-05-11,10.97,10.98,10.65,10.89,3.418653,1041200
2010-05-12,10.97,11.16,10.96,10.96,3.440627,1197800
2010-05-13,11.0,11.06,10.81,10.87,3.412374,919400
2010-05-14,10.83,10.83,10.42,10.5,3.296222,873900
2010-05-17,10.55,10.62,10.25,10.49,3.293084,1131100
2010-05-18,10.82,10.88,10.39,10.44,3.277387,948600
2010-05-19,10.36,10.58,10.25,10.4,3.264828,926400
2010-05-20,10.26,10.35,9.95,9.97,3.129842,1456400
2010-05-21,9.81,10.3,9.57,10.16,3.189487,1361300
