Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,4.65,4.65,4.0,4.13,1.04578,587000
2010-01-05,4.17,4.19,3.83,3.91,0.990072,453700
2010-01-06,3.86,3.94,3.63,3.83,0.969815,589700
2010-01-07,3.83,3.98,3.77,3.89,0.985008,206900
2010-01-08,3.89,3.91,3.8,3.89,0.985008,158800
2010-01-11,3.91,4.0,3.81,3.85,0.97488,222500
2010-01-12,3.8,3.88,3.75,3.79,0.959687,168200
2010-01-13,3.83,3.9,3.75,3.88,0.982476,168800
2010-01-14,3.9,3.97,3.86,3.95,1.000201,181300
2010-01-15,3.96,4.03,3.9,3.92,0.992605,743200
2010-01-19,3.94,4.13,3.93,4.09,1.035651,109900
2010-01-20,4.07,4.43,4.07,4.32,1.093891,242100
2010-01-21,4.36,4.39,4.25,4.34,1.098955,160500
2010-01-22,4.35,4.49,4.25,4.35,1.101488,223000
2010-01-25,4.39,4.55,4.31,4.46,1.129341,97900
2010-01-26,4.46,4.49,4.22,4.3,1.088826,142100
2010-01-27,4.28,4.35,4.2,4.32,1.093891,93300
2010-01-28,4.34,4.34,4.2,4.22,1.068569,93400
2010-01-29,4.25,4.32,4.21,4.3,1.088826,68300
2010-02-01,4.32,4.32,4.18,4.25,1.076166,78900
2010-02-02,4.27,4.31,4.1,4.25,1.076166,151700
2010-02-03,4.26,4.31,4.17,4.2,1.063505,131600
2010-02-04,4.19,4.3,3.99,4.07,1.030587,119900
2010-02-05,4.04,4.05,3.85,3.98,1.007798,161400
2010-02-08,3.97,4.04,3.89,3.89,0.985008,59000
2010-02-09,3.95,4.1,3.78,4.07,1.030587,121100
2010-02-10,4.09,4.09,3.9,4.08,1.033119,49600
2010-02-11,4.05,4.09,3.95,4.07,1.030587,49700
2010-02-12,4.03,4.09,3.97,4.04,1.02299,38300
2010-02-16,4.04,4.32,4.0,4.25,1.076166,88500
2010-02-17,4.28,4.29,4.24,4.28,1.083763,32400
2010-02-18,4.29,4.32,4.17,4.23,1.071102,49600
2010-02-19,4.23,4.31,4.19,4.25,1.076166,65000
2010-02-22,4.27,4.43,4.25,4.43,1.121744,55900
2010-02-23,4.4,4.46,4.33,4.34,1.098955,77400
2010-02-24,4.37,4.42,4.31,4.4,1.114148,88300
2010-02-25,4.4,4.47,4.35,4.46,1.129341,67200
2010-02-26,4.48,4.65,4.48,4.52,1.144533,120700
2010-03-01,4.55,4.75,4.55,4.72,1.195177,83700
2010-03-02,4.74,4.97,4.72,4.85,1.228095,148400
2010-03-03,4.8,5.22,4.73,5.11,1.293931,262900
2010-03-04,5.12,5.28,5.06,5.21,1.319253,139400
2010-03-05,5.26,5.32,5.18,5.23,1.324317,276400
2010-03-08,5.26,5.32,5.2,5.29,1.33951,121400
2010-03-09,5.29,5.35,5.18,5.3,1.342042,78500
2010-03-10,5.3,5.34,5.26,5.31,1.344574,60000
2010-03-11,5.3,5.37,5.25,5.37,1.359768,75800
2010-03-12,5.37,5.55,5.34,5.47,1.385089,173700
2010-03-15,5.51,5.53,5.4,5.49,1.390153,78400
2010-03-16,5.49,5.66,5.45,5.54,1.402814,86900
2010-03-17,5.58,5.73,5.57,5.71,1.44586,161600
2010-03-18,5.72,5.85,5.48,5.49,1.390153,213600
2010-03-19,5.51,5.63,5.36,5.51,1.395218,240900
2010-03-22,5.5,5.5,5.27,5.47,1.385089,181900
2010-03-23,5.49,5.59,5.43,5.54,1.402814,111200
2010-03-24,5.51,5.64,5.49,5.6,1.418007,89200
2010-03-25,5.64,5.7,5.49,5.49,1.390153,140200
2010-03-26,5.5,5.7,5.37,5.44,1.377492,165300
2010-03-29,5.49,5.59,5.44,5.53,1.400282,177500
2010-03-30,5.6,5.62,5.51,5.51,1.395218,173900
2010-03-31,5.62,5.85,5.55,5.66,1.4332,417200
2010-04-01,5.79,5.89,5.71,5.78,1.463586,352600
2010-04-05,5.8,5.85,5.64,5.85,1.526199,278800
2010-04-06,5.83,5.84,5.72,5.74,1.497501,177600
2010-04-07,5.75,5.81,5.52,5.54,1.445324,134300
2010-04-08,5.37,5.75,5.32,5.73,1.494892,167900
2010-04-09,5.71,5.77,5.53,5.6,1.460977,90200
2010-04-12,5.58,5.61,5.5,5.57,1.45315,129300
2010-04-13,5.55,5.64,5.54,5.61,1.463586,66800
2010-04-14,5.64,5.88,5.64,5.87,1.531417,171600
2010-04-15,5.89,5.98,5.82,5.85,1.526199,139800
2010-04-16,5.85,5.97,5.64,5.67,1.479239,187900
2010-04-19,5.64,5.79,5.61,5.63,1.468803,60900
2010-04-20,5.64,5.7,5.55,5.63,1.468803,82500
2010-04-21,5.65,5.83,5.62,5.77,1.505328,74100
2010-04-22,5.78,5.89,5.63,5.88,1.534025,72600
2010-04-23,5.88,5.89,5.75,5.85,1.526199,57300
2010-04-26,5.85,5.89,5.65,5.67,1.479239,160400
2010-04-27,5.66,5.7,5.5,5.5,1.434888,94300
2010-04-28,5.6,5.7,5.55,5.63,1.468803,60000
2010-04-29,5.76,5.88,5.6,5.82,1.518372,163800
2010-04-30,5.85,5.87,5.6,5.64,1.471412,118900
2010-05-03,5.65,5.71,5.54,5.59,1.458368,85600
2010-05-04,5.5,5.52,5.4,5.51,1.437497,116200
2010-05-05,5.34,5.72,5.08,5.58,1.455759,220400
2010-05-06,5.53,5.59,5.08,5.11,1.333141,162400
2010-05-07,5.12,5.2,4.86,4.95,1.291399,218900
2010-05-10,5.69,5.69,5.21,5.45,1.421844,135300
2010-05-11,5.4,5.68,5.38,5.59,1.458368,113100
2010-05-12,5.72,5.76,5.61,5.7,1.487065,94500
2010-05-13,5.7,5.79,5.65,5.67,1.479239,33900
2010-05-14,5.65,5.65,5.37,5.46,1.424452,59800
2010-05-17,5.52,5.57,5.2,5.26,1.372274,138200
2010-05-18,5.36,5.46,5.26,5.29,1.380101,111700
2010-05-19,5.25,5.32,4.91,5.15,1.343577,160600
2010-05-20,5.02,5.12,4.81,5.03,1.312271,236500
2010-05-21,4.93,5.06,4.89,5.03,1.312271,146200
2010-05-24,5.04,5.05,4.68,4.72,1.231395,144300
2010-05-25,4.45,4.55,4.3,4.46,1.163564,254300
2010-05-26,4.44,4.78,4.4,4.52,1.179216,133900
2010-05-27,4.63,4.74,4.57,4.69,1.223568,84300
2010-05-28,4.69,4.96,4.51,4.85,1.26531,158200
2010-06-01,4.89,5.5,4.89,5.19,1.354012,231400
2010-06-02,5.19,5.28,5.04,5.12,1.33575,167600
2010-06-03,5.11,5.5,5.08,5.41,1.411408,218500
2010-06-04,5.31,5.39,5.11,5.11,1.333141,191000
2010-06-07,5.16,5.19,4.82,4.83,1.260092,151900
2010-06-08,4.87,4.88,4.46,4.53,1.181826,242400
2010-06-09,4.59,4.77,4.42,4.43,1.155737,191100
2010-06-10,4.51,4.96,4.42,4.95,1.291399,177500
2010-06-11,4.9,4.9,4.68,4.87,1.270528,100200
2010-06-14,4.88,5.02,4.8,4.88,1.273137,116200
2010-06-15,4.95,5.08,4.84,4.94,1.28879,89100
2010-06-16,4.92,5.09,4.81,4.82,1.257484,107600
2010-06-17,4.88,4.93,4.77,4.84,1.262701,76500
2010-06-18,4.87,4.89,4.76,4.81,1.254874,125400
2010-06-21,4.9,4.97,4.8,4.82,1.257484,105900
2010-06-22,4.9,5.05,4.81,4.81,1.254874,121100
2010-06-23,4.8,5.06,4.8,4.95,1.291399,146100
2010-06-24,4.95,5.03,4.85,4.85,1.26531,199000
2010-06-25,4.9,5.07,4.78,4.84,1.262701,2635800
2010-06-28,4.92,5.3,4.86,5.16,1.346186,374400
2010-06-29,5.33,5.33,4.93,4.93,1.286181,490500
2010-06-30,5.01,5.12,4.91,5.01,1.307052,252300
2010-07-01,5.1,5.17,4.85,5.11,1.333141,409600
2010-07-02,4.7,5.0,4.7,4.73,1.27647,272000
2010-07-06,4.72,4.91,4.61,4.61,1.244085,157200
2010-07-07,4.66,4.69,4.53,4.55,1.227893,142600
2010-07-08,4.67,4.76,4.55,4.55,1.227893,133600
2010-07-09,4.62,4.68,4.53,4.68,1.262975,101600
2010-07-12,4.71,4.78,4.6,4.68,1.262975,89700
2010-07-13,4.74,4.76,4.66,4.75,1.281866,131700
2010-07-14,4.71,4.81,4.65,4.72,1.27377,88000
2010-07-15,4.72,4.83,4.66,4.78,1.289962,84300
2010-07-16,4.71,4.82,4.63,4.76,1.284565,79000
2010-07-19,4.83,4.83,4.63,4.68,1.262975,77700
2010-07-20,4.6,4.84,4.6,4.83,1.303456,56900
2010-07-21,4.83,4.83,4.73,4.75,1.281866,54300
2010-07-22,4.85,4.85,4.75,4.83,1.303456,34300
2010-07-23,4.83,4.88,4.75,4.85,1.308853,77600
2010-07-26,4.9,5.0,4.85,4.99,1.346635,118300
2010-07-27,5.0,5.07,4.99,4.99,1.346635,151900
2010-07-28,5.02,5.1,5.0,5.03,1.35743,62900
2010-07-29,5.36,5.36,5.05,5.05,1.362827,99100
2010-07-30,5.08,5.19,5.0,5.16,1.392512,132100
2010-08-02,5.23,5.23,5.03,5.1,1.37632,163300
2010-08-03,5.1,5.11,4.96,5.04,1.360128,111600
2010-08-04,5.09,5.2,5.05,5.13,1.384416,72500
2010-08-05,5.15,5.21,5.11,5.13,1.384416,63900
2010-08-06,5.1,5.25,5.06,5.25,1.4168,86400
2010-08-09,5.26,5.26,5.16,5.24,1.414101,98300
2010-08-10,5.15,5.15,5.0,5.0,1.349333,155800
2010-08-11,5.0,5.22,4.91,5.21,1.406006,136300
2010-08-12,5.09,5.15,5.03,5.09,1.373621,68400
2010-08-13,5.06,5.1,4.91,5.02,1.35473,130700
2010-08-16,4.98,5.13,4.95,4.99,1.346635,77900
2010-08-17,5.07,5.07,5.0,5.02,1.35473,54600
2010-08-18,5.07,5.21,5.06,5.12,1.381717,78400
2010-08-19,5.12,5.31,5.02,5.06,1.365525,151200
2010-08-20,5.0,5.2,5.0,5.04,1.360128,150300
2010-08-23,5.07,5.25,5.07,5.22,1.408704,77500
2010-08-24,5.17,5.17,5.05,5.06,1.365525,82900
2010-08-25,5.15,5.18,5.0,5.15,1.389813,152700
2010-08-26,5.2,5.24,5.06,5.13,1.384416,60200
2010-08-27,5.0,5.21,4.93,5.19,1.400608,39700
2010-08-30,5.2,5.24,5.13,5.17,1.395211,64800
2010-08-31,5.11,5.26,5.11,5.17,1.395211,58700
2010-09-01,5.21,5.28,5.17,5.25,1.4168,101400
2010-09-02,5.3,5.33,5.22,5.28,1.424896,86600
2010-09-03,5.28,5.54,5.26,5.37,1.449184,132000
2010-09-07,5.4,5.7,5.32,5.46,1.473472,153600
2010-09-08,5.46,5.69,5.46,5.5,1.484267,89300
2010-09-09,5.55,5.71,5.46,5.6,1.511253,88700
2010-09-10,5.66,5.72,5.54,5.55,1.49776,122400
2010-09-13,5.6,5.68,5.41,5.58,1.505856,129200
2010-09-14,5.55,5.84,5.51,5.76,1.554432,162500
2010-09-15,5.83,5.84,5.7,5.76,1.554432,93400
2010-09-16,5.71,5.83,5.66,5.82,1.570624,76100
2010-09-17,5.85,5.87,5.8,5.86,1.581418,66600
2010-09-20,5.85,6.0,5.85,6.0,1.6192,125000
2010-09-21,6.07,6.27,6.07,6.2,1.673173,339900
2010-09-22,6.25,6.35,5.93,6.12,1.651584,208900
2010-09-23,6.1,6.15,6.04,6.07,1.638091,73000
2010-09-24,6.11,6.47,6.1,6.26,1.689366,172500
2010-09-27,6.26,6.5,6.25,6.48,1.748736,148200
2010-09-28,6.42,6.56,6.36,6.55,1.767627,155100
2010-09-29,6.56,6.61,6.53,6.6,1.78112,113200
2010-09-30,6.61,6.71,6.54,6.69,1.805408,187000
2010-10-01,6.75,6.85,6.65,6.7,1.808106,258200
2010-10-04,6.78,6.79,6.7,6.71,1.810804,205300
2010-10-05,6.83,6.9,6.75,6.75,1.8216,347800
2010-10-06,6.61,6.72,6.56,6.65,1.840979,264600
2010-10-07,6.69,6.69,6.33,6.4,1.771769,293900
2010-10-08,6.41,6.54,6.4,6.48,1.793916,62300
2010-10-11,6.44,6.62,6.44,6.54,1.810527,108200
2010-10-12,6.49,6.53,6.4,6.43,1.780074,144200
2010-10-13,6.44,6.52,6.41,6.5,1.799452,161000
2010-10-14,6.52,6.6,6.41,6.57,1.818832,118500
2010-10-15,6.56,6.59,6.45,6.55,1.813295,61000
2010-10-18,6.54,6.64,6.45,6.55,1.813295,124200
2010-10-19,6.54,6.63,6.27,6.34,1.755159,103100
2010-10-20,6.38,6.6,6.38,6.57,1.818832,121300
2010-10-21,6.57,6.69,6.49,6.6,1.827136,100100
2010-10-22,6.59,6.65,6.47,6.49,1.796685,71900
2010-10-25,6.5,6.72,6.5,6.71,1.857588,113900
2010-10-26,6.75,6.8,6.66,6.75,1.868663,129700
2010-10-27,6.73,6.8,6.72,6.77,1.874199,61000
2010-10-28,6.8,6.85,6.75,6.84,1.893578,81800
2010-10-29,6.82,7.04,6.79,6.87,1.901883,100200
2010-11-01,6.84,6.99,6.57,6.69,1.852052,116100
2010-11-02,6.8,6.8,6.57,6.68,1.849283,84700
2010-11-03,6.7,6.8,6.61,6.77,1.874199,57300
2010-11-04,6.91,7.02,6.78,6.95,1.92403,114000
2010-11-05,6.99,7.15,6.8,6.92,1.915726,122800
2010-11-08,6.97,7.11,6.73,6.87,1.901883,117900
2010-11-09,6.88,7.0,6.8,6.83,1.89081,114500
2010-11-10,6.82,6.86,6.55,6.71,1.857588,122100
2010-11-11,6.67,6.8,6.62,6.66,1.843747,63500
2010-11-12,6.75,6.9,6.6,6.69,1.852052,90200
2010-11-15,6.74,6.88,6.67,6.69,1.852052,82200
2010-11-16,6.63,6.7,6.42,6.55,1.813295,96500
2010-11-17,6.59,6.71,6.5,6.55,1.813295,78900
2010-11-18,6.68,6.85,6.61,6.84,1.893578,80000
2010-11-19,6.85,6.85,6.46,6.69,1.852052,282400
2010-11-22,6.7,6.8,6.66,6.77,1.874199,63300
2010-11-23,6.75,6.86,6.65,6.7,1.85482,57600
2010-11-24,6.79,6.79,6.61,6.75,1.868663,48500
2010-11-26,6.76,6.82,6.71,6.72,1.860357,20800
2010-11-29,6.78,6.78,6.67,6.68,1.849283,58300
2010-11-30,6.67,6.79,6.62,6.66,1.843747,194700
2010-12-01,6.8,6.84,6.71,6.76,1.871431,56000
2010-12-02,6.79,6.83,6.68,6.7,1.85482,109400
2010-12-03,6.67,6.8,6.64,6.74,1.865894,44400
2010-12-06,6.7,6.77,6.65,6.69,1.852052,167200
2010-12-07,6.75,6.84,6.67,6.8,1.882504,118000
2010-12-08,6.84,6.92,6.82,6.85,1.896346,79000
2010-12-09,6.88,7.05,6.86,6.95,1.92403,102500
2010-12-10,6.97,7.11,6.8,7.09,1.962788,54600
2010-12-13,7.12,7.12,7.01,7.1,1.965557,116800
2010-12-14,7.15,7.15,7.04,7.08,1.960019,166000
2010-12-15,7.09,7.15,7.02,7.02,1.943409,176500
2010-12-16,7.01,7.14,7.0,7.05,1.951714,182400
2010-12-17,7.08,7.15,7.0,7.0,1.937872,107700
2010-12-20,7.0,7.08,6.9,6.9,1.910188,231600
2010-12-21,6.63,7.12,6.55,6.96,1.97547,196400
2010-12-22,6.95,7.02,6.86,6.88,1.952763,98500
2010-12-23,6.94,7.01,6.83,6.85,1.944248,112400
2010-12-27,6.87,6.95,6.75,6.88,1.952763,55300
2010-12-28,6.92,7.02,6.75,6.78,1.92438,73200
2010-12-29,6.77,6.91,6.77,6.91,1.961278,89000
2010-12-30,6.93,6.94,6.81,6.84,1.94141,84300
2010-12-31,6.85,7.07,6.85,6.97,1.978308,52100
2011-01-03,7.0,7.04,6.82,7.0,1.986823,80200
2011-01-04,7.05,7.05,6.9,6.96,1.97547,81200
2011-01-05,6.9,7.0,6.9,6.95,1.972631,55300
2011-01-06,7.0,7.0,6.9,6.9,1.95844,84900
2011-01-07,6.9,7.03,6.87,6.9,1.95844,43600
2011-01-10,6.9,6.98,6.81,6.91,1.961278,45500
2011-01-11,6.99,6.99,6.8,6.84,1.94141,154500
2011-01-12,6.87,6.94,6.79,6.83,1.938572,245300
2011-01-13,6.89,6.91,6.64,6.7,1.901673,129800
2011-01-14,6.85,6.85,6.75,6.79,1.927218,138500
2011-01-18,6.8,6.93,6.75,6.93,1.966955,115100
2011-01-19,6.92,7.0,6.81,6.82,1.935733,80900
2011-01-20,6.81,6.95,6.81,6.87,1.949925,63700
2011-01-21,6.95,7.0,6.82,6.83,1.938572,41200
2011-01-24,6.86,7.04,6.86,7.0,1.986823,59500
2011-01-25,6.99,7.05,6.91,7.0,1.986823,96500
2011-01-26,7.04,7.1,6.95,7.05,2.001015,76400
2011-01-27,7.08,7.09,7.0,7.07,2.006691,81900
2011-01-28,7.1,7.11,6.95,6.99,1.983984,124100
2011-01-31,7.07,7.09,6.94,7.06,2.003852,53700
2011-02-01,7.15,7.31,7.11,7.3,2.071973,210100
2011-02-02,7.3,7.75,7.27,7.62,2.162799,171400
2011-02-03,7.59,7.8,7.54,7.75,2.199697,100300
2011-02-04,7.81,7.85,7.6,7.7,2.185505,127700
2011-02-07,7.74,7.95,7.71,7.83,2.222404,91100
2011-02-08,7.85,7.86,7.55,7.73,2.19402,147600
2011-02-09,7.74,7.86,7.65,7.82,2.219565,72500
2011-02-10,7.75,7.98,7.67,7.86,2.230918,71900
2011-02-11,7.86,8.01,7.86,7.97,2.26214,86500
2011-02-14,7.97,8.01,7.9,7.96,2.259302,88500
2011-02-15,8.04,8.23,7.9,8.05,2.284846,112800
2011-02-16,8.12,8.31,8.1,8.17,2.318906,113500
2011-02-17,8.16,8.33,8.0,8.16,2.316068,139900
2011-02-18,8.18,8.3,8.07,8.3,2.355804,106500
2011-02-22,8.2,8.33,8.15,8.32,2.361481,125000
2011-02-23,8.33,8.47,8.2,8.24,2.338775,107900
2011-02-24,8.3,8.42,8.24,8.35,2.369996,75300
2011-02-25,8.32,8.41,8.3,8.31,2.358643,75000
2011-02-28,8.33,8.4,8.31,8.35,2.369996,39300
2011-03-01,8.47,8.55,8.35,8.4,2.384187,76900
2011-03-02,8.34,8.44,8.3,8.42,2.389864,33000
2011-03-03,8.46,8.71,8.34,8.58,2.435277,94000
2011-03-04,8.61,8.67,8.36,8.4,2.384187,67100
2011-03-07,8.29,8.29,6.9,7.66,2.174152,656900
2011-03-08,7.76,7.76,7.59,7.71,2.188343,121500
2011-03-09,7.8,7.8,7.61,7.75,2.199697,100100
2011-03-10,7.75,7.82,7.65,7.67,2.176991,106700
2011-03-11,7.66,7.9,7.66,7.78,2.208212,107200
2011-03-14,7.72,7.77,7.5,7.56,2.145768,118400
2011-03-15,7.35,7.43,7.12,7.31,2.074811,280900
2011-03-16,7.27,7.42,7.27,7.32,2.077649,170800
2011-03-17,7.37,7.56,7.25,7.35,2.086164,95900
2011-03-18,7.43,7.52,7.36,7.42,2.106032,76300
2011-03-21,7.43,7.69,7.36,7.68,2.179828,115600
2011-03-22,7.8,7.86,7.58,7.84,2.225241,120500
2011-03-23,8.14,8.23,7.88,8.0,2.270654,121100
2011-03-24,8.07,8.25,7.95,8.01,2.273493,129600
2011-03-25,8.01,8.25,7.97,8.03,2.279169,79500
2011-03-28,8.08,8.22,8.06,8.12,2.304715,69500
2011-03-29,8.15,8.16,8.03,8.06,2.287685,81900
2011-03-30,8.03,8.2,8.03,8.13,2.307553,81800
2011-03-31,8.19,8.33,8.06,8.26,2.344451,195600
2011-04-01,8.32,8.32,7.98,8.02,2.276332,148100
2011-04-04,8.08,8.14,7.9,8.04,2.282008,175000
2011-04-05,8.04,8.07,7.93,7.99,2.267816,128300
2011-04-06,7.73,7.99,7.73,7.9,2.291017,74000
2011-04-07,7.94,7.99,7.78,7.84,2.273617,43900
2011-04-08,7.84,7.84,7.62,7.71,2.235917,112500
2011-04-11,7.7,7.71,7.34,7.39,2.143116,125400
2011-04-12,7.23,7.36,7.08,7.26,2.105416,189400
2011-04-13,7.32,7.43,7.25,7.32,2.122815,49500
2011-04-14,7.27,7.4,7.27,7.38,2.140216,35600
2011-04-15,7.4,7.46,7.33,7.35,2.131516,48400
2011-04-18,7.29,7.34,7.24,7.28,2.111215,55900
2011-04-19,7.3,7.4,7.1,7.18,2.082215,72500
2011-04-20,7.3,7.3,7.07,7.12,2.064815,114600
2011-04-21,7.1,7.3,7.04,7.29,2.114115,99700
2011-04-25,7.26,7.31,7.1,7.3,2.117016,79100
2011-04-26,7.34,7.34,7.2,7.25,2.102515,53700
2011-04-27,7.27,7.36,7.25,7.34,2.128615,37200
2011-04-28,7.35,7.35,7.28,7.31,2.119915,26200
2011-04-29,7.35,7.5,7.3,7.48,2.169216,46000
2011-05-02,7.54,7.63,7.34,7.46,2.163415,66100
2011-05-03,7.55,7.55,7.39,7.48,2.169216,85400
2011-05-04,7.52,7.52,7.38,7.48,2.169216,46000
2011-05-05,7.47,7.47,7.18,7.29,2.114115,84700
2011-05-06,7.6,7.6,7.25,7.32,2.122815,64000
2011-05-09,7.5,7.5,7.25,7.49,2.172116,74900
2011-05-10,7.54,7.58,7.46,7.5,2.175016,42400
2011-05-11,7.5,7.5,7.4,7.48,2.169216,58100
2011-05-12,7.49,7.5,7.35,7.48,2.169216,55700
2011-05-13,7.49,7.5,7.35,7.49,2.172116,80000
2011-05-16,7.48,7.5,7.38,7.5,2.175016,41000
2011-05-17,7.45,7.49,7.35,7.45,2.160516,62800
2011-05-18,7.49,7.57,7.44,7.52,2.180815,112400
2011-05-19,7.55,7.6,7.54,7.58,2.198216,74900
2011-05-20,7.55,7.7,7.5,7.55,2.189516,59300
2011-05-23,7.49,7.66,7.4,7.5,2.175016,148600
2011-05-24,7.5,7.7,7.47,7.59,2.201117,91000
2011-05-25,7.6,7.68,7.51,7.65,2.218516,48200
2011-05-26,7.65,7.66,7.47,7.56,2.192415,45400
2011-05-27,7.56,7.75,7.55,7.68,2.227216,65700
2011-05-31,7.73,7.95,7.73,7.91,2.293916,84000
2011-06-01,7.94,8.01,7.76,7.76,2.250417,80500
2011-06-02,7.77,7.94,7.59,7.85,2.276516,59800
2011-06-03,7.74,7.87,7.62,7.74,2.244617,73300
2011-06-06,7.67,7.99,7.63,7.79,2.259116,61300
2011-06-07,7.82,7.92,7.71,7.83,2.270716,65600
2011-06-08,7.82,7.97,7.55,7.84,2.273617,108000
2011-06-09,7.88,7.99,7.86,7.96,2.308417,64000
2011-06-10,7.98,7.98,7.8,7.96,2.308417,93900
2011-06-13,7.9,8.23,7.9,8.13,2.357717,233900
2011-06-14,8.2,8.2,8.06,8.16,2.366416,95800
2011-06-15,8.12,8.12,7.71,7.86,2.279416,88200
2011-06-16,7.86,7.9,7.45,7.66,2.221416,86900
2011-06-17,7.74,7.99,7.69,7.81,2.264916,91100
2011-06-20,7.83,8.0,7.72,7.99,2.317117,62300
2011-06-21,8.06,8.14,7.89,8.11,2.351917,101100
2011-06-22,8.12,8.22,7.76,8.03,2.328716,109300
2011-06-23,7.98,8.1,7.73,7.98,2.314217,166000
2011-06-24,8.03,8.16,7.78,7.98,2.314217,2981300
2011-06-27,8.05,8.13,7.78,8.11,2.351917,166200
2011-06-28,8.15,8.15,8.03,8.11,2.351917,112600
2011-06-29,8.14,8.14,7.9,7.96,2.308417,204600
2011-06-30,7.98,8.19,7.93,7.95,2.305517,143000
2011-07-01,7.93,8.15,7.93,8.09,2.346117,264200
2011-07-05,8.12,8.31,8.08,8.23,2.386717,315800
2011-07-06,8.01,8.32,7.89,8.24,2.440018,213600
