Date,Open,High,Low,Close,Adj Close,Volume
2019-09-26,27.0,27.98,24.75,25.76,25.76,47035200
2019-09-27,26.17,26.17,23.75,25.24,25.24,15961500
2019-09-30,25.26,25.85,25.0,25.1,25.1,4476700
2019-10-01,25.0,25.17,22.51,22.51,22.51,8808700
2019-10-02,22.25,23.18,21.76,22.6,22.6,9453600
2019-10-03,22.49,22.82,21.139999,22.33,22.33,8278000
2019-10-04,22.35,23.42,22.306,23.01,23.01,3228900
2019-10-07,23.07,24.33,22.49,23.51,23.51,2741400
2019-10-08,23.6,23.9,22.33,23.209999,23.209999,2902100
2019-10-09,23.629999,24.799999,23.25,24.0,24.0,3165600
2019-10-10,24.1,24.200001,22.799999,23.139999,23.139999,3490300
2019-10-11,23.1,23.4,22.110001,22.389999,22.389999,3394900
2019-10-14,22.17,22.280001,21.4,21.469999,21.469999,2651100
2019-10-15,21.51,23.68,21.51,23.445,23.445,2871400
2019-10-16,23.540001,23.540001,22.459999,23.030001,23.030001,2457000
2019-10-17,23.0,23.959999,23.0,23.860001,23.860001,1185400
2019-10-18,24.299999,24.68,23.120001,23.52,23.52,3392200
2019-10-21,23.99,24.370001,21.774,22.26,22.26,7992800
2019-10-22,22.67,22.698,20.93,21.16,21.16,5875400
2019-10-23,21.129999,21.74,20.459999,21.08,21.08,4938000
2019-10-24,21.24,21.450001,20.700001,21.34,21.34,2684500
2019-10-25,21.129999,23.09,21.0,22.4,22.4,2517700
2019-10-28,22.549999,22.67,21.450001,21.459999,21.459999,4159900
2019-10-29,21.57,24.16,21.43,23.18,23.18,5125200
2019-10-30,23.32,23.735001,22.66,23.719999,23.719999,2481800
2019-10-31,23.49,23.940001,22.91,23.870001,23.870001,1910100
2019-11-01,23.870001,25.299999,23.753,24.99,24.99,4894700
2019-11-04,25.299999,26.5,23.540001,24.610001,24.610001,5985100
2019-11-05,24.049999,24.25,22.25,22.74,22.74,13499900
2019-11-06,22.93,23.200001,22.290001,23.02,23.02,3778400
2019-11-07,23.02,23.309999,22.41,22.629999,22.629999,2818800
2019-11-08,22.450001,23.549999,22.25,23.52,23.52,2897100
2019-11-11,23.440001,24.17,22.450001,24.040001,24.040001,2895700
2019-11-12,24.32,24.99,24.190001,24.690001,24.690001,2374800
2019-11-13,24.459999,26.853001,24.15,25.98,25.98,6242500
2019-11-14,26.200001,26.26,25.4,25.93,25.93,3036300
2019-11-15,26.01,28.82,25.709999,27.23,27.23,7295000
2019-11-18,27.34,30.360001,26.24,30.25,30.25,9065200
2019-11-19,29.99,32.009998,28.799999,29.24,29.24,6946000
2019-11-20,29.09,29.99,27.75,29.1,29.1,2565100
2019-11-21,29.129999,30.0,28.660999,29.799999,29.799999,1706700
2019-11-22,30.110001,30.65,28.9,29.360001,29.360001,1639400
2019-11-25,29.49,31.110001,29.49,30.870001,30.870001,2920900
2019-11-26,31.41,31.5,29.747,30.959999,30.959999,2217100
2019-11-27,31.049999,33.07,29.85,32.16,32.16,4229800
2019-11-29,32.66,35.75,32.509998,35.23,35.23,5680000
2019-12-02,35.299999,37.02,32.959999,36.84,36.84,6578100
2019-12-03,35.91,36.0,33.139999,33.48,33.48,7836100
2019-12-04,34.779999,35.299999,31.219999,32.959999,32.959999,8624600
2019-12-05,33.650002,33.650002,30.51,31.309999,31.309999,6496100
2019-12-06,31.799999,33.389999,31.360001,32.630001,32.630001,6812300
2019-12-09,33.310001,35.349998,33.040001,34.77,34.77,7761400
2019-12-10,35.040001,35.099998,31.620001,32.779999,32.779999,13158400
2019-12-11,32.119999,32.380001,29.870001,32.029999,32.029999,7289000
2019-12-12,31.620001,32.360001,29.860001,30.85,30.85,6793700
2019-12-13,30.99,31.969999,30.25,31.530001,31.530001,3306100
2019-12-16,31.65,31.92,30.209999,31.34,31.34,3885600
2019-12-17,31.6,33.32,30.6,32.93,32.93,5533800
2019-12-18,32.709999,33.5,31.354,31.889999,31.889999,4947600
2019-12-19,31.74,32.389999,31.0,31.93,31.93,3319000
2019-12-20,32.0,32.25,29.799999,29.99,29.99,8509200
2019-12-23,30.15,30.200001,28.870001,29.219999,29.219999,4376500
2019-12-24,29.07,29.25,28.559999,28.75,28.75,1972600
2019-12-26,29.0,29.18,26.74,27.0,27.0,8501700
2019-12-27,27.0,27.299999,25.67,27.0,27.0,6794900
2019-12-30,26.83,28.108,26.469999,27.690001,27.690001,4853000
