Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.16,8.32,8.07,8.25,7.773638,1800
2010-01-05,8.25,8.36,8.25,8.31,7.830177,900
2010-01-06,8.38,8.59,8.06,8.33,7.849018,9800
2010-01-07,8.59,8.59,8.4,8.4,7.91498,700
2010-01-08,8.44,8.6,8.23,8.37,7.886713,13100
2010-01-11,8.44,9.46,8.2,9.17,8.640518,13000
2010-01-12,9.09,9.23,8.35,8.47,7.98094,23400
2010-01-13,8.24,8.64,8.15,8.38,7.896134,11500
2010-01-14,8.21,9.7,8.15,9.57,9.017422,20800
2010-01-15,9.92,10.0,9.44,9.63,9.073957,5200
2010-01-19,9.42,9.9,9.1,9.43,8.885506,14000
2010-01-20,9.13,9.13,8.57,8.58,8.084586,7000
2010-01-21,8.67,8.94,7.97,8.22,7.745374,33000
2010-01-22,7.85,8.36,7.65,7.65,7.208285,17300
2010-01-25,8.15,10.0,7.97,9.68,9.121071,29400
2010-01-26,9.75,9.79,9.43,9.75,9.187031,4900
2010-01-27,9.5,9.79,9.5,9.79,9.22472,400
2010-01-28,9.57,9.9,9.36,9.68,9.121071,7500
2010-01-29,9.9,9.9,9.18,9.79,9.22472,6000
2010-02-01,9.72,9.8,8.54,9.0,8.480335,17400
2010-02-02,9.08,9.08,8.07,8.44,7.952666,12800
2010-02-03,8.7,9.08,8.33,9.04,8.518024,6600
2010-02-04,8.63,8.9,8.14,8.18,7.707681,7000
2010-02-05,8.25,8.85,8.13,8.59,8.094009,5700
2010-02-08,8.38,8.83,8.34,8.75,8.244768,9000
2010-02-09,8.61,9.72,8.28,9.46,8.913774,38300
2010-02-10,9.25,9.38,9.0,9.17,8.640518,3700
2010-02-11,8.6,8.77,8.53,8.75,8.244768,1000
2010-02-12,8.75,9.12,8.53,9.0,8.480335,2500
2010-02-16,9.1,9.1,8.9,8.9,8.386106,200
2010-02-17,9.27,9.27,8.32,8.93,8.414379,2200
2010-02-18,8.75,9.7,8.75,9.25,8.7159,22900
2010-02-19,9.55,9.55,9.15,9.5,8.951467,9100
2010-02-22,9.18,9.45,9.01,9.43,8.885506,1200
2010-02-23,9.43,9.43,9.43,9.43,8.885506,0
2010-02-24,9.4,9.56,8.9,8.9,8.386106,7200
2010-02-25,8.9,8.9,8.9,8.9,8.386106,0
2010-02-26,8.9,8.9,8.75,8.9,8.386106,4000
2010-03-01,8.9,8.9,8.9,8.9,8.386106,200
2010-03-02,8.92,9.1,8.9,9.04,8.518024,3000
2010-03-03,8.9,8.97,8.9,8.97,8.452065,700
2010-03-04,8.92,8.92,8.9,8.9,8.386106,1400
2010-03-05,8.91,9.03,8.9,8.91,8.395529,4000
2010-03-08,9.09,9.42,7.8,9.27,8.734749,24400
2010-03-09,9.45,9.9,9.29,9.68,9.121071,25400
2010-03-10,9.85,9.85,8.88,8.98,8.46149,35200
2010-03-11,8.6,9.1,8.6,8.87,8.357841,9000
2010-03-12,8.54,9.3,8.54,8.85,8.338999,17500
2010-03-15,8.81,8.97,8.75,8.85,8.338999,4500
2010-03-16,8.81,8.91,8.8,8.85,8.338999,4500
2010-03-17,8.86,8.95,8.75,8.75,8.244768,10700
2010-03-18,9.06,9.06,8.73,8.92,8.404953,21900
2010-03-19,8.75,8.79,8.61,8.63,8.131698,4100
2010-03-22,8.9,8.9,8.78,8.78,8.27304,6200
2010-03-23,8.65,9.0,8.5,8.94,8.423799,23900
2010-03-24,8.85,9.18,8.75,8.95,8.433224,23900
2010-03-25,8.77,8.97,8.77,8.88,8.367266,1800
2010-03-26,8.97,8.98,8.9,8.9,8.386106,1800
2010-03-29,8.75,8.8,8.71,8.77,8.263615,900
2010-03-30,8.9,8.9,8.81,8.81,8.301305,600
2010-03-31,8.74,9.1,8.73,8.9,8.386106,4500
2010-04-01,9.0,9.0,8.91,8.93,8.414379,3800
2010-04-05,8.77,8.89,8.73,8.77,8.263615,1000
2010-04-06,8.8,9.0,8.75,8.8,8.291883,10100
2010-04-07,8.76,8.82,8.75,8.75,8.244768,2500
2010-04-08,8.76,8.93,8.75,8.82,8.310728,5000
2010-04-09,8.79,9.87,8.79,9.7,9.139915,23500
2010-04-12,9.65,10.33,9.65,10.08,9.497972,27800
2010-04-13,10.1,10.25,9.51,9.51,8.960889,28500
2010-04-14,9.7,9.7,8.85,8.93,8.414379,54700
2010-04-15,8.9,9.11,8.89,8.93,8.414379,12900
2010-04-16,8.96,9.53,8.86,8.97,8.452065,39500
2010-04-19,8.9,9.1,8.86,8.94,8.423799,4900
2010-04-20,8.88,9.78,8.88,9.7,9.139915,34000
2010-04-21,9.6,10.26,9.6,10.1,9.516821,30300
