Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.24,14.69,14.08,14.17,6.659031,255800
2010-01-05,14.25,14.26,14.04,14.14,6.644934,149600
2010-01-06,14.1,14.14,13.95,14.1,6.626137,123700
2010-01-07,14.03,14.11,13.97,14.05,6.602638,107900
2010-01-08,14.0,14.12,14.0,14.11,6.630835,63400
2010-01-11,14.09,14.14,13.97,14.05,6.602638,112800
2010-01-12,14.07,14.07,13.66,13.7,6.43816,133800
2010-01-13,13.75,14.2,13.56,14.08,6.616738,184700
2010-01-14,14.09,14.09,13.94,14.06,6.607338,58900
2010-01-15,13.96,14.04,13.71,13.89,6.527446,88500
2010-01-19,13.85,14.06,13.85,14.06,6.607338,86600
2010-01-20,14.07,14.07,13.75,13.84,6.50395,85500
2010-01-21,13.81,14.02,13.7,13.76,6.466356,74900
2010-01-22,13.64,13.72,13.19,13.19,6.198491,159800
2010-01-25,13.29,13.42,13.06,13.15,6.179691,139200
2010-01-26,13.05,13.16,12.8,12.81,6.019915,294000
2010-01-27,12.76,12.86,12.56,12.78,6.005816,249300
2010-01-28,12.69,12.77,12.46,12.57,5.907129,152200
2010-01-29,12.86,12.86,12.43,12.49,5.869534,154200
2010-02-01,12.67,12.68,12.44,12.62,5.930626,78900
2010-02-02,12.64,12.74,12.5,12.7,5.96822,76600
2010-02-03,12.68,12.89,12.67,12.88,6.05281,78200
2010-02-04,12.86,12.86,12.46,12.53,5.888328,103200
2010-02-05,12.44,12.6,12.29,12.59,5.916527,120200
2010-02-08,12.56,12.66,12.28,12.41,5.831938,75100
2010-02-09,12.44,12.64,12.44,12.6,5.921227,59700
2010-02-10,12.63,12.65,12.44,12.56,5.902429,73500
2010-02-11,12.58,12.78,12.5,12.76,5.996418,73800
2010-02-12,12.74,12.82,12.55,12.82,6.024614,51800
2010-02-16,12.84,12.99,12.81,12.97,6.095102,72200
2010-02-17,13.0,13.06,12.94,13.04,6.127999,66900
2010-02-18,13.0,13.14,12.96,13.14,6.174994,63300
2010-02-19,13.0,13.23,12.95,13.15,6.179691,74100
2010-02-22,13.15,13.27,13.12,13.21,6.20789,91000
2010-02-23,13.18,13.19,12.97,13.08,6.146798,119600
2010-02-24,13.06,13.21,13.05,13.21,6.20789,71400
2010-02-25,13.06,13.24,12.95,13.24,6.221988,69000
2010-02-26,13.16,13.3,13.1,13.19,6.198491,64600
2010-03-01,13.79,13.79,13.16,13.44,6.315976,123000
2010-03-02,13.6,13.61,13.46,13.54,6.362971,130100
2010-03-03,13.65,13.69,13.56,13.58,6.381765,75300
2010-03-04,13.58,13.68,13.51,13.68,6.428761,54300
2010-03-05,13.86,14.0,13.7,13.97,6.565043,94400
2010-03-08,14.04,14.11,13.8,14.08,6.616738,109100
2010-03-09,13.5,14.25,13.5,14.13,6.640234,93300
2010-03-10,14.2,14.3,14.15,14.23,6.687226,68700
2010-03-11,14.25,14.36,14.17,14.32,6.729522,106600
2010-03-12,14.28,14.41,14.26,14.34,6.73892,74300
2010-03-15,14.34,14.37,14.2,14.34,6.73892,92200
2010-03-16,14.31,14.41,14.25,14.41,6.771817,68400
2010-03-17,14.35,14.57,14.35,14.47,6.800013,101400
2010-03-18,14.11,14.21,13.94,14.15,6.798091,107500
2010-03-19,13.79,14.15,13.73,13.79,6.625135,117200
2010-03-22,13.68,13.93,13.64,13.9,6.677984,64300
2010-03-23,13.97,14.21,13.79,13.96,6.706809,89700
2010-03-24,13.79,14.0,13.68,13.73,6.596309,98800
2010-03-25,13.73,13.93,13.73,13.89,6.673178,70200
2010-03-26,13.81,13.95,13.77,13.91,6.682788,66700
2010-03-29,13.83,14.06,13.83,14.03,6.740439,58500
