Date,Open,High,Low,Close,Adj Close,Volume
2017-12-07,16.299999,17.73,15.56,17.469999,17.469999,2346200
2017-12-08,17.5,18.75,17.35,18.18,18.18,268500
2017-12-11,18.25,19.34,18.139999,19.08,19.08,134800
2017-12-12,19.85,19.85,18.9,19.0,19.0,216700
2017-12-13,18.959999,19.219999,18.01,18.684999,18.684999,186100
2017-12-14,18.75,18.9,18.33,18.700001,18.700001,111900
2017-12-15,18.620001,19.280001,17.0,17.75,17.75,130200
2017-12-18,18.23,19.68,17.041,18.639999,18.639999,189000
2017-12-19,18.440001,19.790001,17.896999,19.360001,19.360001,137300
2017-12-20,19.59,19.799999,18.92,19.33,19.33,135800
2017-12-21,19.370001,20.360001,19.07,19.68,19.68,261300
2017-12-22,20.4,21.309999,20.378,21.0,21.0,252000
2017-12-26,21.299999,21.299999,20.370001,20.9,20.9,81100
2017-12-27,21.16,22.65,20.389999,20.889999,20.889999,61800
2017-12-28,20.959999,22.66,20.74,22.18,22.18,118500
2017-12-29,21.83,23.700001,21.360001,21.469999,21.469999,93500
2018-01-02,21.530001,21.530001,19.059999,19.549999,19.549999,255400
2018-01-03,19.76,20.6,18.719999,19.08,19.08,205800
2018-01-04,19.110001,19.690001,19.030001,19.49,19.49,72500
2018-01-05,19.42,20.5,19.309999,19.48,19.48,105400
2018-01-08,19.540001,20.4,19.5,19.75,19.75,136800
2018-01-09,19.76,20.389999,19.76,20.16,20.16,80500
2018-01-10,20.200001,20.49,19.49,20.07,20.07,69500
2018-01-11,19.9,20.57,19.549999,20.110001,20.110001,140900
2018-01-12,20.26,21.5,20.15,20.57,20.57,290000
2018-01-16,20.75,21.959999,20.75,20.91,20.91,151900
2018-01-17,20.85,21.135,20.25,20.690001,20.690001,125700
2018-01-18,20.540001,21.4,20.450001,21.059999,21.059999,97300
2018-01-19,20.879999,21.379999,20.66,20.940001,20.940001,94000
2018-01-22,20.9,21.5,20.830999,21.379999,21.379999,77500
2018-01-23,21.57,23.49,21.57,23.1,23.1,71300
