Date,Open,High,Low,Close,Adj Close,Volume
2018-03-27,6.4,7.0,6.05,6.2,6.2,156000
2018-03-28,6.0,6.2,5.23,5.73,5.73,141300
2018-03-29,5.25,6.1,5.05,6.1,6.1,92200
2018-04-02,6.1,6.95,5.67,6.95,6.95,125400
2018-04-03,6.95,7.2,6.81,7.11,7.11,83500
2018-04-04,7.07,7.68,7.07,7.6,7.6,74300
2018-04-05,7.27,7.5,7.15,7.24,7.24,105000
2018-04-06,6.99,8.05,6.87,7.88,7.88,87700
2018-04-09,7.89,9.77,7.89,9.51,9.51,186000
2018-04-10,9.05,9.45,8.31,9.15,9.15,89600
2018-04-11,8.97,9.08,8.81,8.83,8.83,42100
2018-04-12,8.5,8.86,8.1,8.3,8.3,64700
2018-04-13,8.3,8.92,7.65,7.85,7.85,68600
2018-04-16,7.86,7.86,6.935,7.11,7.11,46200
2018-04-17,7.12,7.49,7.09,7.17,7.17,52700
2018-04-18,7.19,7.815,7.1,7.67,7.67,58600
2018-04-19,7.73,8.2,7.53,7.8,7.8,66500
2018-04-20,7.59,8.18,7.47,7.61,7.61,32100
2018-04-23,7.59,7.6,7.147,7.29,7.29,15500
2018-04-24,7.36,7.82,6.37,6.65,6.65,63000
2018-04-25,6.68,6.8,6.381,6.39,6.39,33700
2018-04-26,6.4,6.799,6.15,6.22,6.22,34900
2018-04-27,6.17,6.3,6.1,6.3,6.3,72400
2018-04-30,6.14,6.44,6.1,6.3,6.3,43500
2018-05-01,6.26,6.26,6.0,6.09,6.09,45400
2018-05-02,5.825,6.05,5.618,5.95,5.95,61800
2018-05-03,5.91,5.962,5.74,5.86,5.86,52500
2018-05-04,5.82,5.91,5.33,5.8,5.8,65600
2018-05-07,5.68,5.84,5.41,5.46,5.46,86700
2018-05-08,5.45,5.5,5.15,5.24,5.24,103600
2018-05-09,5.22,5.41,4.96,5.0,5.0,97600
2018-05-10,5.05,5.16,4.35,4.56,4.56,785800
2018-05-11,4.38,5.25,4.38,5.25,5.25,316400
2018-05-14,5.25,5.89,5.005,5.67,5.67,172100
2018-05-15,5.72,10.05,5.667,9.94,9.94,2401400
2018-05-16,8.71,9.5,7.65,7.8,7.8,1324400
2018-05-17,7.84,9.06,7.2,7.51,7.51,695600
2018-05-18,7.73,8.88,7.5,7.71,7.71,738300
2018-05-21,7.6,8.0,7.12,7.53,7.53,192400
2018-05-22,7.59,8.38,7.38,7.85,7.85,333800
2018-05-23,7.86,8.27,7.81,8.09,8.09,215500
2018-05-24,8.13,8.15,7.434,7.84,7.84,230000
2018-05-25,7.8,7.8,7.44,7.51,7.51,128000
2018-05-29,7.44,7.68,7.04,7.27,7.27,112100
2018-05-30,7.09,7.41,7.09,7.19,7.19,60600
2018-05-31,7.2,7.3,7.05,7.25,7.25,43100
2018-06-01,7.3,7.94,7.195,7.91,7.91,153200
2018-06-04,8.0,8.488,7.479,7.62,7.62,131900
2018-06-05,7.68,7.82,7.53,7.63,7.63,46800
2018-06-06,7.64,7.94,7.465,7.74,7.74,40700
2018-06-07,7.82,7.965,7.8,7.88,7.88,62600
2018-06-08,7.75,8.4,7.75,8.21,8.21,146800
2018-06-11,8.18,8.18,7.79,7.92,7.92,138000
2018-06-12,8.19,8.9,8.02,8.22,8.22,233300
2018-06-13,8.36,8.36,8.02,8.17,8.17,86800
2018-06-14,8.26,8.3,7.46,7.78,7.78,132800
2018-06-15,7.68,7.73,7.46,7.52,7.52,43600
2018-06-18,7.77,7.77,7.3,7.36,7.36,54700
2018-06-19,7.64,7.64,7.3,7.43,7.43,57700
2018-06-20,7.42,7.94,7.28,7.48,7.48,148500
2018-06-21,7.44,7.849,7.41,7.69,7.69,102100
2018-06-22,7.69,8.199,7.69,8.16,8.16,404300
2018-06-25,8.24,9.7,8.15,9.2,9.2,551100
2018-06-26,9.15,9.4,8.52,8.8,8.8,123100
2018-06-27,8.92,8.973,8.25,8.3,8.3,86800
2018-06-28,8.24,8.795,8.2,8.68,8.68,50100
2018-06-29,8.91,8.96,8.501,8.6,8.6,52700
2018-07-02,8.65,8.979,8.49,8.9,8.9,52000
2018-07-03,8.88,11.15,8.88,9.17,9.17,553600
2018-07-05,9.18,9.447,8.521,8.95,8.95,93300
2018-07-06,9.05,9.8,9.05,9.31,9.31,127000
2018-07-09,9.29,9.584,9.056,9.11,9.11,51600
2018-07-10,9.1,9.125,8.1,8.15,8.15,204000
2018-07-11,8.1,8.52,8.1,8.3,8.3,59600
2018-07-12,8.35,8.4,7.95,8.07,8.07,51500
2018-07-13,8.06,8.25,8.0,8.04,8.04,24000
2018-07-16,8.06,8.235,7.815,8.0,8.0,31600
2018-07-17,7.96,8.24,7.46,7.52,7.52,84200
2018-07-18,7.51,7.73,7.5,7.53,7.53,34700
2018-07-19,7.55,8.12,7.55,8.01,8.01,33300
2018-07-20,8.08,8.08,7.5,7.66,7.66,73400
2018-07-23,7.64,7.96,7.1,7.18,7.18,93400
2018-07-24,7.05,7.4,6.73,7.0,7.0,72800
2018-07-25,7.03,7.48,7.016,7.47,7.47,24900
2018-07-26,7.42,7.664,7.1,7.55,7.55,9500
2018-07-27,7.56,7.66,7.25,7.6,7.6,25200
2018-07-30,7.55,7.55,7.16,7.3,7.3,14600
2018-07-31,7.3,7.47,7.15,7.24,7.24,23700
2018-08-01,7.29,7.44,7.21,7.37,7.37,10600
2018-08-02,7.43,7.44,7.11,7.31,7.31,10200
2018-08-03,7.3,7.66,7.3,7.6,7.6,37700
2018-08-06,7.6,7.79,7.343,7.49,7.49,36600
2018-08-07,7.578,7.642,7.401,7.47,7.47,21400
2018-08-08,7.671,7.87,7.42,7.75,7.75,61700
2018-08-09,7.77,8.0,7.51,7.51,7.51,44600
2018-08-10,7.68,7.81,7.446,7.76,7.76,30800
2018-08-13,7.63,7.83,7.425,7.55,7.55,40200
2018-08-14,7.442,7.745,7.431,7.47,7.47,10600
2018-08-15,7.58,7.58,7.42,7.45,7.45,37600
2018-08-16,7.46,7.63,7.28,7.46,7.46,52500
2018-08-17,7.43,7.72,7.33,7.34,7.34,16500
2018-08-20,7.49,7.63,7.051,7.2,7.2,24500
2018-08-21,7.155,7.3,7.086,7.21,7.21,20400
2018-08-22,7.29,7.45,7.114,7.45,7.45,24700
2018-08-23,7.43,7.43,7.3,7.4,7.4,12200
2018-08-24,7.4,7.74,7.35,7.42,7.42,30100
2018-08-27,7.38,7.75,7.38,7.54,7.54,19700
2018-08-28,7.9,7.95,7.7,7.71,7.71,33200
2018-08-29,7.99,8.182,7.77,8.156,8.156,64500
2018-08-30,8.01,8.12,7.83,7.85,7.85,59000
2018-08-31,7.89,8.0,7.61,7.75,7.75,32500
2018-09-04,7.88,7.88,7.6,7.62,7.62,25900
2018-09-05,7.76,7.775,7.6,7.69,7.69,15000
2018-09-06,7.69,7.954,7.5,7.6,7.6,27700
2018-09-07,7.47,7.58,6.3,6.32,6.32,235100
2018-09-10,6.4,6.9,6.21,6.33,6.33,93600
2018-09-11,6.25,6.6,6.01,6.2,6.2,164500
2018-09-12,6.2,6.46,4.76,5.38,5.38,271400
2018-09-13,5.3,5.95,5.3,5.6,5.6,92400
2018-09-14,5.33,5.91,5.26,5.53,5.53,85200
2018-09-17,5.5,6.24,5.46,5.71,5.71,127600
2018-09-18,5.8,6.145,5.51,5.64,5.64,77300
2018-09-19,5.61,5.97,5.61,5.94,5.94,48600
2018-09-20,5.94,6.23,5.901,6.1,6.1,100900
2018-09-21,6.25,6.56,5.96,6.085,6.085,90400
2018-09-24,6.08,6.2,5.9,6.0,6.0,47600
2018-09-25,6.15,6.15,6.0,6.11,6.11,22300
2018-09-26,6.1,6.19,5.972,6.02,6.02,22900
2018-09-27,6.0,6.17,5.99,6.15,6.15,47400
2018-09-28,6.06,6.7,6.0,6.51,6.51,43700
2018-10-01,6.25,6.65,6.14,6.2,6.2,33600
2018-10-02,6.15,6.5,6.1,6.35,6.35,22400
2018-10-03,6.46,6.56,6.35,6.41,6.41,24300
2018-10-04,6.38,6.459,6.25,6.32,6.32,22400
2018-10-05,6.01,6.38,5.95,6.15,6.15,63000
2018-10-08,6.25,6.53,6.14,6.32,6.32,24800
2018-10-09,6.21,6.53,6.0,6.35,6.35,50000
2018-10-10,6.23,6.25,5.99,6.05,6.05,34700
2018-10-11,6.0,6.19,5.451,6.02,6.02,83900
2018-10-12,6.05,6.33,5.75,5.89,5.89,36500
2018-10-15,5.77,6.4,5.48,5.6,5.6,23500
2018-10-16,5.6,5.82,5.6,5.7,5.7,3200
2018-10-17,5.65,6.041,5.47,5.92,5.92,31300
2018-10-18,5.45,5.872,5.45,5.5,5.5,44000
2018-10-19,5.5,5.98,5.5,5.6,5.6,12500
2018-10-22,5.67,5.9,5.46,5.67,5.67,22700
2018-10-23,5.51,5.88,5.45,5.698,5.698,30700
2018-10-24,5.59,5.7,5.23,5.31,5.31,22800
2018-10-25,5.39,5.6,5.19,5.47,5.47,11800
2018-10-26,5.39,5.7,5.219,5.6,5.6,4900
2018-10-29,5.3,5.63,5.3,5.58,5.58,21200
2018-10-30,5.49,5.96,5.49,5.53,5.53,17300
2018-10-31,5.67,5.89,5.453,5.89,5.89,37500
2018-11-01,5.83,6.05,5.458,6.0,6.0,25200
2018-11-02,5.92,6.24,5.91,5.96,5.96,14100
2018-11-05,5.91,6.22,5.69,6.06,6.06,14500
2018-11-06,6.12,6.212,5.73,6.05,6.05,11700
2018-11-07,5.899,6.148,5.8,6.13,6.13,16800
2018-11-08,5.87,6.16,5.75,6.02,6.02,40400
2018-11-09,6.04,6.22,5.716,6.01,6.01,27800
2018-11-12,5.89,6.25,5.89,6.0,6.0,32000
2018-11-13,5.92,6.599,5.92,6.58,6.58,55800
2018-11-14,6.58,7.05,6.451,6.56,6.56,44100
2018-11-15,6.6,6.8,6.6,6.8,6.8,15300
2018-11-16,6.86,6.86,6.7,6.78,6.78,21700
2018-11-19,6.94,6.99,6.75,6.93,6.93,23000
2018-11-20,6.82,6.9,6.64,6.88,6.88,18700
2018-11-21,6.8,6.875,6.61,6.825,6.825,29900
2018-11-23,6.67,7.18,6.67,7.03,7.03,6900
2018-11-26,7.01,7.146,6.64,7.05,7.05,27500
2018-11-27,7.16,7.33,7.0,7.33,7.33,16300
2018-11-28,7.16,7.2,7.1,7.11,7.11,6900
2018-11-29,6.97,7.44,6.97,7.12,7.12,9600
2018-11-30,7.12,7.19,6.94,7.0,7.0,28100
2018-12-03,7.185,7.185,6.87,7.05,7.05,39600
2018-12-04,7.0,7.1,6.88,7.1,7.1,21100
2018-12-06,7.06,7.4,6.815,7.29,7.29,13200
2018-12-07,7.29,7.77,7.23,7.54,7.54,58700
2018-12-10,7.54,7.575,7.05,7.57,7.57,23300
2018-12-11,7.55,7.55,7.101,7.45,7.45,20400
2018-12-12,7.37,7.735,7.286,7.495,7.495,17600
2018-12-13,7.5,7.5,7.2,7.4,7.4,57500
2018-12-14,7.21,7.38,7.04,7.38,7.38,20300
2018-12-17,7.38,7.4,7.0,7.0,7.0,32500
2018-12-18,7.0,7.31,7.0,7.2,7.2,20700
