Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,8.86,9.18,8.6,9.15,8.890896,171000
2010-01-05,9.15,9.37,9.15,9.37,9.104665,165700
2010-01-06,9.42,9.57,9.18,9.34,9.075513,109600
2010-01-07,9.35,9.71,9.31,9.71,9.435037,86300
2010-01-08,9.79,10.43,9.43,10.41,10.115215,241200
2010-01-11,10.59,11.46,10.48,11.06,10.746809,530200
2010-01-12,11.14,11.21,10.8,10.97,10.659356,171100
2010-01-13,10.86,11.03,10.57,11.03,10.717657,246600
2010-01-14,11.1,11.84,11.05,11.78,11.446421,304500
2010-01-15,11.92,12.33,11.43,11.54,11.213216,370800
2010-01-19,12.0,12.25,11.55,11.95,11.611607,214900
2010-01-20,11.92,12.0,11.4,12.0,11.66019,125900
2010-01-21,12.07,12.2,10.71,11.23,10.911993,272700
2010-01-22,11.29,11.94,11.12,11.47,11.145198,302200
2010-01-25,11.91,11.93,11.25,11.4,11.077181,119500
2010-01-26,11.19,11.55,11.0,11.55,11.222933,112300
2010-01-27,11.47,11.51,11.21,11.51,11.184066,81700
2010-01-28,11.46,11.46,11.02,11.15,10.834261,87100
2010-01-29,11.16,11.43,11.11,11.14,10.824543,64300
2010-02-01,11.27,11.27,10.83,10.91,10.601056,103000
2010-02-02,10.8,11.29,10.77,11.09,10.775959,124500
2010-02-03,11.1,12.0,11.1,11.66,11.329819,166700
2010-02-04,12.16,12.16,11.25,11.41,11.086895,224700
2010-02-05,11.42,11.55,10.81,11.13,10.814825,165600
2010-02-08,11.18,11.39,10.98,11.1,10.785678,69200
2010-02-09,11.16,11.32,10.89,11.13,10.814825,184300
2010-02-10,11.02,11.67,10.86,11.43,11.106333,153800
2010-02-11,11.47,11.84,11.35,11.76,11.426986,90000
2010-02-12,11.69,11.99,11.53,11.9,11.563021,138900
2010-02-16,12.16,12.9,11.9,12.89,12.524987,470400
2010-02-17,12.45,12.5,11.25,11.95,11.611607,932400
2010-02-18,12.0,12.94,11.95,12.77,12.408385,346800
2010-02-19,12.65,12.74,12.45,12.57,12.214048,224400
2010-02-22,13.09,14.27,13.0,13.91,13.516102,681300
2010-02-23,14.09,14.1,13.31,14.02,13.62299,432300
2010-02-24,14.09,14.69,14.04,14.5,14.089396,476400
2010-02-25,14.32,15.11,14.32,15.0,14.575237,634800
2010-02-26,15.07,15.62,14.88,15.45,15.012496,586400
2010-03-01,15.95,16.049999,13.12,14.64,14.225432,2237000
2010-03-02,15.0,15.5,14.75,14.98,14.555805,527100
2010-03-03,14.95,15.0,13.7,14.31,13.904778,616700
2010-03-04,14.17,14.41,13.44,14.25,13.846476,469500
2010-03-05,14.25,14.65,14.25,14.36,13.95336,214000
2010-03-08,14.76,14.91,14.36,14.4,13.992229,202000
2010-03-09,14.5,14.67,14.11,14.13,13.729875,217200
2010-03-10,14.21,14.47,14.15,14.22,13.817325,146700
2010-03-11,14.16,14.45,14.15,14.23,13.827041,117300
2010-03-12,14.21,14.39,14.1,14.22,13.817325,160800
2010-03-15,14.1,14.24,13.76,13.97,13.574405,155600
2010-03-16,13.93,14.24,13.78,14.23,13.827041,220200
2010-03-17,14.24,14.65,14.24,14.42,14.011662,243500
2010-03-18,14.35,14.89,14.31,14.84,14.419767,206600
2010-03-19,14.92,14.96,14.24,14.48,14.069961,163700
2010-03-22,14.26,14.35,14.0,14.3,13.89506,142500
2010-03-23,14.3,14.32,13.86,13.97,13.574405,183700
2010-03-24,13.85,14.0,13.1,13.25,12.874791,407000
2010-03-25,13.42,13.82,13.26,13.46,13.078849,168300
2010-03-26,13.42,13.51,13.01,13.13,12.75819,180900
2010-03-29,13.09,13.24,12.85,13.03,12.661022,159300
2010-03-30,12.89,12.95,11.79,12.62,12.262633,570800
