Date,Open,High,Low,Close,Adj Close,Volume
2010-01-06,2.64,2.64,2.64,2.64,2.64,575
2010-01-07,2.64,2.64,2.64,2.64,2.64,30
2010-01-08,2.64,2.64,2.64,2.64,2.64,125
2010-01-13,2.64,2.64,2.64,2.64,2.64,6250
2010-01-20,2.64,2.768,2.768,2.768,2.768,137875
2010-01-22,2.768,2.768,2.768,2.768,2.768,36
2010-01-25,2.768,2.768,2.768,2.768,2.768,54040
2010-02-02,2.768,2.768,2.768,2.768,2.768,5458
2010-02-03,2.768,2.768,2.768,2.768,2.768,31666
2010-02-04,2.768,2.768,2.768,2.768,2.768,36
2010-02-16,2.768,2.768,2.768,2.768,2.768,36
2010-02-19,2.768,2.768,2.768,2.768,2.768,12500
2010-02-24,2.768,2.768,2.768,2.768,2.768,869
2010-03-03,2.768,2.768,2.768,2.768,2.768,125
2010-03-04,2.768,2.768,2.768,2.768,2.768,62
2010-03-12,2.768,2.768,2.768,2.768,2.768,625
2010-03-17,2.768,2.768,2.768,2.768,2.768,12500
2010-03-24,2.768,2.768,2.768,2.768,2.768,14666
2010-04-09,2.768,2.768,2.768,2.768,2.768,2500
2010-04-14,2.768,2.768,2.768,2.768,2.768,250
2010-04-20,2.768,2.768,2.768,2.768,2.768,100000
2010-04-22,2.768,2.768,2.768,2.768,2.768,2500
2010-04-27,2.768,2.768,2.768,2.768,2.768,127915
2010-05-07,2.768,2.768,2.768,2.768,2.768,1291
2010-05-18,2.768,2.768,2.768,2.768,2.768,500
2010-05-25,2.768,2.768,2.768,2.768,2.768,1702
2010-06-07,2.408,2.408,2.408,2.408,2.408,36
2010-06-10,2.408,2.408,2.408,2.408,2.408,27749
2010-06-16,2.408,2.408,2.408,2.408,2.408,1875
2010-06-18,2.408,2.408,2.408,2.408,2.408,3708
2010-06-24,2.408,2.408,2.408,2.408,2.408,2375
2010-06-28,2.408,2.408,2.408,2.408,2.408,375
2010-07-07,2.408,2.408,2.408,2.408,2.408,36
2010-07-15,2.408,2.408,2.408,2.408,2.408,1702
2010-07-22,2.408,2.408,2.408,2.408,2.408,8332
2010-07-28,2.408,2.408,2.408,2.408,2.408,832
2010-08-12,2.408,2.408,2.408,2.408,2.408,832
2010-08-31,2.408,2.408,2.408,2.408,2.408,12500
2010-09-21,2.408,2.408,2.408,2.408,2.408,1250
2010-09-24,2.408,2.408,2.408,2.408,2.408,1311
2010-09-27,2.408,2.408,2.408,2.408,2.408,958
2010-09-28,2.408,2.408,2.408,2.408,2.408,450
2010-10-04,2.408,2.408,2.408,2.408,2.408,12500
2010-10-22,2.408,2.408,2.408,2.408,2.408,3849
2010-10-25,2.408,2.408,2.408,2.408,2.408,775
2010-10-27,2.408,2.408,2.408,2.408,2.408,332
2010-10-28,2.408,2.408,2.408,2.408,2.408,416
2010-10-29,2.408,2.408,2.408,2.408,2.408,832
2010-11-01,2.408,2.408,2.408,2.408,2.408,832
2010-11-09,2.408,2.408,2.408,2.408,2.408,750
2010-11-12,2.408,2.408,2.408,2.408,2.408,200
2010-11-26,2.408,2.408,2.408,2.408,2.408,50125
2010-12-03,2.408,2.408,2.408,2.408,2.408,625
2010-12-14,2.408,2.408,2.408,2.408,2.408,250
2010-12-23,2.408,2.408,2.408,2.408,2.408,36625
2011-01-11,2.408,2.408,2.408,2.408,2.408,500
2011-01-20,2.408,2.408,2.408,2.408,2.408,1250
2011-02-08,2.408,2.408,2.408,2.408,2.408,332
2011-02-10,2.408,2.408,2.408,2.408,2.408,1208
2011-02-23,2.408,2.408,2.408,2.408,2.408,22082
2011-03-25,2.408,2.408,2.408,2.408,2.408,22082
2011-04-18,2.408,2.408,2.408,2.408,2.408,2082
2011-04-20,2.408,2.408,2.408,2.408,2.408,50000
2011-05-04,2.408,2.408,2.408,2.408,2.408,1666
2011-05-13,2.408,2.408,2.408,2.408,2.408,36
2011-05-17,2.408,2.408,2.408,2.408,2.408,1250
2011-05-18,2.408,2.408,2.408,2.408,2.408,416
2011-05-19,2.408,2.408,2.408,2.408,2.408,1250
2011-05-24,2.408,2.528,2.408,2.528,2.528,88750
2011-05-26,2.528,2.528,2.528,2.528,2.528,1832
2011-05-27,2.648,2.648,2.648,2.648,2.648,125000
2011-06-01,2.648,2.648,2.648,2.648,2.648,36
2011-06-02,2.648,2.776,2.648,2.776,2.776,100000
2011-06-03,2.776,2.776,2.776,2.776,2.776,37500
2011-06-06,2.776,2.776,2.776,2.776,2.776,37500
2011-06-07,2.776,2.776,2.776,2.776,2.776,12500
2011-06-20,2.776,2.776,2.776,2.776,2.776,3750
2011-07-21,2.776,2.776,2.776,2.776,2.776,50000
2011-07-22,2.776,2.776,2.776,2.776,2.776,50000
2011-07-25,2.776,2.776,2.776,2.776,2.776,50000
2011-08-03,2.776,2.776,2.776,2.776,2.776,1039
2011-08-25,2.776,2.776,2.776,2.776,2.776,1250
2011-08-29,2.776,2.912,2.776,2.912,2.912,63000
2011-09-02,2.912,2.912,2.912,2.912,2.912,416
2011-09-09,2.912,2.912,2.912,2.912,2.912,12500
2011-09-12,2.912,3.056,2.912,3.056,3.056,138750
2011-09-14,2.656,2.656,2.656,2.656,2.656,33416
2011-09-15,2.656,2.784,2.656,2.784,2.784,62625
2011-09-16,2.784,2.92,2.784,2.92,2.92,68750
2011-09-19,2.92,3.064,2.92,3.064,3.064,70000
2011-09-20,3.064,3.216,3.064,3.216,3.216,174860
2011-09-22,3.216,3.376,3.216,3.376,3.376,113750
2011-09-23,3.376,3.544,3.376,3.544,3.544,63750
