Date,Open,High,Low,Close,Adj Close,Volume
2019-04-03,11.5,12.14,7.72,7.85,7.85,7911000
2019-04-04,8.3,9.3,8.01,8.61,8.61,1908400
2019-04-05,8.72,8.98,8.3,8.51,8.51,630100
2019-04-08,8.49,8.5,6.9,7.05,7.05,1486200
2019-04-09,7.16,7.5,6.03,6.08,6.08,2463200
2019-04-10,6.14,7.15,6.14,6.54,6.54,1841400
2019-04-11,6.6,6.7,6.05,6.26,6.26,1334000
2019-04-12,6.37,7.05,6.36,6.87,6.87,1154300
2019-04-15,7.01,7.67,7.0,7.35,7.35,1497400
2019-04-16,7.48,7.67,6.62,6.79,6.79,891000
2019-04-17,6.75,7.05,6.4,6.64,6.64,799400
2019-04-18,6.65,6.88,6.42,6.66,6.66,793700
2019-04-22,6.64,6.87,6.31,6.36,6.36,410400
2019-04-23,6.43,6.94,6.35,6.8,6.8,756700
2019-04-24,6.77,7.23,6.52,6.99,6.99,627000
2019-04-25,6.97,7.32,6.66,7.06,7.06,1025300
2019-04-26,7.02,7.5,7.016,7.15,7.15,837300
2019-04-29,7.06,7.45,7.06,7.3,7.3,191500
2019-04-30,7.5,7.95,7.3,7.59,7.59,1218400
2019-05-01,7.61,7.753,7.01,7.06,7.06,592500
2019-05-02,7.08,7.35,6.62,6.72,6.72,448300
2019-05-03,6.8,7.05,6.7,6.79,6.79,235700
2019-05-06,6.3,6.36,6.15,6.18,6.18,641400
2019-05-07,6.2,6.23,5.98,6.18,6.18,306700
2019-05-08,6.12,6.2,5.9,5.96,5.96,171500
2019-05-09,5.9,5.965,5.467,5.72,5.72,643100
2019-05-10,5.68,6.048,5.54,5.71,5.71,210300
2019-05-13,5.58,5.58,5.17,5.21,5.21,311000
2019-05-14,5.25,5.454,5.09,5.22,5.22,175900
2019-05-15,5.23,5.24,4.935,5.04,5.04,154500
2019-05-16,5.04,5.089,4.35,4.45,4.45,764800
2019-05-17,4.46,4.573,4.22,4.25,4.25,203500
2019-05-20,4.13,4.2,3.61,3.73,3.73,815000
2019-05-21,3.81,3.91,3.58,3.6,3.6,803300
2019-05-22,3.66,4.1,3.6,4.0,4.0,684400
2019-05-23,3.91,4.1,3.86,4.01,4.01,364700
2019-05-24,4.02,4.085,3.8,3.96,3.96,83400
2019-05-28,3.96,4.07,3.86,3.88,3.88,34400
2019-05-29,3.91,3.93,3.73,3.76,3.76,59800
2019-05-30,3.79,3.9,3.66,3.77,3.77,130500
2019-05-31,3.75,3.871,3.6,3.75,3.75,188500
2019-06-03,3.72,3.795,3.63,3.68,3.68,114500
2019-06-04,3.7,3.84,3.65,3.72,3.72,168200
2019-06-05,3.75,3.869,3.65,3.65,3.65,73700
2019-06-06,3.68,3.688,3.28,3.29,3.29,134100
2019-06-07,3.36,3.44,3.06,3.21,3.21,175500
2019-06-10,3.3,3.44,3.12,3.24,3.24,98800
2019-06-11,3.317,3.425,3.13,3.39,3.39,214400
2019-06-12,3.24,3.39,3.2,3.26,3.26,71500
2019-06-13,3.54,4.55,3.531,4.01,4.01,3305300
2019-06-14,4.01,4.058,3.58,3.76,3.76,533200
2019-06-17,3.79,3.989,3.66,3.88,3.88,229100
2019-06-18,3.94,3.97,3.703,3.78,3.78,176500
2019-06-19,3.62,3.95,3.62,3.75,3.75,131400
2019-06-20,3.79,3.85,3.47,3.57,3.57,246100
2019-06-21,3.55,3.595,3.35,3.48,3.48,77300
2019-06-24,3.52,3.52,3.18,3.18,3.18,166600
2019-06-25,3.19,3.26,3.08,3.1,3.1,149000
2019-06-26,3.1,3.24,3.06,3.12,3.12,77000
2019-06-27,3.09,3.28,3.06,3.19,3.19,151000
2019-06-28,3.18,3.48,3.18,3.44,3.44,848400
2019-07-01,3.68,3.68,3.45,3.5,3.5,556300
2019-07-02,3.54,3.72,3.54,3.67,3.67,129200
2019-07-03,3.57,3.713,3.44,3.59,3.59,83200
2019-07-05,3.55,3.58,3.39,3.5,3.5,226900
2019-07-08,3.45,3.55,3.351,3.51,3.51,153100
2019-07-09,3.46,3.561,3.41,3.545,3.545,103600
2019-07-10,3.55,3.71,3.49,3.58,3.58,113000
2019-07-11,3.59,3.66,3.5,3.6,3.6,174000
2019-07-12,3.57,3.67,3.57,3.62,3.62,176400
2019-07-15,3.52,3.66,3.52,3.61,3.61,436800
2019-07-16,3.61,3.75,3.53,3.59,3.59,174200
2019-07-17,3.55,3.75,3.51,3.63,3.63,147800
2019-07-18,3.53,3.67,3.53,3.64,3.64,111200
2019-07-19,3.59,3.73,3.57,3.66,3.66,170400
2019-07-22,3.65,3.9,3.65,3.85,3.85,184400
2019-07-23,3.89,3.97,3.72,3.83,3.83,110700
2019-07-24,3.77,3.86,3.564,3.69,3.69,252600
2019-07-25,3.73,3.885,3.63,3.79,3.79,461600
2019-07-26,3.8,3.86,3.7,3.75,3.75,78800
2019-07-29,3.75,3.798,3.64,3.66,3.66,49800
2019-07-30,3.69,3.69,3.55,3.63,3.63,39300
2019-07-31,3.63,3.73,3.58,3.6,3.6,44200
2019-08-01,3.61,3.77,3.57,3.77,3.77,55000
2019-08-02,3.72,3.79,3.56,3.66,3.66,220700
2019-08-05,3.57,3.61,3.45,3.47,3.47,153600
