Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,42.150002,42.779999,41.970001,42.57,36.721504,247100
2010-01-05,42.41,42.990002,42.09,42.990002,37.083805,288500
2010-01-06,42.900002,43.25,42.59,42.900002,37.006172,192100
2010-01-07,43.099998,43.93,42.68,43.91,37.877403,253200
2010-01-08,43.91,44.630001,43.610001,44.57,38.44672,213500
2010-01-11,44.599998,44.810001,43.619999,44.470001,38.36047,269300
2010-01-12,44.400002,44.639999,44.18,44.389999,38.291447,116100
2010-01-13,44.5,45.310001,44.310001,45.189999,38.981552,162700
2010-01-14,45.34,46.75,45.150002,46.5,40.111576,517800
2010-01-15,46.490002,47.25,46.400002,47.25,40.75853,568400
2010-01-19,47.439999,48.32,47.43,47.950001,41.362366,788100
2010-01-20,47.869999,48.139999,47.360001,47.599998,41.060452,421000
2010-01-21,47.900002,48.23,46.810001,46.900002,40.456627,253400
2010-01-22,46.959999,48.060001,46.82,47.360001,40.853413,212300
2010-01-25,47.66,47.689999,46.580002,46.810001,40.378994,178700
2010-01-26,46.779999,47.25,46.290001,46.860001,40.422108,202600
2010-01-27,46.860001,47.25,46.580002,46.82,40.387619,285500
2010-01-28,46.869999,46.990002,46.209999,46.41,40.033943,255100
2010-01-29,46.66,47.18,46.48,46.75,40.327217,408700
2010-02-01,46.759998,46.880001,46.099998,46.099998,39.766529,353100
2010-02-02,46.259998,46.77,46.060001,46.549999,40.154697,307700
2010-02-03,46.549999,47.32,46.119999,47.0,40.542885,291400
2010-02-04,46.919998,47.18,46.27,46.349998,39.982178,272800
2010-02-05,46.57,48.16,46.0,47.990002,41.531277,554000
2010-02-08,47.82,49.5,47.279999,48.560001,42.024559,553000
2010-02-09,48.900002,49.580002,48.459999,48.91,42.327454,286700
2010-02-10,48.939999,49.619999,48.849998,49.619999,42.941895,351600
2010-02-11,49.84,50.799999,49.139999,50.049999,43.314026,477100
2010-02-12,49.889999,50.400002,48.75,50.080002,43.340004,441500
2010-02-16,50.470001,50.48,49.889999,50.369999,43.590954,292500
2010-02-17,50.259998,50.700001,49.939999,50.389999,43.608273,199200
2010-02-18,50.509998,50.720001,50.029999,50.490002,43.694817,231500
2010-02-19,50.720001,51.189999,50.380001,50.900002,44.049641,286800
2010-02-22,51.16,51.470001,50.439999,51.040001,44.170792,349500
2010-02-23,51.240002,51.459999,49.790001,50.27,43.50441,598200
2010-02-24,50.25,50.68,49.650002,49.889999,43.17556,323000
2010-02-25,49.540001,49.889999,49.34,49.82,43.114986,361400
2010-02-26,49.82,50.060001,48.740002,48.959999,42.370724,310400
2010-03-01,49.310001,50.639999,49.310001,50.580002,43.772697,308000
2010-03-02,50.779999,52.439999,50.75,51.919998,44.93235,376700
2010-03-03,52.09,52.68,51.98,52.34,45.295834,226200
2010-03-04,52.27,52.799999,52.18,52.59,45.512188,132000
2010-03-05,51.060001,51.09,49.630001,50.130001,43.383274,583500
2010-03-08,50.580002,50.580002,49.91,50.02,43.288063,181200
2010-03-09,49.099998,50.889999,49.099998,50.68,43.859241,408600
2010-03-10,50.650002,51.040001,49.919998,50.43,43.642891,146300
2010-03-11,50.099998,50.790001,50.0,50.790001,43.95443,118300
2010-03-12,51.099998,51.52,50.830002,51.200001,44.309242,215700
2010-03-15,51.0,52.32,50.75,51.59,44.64677,260300
2010-03-16,51.549999,52.369999,51.41,52.32,45.278522,403800
2010-03-17,52.619999,52.860001,51.849998,51.959999,44.966988,155400
2010-03-18,52.040001,52.349998,51.529999,52.299999,45.261211,75200
2010-03-19,52.5,53.310001,52.27,53.27,46.100658,262400
2010-03-22,53.130001,53.259998,52.82,53.080002,45.936249,169800
2010-03-23,52.98,53.32,52.759998,52.939999,45.81509,144700
2010-03-24,53.130001,56.23,53.130001,55.900002,48.37672,499500
2010-03-25,55.93,56.889999,54.619999,54.860001,47.476681,269000
2010-03-26,55.150002,56.23,54.209999,56.040001,48.497868,198600
2010-03-29,56.099998,56.450001,55.709999,56.139999,48.584412,107400
2010-03-30,55.880001,56.73,53.5,53.849998,46.602615,689300
2010-03-31,53.220001,53.700001,52.25,53.610001,46.394913,249300
2010-04-01,53.700001,54.150002,53.310001,53.950001,46.68914,1832200
2010-04-05,54.139999,54.220001,53.490002,54.009998,46.741077,351700
2010-04-06,53.75,54.5,53.650002,54.220001,46.92281,251400
2010-04-07,54.119999,55.0,53.759998,54.459999,47.130512,273500
2010-04-08,54.209999,55.650002,53.939999,55.450001,47.987278,313000
2010-04-09,55.599998,55.98,55.299999,55.98,48.44593,266100
2010-04-12,57.5,58.41,57.5,58.09,50.271976,521200
2010-04-13,57.990002,58.09,57.099998,57.959999,50.159466,207500
2010-04-14,57.93,58.470001,57.93,58.290001,50.445057,185900
2010-04-15,58.09,59.110001,57.959999,59.049999,51.102768,233300
2010-04-16,59.049999,59.43,58.029999,58.369999,50.514286,386800
2010-04-19,58.360001,58.490002,57.150002,57.630001,49.873894,145800
2010-04-20,57.580002,58.259998,57.48,58.150002,50.323887,98400
2010-04-21,58.009998,58.540001,57.66,57.82,50.038307,86500
2010-04-22,57.950001,58.220001,57.459999,57.799999,50.021004,191200
2010-04-23,58.099998,58.34,57.389999,58.150002,50.323887,136800
2010-04-26,58.330002,59.130001,58.27,58.639999,50.747944,110500
2010-04-27,58.5,59.200001,57.52,57.599998,49.847927,130700
2010-04-28,57.650002,58.040001,55.740002,57.189999,49.493088,340900
2010-04-29,57.23,58.349998,57.23,57.889999,50.098892,330900
2010-04-30,57.720001,57.849998,56.650002,56.669998,49.17049,577500
2010-05-03,56.900002,57.830002,56.060001,57.369999,49.777855,186500
2010-05-04,56.799999,57.549999,56.799999,57.259998,49.682407,163300
2010-05-05,56.950001,57.560001,56.740002,57.439999,49.838593,174700
