Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.66,3.66,3.66,3.66,1.859899,3100
2010-01-05,3.65,3.68,3.55,3.66,1.859899,9500
2010-01-06,3.66,3.66,3.66,3.66,1.859899,0
2010-01-07,3.52,3.59,3.52,3.59,1.824326,1600
2010-01-08,3.6,3.6,3.56,3.56,1.809082,5900
2010-01-11,3.65,3.65,3.65,3.65,1.854817,2200
2010-01-12,3.65,3.66,3.6,3.6,1.829408,7600
2010-01-13,3.62,3.62,3.58,3.61,1.83449,20700
2010-01-14,3.67,3.68,3.67,3.68,1.870062,7000
2010-01-15,3.65,3.65,3.65,3.65,1.854817,4000
2010-01-19,3.65,3.68,3.65,3.67,1.86498,9800
2010-01-20,3.66,3.69,3.66,3.66,1.859899,14800
2010-01-21,3.67,3.7,3.66,3.7,1.880225,14600
2010-01-22,3.7,3.7,3.66,3.7,1.880225,27700
2010-01-25,3.67,3.69,3.6,3.6,1.829408,7000
2010-01-26,3.69,3.69,3.69,3.69,1.875143,200
2010-01-27,3.69,3.69,3.6,3.6,1.829408,1700
2010-01-28,3.6,3.6,3.6,3.6,1.829408,1000
2010-01-29,3.64,3.64,3.6,3.6,1.829408,3300
2010-02-01,3.6,3.6,3.6,3.6,1.829408,4000
2010-02-02,3.56,3.7,3.56,3.7,1.880225,9700
2010-02-03,3.58,3.58,3.57,3.57,1.814163,5000
2010-02-04,3.57,3.7,3.57,3.7,1.880225,6000
2010-02-05,3.57,3.57,3.57,3.57,1.814163,300
2010-02-08,3.57,3.6,3.55,3.6,1.829408,10200
2010-02-09,3.56,3.56,3.56,3.56,1.809082,1000
2010-02-10,3.57,3.57,3.55,3.55,1.804,5600
2010-02-11,3.52,3.6,3.5,3.6,1.829408,19500
2010-02-12,3.55,3.55,3.55,3.55,1.804,3300
2010-02-16,3.55,3.6,3.55,3.6,1.829408,22400
2010-02-17,3.55,3.6,3.5,3.52,1.788755,32600
2010-02-18,3.6,3.6,3.6,3.6,1.829408,3100
2010-02-19,3.52,3.54,3.45,3.54,1.798918,8200
2010-02-22,3.57,3.58,3.56,3.58,1.819245,10000
2010-02-23,3.5,3.63,3.5,3.59,1.824326,10100
