Date,Open,High,Low,Close,Adj Close,Volume
2010-02-22,2.51964,2.51964,2.43883,2.4976,2.4976,632315
2010-02-23,2.4976,3.22484,2.4976,3.09996,3.09996,19004505
2010-02-24,3.09996,3.23219,2.82816,2.90897,2.90897,6564338
2010-02-25,2.90897,2.96039,2.68125,2.74001,2.74001,3085767
2010-03-01,2.58575,2.6739,2.46822,2.4976,2.4976,1594476
2010-03-02,2.4976,2.60779,2.43149,2.57106,2.57106,1185353
2010-03-03,2.57106,2.68125,2.43883,2.48291,2.48291,1282143
2010-03-04,2.48291,2.58575,2.42414,2.57106,2.57106,1904184
2010-03-05,2.57106,2.62248,2.46087,2.47556,2.47556,1246081
2010-03-09,2.47556,2.53433,2.40945,2.43149,2.43149,1385062
2010-03-10,2.42414,2.49025,2.38007,2.4021,2.4021,1144478
2010-03-11,2.4021,2.42414,2.35068,2.35803,2.35803,2041318
2010-03-12,2.35803,2.45352,2.29192,2.33599,2.33599,1778500
2010-03-15,2.33599,2.42414,2.24049,2.27722,2.27722,3145824
2010-03-16,2.27722,2.50495,2.24049,2.42414,2.42414,3044464
2010-03-17,2.42414,2.56371,2.42414,2.47556,2.47556,2383303
2010-03-18,2.47556,2.68125,2.4976,2.62983,2.62983,4821159
2010-03-22,2.47556,2.52698,2.36537,2.38741,2.38741,2039590
2010-03-24,2.38741,2.50495,2.37272,2.43149,2.43149,1256401
2010-03-25,2.43149,2.55637,2.45352,2.48291,2.48291,1209528
2010-03-26,2.48291,2.53433,2.36537,2.4021,2.4021,1322892
2010-03-29,2.4021,2.4976,2.31395,2.37272,2.37272,959378
2010-03-30,2.37272,2.46087,2.29192,2.31395,2.31395,1131223
2010-03-31,2.31395,2.35803,2.26988,2.31395,2.31395,590950
2010-04-01,2.31395,2.38741,2.18173,2.25519,2.25519,11710030
2010-04-05,2.38741,2.44618,2.35068,2.38741,2.38741,5122850
2010-04-06,2.38741,2.4168,2.33599,2.37272,2.37272,3921403
2010-04-07,2.37272,3.08527,2.35068,2.99712,2.99712,87421840
2010-04-08,2.99712,3.122,2.80613,2.85755,2.85755,40365666
2010-04-12,2.87959,3.10731,2.84286,2.99712,2.99712,40455591
2010-04-13,2.99712,3.07792,2.86489,2.88693,2.88693,15911893
2010-04-14,2.88693,3.15873,2.86489,3.09996,3.09996,36840725
2010-04-15,3.09996,3.28361,3.07058,3.16607,3.16607,47265167
2010-04-16,3.16607,3.19546,3.03385,3.07058,3.07058,10820517
2010-04-19,3.07058,3.15873,2.98977,3.06323,3.06323,16343833
2010-04-20,3.06323,3.12935,2.99712,3.00447,3.00447,8504338
2010-04-21,3.00447,3.04119,2.87959,2.92366,2.92366,9527436
2010-04-22,2.92366,3.0265,2.86489,2.87959,2.87959,12086756
2010-04-23,2.87959,2.90897,2.79143,2.79878,2.79878,10570982
2010-04-26,2.79878,2.85755,2.74001,2.7694,2.7694,4976284
2010-04-27,2.7694,2.82082,2.71063,2.72532,2.72532,4491807
2010-04-28,2.72532,2.75471,2.56371,2.66656,2.66656,10404412
2010-04-29,2.66656,2.6739,2.45352,2.48291,2.48291,8527627
2010-04-30,2.48291,2.53433,2.4168,2.45352,2.45352,7965097
2010-05-03,2.45352,2.54902,2.43883,2.49025,2.49025,6110723
2010-05-04,2.49025,2.68125,2.51229,2.62983,2.62983,11869029
2010-05-05,2.62983,2.6739,2.57106,2.60044,2.60044,3886699
2010-05-07,2.60044,2.64452,2.52698,2.54902,2.54902,3839577
2010-05-10,2.4976,2.52698,2.4168,2.45352,2.45352,4720400
2010-05-11,2.45352,2.50495,2.38741,2.42414,2.42414,3855748
2010-05-12,2.42414,2.50495,2.35068,2.46087,2.46087,6400821
2010-05-13,2.46087,2.60779,2.46087,2.54168,2.54168,7902160
2010-05-14,2.54168,2.5931,2.44618,2.49025,2.49025,3862447
2010-05-17,2.49025,2.52698,2.35803,2.39476,2.39476,7540873
2010-05-18,2.39476,2.46087,2.34334,2.35803,2.35803,6483588
2010-05-19,2.35803,2.4021,2.26988,2.35803,2.35803,10783694
2010-05-20,2.35803,2.4168,2.32864,2.35068,2.35068,1789183
2010-05-21,2.35068,2.38741,2.29192,2.32864,2.32864,2068336
2010-05-24,2.32864,2.38007,2.23315,2.25519,2.25519,3703227
2010-05-25,2.25519,2.31395,2.18173,2.19642,2.19642,7479251
2010-05-26,2.19642,2.29192,2.15234,2.26988,2.26988,7643661
2010-05-27,2.26988,2.36537,2.20376,2.2258,2.2258,8643709
