Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.18,17.450001,16.85,16.9,15.18426,247300
2010-01-05,16.93,17.35,16.83,17.280001,15.525687,427200
2010-01-06,17.190001,17.27,16.58,16.709999,15.013547,277800
2010-01-07,16.67,17.07,16.67,17.01,15.283096,202700
2010-01-08,16.9,17.120001,16.360001,16.5,14.824869,188100
2010-01-11,16.540001,16.690001,15.96,16.360001,14.699087,184800
2010-01-12,16.18,16.33,15.38,15.58,13.998272,491100
2010-01-13,15.69,16.32,15.69,16.120001,14.48345,292000
2010-01-14,15.98,16.540001,15.95,16.34,14.681116,231000
2010-01-15,16.42,16.66,15.6,15.9,14.285786,284100
2010-01-19,15.92,16.459999,15.92,16.15,14.510404,316900
2010-01-20,15.97,16.17,15.37,15.59,14.007257,407200
2010-01-21,15.68,16.0,15.49,15.7,14.106088,359000
2010-01-22,15.72,15.9,15.4,15.59,14.007257,244500
2010-01-25,15.7,15.82,15.35,15.47,13.899438,136000
2010-01-26,15.37,15.45,15.1,15.16,13.620912,235300
2010-01-27,15.08,15.5,14.92,15.42,13.854513,175700
2010-01-28,15.4,15.41,14.45,14.84,13.3334,265600
2010-01-29,14.94,15.07,14.63,14.63,13.14472,286200
2010-02-01,14.74,14.99,14.61,14.98,13.459186,192900
2010-02-02,15.04,15.38,14.88,15.22,13.67482,292800
2010-02-03,15.09,15.16,14.41,14.49,13.01893,381300
2010-02-04,14.42,14.44,13.98,13.98,12.56071,256300
2010-02-05,14.1,14.19,13.76,14.09,12.659542,402300
2010-02-08,14.04,14.13,13.86,13.86,12.45289,269700
2010-02-09,14.06,14.39,13.8,14.25,12.803296,626700
2010-02-10,14.13,14.41,14.11,14.4,12.938068,273800
2010-02-11,14.28,14.35,13.81,14.32,12.866191,844400
2010-02-12,14.11,14.11,13.28,14.0,12.578673,666300
2010-02-16,14.08,14.31,13.74,14.3,12.848221,412400
2010-02-17,14.4,14.55,14.16,14.52,13.045888,337300
2010-02-18,14.46,14.97,14.46,14.8,13.297462,369800
2010-02-19,14.8,14.99,14.75,14.95,13.432232,298600
2010-02-22,15.0,15.24,14.82,14.87,13.360353,244300
