Date,Open,High,Low,Close,Adj Close,Volume
2015-01-29,475.0,487.5,370.0,373.75,373.75,208400
2015-01-30,373.75,388.5,362.5,368.5,368.5,8900
2015-02-02,377.25,381.0,350.5,355.25,355.25,6100
2015-02-03,349.75,352.5,322.25,337.0,337.0,5500
2015-02-04,329.0,350.0,318.25,318.5,318.5,3600
2015-02-05,330.75,336.0,313.75,320.5,320.5,3300
2015-02-06,329.25,338.0,324.0,329.25,329.25,7000
2015-02-09,326.25,345.875,325.0,339.25,339.25,2700
2015-02-10,334.75,349.75,321.125,340.0,340.0,2200
2015-02-11,350.0,351.25,345.25,351.0,351.0,1400
2015-02-12,355.0,355.0,340.75,351.75,351.75,2300
2015-02-13,348.25,355.5,336.5,347.25,347.25,2100
2015-02-17,354.75,367.5,353.0,360.5,360.5,1500
2015-02-18,374.0,374.0,360.25,362.0,362.0,1200
2015-02-19,361.75,362.5,360.25,362.25,362.25,1400
2015-02-20,362.5,373.5,356.25,367.75,367.75,3800
2015-02-23,375.0,404.5,363.125,398.75,398.75,7800
2015-02-24,419.75,432.0,407.75,430.0,430.0,7500
2015-02-25,437.5,451.25,410.5,422.0,422.0,4100
2015-02-26,426.75,441.5,411.0,438.25,438.25,2400
2015-02-27,438.25,446.25,425.5,434.625,434.625,2100
2015-03-02,435.0,462.5,425.0,444.5,444.5,1600
2015-03-03,448.25,499.5,448.25,492.5,492.5,5500
2015-03-04,489.0,520.0,477.75,487.5,487.5,7500
2015-03-05,498.75,498.75,462.5,462.5,462.5,6600
2015-03-06,457.5,463.75,425.0,441.75,441.75,2300
2015-03-09,443.5,469.125,430.75,456.5,456.5,3500
2015-03-10,450.0,468.450012,438.25,452.0,452.0,1800
2015-03-11,451.75,468.5,450.25,454.0,454.0,1700
2015-03-12,454.75,467.049988,454.0,465.75,465.75,2300
2015-03-13,467.5,467.5,454.25,459.75,459.75,2400
2015-03-16,462.5,546.75,456.75,540.75,540.75,8500
2015-03-17,550.25,579.0,488.0,574.25,574.25,6100
2015-03-18,584.0,584.0,525.5,550.75,550.75,3800
2015-03-19,551.0,568.5,490.75,498.5,498.5,3200
2015-03-20,500.25,562.5,496.5,503.75,503.75,11000
2015-03-23,502.25,522.0,500.0,510.5,510.5,3000
2015-03-24,490.5,547.5,490.5,538.25,538.25,2900
2015-03-25,539.5,543.5,487.75,501.25,501.25,4200
2015-03-26,500.25,548.0,487.25,511.25,511.25,4100
2015-03-27,514.0,524.25,494.450012,504.75,504.75,3100
2015-03-30,505.75,527.5,456.5,475.0,475.0,5300
2015-03-31,475.0,536.75,460.0,490.0,490.0,30000
2015-04-01,505.0,511.75,475.75,495.5,495.5,2300
2015-04-02,497.75,533.0,490.0,530.25,530.25,1500
2015-04-06,524.25,578.0,520.5,541.25,541.25,3700
2015-04-07,544.25,563.25,502.25,505.0,505.0,2800
2015-04-08,507.25,537.950012,493.475006,493.75,493.75,1300
2015-04-09,497.5,505.5,480.25,498.25,498.25,1600
2015-04-10,496.25,496.25,481.5,489.75,489.75,900
2015-04-13,487.5,501.5,478.75,486.5,486.5,900
2015-04-14,504.75,532.75,475.0,491.5,491.5,4400
2015-04-15,499.5,517.5,491.25,497.75,497.75,2700
2015-04-16,495.25,504.75,482.5,486.25,486.25,1700
2015-04-17,481.25,530.0,478.25,509.0,509.0,2800
2015-04-20,516.25,569.125,514.0,558.5,558.5,10700
2015-04-21,565.5,612.5,565.25,604.25,604.25,8700
2015-04-22,614.0,620.5,537.5,571.0,571.0,8400
2015-04-23,568.0,581.25,561.5,572.75,572.75,2300
2015-04-24,570.0,573.75,558.25,564.0,564.0,2500
2015-04-27,564.0,570.0,491.0,499.25,499.25,7100
2015-04-28,500.0,508.5,467.825012,477.5,477.5,4400
2015-04-29,477.75,487.700012,445.0,447.5,447.5,3200
2015-04-30,444.0,444.0,406.75,418.0,418.0,5300
2015-05-01,422.5,442.0,415.024994,440.75,440.75,3800
2015-05-04,443.0,470.0,431.75,435.25,435.25,2500
2015-05-05,436.25,438.75,418.75,434.75,434.75,2700
2015-05-06,424.75,470.0,421.75,442.5,442.5,2000
2015-05-07,450.0,464.5,430.25,431.25,431.25,2500
2015-05-08,434.25,442.75,414.5,439.5,439.5,2100
2015-05-11,438.75,458.25,426.5,428.5,428.5,1800
2015-05-12,425.0,429.75,407.75,425.75,425.75,2700
2015-05-13,431.25,439.0,414.5,429.25,429.25,1700
2015-05-14,428.0,431.25,421.75,424.5,424.5,1100
2015-05-15,424.25,431.25,423.5,429.25,429.25,700
2015-05-18,425.75,427.225006,422.25,424.75,424.75,900
2015-05-19,422.25,431.75,422.25,425.5,425.5,900
2015-05-20,428.0,433.75,413.25,428.0,428.0,800
2015-05-21,430.0,445.0,429.25,438.0,438.0,600
2015-05-22,439.5,456.5,437.75,451.5,451.5,900
2015-05-26,452.75,454.25,437.25,451.25,451.25,1700
2015-05-27,456.5,456.5,441.75,454.0,454.0,900
2015-05-28,451.0,457.5,437.0,455.0,455.0,900
2015-05-29,453.75,453.75,439.0,446.25,446.25,1200
2015-06-01,454.0,469.5,442.0,465.0,465.0,2200
2015-06-02,460.0,465.25,446.25,462.0,462.0,1500
2015-06-03,462.5,467.0,453.25,462.0,462.0,1000
2015-06-04,461.5,464.75,443.5,447.25,447.25,3500
2015-06-05,446.0,446.75,433.0,444.25,444.25,1100
2015-06-08,444.5,450.0,438.75,445.25,445.25,800
2015-06-09,442.75,456.0,434.75,452.0,452.0,1400
2015-06-10,453.5,469.5,448.75,469.5,469.5,700
2015-06-11,472.5,494.0,472.5,488.0,488.0,1900
2015-06-12,491.5,501.75,484.5,486.5,486.5,600
2015-06-15,494.5,494.5,478.0,485.0,485.0,500
2015-06-16,483.0,496.75,478.700012,495.0,495.0,900
2015-06-17,495.25,512.0,491.5,498.0,498.0,1500
2015-06-18,501.75,514.75,487.75,496.25,496.25,2100
2015-06-19,498.25,503.25,474.0,493.75,493.75,1600
2015-06-22,499.5,499.5,477.75,487.25,487.25,900
2015-06-23,489.25,498.625,481.0,495.0,495.0,1300
2015-06-24,495.0,500.0,488.75,492.75,492.75,800
2015-06-25,495.5,496.299988,463.75,470.0,470.0,2100
2015-06-26,472.5,487.0,453.0,487.0,487.0,5400
2015-06-29,481.25,512.0,425.5,435.75,435.75,2000
2015-06-30,437.5,438.5,416.25,430.0,430.0,2200
2015-07-01,436.0,442.75,411.125,416.5,416.5,1800
2015-07-02,415.75,419.75,394.75,405.75,405.75,2400
2015-07-06,401.75,405.0,383.5,399.5,399.5,2200
2015-07-07,406.5,418.75,385.75,387.0,387.0,3200
2015-07-08,384.75,400.5,384.125,388.0,388.0,5100
2015-07-09,389.5,431.125,383.825012,412.5,412.5,3500
2015-07-10,414.5,429.0,409.25,425.5,425.5,1400
2015-07-13,425.0,462.25,425.0,448.75,448.75,1500
2015-07-14,444.75,457.0,430.950012,448.5,448.5,2000
2015-07-15,443.75,453.0,422.5,425.0,425.0,1600
2015-07-16,426.25,426.25,404.5,411.5,411.5,2400
2015-07-17,409.25,412.0,405.0,411.0,411.0,500
2015-07-20,408.5,423.25,390.5,420.0,420.0,2000
2015-07-21,417.0,442.25,405.75,407.0,407.0,400
2015-07-22,405.0,424.75,396.25,406.25,406.25,1300
2015-07-23,406.25,417.25,400.75,408.25,408.25,1400
2015-07-24,407.25,419.125,396.625,402.25,402.25,3400
2015-07-27,397.75,414.75,393.5,406.5,406.5,4400
2015-07-28,408.5,440.0,375.0,397.75,397.75,6700
2015-07-29,395.75,400.0,388.5,390.75,390.75,1600
2015-07-30,391.5,394.5,366.0,369.5,369.5,2100
2015-07-31,372.0,392.75,339.5,389.75,389.75,1200
2015-08-03,389.5,406.375,375.75,392.5,392.5,1500
2015-08-04,392.5,401.0,378.5,384.5,384.5,1200
2015-08-05,374.25,383.0,359.75,375.75,375.75,1700
2015-08-06,380.5,380.5,351.0,362.25,362.25,2300
2015-08-07,362.25,362.25,342.625,360.25,360.25,1400
2015-08-10,360.5,394.0,356.5,366.0,366.0,2200
2015-08-11,367.5,369.5,348.875,357.5,357.5,1200
2015-08-12,355.0,375.25,348.75,362.75,362.75,3500
2015-08-13,362.75,366.0,350.25,356.75,356.75,2600
2015-08-14,354.75,365.75,340.25,358.0,358.0,2300
2015-08-17,355.25,365.75,350.0,361.0,361.0,1000
2015-08-18,363.25,374.75,355.75,366.5,366.5,2200
2015-08-19,371.0,371.25,355.625,366.5,366.5,2100
