Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,3.98,3.98,3.95,3.95,3.528473,700
2010-01-05,3.78,3.78,3.78,3.78,3.376615,200
2010-01-06,3.83,3.83,3.83,3.83,3.421279,600
2010-01-07,3.89,3.94,3.88,3.94,3.51954,1600
2010-01-08,3.98,3.98,3.84,3.9,3.483809,5600
2010-01-11,3.98,3.98,3.98,3.98,3.555271,600
2010-01-12,3.98,3.98,3.95,3.95,3.528473,4500
2010-01-13,3.95,3.95,3.95,3.95,3.528473,0
2010-01-14,3.95,3.95,3.95,3.95,3.528473,0
2010-01-15,3.9,3.9,3.67,3.67,3.278353,2900
2010-01-19,3.67,3.67,3.67,3.67,3.278353,100
2010-01-20,3.67,3.67,3.67,3.67,3.278353,200
2010-01-21,3.95,3.97,3.81,3.81,3.403413,3100
2010-01-22,3.95,3.97,3.87,3.97,3.546339,5400
2010-01-25,3.85,3.85,3.85,3.85,3.439145,200
2010-01-26,3.77,3.97,3.77,3.97,3.546339,3800
2010-01-27,3.97,3.97,3.97,3.97,3.546339,0
2010-01-28,3.94,3.95,3.9,3.95,3.528473,1100
2010-01-29,3.95,3.95,3.95,3.95,3.528473,0
2010-02-01,3.95,3.95,3.95,3.95,3.528473,0
2010-02-02,3.95,3.95,3.95,3.95,3.528473,0
2010-02-03,3.81,3.81,3.81,3.81,3.403413,800
2010-02-04,3.81,3.81,3.81,3.81,3.403413,0
2010-02-05,3.83,3.86,3.81,3.86,3.448077,5800
2010-02-08,3.86,3.86,3.86,3.86,3.448077,0
2010-02-09,3.86,3.86,3.86,3.86,3.448077,0
2010-02-10,3.86,3.86,3.86,3.86,3.448077,0
2010-02-11,3.96,4.07,3.95,4.07,3.635667,9000
2010-02-12,4.07,4.07,4.07,4.07,3.635667,0
2010-02-16,4.1,4.24,4.1,4.22,3.76966,600
2010-02-17,3.86,3.86,3.85,3.85,3.439145,4300
2010-02-18,4.0,4.0,4.0,4.0,3.573138,1100
2010-02-19,3.99,3.99,3.99,3.99,3.564204,100
2010-02-22,4.14,4.14,4.0,4.0,3.573138,400
2010-02-23,3.92,3.92,3.8,3.8,3.39448,3100
2010-02-24,4.13,4.2,3.9,4.16,3.716063,5000
2010-02-25,3.9,3.95,3.9,3.95,3.528473,900
2010-02-26,4.15,4.15,4.15,4.15,3.70713,2600
2010-03-01,4.15,4.15,4.15,4.15,3.70713,0
2010-03-02,4.15,4.15,4.15,4.15,3.70713,500
2010-03-03,3.92,3.92,3.9,3.9,3.483809,1200
2010-03-04,4.15,4.15,4.12,4.12,3.680331,9000
2010-03-05,4.01,4.02,4.0,4.01,3.58207,2000
2010-03-08,4.1,4.1,4.0,4.0,3.573138,9500
2010-03-09,4.0,4.0,4.0,4.0,3.573138,0
2010-03-10,4.05,4.1,4.05,4.05,3.617802,1000
2010-03-11,4.0,4.02,4.0,4.02,3.591002,1100
2010-03-12,4.0,4.0,3.92,4.0,3.573138,2000
2010-03-15,3.9,3.9,3.85,3.85,3.439145,2200
2010-03-16,3.86,3.86,3.8,3.8,3.39448,2600
2010-03-17,3.91,3.91,3.8,3.8,3.39448,2300
2010-03-18,3.8,3.8,3.8,3.8,3.39448,0
2010-03-19,3.81,3.87,3.78,3.87,3.457011,2800
2010-03-22,3.76,3.81,3.76,3.81,3.403413,900
2010-03-23,3.81,3.81,3.81,3.81,3.403413,0
2010-03-24,3.81,3.81,3.81,3.81,3.403413,0
2010-03-25,3.96,3.99,3.81,3.99,3.564204,7500
2010-03-26,3.83,3.97,3.82,3.97,3.546339,4600
2010-03-29,3.98,3.98,3.87,3.87,3.457011,2500
2010-03-30,4.0,4.0,4.0,4.0,3.573138,2700
2010-03-31,3.87,3.87,3.85,3.87,3.457011,3500
2010-04-01,3.87,3.87,3.87,3.87,3.457011,0
2010-04-05,3.88,4.0,3.88,4.0,3.573138,1200
2010-04-06,4.0,4.0,4.0,4.0,3.573138,200
2010-04-07,3.9,3.9,3.85,3.85,3.439145,4000
2010-04-08,3.81,3.98,3.81,3.98,3.555271,1100
2010-04-09,4.0,4.0,3.92,3.92,3.501675,4100
2010-04-12,3.85,3.85,3.75,3.77,3.367682,5100
2010-04-13,3.76,3.76,3.75,3.75,3.349816,3100
2010-04-14,3.94,3.95,3.89,3.89,3.474876,1100
2010-04-15,3.96,3.96,3.93,3.96,3.537406,3000
2010-04-16,3.78,3.85,3.75,3.76,3.358748,4400
2010-04-19,3.93,3.96,3.7,3.8,3.39448,2500
2010-04-20,3.8,3.8,3.8,3.8,3.39448,2500
2010-04-21,3.8,3.8,3.76,3.76,3.358748,1900
2010-04-22,3.79,3.8,3.77,3.78,3.376615,5700
2010-04-23,3.8,3.94,3.8,3.9,3.483809,34500
2010-04-26,3.96,4.98,3.96,4.85,4.332429,55200
2010-04-27,4.98,5.0,3.9,4.15,3.70713,30700
2010-04-28,4.24,4.56,4.24,4.52,4.037645,6400
2010-04-29,4.57,4.61,4.54,4.61,4.118041,3600
2010-04-30,4.69,4.71,4.37,4.55,4.064443,6600
2010-05-03,4.49,4.75,4.49,4.75,4.243101,5000
2010-05-04,4.83,4.83,4.65,4.65,4.153772,2900
2010-05-05,4.39,4.4,4.02,4.19,3.742861,26200
2010-05-06,4.19,4.45,4.03,4.45,3.975116,3700
2010-05-07,4.04,4.09,4.04,4.09,3.653534,1000
2010-05-10,4.31,4.33,4.06,4.06,3.626734,500
2010-05-11,4.02,4.06,4.02,4.06,3.626734,200
2010-05-12,4.06,4.09,3.9,4.05,3.617802,16600
2010-05-13,4.14,4.16,4.14,4.16,3.716063,2400
2010-05-14,4.16,4.16,4.16,4.16,3.716063,0
2010-05-17,4.15,4.15,3.75,3.85,3.439145,22700
2010-05-18,3.9,4.08,3.9,4.01,3.58207,2600
2010-05-19,3.96,4.46,3.88,4.05,3.617802,6200
2010-05-20,3.98,3.99,3.85,3.85,3.439145,3000
2010-05-21,3.85,3.85,3.85,3.85,3.439145,3600
2010-05-24,3.77,3.9,3.7,3.74,3.340884,18400
2010-05-25,3.7,3.7,3.65,3.65,3.260488,6400
2010-05-26,4.0,4.05,3.84,3.91,3.492742,3700
2010-05-27,3.91,3.91,3.91,3.91,3.492742,0
2010-05-28,4.07,4.07,3.66,3.75,3.349816,2700
2010-06-01,3.75,3.75,3.7,3.7,3.305152,4200
2010-06-02,3.7,3.7,3.39,3.39,3.028234,16600
2010-06-03,3.49,3.51,3.22,3.23,2.885309,12800
2010-06-04,3.3,3.3,3.08,3.29,2.938905,4600
2010-06-07,3.3,3.3,3.23,3.3,2.947838,3500
2010-06-08,3.21,3.35,3.21,3.35,2.992502,400
2010-06-09,3.08,3.35,3.08,3.12,2.787047,3100
2010-06-10,3.15,3.16,3.01,3.1,2.769181,10300
2010-06-11,3.1,3.25,3.05,3.16,2.822779,3000
2010-06-14,3.11,3.12,3.1,3.1,2.769181,1700
2010-06-15,3.06,3.06,3.06,3.06,2.73345,100
2010-06-16,3.08,3.08,3.0,3.0,2.679852,14300
2010-06-17,3.02,3.35,2.69,3.2,2.85851,10100
2010-06-18,3.16,3.3,3.15,3.3,2.947838,15700
2010-06-21,3.3,3.3,3.3,3.3,2.947838,0
2010-06-22,3.02,3.02,2.97,2.97,2.653055,1600
2010-06-23,2.97,3.01,2.95,3.01,2.688786,2100
2010-06-24,2.82,2.82,2.82,2.82,2.519062,400
2010-06-25,2.85,2.86,2.46,2.58,2.304673,28500
2010-06-28,2.58,2.61,2.38,2.52,2.251076,10100
2010-06-29,2.52,2.64,2.52,2.52,2.251076,3700
2010-06-30,2.41,2.61,2.41,2.61,2.331471,1200
2010-07-01,2.63,2.75,2.3,2.4,2.143882,12500
2010-07-02,2.35,2.5,2.35,2.5,2.233211,2500
2010-07-06,2.5,2.5,2.5,2.5,2.233211,1100
2010-07-07,2.4,2.45,2.4,2.45,2.188547,2800
2010-07-08,2.45,2.45,2.41,2.41,2.152816,1600
2010-07-09,2.45,2.5,2.4,2.4,2.143882,7800
2010-07-12,2.4,2.45,2.4,2.4,2.143882,5400
2010-07-13,2.37,2.45,2.35,2.35,2.099218,14900
2010-07-14,2.35,2.35,2.35,2.35,2.099218,2700
2010-07-15,2.4,2.4,2.39,2.4,2.143882,5000
2010-07-16,2.41,2.42,2.31,2.38,2.126017,5800
2010-07-19,2.42,2.55,2.31,2.55,2.277875,7400
2010-07-20,2.55,2.55,2.55,2.55,2.277875,0
2010-07-21,2.55,2.55,2.55,2.55,2.277875,700
2010-07-22,2.4,2.5,2.4,2.5,2.233211,1100
2010-07-23,2.6,2.7,2.35,2.4,2.143882,8100
2010-07-26,2.52,2.74,2.48,2.69,2.402935,3100
2010-07-27,2.69,2.69,2.69,2.69,2.402935,0
2010-07-28,2.69,2.69,2.69,2.69,2.402935,0
2010-07-29,3.25,3.3,3.23,3.25,2.903174,10200
2010-07-30,3.25,3.4,3.25,3.4,3.037167,2800
2010-08-02,3.4,3.4,3.4,3.4,3.037167,0
2010-08-03,3.49,3.68,3.49,3.5,3.126495,2800
2010-08-04,3.5,3.5,3.5,3.5,3.126495,0
2010-08-05,3.75,4.57,3.75,4.07,3.635667,31500
2010-08-06,4.3,4.3,3.73,3.78,3.376615,9200
2010-08-09,4.2,4.75,3.43,3.51,3.135428,50300
2010-08-10,3.33,4.24,3.33,3.57,3.189025,5400
2010-08-11,3.48,3.49,3.34,3.39,3.028234,6400
2010-08-12,3.5,3.5,3.3,3.3,2.947838,1100
2010-08-13,3.2,3.38,3.01,3.16,2.822779,25100
2010-08-16,3.21,3.25,3.02,3.08,2.751315,2100
2010-08-17,3.25,3.4,3.09,3.3,2.947838,4700
2010-08-18,3.3,3.5,3.29,3.45,3.081831,3000
2010-08-19,3.7,3.7,3.35,3.45,3.081831,1900
2010-08-20,3.7,3.84,3.65,3.74,3.340884,2300
2010-08-23,3.82,3.84,3.28,3.28,2.929973,6400
2010-08-24,3.56,3.58,3.25,3.29,2.938905,3300
2010-08-25,3.49,3.49,3.28,3.41,3.046099,2900
2010-08-26,3.71,3.76,3.39,3.49,3.117562,4600
2010-08-27,3.6,3.66,3.6,3.65,3.260488,2500
2010-08-30,3.65,3.72,3.5,3.5,3.126495,1500
2010-08-31,3.5,3.52,3.26,3.39,3.028234,6200
2010-09-01,3.59,3.59,3.26,3.26,2.912107,400
2010-09-02,3.55,3.65,3.46,3.65,3.260488,2000
2010-09-03,3.65,3.72,3.54,3.61,3.224757,600
2010-09-07,3.39,3.39,3.39,3.39,3.028234,500
2010-09-08,3.5,3.65,3.39,3.63,3.242622,10900
2010-09-09,3.49,3.49,3.49,3.49,3.117562,1000
2010-09-10,3.49,3.49,3.49,3.49,3.117562,0
2010-09-13,3.51,3.72,3.51,3.72,3.323018,5200
2010-09-14,3.7,3.7,3.7,3.7,3.305152,200
2010-09-15,3.7,3.7,3.49,3.7,3.305152,900
2010-09-16,3.8,3.85,3.75,3.79,3.385547,3100
2010-09-17,3.75,3.8,3.7,3.71,3.314085,2800
2010-09-20,3.85,3.85,3.69,3.69,3.296219,1400
