Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,10.2,12.0,10.0,11.4,11.4,754900
2019-03-11,11.8,11.8,9.8,10.0,10.0,468000
2019-03-12,10.8,10.8,10.0,10.6,10.6,105700
2019-03-13,10.4,10.8,10.0,10.2,10.2,95300
2019-03-14,10.6,10.6,10.2,10.6,10.6,78200
2019-03-15,10.4,11.4,10.2,10.4,10.4,237900
2019-03-18,11.0,11.2,10.4,11.0,11.0,221500
2019-03-19,11.4,12.2,11.0,11.6,11.6,523300
2019-03-20,11.2,13.8,11.2,13.0,13.0,1421400
2019-03-21,12.8,13.2,12.2,13.0,13.0,637400
2019-03-22,13.0,13.2,11.6,12.0,12.0,304100
2019-03-25,12.0,12.0,9.6,10.2,10.2,366800
2019-03-26,10.2,10.2,8.4,9.2,9.2,550800
2019-03-27,8.4,9.2,8.4,8.6,8.6,200700
2019-03-28,8.8,9.4,8.4,9.0,9.0,155800
2019-03-29,9.0,9.6,8.6,8.8,8.8,116600
2019-04-01,9.2,9.4,8.6,9.2,9.2,139800
2019-04-02,9.4,10.0,9.4,9.8,9.8,151000
2019-04-03,9.4,10.0,8.0,8.4,8.4,231600
2019-04-04,8.4,9.4,8.4,9.0,9.0,42300
2019-04-05,9.0,9.2,8.4,8.6,8.6,132300
2019-04-08,8.6,9.0,8.6,8.8,8.8,177400
2019-04-09,8.2,8.8,7.6,7.6,7.6,331100
2019-04-10,7.4,8.0,7.2,7.6,7.6,238000
2019-04-11,7.8,7.8,6.8,7.6,7.6,236600
2019-04-12,8.2,9.6,8.2,8.4,8.4,435300
2019-04-15,10.0,10.0,8.6,9.0,9.0,480100
2019-04-16,9.2,9.2,8.0,8.8,8.8,201100
2019-04-17,8.4,9.0,8.2,8.8,8.8,45000
2019-04-18,8.2,9.2,8.2,9.2,9.2,183300
2019-04-22,10.0,11.6,8.6,10.8,10.8,907800
2019-04-23,10.8,11.4,10.2,11.0,11.0,412000
2019-04-24,10.8,11.0,9.2,10.0,10.0,194900
2019-04-25,10.0,11.0,9.2,10.4,10.4,98000
2019-04-26,10.6,10.8,8.0,9.6,9.6,128900
2019-04-29,10.4,10.4,9.8,10.2,10.2,195400
2019-04-30,10.2,10.2,9.8,10.0,10.0,132400
2019-05-01,10.0,10.4,9.6,10.2,10.2,124100
2019-05-02,10.6,10.8,9.6,10.0,10.0,115900
2019-05-03,10.0,10.6,10.0,10.4,10.4,71200
2019-05-06,10.6,10.8,10.4,10.4,10.4,80500
2019-05-07,10.8,10.8,9.8,10.4,10.4,50500
2019-05-08,9.8,10.6,8.6,9.2,9.2,347900
2019-05-09,9.0,9.4,8.0,8.6,8.6,256800
2019-05-10,8.0,8.6,7.8,8.2,8.2,231400
2019-05-13,8.6,9.4,8.2,8.6,8.6,92000
2019-05-14,8.6,9.8,8.6,9.4,9.4,107900
2019-05-15,9.6,9.6,8.8,9.0,9.0,86500
2019-05-16,9.8,9.8,9.2,9.2,9.2,189800
2019-05-17,9.6,9.8,8.4,9.4,9.4,59800
2019-05-20,9.2,9.6,8.6,9.2,9.2,77700
2019-05-21,9.2,9.6,8.8,9.0,9.0,60000
2019-05-22,9.0,9.6,9.0,9.2,9.2,44100
2019-05-23,9.4,9.6,8.6,9.2,9.2,74600
2019-05-24,9.4,9.4,9.0,9.2,9.2,54400
2019-05-28,9.0,9.6,8.6,9.0,9.0,67700
2019-05-29,8.8,9.4,8.8,9.4,9.4,13200
2019-05-30,9.6,9.6,9.0,9.0,9.0,134500
2019-05-31,9.0,9.6,8.8,9.0,9.0,62500
2019-06-03,8.8,9.4,8.8,9.2,9.2,46500
2019-06-04,8.8,9.2,8.8,9.0,9.0,41000
2019-06-05,8.8,9.2,8.2,9.0,9.0,120400
2019-06-06,9.2,9.2,7.4,7.8,7.8,401800
2019-06-07,7.8,8.2,7.2,7.4,7.4,90300
2019-06-10,7.4,8.2,7.4,7.4,7.4,123700
2019-06-11,7.6,7.8,7.4,7.4,7.4,103300
2019-06-12,7.4,7.8,7.4,7.8,7.8,25700
2019-06-13,7.8,8.0,7.6,7.6,7.6,59900
2019-06-14,7.6,8.0,7.6,7.8,7.8,15300
2019-06-17,7.8,7.8,7.2,7.2,7.2,100000
2019-06-18,7.2,8.4,7.2,7.6,7.6,798100
2019-06-19,7.6,7.6,7.2,7.2,7.2,47200
2019-06-20,7.6,7.6,7.2,7.2,7.2,36600
2019-06-21,7.2,7.2,6.8,7.0,7.0,83000
2019-06-24,7.0,7.0,6.0,6.2,6.2,315600
2019-06-25,6.0,6.2,5.4,5.6,5.6,282600
2019-06-26,6.0,6.0,5.6,5.8,5.8,123800
2019-06-27,5.4,5.8,5.0,5.6,5.6,289600
2019-06-28,6.4,6.8,5.8,5.8,5.8,334200
2019-07-01,6.8,7.0,6.0,6.0,6.0,223000
2019-07-02,6.2,6.8,6.2,6.4,6.4,129800
2019-07-03,6.8,6.8,6.4,6.4,6.4,64700
2019-07-05,6.2,6.8,6.2,6.2,6.2,71900
2019-07-08,6.8,6.8,6.4,6.6,6.6,87400
2019-07-09,6.8,6.8,6.4,6.6,6.6,53700
2019-07-10,6.8,7.0,6.6,7.0,7.0,212800
2019-07-11,7.0,7.0,6.6,6.8,6.8,53600
2019-07-12,6.8,7.0,6.4,6.4,6.4,99600
2019-07-15,6.8,6.8,6.4,6.4,6.4,26200
2019-07-16,6.4,7.6,6.0,7.0,7.0,846500
2019-07-17,7.6,8.6,7.4,8.2,8.2,1008200
2019-07-18,8.0,9.89,7.54,8.5,8.5,482300
2019-07-19,8.0,8.47,5.28,5.9,5.9,484300
2019-07-22,5.25,5.74,4.51,4.85,4.85,302700
2019-07-23,4.75,4.75,4.25,4.55,4.55,171100
2019-07-24,4.6,6.25,4.45,5.0,5.0,472800
2019-07-25,4.4,4.99,3.65,3.72,3.72,293500
2019-07-26,2.41,2.44,2.22,2.39,2.39,802800
2019-07-29,2.35,2.36,2.09,2.2,2.2,349500
2019-07-30,2.21,2.25,2.2,2.22,2.22,183500
2019-07-31,2.24,2.24,2.2,2.2,2.2,175600
2019-08-01,2.18,2.22,2.11,2.15,2.15,178500
2019-08-02,2.19,2.2,2.12,2.18,2.18,80800
2019-08-05,2.17,2.18,2.14,2.18,2.18,43300
2019-08-06,2.15,2.18,2.14,2.18,2.18,64800
2019-08-07,2.17,2.23,2.13,2.15,2.15,129400
2019-08-08,2.15,2.2,2.12,2.18,2.18,65000
2019-08-09,2.18,2.18,2.12,2.15,2.15,31200
2019-08-12,2.13,2.15,2.12,2.12,2.12,60900
2019-08-13,2.15,2.17,2.03,2.07,2.07,50700
2019-08-14,2.03,2.04,1.9,1.99,1.99,75600
2019-08-15,1.99,1.99,1.62,1.73,1.73,87100
2019-08-16,1.72,1.89,1.65,1.82,1.82,37900
2019-08-19,1.9,1.96,1.82,1.9,1.9,50800
2019-08-20,1.9,1.98,1.71,1.92,1.92,54900
2019-08-21,1.92,1.97,1.84,1.88,1.88,155100
2019-08-22,1.86,1.93,1.73,1.75,1.75,54700
2019-08-23,1.76,1.8,1.6,1.66,1.66,60000
2019-08-26,1.74,1.74,1.6,1.67,1.67,22300
2019-08-27,1.57,1.75,1.5,1.54,1.54,73900
2019-08-28,1.65,1.8,1.62,1.69,1.69,71800
2019-08-29,1.76,1.77,1.68,1.75,1.75,39900
2019-08-30,1.72,1.76,1.65,1.71,1.71,22700
2019-09-03,1.65,1.73,1.62,1.64,1.64,22200
2019-09-04,1.67,1.78,1.66,1.69,1.69,27300
2019-09-05,1.72,1.76,1.66,1.73,1.73,16700
2019-09-06,1.73,1.75,1.7,1.73,1.73,7600
2019-09-09,1.75,1.83,1.66,1.78,1.78,102800
2019-09-10,1.76,1.81,1.72,1.77,1.77,26200
2019-09-11,1.74,1.85,1.71,1.82,1.82,54800
2019-09-12,1.81,1.88,1.81,1.82,1.82,33200
2019-09-13,1.84,1.85,1.77,1.77,1.77,48400
2019-09-16,1.78,1.83,1.74,1.75,1.75,32200
2019-09-17,1.79,1.93,1.73,1.83,1.83,271500
2019-09-18,1.84,1.84,1.6,1.68,1.68,92000
2019-09-19,1.67,1.77,1.64,1.67,1.67,24500
2019-09-20,1.69,1.74,1.57,1.69,1.69,68500
2019-09-23,1.69,1.81,1.57,1.7,1.7,115000
2019-09-24,1.73,1.78,1.58,1.63,1.63,198400
2019-09-25,1.61,1.68,1.55,1.62,1.62,70400
2019-09-26,1.6,1.69,1.57,1.68,1.68,33400
2019-09-27,1.63,1.72,1.62,1.68,1.68,31100
2019-09-30,1.68,1.71,1.62,1.67,1.67,46600
2019-10-01,1.66,1.75,1.63,1.69,1.69,108100
2019-10-02,1.67,1.68,1.56,1.6,1.6,68400
2019-10-03,1.61,1.64,1.41,1.45,1.45,79100
2019-10-04,1.47,1.52,1.28,1.41,1.41,112800
2019-10-31,1.71,1.81,1.48,1.52,1.52,2088900
2019-11-01,1.52,1.52,1.52,1.52,1.52,0
2019-11-04,1.44,1.49,1.25,1.26,1.26,441800
2019-11-05,1.2,1.26,1.16,1.24,1.24,300800
2019-11-06,1.21,1.23,1.11,1.14,1.14,496000
2019-11-07,1.13,1.18,1.07,1.1,1.1,327900
2019-11-08,1.09,1.19,1.07,1.17,1.17,231400
2019-11-11,1.15,1.18,1.1,1.13,1.13,107400
2019-11-12,1.13,1.26,1.11,1.17,1.17,200700
2019-11-13,1.12,1.23,1.1,1.11,1.11,185500
2019-11-14,1.1,1.22,1.09,1.15,1.15,420700
2019-11-15,1.13,1.22,0.9,0.93,0.93,435400
2019-11-18,0.92,0.94,0.8,0.86,0.86,212300
2019-11-19,0.83,0.83,0.75,0.76,0.76,136600
2019-11-20,0.75,0.79,0.7,0.77,0.77,115300
2019-11-21,0.78,1.18,0.72,1.0,1.0,1291700
2019-11-22,0.95,1.03,0.76,0.86,0.86,735700
2019-11-25,0.84,0.85,0.8,0.85,0.85,132300
2019-11-26,0.85,0.87,0.8,0.84,0.84,104700
2019-11-27,0.82,0.9,0.82,0.9,0.9,100100
2019-11-29,0.9,0.94,0.87,0.87,0.87,64000
2019-12-02,0.87,0.92,0.87,0.9,0.9,72200
2019-12-03,0.88,0.91,0.86,0.89,0.89,49200
2019-12-04,0.91,1.02,0.91,0.97,0.97,139000
2019-12-05,0.98,0.99,0.89,0.92,0.92,98000
2019-12-06,0.89,0.95,0.89,0.92,0.92,40000
2019-12-09,0.92,0.94,0.86,0.94,0.94,23900
2019-12-10,0.89,0.93,0.89,0.9,0.9,30900
2019-12-11,0.93,0.93,0.89,0.91,0.91,33400
2019-12-12,0.91,0.95,0.83,0.89,0.89,68100
2019-12-13,0.88,0.92,0.83,0.88,0.88,41800
2019-12-16,0.85,0.89,0.82,0.83,0.83,19200
2019-12-17,0.83,0.91,0.83,0.87,0.87,55000
2019-12-18,0.88,0.89,0.83,0.83,0.83,16300
2019-12-19,0.84,0.95,0.84,0.95,0.95,87500
2019-12-20,0.94,0.95,0.86,0.86,0.86,75200
2019-12-23,0.85,0.95,0.85,0.89,0.89,25800
2019-12-24,0.9,0.95,0.87,0.93,0.93,14200
2019-12-26,0.93,1.19,0.9,1.0,1.0,243500
2019-12-27,1.0,1.01,0.91,0.91,0.91,93800
2019-12-30,0.92,0.98,0.88,0.92,0.92,65800
