Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.299911,6.628216,6.299911,6.61047,6.180729,319100
2010-01-05,6.521739,6.654836,6.477374,6.512866,6.089471,408100
2010-01-06,6.486247,6.583851,6.397515,6.459627,6.039692,677300
2010-01-07,6.433008,6.548358,6.379769,6.530612,6.106063,197600
2010-01-08,6.477374,6.530612,6.246673,6.299911,5.890359,273100
2010-01-11,6.317657,6.459627,6.246673,6.362023,5.948433,354500
2010-01-12,6.273292,6.299911,6.042591,6.086957,5.691249,271600
2010-01-13,6.069211,6.184561,5.971606,5.998225,5.608285,364800
2010-01-14,5.944987,6.255546,5.918367,6.086957,5.691249,227400
2010-01-15,6.113576,6.113576,5.687666,5.847383,5.467249,546800
2010-01-19,5.891748,6.086957,5.856256,5.944987,5.558509,353300
2010-01-20,5.856256,5.918367,5.661047,5.785271,5.409175,288700
2010-01-21,5.776398,5.900621,5.572316,5.581189,5.21836,244700
2010-01-22,5.545697,5.767524,5.510204,5.519077,5.160287,274100
2010-01-25,5.590062,5.776398,5.52795,5.767524,5.392582,558900
2010-01-26,5.749778,6.086957,5.732032,5.847383,5.467249,283800
2010-01-27,5.909494,6.193434,5.891748,6.166814,5.765915,441500
2010-01-28,6.184561,6.255546,5.936113,6.078084,5.682953,361600
2010-01-29,6.131322,6.255546,5.989352,6.033718,5.641471,204700
2010-02-01,5.989352,6.220053,5.971606,6.202307,5.799101,260900
2010-02-02,6.149068,6.486247,6.113576,6.433008,6.014803,251400
2010-02-03,6.415262,6.415262,6.095829,6.193434,5.790804,220500
2010-02-04,6.140195,6.175688,5.714286,5.749778,5.375989,224400
2010-02-05,5.767524,5.81189,5.545697,5.767524,5.392582,206000
2010-02-08,5.758651,5.909494,5.678793,5.767524,5.392582,138100
2010-02-09,5.882875,5.944987,5.740905,5.829636,5.450656,111700
2010-02-10,5.909494,6.007099,5.749778,5.998225,5.608285,174700
2010-02-11,5.95386,5.971606,5.767524,5.962733,5.575101,125500
2010-02-12,5.847383,5.971606,5.776398,5.971606,5.583397,133400
2010-02-16,6.131322,6.335404,5.989352,6.317657,5.906952,226500
2010-02-17,6.344277,6.379769,6.220053,6.362023,5.948433,245000
2010-02-18,6.32653,6.397515,6.042591,6.193434,5.790804,194000
2010-02-19,6.184561,6.255546,6.104703,6.220053,5.815693,177500
2010-02-22,6.21118,6.255546,6.095829,6.193434,5.790804,219400
2010-02-23,6.157941,6.956522,6.157941,6.477374,6.056285,612500
2010-02-24,6.521739,6.796806,6.521739,6.725821,6.28858,402400
2010-02-25,6.645963,6.876664,6.574978,6.858918,6.413024,384700
2010-02-26,6.89441,7.00976,6.699202,6.761313,6.321765,208700
2010-03-01,6.992014,7.763975,6.974268,7.684117,7.184579,980800
2010-03-02,7.905945,8.296362,7.799468,8.030169,7.508134,1393500
2010-03-03,8.083407,8.26087,7.870452,8.136646,7.607689,694200
2010-03-04,8.198758,8.278616,7.959184,8.074534,7.549616,395600
2010-03-05,7.994676,8.704525,7.639751,8.606921,8.047392,654500
2010-03-08,7.275954,8.598048,6.876664,8.518189,7.964428,4041600
2010-03-09,8.358474,8.615794,8.207631,8.37622,7.831688,684000
2010-03-10,8.358474,8.704525,8.26087,8.553682,7.997614,729000
