Date,Open,High,Low,Close,Adj Close,Volume
2010-10-07,11.0,12.0,10.9,11.9,10.161032,1139500
2010-10-08,11.9,11.98,11.75,11.89,10.152493,53600
2010-10-11,11.99,11.99,11.86,11.9,10.161032,32100
2010-10-12,11.89,11.89,11.81,11.85,10.11834,29500
2010-10-13,11.87,11.88,11.82,11.85,10.11834,51600
2010-10-14,11.85,11.89,11.8,11.89,10.152493,74000
2010-10-15,11.9,11.95,11.85,11.95,10.203728,12400
2010-10-18,11.9,12.18,11.9,12.15,10.374495,107600
2010-10-19,12.1,12.19,12.07,12.19,10.408653,32000
2010-10-20,12.2,12.25,12.07,12.25,10.459884,28900
2010-10-21,12.3,12.3,12.18,12.18,10.400112,23500
2010-10-22,12.25,12.35,12.25,12.35,10.545272,10700
2010-10-25,12.3,12.3,12.24,12.25,10.459884,3800
2010-10-26,12.19,12.19,12.19,12.19,10.408653,23000
2010-10-27,12.15,12.25,12.15,12.21,10.425732,24400
2010-10-28,12.24,12.6,12.24,12.44,10.622119,53400
2010-10-29,12.44,12.48,12.35,12.44,10.622119,7300
2010-11-01,12.51,12.62,12.45,12.6,10.758739,37000
2010-11-02,12.62,12.64,12.6,12.61,10.767278,14100
2010-11-03,12.62,12.7,12.59,12.7,10.844127,15100
2010-11-04,12.8,13.04,12.79,12.91,11.02344,17400
2010-11-05,12.93,12.95,12.93,12.95,11.05759,1400
2010-11-08,13.01,13.45,13.01,13.3,11.356449,28300
2010-11-09,13.2,13.54,13.2,13.5,11.527225,36900
2010-11-10,13.75,13.75,13.67,13.7,11.697995,8400
2010-11-11,13.75,13.75,13.6,13.7,11.697995,4700
2010-11-12,13.73,13.75,13.71,13.73,11.723609,8000
2010-11-15,13.7,13.73,13.65,13.73,11.723609,10700
2010-11-16,13.73,13.85,13.65,13.85,11.826074,15900
2010-11-17,13.89,13.9,13.66,13.8,11.783381,6100
2010-11-18,13.8,13.8,13.75,13.75,11.740688,1600
2010-11-19,13.8,13.8,13.31,13.32,11.373523,27700
2010-11-22,13.34,13.66,13.21,13.55,11.569914,3300
2010-11-23,13.5,13.64,13.11,13.56,11.578453,2200
2010-11-24,13.56,13.58,13.56,13.56,11.578453,4100
2010-11-26,13.56,13.56,13.56,13.56,11.578453,0
2010-11-29,13.6,13.6,13.44,13.59,11.604068,4300
2010-11-30,13.69,13.7,13.52,13.65,11.655299,11100
2010-12-01,13.65,13.7,13.52,13.68,11.680916,12700
2010-12-02,13.69,13.69,13.52,13.68,11.680916,6600
2010-12-03,13.64,13.64,13.62,13.63,11.638224,2600
2010-12-06,13.51,13.64,13.5,13.64,11.646761,3900
2010-12-07,13.65,13.66,13.6,13.6,11.612607,6300
2010-12-08,13.61,13.64,13.51,13.51,11.535758,10000
2010-12-09,13.58,13.58,13.24,13.37,11.416218,11600
2010-12-10,13.59,13.59,13.35,13.51,11.535758,3300
2010-12-13,13.3,13.39,13.3,13.39,11.433294,200
2010-12-14,13.31,13.31,13.31,13.31,11.364986,3000
2010-12-15,13.34,13.36,13.3,13.3,11.356449,4600
2010-12-16,13.15,13.15,13.13,13.13,11.211291,800
2010-12-17,13.11,13.11,13.0,13.0,11.100286,2100
2010-12-20,13.0,13.0,12.7,12.92,11.031976,13400
2010-12-21,12.81,13.26,12.5,13.25,11.313756,15600
2010-12-22,13.22,13.4,13.22,13.4,11.441834,6200
2010-12-23,13.55,13.6,13.55,13.6,11.612607,1700
2010-12-27,13.7,13.75,13.64,13.75,11.740688,18800
2010-12-28,13.8,13.8,13.8,13.8,11.783381,1000
2010-12-29,13.8,13.94,13.8,13.94,11.902924,1600
2010-12-30,13.94,13.94,13.94,13.94,11.902924,0
2010-12-31,13.85,13.9,13.85,13.85,11.826074,1200
2011-01-03,13.85,13.9,13.85,13.9,11.868767,3200
2011-01-04,13.9,13.9,13.88,13.9,11.868767,6400
2011-01-05,13.9,14.25,13.9,14.25,12.167624,8200
2011-01-06,14.1,14.1,14.09,14.1,12.039544,1800
2011-01-07,14.11,14.18,14.1,14.1,12.039544,2700
2011-01-10,14.03,14.15,14.03,14.15,12.082236,300
2011-01-11,14.03,14.03,14.03,14.03,11.979771,300
2011-01-12,14.05,14.16,14.04,14.13,12.065158,1700
2011-01-13,14.13,14.13,14.13,14.13,12.065158,0
2011-01-14,14.09,14.1,13.95,13.95,11.911462,9500
2011-01-18,14.15,14.15,13.81,13.81,11.791922,1100
2011-01-19,14.16,14.26,14.02,14.2,12.124928,2600
2011-01-20,14.14,14.14,13.85,13.95,11.911462,11500
2011-01-21,13.94,14.2,13.94,14.2,12.124928,2800
2011-01-24,14.2,14.22,14.03,14.22,12.142008,2300
2011-01-25,14.13,14.13,14.02,14.02,11.971231,5500
2011-01-26,14.14,14.26,14.14,14.26,12.17616,300
2011-01-27,14.26,14.26,14.26,14.26,12.17616,0
2011-01-28,14.13,14.13,14.13,14.13,12.065158,100
2011-01-31,14.12,14.21,14.12,14.21,12.133467,600
2011-02-01,14.21,14.21,14.21,14.21,12.133467,0
2011-02-02,14.07,14.16,14.04,14.16,12.090775,11000
2011-02-03,14.06,14.06,14.05,14.05,11.996851,7800
2011-02-04,14.18,14.22,14.18,14.22,12.142008,2100
2011-02-07,14.05,14.05,14.05,14.05,11.996851,2500
2011-02-08,14.39,14.5,14.39,14.5,12.38109,13000
2011-02-09,14.5,14.5,14.5,14.5,12.38109,0
2011-02-10,14.7,14.8,14.55,14.65,12.509168,4700
2011-02-11,14.5,14.57,14.5,14.57,12.440861,1100
