Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.450001,23.0,21.950001,23.0,23.0,43400
2010-01-05,23.950001,26.6,23.25,26.0,26.0,84800
2010-01-06,26.25,29.0,26.0,27.5,27.5,91300
2010-01-07,27.549999,29.6,26.65,28.65,28.65,65000
2010-01-08,28.950001,29.4,26.049999,26.450001,26.450001,91500
2010-01-11,26.450001,28.0,26.0,27.549999,27.549999,37400
2010-01-12,26.5,27.1,26.0,26.450001,26.450001,32200
2010-01-13,26.6,27.200001,24.0,25.6,25.6,42600
2010-01-14,24.799999,26.4,24.200001,25.6,25.6,23200
2010-01-15,25.4,28.950001,24.65,28.950001,28.950001,58900
2010-01-19,28.9,28.9,27.1,28.799999,28.799999,48200
2010-01-20,27.65,28.700001,26.75,27.299999,27.299999,22800
2010-01-21,27.200001,28.25,25.5,25.85,25.85,32700
2010-01-22,26.4,26.5,25.1,25.299999,25.299999,26500
2010-01-25,25.450001,26.35,24.5,24.799999,24.799999,36500
2010-01-26,25.950001,26.0,24.5,24.9,24.9,22400
2010-01-27,25.35,25.35,24.0,24.5,24.5,29400
2010-01-28,24.5,24.5,22.549999,23.25,23.25,36300
2010-01-29,23.5,24.5,22.75,23.1,23.1,28100
2010-02-01,23.200001,23.700001,22.1,23.35,23.35,28000
2010-02-02,23.799999,23.799999,22.799999,23.5,23.5,18500
2010-02-03,23.9,23.9,23.049999,23.5,23.5,14100
2010-02-04,23.450001,23.85,22.299999,22.299999,22.299999,24300
2010-02-05,22.299999,22.299999,20.0,21.450001,21.450001,49400
2010-02-08,21.65,22.75,21.35,22.200001,22.200001,9200
2010-02-09,22.549999,23.75,22.200001,23.65,23.65,26300
2010-02-10,23.65,24.0,22.25,22.700001,22.700001,17200
2010-02-11,22.549999,23.35,22.200001,22.65,22.65,14700
2010-02-12,22.299999,23.299999,22.299999,22.9,22.9,13300
2010-02-16,23.799999,25.200001,23.15,24.85,24.85,45800
2010-02-17,25.200001,25.35,23.65,24.25,24.25,25100
2010-02-18,24.049999,24.450001,23.700001,24.35,24.35,8800
2010-02-19,24.450001,25.4,24.1,25.25,25.25,18500
2010-02-22,25.549999,25.549999,23.9,24.4,24.4,31500
2010-02-23,24.200001,25.1,22.4,23.0,23.0,44000
2010-02-24,20.549999,21.299999,18.299999,19.200001,19.200001,124300
2010-02-25,18.549999,19.25,16.75,17.450001,17.450001,144000
2010-02-26,17.65,18.0,17.0,17.049999,17.049999,59700
2010-03-01,17.1,18.299999,17.1,17.549999,17.549999,49900
2010-03-02,17.9,18.0,17.5,17.700001,17.700001,28200
2010-03-03,17.85,19.6,17.85,18.799999,18.799999,126200
2010-03-04,18.799999,19.6,18.799999,19.35,19.35,44600
2010-03-05,19.9,19.9,19.049999,19.5,19.5,33100
2010-03-08,19.6,19.6,19.25,19.450001,19.450001,15900
2010-03-09,19.450001,19.450001,18.25,18.5,18.5,50600
2010-03-10,18.5,18.85,18.5,18.75,18.75,22900
2010-03-11,18.950001,18.950001,18.25,18.4,18.4,25000
2010-03-12,18.700001,18.700001,17.75,18.200001,18.200001,38900
2010-03-15,17.200001,18.450001,17.200001,17.75,17.75,25500
2010-03-16,17.75,18.200001,17.549999,18.200001,18.200001,12400
2010-03-17,18.35,18.75,18.299999,18.450001,18.450001,19100
2010-03-18,18.25,18.35,17.799999,17.9,17.9,19500
2010-03-19,17.700001,18.65,17.4,17.700001,17.700001,66900
2010-03-22,17.25,17.75,17.0,17.200001,17.200001,44000
2010-03-23,17.200001,17.5,16.950001,17.0,17.0,26800
2010-03-24,16.700001,17.549999,16.700001,17.1,17.1,21000
2010-03-25,17.1,17.299999,17.0,17.15,17.15,21500
2010-03-26,17.1,17.1,16.75,16.75,16.75,22200
2010-03-29,16.5,17.4,15.25,17.25,17.25,22500
2010-03-30,17.5,17.950001,17.0,17.35,17.35,22600
2010-03-31,17.200001,18.0,16.9,17.700001,17.700001,33700
2010-04-01,17.950001,18.950001,17.85,18.950001,18.950001,65400
2010-04-05,19.35,19.4,18.450001,19.15,19.15,34800
2010-04-06,18.75,19.35,18.75,19.049999,19.049999,16000
2010-04-07,19.200001,19.4,18.5,18.9,18.9,40500
2010-04-08,18.75,19.4,18.6,19.4,19.4,20800
2010-04-09,19.65,19.65,19.0,19.1,19.1,8200
2010-04-12,19.700001,19.700001,18.85,18.950001,18.950001,18600
2010-04-13,18.799999,19.35,18.75,19.25,19.25,20000
2010-04-14,19.450001,20.0,18.75,19.950001,19.950001,52200
