Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,6.94,7.12,6.88,7.1,5.445577,16800
2010-01-05,7.09,7.2,7.06,7.06,5.414896,14600
2010-01-06,7.0,7.18,6.76,6.99,5.361207,16300
2010-01-07,6.91,7.04,6.9,7.04,5.399556,17500
2010-01-08,7.07,7.22,7.0,7.05,5.407227,10600
2010-01-11,7.07,7.25,7.07,7.11,5.453246,9900
2010-01-12,7.08,7.39,7.06,7.3,5.598974,13100
2010-01-13,7.25,7.4,7.18,7.4,5.675671,10500
2010-01-14,7.02,7.57,7.02,7.57,5.806057,18600
2010-01-15,7.57,7.64,7.34,7.5,5.752369,22200
2010-01-19,7.5,7.63,7.37,7.57,5.806057,18400
2010-01-20,7.51,7.51,7.23,7.49,5.744699,3400
2010-01-21,7.4,7.46,7.2,7.29,5.591303,37300
2010-01-22,7.34,7.34,7.19,7.25,5.560624,19600
2010-01-25,7.29,7.37,7.23,7.3,5.598974,20900
2010-01-26,7.3,7.6,7.24,7.5,5.752369,27100
2010-01-27,7.4,7.4,7.3,7.3,5.598974,235200
2010-01-28,7.32,7.32,7.01,7.29,5.591303,37100
2010-01-29,7.3,7.35,7.1,7.25,5.560624,6300
2010-02-01,7.25,7.25,7.08,7.13,5.468585,41500
2010-02-02,7.1,7.18,6.91,7.18,5.506934,7600
2010-02-03,7.2,7.37,7.15,7.31,5.606643,17500
2010-02-04,6.9,7.31,6.9,7.24,5.552953,9400
2010-02-05,7.21,7.21,7.0,7.16,5.491594,12700
2010-02-08,7.11,7.55,7.03,7.34,5.629651,61000
2010-02-09,7.4,7.51,7.1,7.29,5.591303,55200
2010-02-10,7.07,7.8,7.03,7.45,5.714019,67900
2010-02-11,7.66,7.68,7.12,7.46,5.72169,102300
2010-02-12,7.46,7.77,7.4,7.75,5.944114,40100
2010-02-16,7.81,7.81,7.49,7.6,5.829068,8400
2010-02-17,7.72,7.72,7.5,7.7,5.905766,8100
2010-02-18,7.74,7.74,7.5,7.65,5.867416,8100
2010-02-19,7.41,7.64,7.27,7.4,5.675671,29300
2010-02-22,7.36,7.58,7.36,7.5,5.752369,39800
2010-02-23,7.54,7.54,7.46,7.5,5.752369,20300
2010-02-24,7.5,7.6,7.46,7.53,5.775379,30900
2010-02-25,7.5,7.57,7.37,7.5,5.752369,28900
2010-02-26,7.44,7.55,7.44,7.55,5.790717,54600
2010-03-01,7.55,7.7,7.5,7.54,5.783049,20700
2010-03-02,7.49,7.61,7.49,7.51,5.76004,11400
2010-03-03,7.56,7.64,7.52,7.59,5.821397,7100
2010-03-04,7.54,7.65,7.5,7.52,5.76771,58500
2010-03-05,7.59,7.61,7.47,7.6,5.829068,106300
2010-03-08,7.6,7.75,7.3,7.74,5.936445,12600
