Date,Open,High,Low,Close,Adj Close,Volume
2010-04-22,12.75,12.88,12.22,12.75,4.616164,2420000
2010-04-23,12.5,12.75,12.5,12.7,4.598062,244400
2010-04-26,12.7,12.75,12.65,12.7,4.598062,134400
2010-04-27,12.65,12.73,12.5,12.68,4.590819,137400
2010-04-28,12.68,12.75,12.68,12.68,4.590819,327000
2010-04-29,12.69,12.7,12.69,12.69,4.59444,239400
2010-04-30,12.69,13.0,12.51,13.0,4.706676,127800
2010-05-03,12.87,13.0,12.7,12.95,4.688573,208800
2010-05-04,12.85,12.9,12.11,12.89,4.666851,519500
2010-05-05,12.62,12.8,12.35,12.6,4.561857,109600
2010-05-06,12.59,12.6,9.0,12.15,4.398931,224800
2010-05-07,12.0,12.77,11.75,11.92,4.315661,70400
2010-05-10,12.01,12.45,11.8,12.07,4.369969,63200
2010-05-11,12.06,12.66,12.0,12.6,4.561857,48000
2010-05-12,12.44,12.52,12.11,12.2,4.417036,37700
2010-05-13,12.08,12.43,11.4,12.08,4.373589,55200
2010-05-14,11.9,12.89,11.75,12.01,4.348246,72800
2010-05-17,12.0,12.6,11.77,11.99,4.341004,50100
2010-05-18,11.85,11.99,11.56,11.97,4.333764,68900
2010-05-19,11.81,12.13,11.79,12.11,4.38445,48600
2010-05-20,12.0,12.41,11.77,12.0,4.344625,115800
2010-05-21,12.03,12.59,12.0,12.28,4.445998,205500
2010-05-24,12.11,12.48,11.47,11.47,4.152738,41600
2010-05-25,11.38,11.38,10.74,11.1,4.018778,68600
2010-05-26,11.02,11.35,10.87,11.18,4.047742,41000
2010-05-27,11.19,11.35,11.07,11.27,4.080327,32600
2010-05-28,11.19,12.05,11.03,11.83,4.283075,29400
2010-06-01,12.03,12.44,12.0,12.31,4.45686,10800
2010-06-02,12.4,12.5,11.57,11.91,4.31204,36600
2010-06-03,12.27,12.45,11.79,12.3,4.453241,17800
2010-06-04,12.17,12.39,11.84,12.09,4.37721,3800
2010-06-07,12.44,12.44,11.27,11.52,4.170839,31200
2010-06-08,11.44,11.97,11.0,11.14,4.033259,16400
2010-06-09,11.2,11.38,10.99,11.22,4.062224,19600
2010-06-10,11.37,11.5,10.8,11.23,4.065845,38400
2010-06-11,11.29,11.35,10.93,11.3,4.091189,21800
2010-06-14,11.24,11.79,10.9,11.72,4.243249,36600
2010-06-15,11.65,11.77,11.04,11.55,4.181701,30400
2010-06-16,11.62,11.62,11.05,11.14,4.033259,24000
2010-06-17,11.06,11.38,11.02,11.09,4.015157,33600
2010-06-18,11.03,11.23,11.0,11.23,4.065845,23900
2010-06-21,11.26,11.35,11.0,11.29,4.087567,18800
2010-06-22,11.22,11.5,11.15,11.4,4.127391,51400
2010-06-23,11.44,11.77,11.17,11.77,4.261353,45800
2010-06-24,11.79,12.24,11.34,11.8,4.272214,65200
2010-06-25,11.81,12.24,11.45,11.83,4.283075,1032000
2010-06-28,11.92,11.92,11.25,11.25,4.073086,22800
2010-06-29,11.16,11.27,11.05,11.13,4.02964,43000
2010-06-30,11.13,11.64,10.97,11.5,4.163599,50800
2010-07-01,11.43,11.49,10.77,10.99,3.978952,30100
2010-07-02,11.06,11.22,10.97,11.12,4.02602,13600
2010-07-06,11.21,11.21,10.82,10.95,3.96447,19600
2010-07-07,11.03,11.29,10.58,11.28,4.083946,67800
2010-07-08,11.26,11.35,10.98,11.31,4.09481,25900
2010-07-09,11.32,11.35,11.01,11.26,4.076707,13600
2010-07-12,11.21,11.3,10.84,11.09,4.015157,23800
2010-07-13,11.18,11.56,11.12,11.49,4.159977,28500
2010-07-14,11.43,11.43,11.15,11.39,4.123774,11800
2010-07-15,11.44,12.19,11.2,12.12,4.38807,140300
2010-07-16,12.04,12.19,11.7,11.7,4.236008,45200
2010-07-19,11.7,12.0,11.62,11.81,4.275834,36000
2010-07-20,11.69,12.03,11.69,12.0,4.344625,23900
2010-07-21,12.11,12.11,11.8,11.8,4.272214,9200
2010-07-22,11.91,12.14,11.8,11.96,4.330143,21800
2010-07-23,11.97,12.09,11.66,12.08,4.373589,24300
2010-07-26,12.1,12.19,11.88,12.0,4.344625,31100
2010-07-27,12.0,12.1,11.81,12.08,4.373589,26100
2010-07-28,12.02,12.25,11.74,12.01,4.348246,44900
2010-07-29,12.06,12.27,11.83,12.27,4.442379,30400
2010-07-30,12.14,12.38,11.5,12.3,4.453241,58300
2010-08-02,12.28,12.3,11.41,12.03,4.355487,25800
2010-08-03,12.0,12.25,11.85,11.9,4.308419,13700
2010-08-04,12.15,12.18,11.9,12.02,4.351866,10100
2010-08-05,12.03,12.06,11.86,11.94,4.3229,29000
2010-08-06,11.85,12.15,11.85,12.0,4.344625,4000
2010-08-09,12.09,12.09,11.8,12.09,4.37721,19000
2010-08-10,11.96,12.31,11.96,12.25,4.435139,25500
2010-08-11,12.07,12.18,11.4,11.5,4.163599,42100
2010-08-12,11.41,11.87,11.41,11.83,4.283075,30300
2010-08-13,11.82,12.33,11.76,11.83,4.283075,27100
2010-08-16,11.8,12.04,11.79,11.99,4.341004,22500
2010-08-17,12.08,12.18,11.86,11.96,4.330143,69800
2010-08-18,11.88,11.94,11.68,11.85,4.290318,22700
2010-08-19,11.78,11.81,11.57,11.58,4.192564,14700
2010-08-20,11.55,11.89,11.55,11.6,4.199805,22500
2010-08-23,11.64,11.82,11.22,11.22,4.062224,27300
2010-08-24,11.2,11.8,11.2,11.5,4.163599,16200
2010-08-25,11.45,11.71,11.34,11.71,4.239631,21900
2010-08-26,11.71,11.82,11.49,11.71,4.239631,15200
2010-08-27,11.8,12.3,11.42,12.26,4.438758,20700
2010-08-30,11.65,12.29,11.58,11.6,4.199805,11600
2010-08-31,11.56,11.9,11.32,11.59,4.214349,31600
2010-09-01,11.76,12.0,11.42,12.0,4.363433,11500
2010-09-02,11.97,11.99,11.84,11.99,4.359796,5000
2010-09-03,11.95,12.0,11.5,11.8,4.290709,13000
2010-09-07,11.7,11.7,11.2,11.3,4.108899,23000
2010-09-08,11.59,11.59,11.38,11.48,4.17435,10500
2010-09-09,11.61,11.61,11.38,11.48,4.17435,13800
2010-09-10,11.48,11.85,11.39,11.62,4.225257,24700
2010-09-13,11.63,12.15,11.59,12.14,4.41434,22200
2010-09-14,12.31,12.31,12.01,12.17,4.425249,35300
2010-09-15,12.08,12.2,11.71,11.83,4.301616,17200
2010-09-16,11.84,12.19,11.7,11.85,4.30889,14600
2010-09-17,11.97,11.97,11.44,11.86,4.312526,26800
2010-09-20,11.85,12.0,11.53,12.0,4.363433,20300
2010-09-21,12.0,12.0,11.53,11.82,4.297982,27800
2010-09-22,11.79,11.98,11.67,11.72,4.26162,12400
2010-09-23,11.65,11.89,11.6,11.63,4.228893,10800
2010-09-24,11.69,11.69,11.3,11.59,4.214349,85100
2010-09-27,11.62,11.76,11.46,11.54,4.196167,8800
2010-09-28,11.51,11.57,11.2,11.52,4.188895,19200
2010-09-29,11.46,11.89,11.4,11.85,4.30889,14100
2010-09-30,11.85,11.88,11.47,11.78,4.283436,64500
2010-10-01,11.77,11.99,11.54,11.94,4.341615,45600
2010-10-04,11.87,12.09,11.61,11.89,4.323434,18600
2010-10-05,11.99,12.23,11.88,12.23,4.447065,47600
2010-10-06,12.1,12.25,11.92,12.05,4.381613,57200
2010-10-07,12.16,12.29,11.78,12.19,4.43252,27100
2010-10-08,12.12,12.31,11.89,12.3,4.472518,29500
2010-10-11,12.28,12.28,12.03,12.14,4.41434,7100
2010-10-12,12.07,12.18,11.9,12.17,4.425249,11000
2010-10-13,12.17,12.39,12.15,12.31,4.476155,32200
2010-10-14,12.31,12.39,12.15,12.35,4.490698,13800
2010-10-15,12.49,12.6,12.33,12.52,4.552516,46200
2010-10-18,12.57,12.74,12.36,12.74,4.632511,36000
2010-10-19,12.55,12.73,12.5,12.6,4.581604,14100
2010-10-20,12.7,12.76,12.52,12.76,4.639784,30800
2010-10-21,12.81,12.81,12.25,12.55,4.563425,42600
2010-10-22,12.56,12.7,12.55,12.69,4.614329,16900
2010-10-25,12.62,12.67,12.41,12.55,4.563425,24000
2010-10-26,12.43,12.69,12.43,12.68,4.610693,22800
2010-10-27,12.56,12.68,12.5,12.55,4.563425,14800
2010-10-28,12.67,12.67,12.5,12.53,4.55615,19400
2010-10-29,12.5,12.69,12.5,12.6,4.581604,23800
2010-11-01,12.49,12.66,12.49,12.61,4.585239,9600
2010-11-02,12.69,12.81,12.45,12.81,4.657965,27000
2010-11-03,12.78,12.87,12.56,12.87,4.679781,7200
2010-11-04,12.9,12.92,12.52,12.85,4.672508,36600
2010-11-05,12.9,12.9,12.75,12.79,4.650692,11600
