Date,Open,High,Low,Close,Adj Close,Volume
2014-04-03,9.86,10.8,9.05,9.06,8.68122,12004000
2014-04-04,9.1,9.38,8.73,9.04,8.662056,1844100
2014-04-07,8.86,8.95,7.99,8.06,7.723028,2562600
2014-04-08,8.12,8.604,8.06,8.5,8.144632,959500
2014-04-09,8.47,8.66,8.2,8.44,8.08714,981000
2014-04-10,8.3,8.429,7.55,7.58,7.263096,1908000
2014-04-11,7.5,8.09,7.5,7.71,7.387661,717400
2014-04-14,7.8,7.98,7.28,7.5,7.18644,1059500
2014-04-15,7.5,7.57,7.01,7.16,6.860655,618800
2014-04-16,7.18,7.24,6.74,6.97,6.678598,1123800
2014-04-17,6.9,7.0,6.54,6.74,6.458214,1121800
2014-04-21,6.95,7.87,6.81,7.76,7.43557,1480800
2014-04-22,7.98,8.49,7.67,8.32,7.972157,1066000
2014-04-23,8.32,9.08,7.99,9.0,8.623729,1384000
2014-04-24,9.14,9.31,8.58,8.95,8.575819,529700
2014-04-25,9.0,9.105,8.65,8.91,8.537491,452100
2014-04-28,9.33,9.33,8.03,8.81,8.441672,1085600
2014-04-29,8.96,8.96,8.31,8.46,8.106304,734600
2014-04-30,8.42,8.5,8.1,8.42,8.067977,261300
2014-05-01,8.37,8.89,8.35,8.83,8.460835,257700
2014-05-02,8.87,9.33,8.75,9.18,8.796203,185000
2014-05-05,9.03,9.24,8.65,9.17,8.786621,317800
2014-05-06,8.95,9.08,8.71,9.04,8.662056,258500
2014-05-07,8.91,8.91,7.56,8.06,7.723028,641200
2014-05-08,8.08,8.28,7.61,7.7,7.378078,219300
2014-05-09,7.7,7.84,7.51,7.62,7.301423,179800
2014-05-12,7.88,8.28,7.88,8.27,7.92425,182800
2014-05-13,8.14,8.33,7.95,8.05,7.713446,285500
2014-05-14,8.05,8.05,7.65,7.72,7.397242,109600
2014-05-15,7.71,8.03,6.85,7.02,6.726508,940500
2014-05-16,7.39,7.95,7.16,7.75,7.425988,647000
2014-05-19,7.66,8.25,7.32,8.06,7.723028,605100
2014-05-20,8.34,8.73,7.75,7.99,7.655954,846100
2014-05-21,8.11,8.57,8.04,8.47,8.115888,464300
2014-05-22,8.47,8.74,7.94,7.96,7.627209,349200
2014-05-23,8.0,8.72,7.88,8.52,8.163796,269000
2014-05-27,8.6,8.6,8.1,8.27,7.92425,344300
2014-05-28,8.32,8.32,7.91,8.2,7.857174,175700
2014-05-29,8.25,9.1,8.19,9.1,8.719548,896600
2014-05-30,9.1,9.1,8.72,8.97,8.594982,738100
2014-06-02,9.06,9.615,8.809,8.9,8.527907,932800
2014-06-03,8.9,9.35,8.5,9.28,8.892021,385100
2014-06-04,9.2,9.28,9.01,9.2,8.815367,225900
2014-06-05,9.21,9.25,8.76,9.12,8.738711,616000
2014-06-06,9.12,10.15,8.93,9.9,9.486101,1152100
2014-06-09,9.9,10.38,9.56,10.17,9.744813,1125500
2014-06-10,10.06,10.35,9.85,9.92,9.505265,644800
2014-06-11,10.0,11.0,10.0,10.84,10.386801,1650700
2014-06-12,11.0,11.35,10.73,10.9,10.444294,1438200
2014-06-13,11.07,11.82,11.06,11.75,11.258756,682000
2014-06-16,11.83,12.0,11.2,11.81,11.316248,553200
2014-06-17,11.72,11.85,11.04,11.15,10.683841,497100
2014-06-18,11.18,12.44,11.13,11.96,11.459977,943800
2014-06-19,12.06,12.1,11.54,11.68,11.191684,250600
2014-06-20,11.68,11.84,11.2,11.31,10.837152,346000
2014-06-23,11.35,11.92,11.33,11.53,11.047954,552100
2014-06-24,11.52,11.98,11.45,11.54,11.057536,343900
2014-06-25,11.46,13.44,11.4,13.26,12.705626,1017900
2014-06-26,13.3,14.23,13.2,13.95,13.366778,1153200
2014-06-27,13.72,14.21,12.12,12.21,11.699524,1283700
2014-06-30,12.59,13.24,11.6,13.13,12.581061,610600
2014-07-01,13.29,13.75,12.771,12.83,12.293604,372000
2014-07-02,12.8,13.8,12.73,13.1,12.552317,399000
2014-07-03,13.5,14.09,13.14,13.86,13.28054,592000
2014-07-07,13.76,13.83,12.5,12.54,12.015728,711500
2014-07-08,12.42,12.54,11.73,11.97,11.46956,657000
2014-07-09,12.1,12.72,11.77,12.32,11.804925,334900
2014-07-10,11.9,12.27,11.331,11.68,11.191684,534900
2014-07-11,11.68,11.87,11.508,11.7,11.210845,523600
2014-07-14,11.96,12.49,11.8,11.99,11.488722,353500
2014-07-15,12.03,12.26,11.83,12.0,11.498304,287100
2014-07-16,12.12,12.25,11.5,11.9,11.402485,388300
2014-07-17,11.88,11.88,11.12,11.75,11.258756,386600
2014-07-18,11.73,12.0,11.49,11.57,11.086281,143900
2014-07-21,11.54,11.83,11.13,11.45,10.971298,277500
2014-07-22,11.6,12.48,11.456,12.41,11.891163,333300
2014-07-23,12.39,13.02,11.78,11.99,11.488722,838000
2014-07-24,12.05,12.275,11.55,11.63,11.143774,445600
2014-07-25,11.59,12.3,11.56,11.84,11.344994,276600
2014-07-28,11.9,12.13,11.62,11.7,11.210845,529700
2014-07-29,11.82,12.95,11.82,12.7,12.169038,703300
2014-07-30,12.77,12.77,12.12,12.32,11.804925,572800
2014-07-31,12.32,12.6,11.5,11.8,11.306665,775400
2014-08-01,11.77,11.95,11.63,11.85,11.354576,317200
2014-08-04,11.97,12.5,11.8,12.44,11.919909,395900
2014-08-05,12.33,13.1,12.24,12.94,12.399004,989600
2014-08-06,12.95,13.48,12.432,13.14,12.590643,302700
2014-08-07,13.2,13.2,12.6,12.71,12.178621,234200
2014-08-08,12.67,13.75,12.67,13.53,12.964337,352000
2014-08-11,13.61,13.65,13.04,13.36,12.801446,246700
2014-08-12,13.33,14.99,13.33,14.63,14.01835,774900
2014-08-13,14.8,15.371,14.33,15.02,14.392045,472900
2014-08-14,15.07,15.25,14.43,14.98,14.353716,316300
