Date,Open,High,Low,Close,Adj Close,Volume
2019-10-25,5.19,5.24,4.9,5.07,5.07,467400
2019-10-28,5.01,5.059,5.01,5.04,5.04,111800
2019-10-29,5.02,5.04,5.0,5.01,5.01,63200
2019-10-30,5.03,5.04,5.01,5.01,5.01,28300
2019-10-31,5.01,5.01,5.01,5.01,5.01,0
2019-11-01,5.19,5.25,5.05,5.25,5.25,15800
2019-11-04,5.25,5.25,5.01,5.141,5.141,41100
2019-11-05,5.22,5.3,5.17,5.24,5.24,18600
2019-11-06,5.28,5.34,5.15,5.25,5.25,20100
2019-11-07,5.21,5.29,5.21,5.27,5.27,11500
2019-11-08,5.22,5.55,5.22,5.4,5.4,104200
2019-11-11,5.44,5.44,5.03,5.1,5.1,39200
2019-11-12,5.235,5.34,5.15,5.24,5.24,10500
2019-11-13,5.28,5.31,5.05,5.07,5.07,33200
2019-11-14,5.05,5.16,5.05,5.1,5.1,12800
2019-11-15,5.19,5.19,5.03,5.06,5.06,25800
2019-11-18,5.13,5.14,5.01,5.01,5.01,25400
2019-11-19,5.1,5.14,5.01,5.01,5.01,15800
2019-11-20,5.09,5.1,5.05,5.1,5.1,600
2019-11-21,5.082,5.14,5.07,5.14,5.14,13800
2019-11-22,5.13,5.14,5.09,5.14,5.14,3800
2019-11-25,5.085,5.085,5.05,5.08,5.08,4500
2019-11-26,5.1,5.14,5.08,5.1,5.1,45700
2019-11-27,5.11,5.16,5.09,5.14,5.14,69900
2019-11-29,5.08,5.26,5.08,5.26,5.26,67200
2019-12-02,5.24,5.26,5.15,5.26,5.26,17600
2019-12-03,5.18,5.27,5.121,5.15,5.15,40500
2019-12-04,5.18,5.25,5.08,5.13,5.13,95800
2019-12-05,5.095,5.27,5.095,5.25,5.25,74100
2019-12-06,5.25,5.25,5.1,5.17,5.17,14400
2019-12-09,5.2,5.2,5.08,5.15,5.15,14700
2019-12-10,5.18,5.18,5.03,5.13,5.13,36500
2019-12-11,5.17,5.17,5.05,5.08,5.08,10000
2019-12-12,5.13,5.19,5.05,5.08,5.08,27500
2019-12-13,5.13,5.19,5.072,5.14,5.14,31100
2019-12-16,5.19,5.35,5.1,5.11,5.11,133800
2019-12-17,5.19,5.3,5.12,5.12,5.12,71100
2019-12-18,5.14,5.24,5.07,5.07,5.07,64900
2019-12-19,5.16,5.24,5.12,5.13,5.13,71200
2019-12-20,5.23,5.282,4.52,4.71,4.71,207600
2019-12-23,5.0,5.12,5.0,5.11,5.11,58800
2019-12-24,5.07,5.2,5.01,5.13,5.13,97200
2019-12-26,5.09,5.19,5.09,5.17,5.17,22500
2019-12-27,5.17,5.18,5.057,5.18,5.18,8100
2019-12-30,5.13,5.24,5.11,5.17,5.17,15000
