Date,Open,High,Low,Close,Adj Close,Volume
2016-10-14,13.66,14.29,12.63,13.26,12.968104,5896600
2016-10-17,13.2,14.09,13.06,13.87,13.564677,882300
2016-10-18,13.89,14.04,13.75,13.93,13.623357,387500
2016-10-19,14.17,14.46,13.9,14.37,14.053671,519500
2016-10-20,14.36,14.5,14.19,14.33,14.014551,325400
2016-10-21,14.2,15.0,14.01,14.39,14.07323,485600
2016-10-24,14.45,14.6,14.4,14.4,14.08301,142000
2016-10-25,14.4,14.55,14.39,14.4,14.08301,84400
2016-10-26,14.4,14.4,13.93,14.2,13.887413,169500
2016-10-27,14.25,14.39,14.25,14.28,13.965651,124000
2016-10-28,14.3,14.545,14.11,14.14,13.828734,167500
2016-10-31,14.01,14.15,13.48,13.5,13.202822,316200
2016-11-01,13.5,13.796,13.38,13.62,13.320181,64600
2016-11-02,13.61,13.65,12.12,12.48,12.205275,277500
2016-11-03,12.5,13.06,11.91,12.7,12.420433,117900
2016-11-04,12.51,13.07,12.51,12.91,12.625809,26100
2016-11-07,12.88,13.77,12.303,13.61,13.310399,159600
2016-11-08,13.3,13.81,12.93,13.47,13.173483,65500
2016-11-09,13.17,13.77,12.43,13.41,13.114802,212800
2016-11-10,13.46,13.858,12.65,13.45,13.153923,331800
2016-11-11,13.53,14.355,12.49,13.74,13.437538,376100
2016-11-14,13.82,14.19,13.45,13.88,13.574457,206600
2016-11-15,13.98,14.93,13.86,14.65,14.327507,190700
2016-11-16,14.6,14.865,13.58,14.28,13.965651,126800
2016-11-17,14.36,14.82,14.36,14.65,14.327507,170300
2016-11-18,14.56,14.9,13.9,14.54,14.219929,75600
2016-11-21,14.48,15.25,13.79,15.09,14.757821,312600
2016-11-22,15.17,15.348,14.66,14.93,14.601342,99900
2016-11-23,15.03,15.14,14.0,15.01,14.679583,186500
2016-11-25,15.09,15.09,14.2,14.68,14.356847,41100
2016-11-28,14.61,15.09,14.04,14.96,14.630683,155900
2016-11-29,14.97,14.98,14.265,14.81,14.483985,170300
2016-11-30,15.0,16.26,14.6,16.030001,15.67713,443300
2016-12-01,16.07,17.299999,16.049999,16.280001,15.921626,281200
2016-12-02,16.360001,19.049999,15.591,16.360001,15.999866,131600
2016-12-05,16.42,17.700001,16.1,17.15,16.772472,224700
2016-12-06,17.15,17.417999,16.500999,17.25,16.870274,188900
2016-12-07,17.24,17.24,16.75,16.91,16.537758,228300
2016-12-08,17.0,17.444,16.540001,16.709999,16.342157,162600
2016-12-09,16.790001,17.440001,16.596001,17.18,16.801815,114100
2016-12-12,17.290001,17.549999,16.030001,16.4,16.038984,168900
2016-12-13,16.290001,16.726999,14.52,16.08,15.726027,133200
2016-12-14,15.84,16.105,14.739,14.9,14.572003,148700
2016-12-15,14.71,15.61,14.06,14.6,14.278608,272200
2016-12-16,14.45,15.38,14.04,14.82,14.493764,1158100
2016-12-19,14.9,15.4,14.665,15.0,14.669802,141600
2016-12-20,14.97,15.73,14.52,15.45,15.109896,111000
2016-12-21,15.48,15.94,15.095,15.46,15.119677,58300
2016-12-22,16.99,16.99,15.02,15.46,15.119677,242800
2016-12-23,15.57,15.78,15.226,15.74,15.393513,64600
2016-12-27,15.83,16.02,15.39,15.44,15.100116,164500
2016-12-28,15.67,15.74,15.065,15.36,15.021876,191500
2016-12-29,15.5,15.5,14.78,15.01,14.679583,132900
2016-12-30,15.1,15.47,14.99,15.2,14.865399,83800
2017-01-03,15.38,15.7,15.07,15.38,15.041438,151300
2017-01-04,15.44,15.91,15.346,15.9,15.54999,179500
2017-01-05,15.9,16.58,15.62,16.52,16.156343,131000
2017-01-06,16.559999,17.129999,16.379999,16.9,16.527977,125200
2017-01-09,16.790001,17.059999,16.450001,16.860001,16.488859,92600
2017-01-10,16.860001,17.190001,16.74,17.120001,16.743135,83700
2017-01-11,17.09,17.49,16.82,17.200001,16.821375,151100
2017-01-12,17.34,17.34,16.790001,17.23,16.850714,77100
2017-01-13,17.18,17.440001,17.08,17.309999,16.928949,105400
2017-01-17,17.370001,17.809999,17.26,17.610001,17.222349,91300
2017-01-18,17.469999,19.049999,17.469999,18.23,17.828697,134300
2017-01-19,18.23,18.440001,17.82,18.040001,17.642885,80700
2017-01-20,18.27,19.870001,18.209999,18.700001,18.288355,186600
2017-01-23,18.43,18.969999,17.790001,17.91,17.515741,74300
2017-01-24,17.959999,18.0,17.040001,17.780001,17.388605,89200
2017-01-25,17.92,19.368999,17.24,17.9,17.505964,71500
2017-01-26,18.0,18.65,17.851,18.17,17.770021,72600
2017-01-27,17.98,18.389999,17.98,18.110001,17.711342,33200
2017-01-30,17.93,18.02,17.51,17.809999,17.417944,36300
2017-01-31,17.68,18.48,17.5,18.0,17.603762,68100
2017-02-01,18.059999,18.43,17.67,18.200001,17.799362,84600
2017-02-02,18.219999,18.65,17.885,18.370001,17.965618,34300
2017-02-03,18.41,18.969999,18.299999,18.85,18.435051,24800
2017-02-06,18.75,19.245001,18.27,18.4,17.994957,67200
2017-02-07,18.450001,18.76,18.08,18.16,17.760241,34000
2017-02-08,17.9,18.23,17.700001,18.09,17.691782,95400
2017-02-09,18.139999,18.219999,18.0,18.059999,17.662443,48200
2017-02-10,18.07,18.799999,18.030001,18.52,18.112318,41300
2017-02-13,18.52,18.59,18.23,18.549999,18.141657,27200
2017-02-14,18.65,20.870001,18.5,20.299999,19.85313,185900
2017-02-15,20.219999,20.469,19.540001,19.82,19.383696,167600
2017-02-16,20.1,20.15,19.610001,19.860001,19.422819,40200
2017-02-17,19.940001,20.16,19.809999,20.120001,19.677095,112100
2017-02-21,20.200001,21.549999,19.871,21.18,20.71376,201000
2017-02-22,21.129999,21.4,20.809999,21.379999,20.909357,71500
2017-02-23,20.469999,23.709999,20.469999,21.530001,21.056059,222500
2017-02-24,22.290001,22.780001,21.530001,21.74,21.261433,89000
2017-02-27,21.98,22.0,21.809999,21.91,21.427692,58500
2017-02-28,21.799999,21.99,21.495001,21.5,21.026714,167900
2017-03-01,21.629999,22.827,21.6,22.450001,21.955805,67300
2017-03-02,22.790001,24.539,22.209999,22.370001,21.877567,60800
2017-03-03,22.77,22.888,21.5,21.549999,21.075615,74300
2017-03-06,21.5,21.934999,21.25,21.42,20.948479,121800
2017-03-07,21.530001,21.9,21.379999,21.48,21.007156,50600
2017-03-08,21.4,21.73,19.610001,19.92,19.481497,118200
2017-03-09,19.780001,19.834999,17.860001,18.26,17.858038,222500
2017-03-10,18.35,19.0,18.33,18.860001,18.444832,84200
2017-03-13,18.91,19.74,18.440001,18.73,18.317692,61700
2017-03-14,18.379999,19.209999,17.74,18.190001,17.789581,147900
2017-03-15,18.290001,19.27,17.709999,19.129999,18.708887,70800
2017-03-16,19.99,19.99,18.552,18.700001,18.288355,37800
2017-03-17,18.540001,19.65,18.540001,19.290001,18.865366,116600
2017-03-20,19.15,19.4,18.719999,19.059999,18.640429,95100
2017-03-21,19.15,20.139999,19.15,19.67,19.237,86500
2017-03-22,19.68,19.799999,19.25,19.629999,19.19788,103100
2017-03-23,19.66,20.370001,19.445,20.09,19.647755,160300
2017-03-24,20.42,20.618,19.120001,19.469999,19.041401,134700
2017-03-27,18.84,20.17,18.610001,19.26,18.836027,53500
2017-03-28,19.27,19.790001,18.85,19.59,19.15876,79300
2017-03-29,19.360001,20.15,19.360001,20.120001,19.677095,43500
2017-03-30,20.16,20.989,19.719999,20.629999,20.175865,35500
2017-03-31,20.639999,22.155001,20.370001,21.51,21.036497,101300
2017-04-03,21.799999,21.959999,21.16,21.559999,21.085396,63300
2017-04-04,21.799999,22.0,20.98,21.17,20.703979,60700
2017-04-05,21.309999,21.780001,20.68,20.889999,20.430145,47000
2017-04-06,20.940001,22.309999,20.145,21.719999,21.241873,115600
2017-04-07,21.58,21.58,20.93,21.209999,20.743101,76500
2017-04-10,21.280001,21.75,21.1,21.309999,20.840899,134800
2017-04-11,20.940001,21.334999,20.25,20.469999,20.019388,136000
2017-04-12,20.57,21.200001,20.120001,20.370001,19.921593,151700
2017-04-13,20.299999,20.389999,19.309999,19.65,19.21744,142600
2017-04-17,19.68,19.91,18.469999,19.34,18.914263,177400
2017-04-18,19.200001,19.52,18.264999,18.629999,18.219893,117900
2017-04-19,19.24,19.5,18.32,18.67,18.259012,98800
2017-04-20,18.73,19.5,18.389999,19.469999,19.041401,78900
2017-04-21,19.299999,19.450001,18.92,19.360001,18.933826,62500
2017-04-24,19.360001,19.440001,18.889999,19.1,18.679546,56900
2017-04-25,19.25,19.415001,18.98,19.16,18.738226,50100
2017-04-26,19.219999,19.790001,19.01,19.57,19.139202,83100
2017-04-27,19.5,19.829,19.08,19.370001,18.943607,61300
2017-04-28,19.4,19.475,19.1,19.299999,18.875145,63600
2017-05-01,19.15,19.16,18.709999,18.809999,18.395931,92500
2017-05-02,18.809999,18.969999,18.66,18.73,18.317692,49700
2017-05-03,18.66,18.860001,18.58,18.610001,18.200335,90000
2017-05-04,18.620001,18.620001,17.209999,17.49,17.104988,108400
2017-05-05,17.57,17.610001,16.57,17.530001,17.14411,161900
2017-05-08,17.530001,18.559999,17.27,18.540001,18.131878,87500
2017-05-09,18.620001,19.389999,18.014999,18.9,18.483952,82400
2017-05-10,18.99,19.82,18.709999,19.530001,19.100084,96100
2017-05-11,19.530001,19.91,18.51,18.57,18.161215,48800
2017-05-12,18.57,19.049999,18.049999,18.620001,18.210114,36400
2017-05-15,19.360001,19.360001,19.1,19.24,18.816467,37000
2017-05-16,19.41,19.809999,19.25,19.549999,19.11964,32400
2017-05-17,19.35,20.24,18.75,18.93,18.51329,56000
2017-05-18,18.870001,19.315001,18.52,18.91,18.493731,41000
2017-05-19,18.91,19.379999,18.91,19.23,18.806684,43800
2017-05-22,19.280001,19.84,18.84,19.0,18.581749,37700
2017-05-23,19.02,19.25,18.674999,19.059999,18.640429,42400
2017-05-24,18.959999,21.65,18.860001,19.07,18.650208,85400
2017-05-25,19.469999,19.799999,18.6,18.700001,18.288355,154100
2017-05-26,18.76,19.02,18.35,18.73,18.317692,44600
2017-05-30,18.700001,19.055,17.91,18.370001,17.965618,48300
2017-05-31,18.209999,18.34,17.780001,18.17,17.770021,118100
2017-06-01,18.35,18.469999,17.77,18.16,17.760241,48900
2017-06-02,18.190001,18.870001,17.73,18.59,18.180775,36800
2017-06-05,18.700001,18.75,18.280001,18.5,18.092754,28000
2017-06-06,18.440001,19.059999,18.0,18.360001,17.955839,59700
2017-06-07,18.440001,18.610001,17.184999,17.41,17.026751,56900
2017-06-08,17.309999,17.58,16.860001,17.01,16.635557,122300
2017-06-09,17.15,17.719999,16.82,17.24,16.860493,49400
2017-06-12,17.42,17.68,16.985001,17.309999,16.928949,27900
2017-06-13,17.715,17.889999,17.33,17.629999,17.241907,28400
2017-06-14,18.02,18.290001,17.209999,17.49,17.104988,73500
2017-06-15,17.26,17.73,16.530001,16.6,16.234581,29000
2017-06-16,16.34,17.280001,16.34,16.870001,16.49864,61000
2017-06-19,17.0,17.0,16.299999,16.41,16.048763,44800
2017-06-20,16.17,16.780001,15.8,16.34,15.980306,49100
2017-06-21,16.33,16.75,16.059999,16.25,15.892286,104100
2017-06-22,16.200001,16.66,16.049999,16.41,16.048763,54700
2017-06-23,16.559999,17.610001,16.139999,17.440001,17.056091,195900
2017-06-26,17.389999,17.809999,16.93,17.42,17.03653,84100
2017-06-27,17.370001,17.969999,17.299999,17.51,17.12455,31600
2017-06-28,17.030001,18.16,17.030001,17.73,17.339706,105200
2017-06-29,17.65,19.280001,17.65,18.42,18.014517,56300
2017-06-30,18.67,19.1,18.35,18.6,18.190556,35800
2017-07-03,19.0,19.940001,18.379999,19.4,18.972944,29000
2017-07-05,19.26,20.42,18.4,18.85,18.435051,46300
2017-07-06,18.950001,18.950001,17.76,17.950001,17.554865,53900
2017-07-07,18.370001,18.43,17.0,17.540001,17.153889,40600
2017-07-10,17.309999,17.66,17.23,17.43,17.046309,28200
2017-07-11,17.280001,17.82,17.02,17.76,17.369045,93000
2017-07-12,17.200001,17.950001,16.17,16.879999,16.508417,114200
2017-07-13,16.719999,17.08,16.299999,16.690001,16.322601,60800
2017-07-14,16.639999,16.9,16.309999,16.370001,16.009647,52300
2017-07-17,16.549999,17.225,16.309999,16.41,16.048763,43400
2017-07-18,16.440001,16.530001,15.85,16.049999,15.696688,139500
2017-07-19,16.09,16.24,15.67,15.86,15.51087,116600
2017-07-20,15.89,15.96,15.13,15.52,15.178355,100000
2017-07-21,15.56,15.98,15.39,15.69,15.344612,277000
2017-07-24,15.89,15.89,15.124,15.43,15.090337,88100
2017-07-25,15.73,15.97,15.18,15.3,14.963199,114000
2017-07-26,15.58,15.63,15.16,15.29,14.953419,91000
2017-07-27,15.31,15.634,14.2,14.75,14.425305,118700
2017-07-28,14.85,15.19,14.47,14.77,14.444865,112700
2017-07-31,14.7,14.95,14.08,14.67,14.347067,122900
2017-08-01,14.7,15.134,14.488,14.79,14.464426,129100
2017-08-02,14.68,15.07,14.33,14.55,14.229709,44400
2017-08-03,13.63,14.69,13.63,13.89,13.584238,123600
2017-08-04,13.89,14.2,12.51,13.11,12.821407,469300
2017-08-07,13.12,14.06,12.56,12.63,12.351974,172700
2017-08-08,12.6,12.74,12.1,12.22,11.950999,125800
2017-08-09,12.14,12.19,11.59,11.96,11.696723,94700
2017-08-10,11.92,12.26,11.5,11.56,11.305528,57400
2017-08-11,11.51,11.76,11.39,11.44,11.188169,105700
2017-08-14,11.5,11.91,11.4,11.75,11.491345,102100
2017-08-15,11.77,11.77,11.15,11.16,10.914331,167200
2017-08-16,11.27,11.59,10.88,11.11,10.865433,121300
2017-08-17,11.1,11.7,10.89,11.05,10.806754,106200
2017-08-18,11.11,12.12,11.09,11.68,11.422886,137700
2017-08-21,11.71,11.71,11.39,11.51,11.256627,74000
2017-08-22,11.62,12.18,11.608,12.11,11.84342,106300
2017-08-23,12.03,12.71,11.97,12.63,12.351974,134200
2017-08-24,12.6,13.06,12.51,12.86,12.576911,165100
2017-08-25,12.81,12.99,12.33,12.81,12.528011,118100
2017-08-28,12.82,12.91,12.66,12.79,12.508451,163000
2017-08-29,12.81,13.53,12.75,13.42,13.124583,143700
2017-08-30,13.35,13.58,13.25,13.51,13.212603,82900
2017-08-31,13.56,13.84,13.36,13.78,13.476658,54400
2017-09-01,13.85,14.22,13.6,13.7,13.39842,34700
2017-09-05,13.54,14.23,13.45,13.59,13.290841,68300
2017-09-06,13.61,14.2,13.61,14.16,13.848293,98600
2017-09-07,14.03,14.21,13.895,14.02,13.711375,137600
2017-09-08,13.87,13.87,13.071,13.57,13.271281,99000
2017-09-11,13.52,14.14,13.37,13.9,13.594016,89600
2017-09-12,13.75,14.77,13.66,14.42,14.10257,101700
2017-09-13,14.33,15.195,14.3,14.65,14.327507,76300
2017-09-14,14.73,15.2,14.7,15.05,14.718701,56900
2017-09-15,15.09,15.1,14.49,14.93,14.601342,144700
2017-09-18,14.91,15.65,14.76,15.18,14.84584,56500
2017-09-19,15.33,15.33,14.84,15.14,14.806722,25900
2017-09-20,15.1,15.67,13.57,15.43,15.090337,47700
2017-09-21,15.2,15.755,15.14,15.55,15.207696,35400
2017-09-22,15.63,16.16,15.32,15.91,15.55977,44300
