Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,10.62,11.32,10.29,11.1,9.916224,42100
2010-01-05,11.05,11.21,10.86,11.02,9.844756,136400
2010-01-06,11.4,11.4,10.87,10.88,9.719687,48400
2010-01-07,10.81,11.0,10.75,10.93,9.764356,14200
2010-01-08,10.91,11.07,10.87,10.96,9.791156,21600
2010-01-11,11.0,11.02,10.78,10.82,9.666088,30100
2010-01-12,10.75,10.82,10.48,10.48,9.362346,17000
2010-01-13,10.56,10.56,9.91,10.25,9.156874,48100
2010-01-14,10.18,10.87,10.16,10.48,9.362346,101600
2010-01-15,10.53,10.55,10.12,10.2,9.112206,100700
2010-01-19,10.26,10.48,10.15,10.15,9.06754,79800
2010-01-20,10.1,10.11,9.86,10.0,8.933533,61500
2010-01-21,9.4,9.63,8.77,9.5,8.486862,115400
2010-01-22,9.44,10.2,9.38,10.07,8.996071,41400
2010-01-25,10.14,10.24,9.98,10.04,8.969271,40200
2010-01-26,10.05,10.1,9.67,9.75,8.710197,49800
2010-01-27,9.72,9.97,9.64,9.95,8.888868,23000
2010-01-28,9.7,10.05,9.63,9.99,8.924602,54100
2010-01-29,10.06,10.06,9.63,9.63,8.602996,68300
2010-02-01,9.69,10.05,9.46,9.86,8.808467,33000
2010-02-02,9.88,9.99,9.67,9.71,8.674464,23700
2010-02-03,9.65,9.91,9.65,9.86,8.808467,22300
2010-02-04,9.79,9.79,9.44,9.44,8.433256,58400
2010-02-05,9.44,9.59,9.13,9.59,8.567259,24200
2010-02-08,9.68,9.92,9.57,9.58,8.558327,50900
2010-02-09,9.69,9.9,9.6,9.71,8.674464,20700
2010-02-10,9.62,9.92,9.62,9.74,8.764446,17000
2010-02-11,9.67,9.82,9.57,9.66,8.692462,39100
2010-02-12,9.55,9.7,9.54,9.63,8.665465,57700
2010-02-16,9.82,10.1,9.78,10.09,9.079391,38000
2010-02-17,10.16,10.19,10.05,10.18,9.16038,26700
2010-02-18,10.22,10.89,10.08,10.87,9.781265,39900
2010-02-19,10.85,11.44,10.72,11.0,9.898246,47600
2010-02-22,11.07,11.45,11.0,11.07,9.961234,23300
2010-02-23,11.02,11.07,10.76,10.89,9.799264,25400
2010-02-24,10.9,11.04,10.86,10.9,9.808262,17700
2010-02-25,10.9,10.91,10.26,10.73,9.65529,23600
2010-02-26,10.77,11.1,10.26,10.93,9.835259,33300
2010-03-01,11.04,11.81,10.9,11.73,10.55513,51500
2010-03-02,11.75,11.94,11.65,11.87,10.681108,29000
2010-03-03,11.9,11.95,11.77,11.95,10.753093,34300
2010-03-04,11.95,12.63,11.83,12.26,11.032048,30100
2010-03-05,12.17,12.65,12.16,12.5,11.248007,86100
2010-03-08,12.52,12.8,12.5,12.61,11.34699,30200
2010-03-09,12.62,12.99,12.35,12.5,11.248007,48700
2010-03-10,12.46,12.9,12.46,12.54,11.284,27100
2010-03-11,12.5,12.7,12.39,12.66,11.391981,16900
2010-03-12,12.69,12.75,12.36,12.45,11.203015,38400
2010-03-15,12.45,12.5,12.06,12.15,10.933064,30800
2010-03-16,12.24,12.43,12.01,12.23,11.00505,25100
2010-03-17,12.3,13.17,12.2,12.91,11.616944,57700
2010-03-18,12.76,12.94,12.42,12.58,11.319995,23900
2010-03-19,12.68,12.68,12.31,12.39,11.149026,39700
2010-03-22,12.3,12.77,12.3,12.71,11.436975,35600
2010-03-23,12.59,13.03,12.32,12.89,11.598946,30800
2010-03-24,12.85,12.99,12.56,12.75,11.472967,16900
2010-03-25,12.83,13.08,12.31,12.47,11.221014,20100
2010-03-26,12.56,12.79,12.44,12.59,11.328992,15400
2010-03-29,12.57,12.66,12.3,12.56,11.301998,33500
2010-03-30,12.57,12.65,12.33,12.6,11.337991,18000
2010-03-31,12.51,12.88,12.22,12.22,10.996053,30000
2010-04-01,12.33,12.59,12.2,12.46,11.212013,28200
2010-04-05,12.39,12.8,12.38,12.6,11.337991,42000
2010-04-06,12.66,12.83,12.57,12.76,11.481965,25600
2010-04-07,12.72,13.04,12.72,13.0,11.69793,52000
2010-04-08,12.96,13.09,12.95,13.01,11.706925,11400
2010-04-09,12.96,13.14,12.82,13.0,11.69793,34900
2010-04-12,12.97,13.13,12.95,13.0,11.69793,16600
2010-04-13,13.0,13.55,13.0,13.47,12.120853,29700
2010-04-14,13.6,14.0,13.57,13.9,12.507782,18100
2010-04-15,13.82,14.02,13.72,14.0,12.597769,15100
2010-04-16,13.99,14.06,13.52,13.63,12.264827,41000
2010-04-19,13.6,13.67,13.33,13.52,12.165845,36600
2010-04-20,13.51,14.32,13.51,14.24,12.81373,70500
2010-04-21,14.3,14.76,14.3,14.38,12.939707,34300
2010-04-22,14.5,14.63,14.23,14.48,13.029692,37900
2010-04-23,14.45,14.46,14.28,14.41,12.966702,20000
2010-04-26,14.46,14.84,14.46,14.72,13.245653,27400
2010-04-27,14.6,14.92,14.35,14.36,12.921713,24800
2010-04-28,14.4,14.62,13.98,14.13,12.714748,10700
2010-04-29,14.43,14.55,14.25,14.53,13.074687,28300
2010-04-30,14.52,14.52,14.05,14.12,12.705751,44500
2010-05-03,14.15,14.59,14.11,14.5,13.047689,33300
2010-05-04,14.22,14.22,12.92,13.21,11.886897,29500
2010-05-05,13.02,13.12,12.95,13.05,11.742919,29800
2010-05-06,13.0,13.26,12.25,13.0,11.69793,88000
2010-05-07,12.1,13.32,12.1,12.53,11.275,51900
2010-05-10,13.46,13.46,12.75,13.2,11.877896,38600
2010-05-11,13.07,13.96,13.04,13.62,12.255829,26900
2010-05-12,13.62,14.11,13.36,13.98,12.710424,26900
2010-05-13,13.97,14.01,13.8,13.88,12.619504,15400
2010-05-14,13.71,13.82,13.54,13.77,12.519493,33600
2010-05-17,13.91,14.11,13.52,13.93,12.664961,52600
2010-05-18,14.06,14.2,13.12,13.14,11.946705,35100
2010-05-19,13.14,13.22,13.0,13.01,11.828512,47400
2010-05-20,13.01,13.1,12.65,12.89,11.719409,95900
2010-05-21,12.61,13.03,12.61,12.97,11.792143,83000
2010-05-24,12.97,13.02,12.35,12.39,11.264818,26000
2010-05-25,12.09,12.24,11.92,11.97,10.882958,40000
2010-05-26,12.06,12.49,11.93,11.97,10.882958,38700
2010-05-27,12.31,12.97,12.22,12.86,11.692134,37300
2010-05-28,12.75,13.11,12.45,12.83,11.664857,56100
2010-06-01,12.75,13.04,12.33,12.42,11.292091,42300
2010-06-02,12.63,13.44,11.9,12.72,11.564847,80400
2010-06-03,12.76,13.25,12.74,12.91,11.737596,57700
2010-06-04,12.5,12.77,12.26,12.29,11.173895,44300
2010-06-07,12.35,12.35,11.78,11.79,10.719302,26100
2010-06-08,11.91,12.12,11.51,11.7,10.637478,47300
2010-06-09,11.87,12.01,11.36,11.53,10.482917,66800
2010-06-10,11.79,12.4,11.74,12.32,11.201173,65700
2010-06-11,12.17,12.68,12.0,12.67,11.519387,29000
2010-06-14,12.85,13.13,12.68,12.78,11.619398,42500
2010-06-15,12.8,13.07,12.52,12.98,11.801235,68600
2010-06-16,12.87,13.25,12.85,13.14,11.946705,28300
2010-06-17,13.37,13.37,12.96,13.07,11.883062,7100
2010-06-18,13.17,13.38,13.05,13.1,11.910338,33100
2010-06-21,13.38,13.38,12.51,12.73,11.573937,46700
2010-06-22,12.82,13.05,12.3,12.31,11.192081,32300
2010-06-23,12.25,12.84,11.71,12.73,11.573937,23400
2010-06-24,12.58,12.58,12.15,12.37,11.246632,61700
2010-06-25,12.48,12.89,12.48,12.89,11.719409,118900
2010-06-28,12.88,12.88,12.37,12.72,11.564847,18600
2010-06-29,12.39,12.39,11.57,11.6,10.546557,28200
2010-06-30,11.62,11.71,11.35,11.36,10.328353,26700
2010-07-01,11.44,11.61,11.0,11.52,10.473825,39400
2010-07-02,11.65,11.75,11.05,11.22,10.201068,66500
2010-07-06,11.39,11.39,10.79,10.88,9.891947,44500
2010-07-07,10.9,11.02,10.65,10.99,9.991957,29300
2010-07-08,11.12,11.39,11.12,11.25,10.228344,27600
2010-07-09,11.6,11.68,11.25,11.45,10.410182,30700
2010-07-12,11.37,11.44,11.03,11.15,10.137424,20700
2010-07-13,11.39,12.11,11.39,12.05,10.955693,50900
2010-07-14,12.05,12.06,11.66,11.78,10.710211,27300
2010-07-15,11.86,11.86,11.15,11.6,10.546557,20400
2010-07-16,11.49,11.49,10.56,10.64,9.673739,31900
2010-07-19,10.65,10.99,10.52,10.92,9.928311,26800
2010-07-20,11.3,11.38,10.97,11.38,10.346538,17100
2010-07-21,11.48,11.92,11.38,11.39,10.355632,49600
2010-07-22,11.62,12.12,11.62,12.08,10.982965,25600
2010-07-23,12.04,12.49,11.97,12.48,11.346643,25600
2010-07-26,12.48,13.04,12.25,13.03,11.846695,61000
2010-07-27,13.13,13.27,12.58,13.21,12.010351,59900
2010-07-28,13.17,13.2,12.99,13.1,11.910338,33500
2010-07-29,13.03,13.18,12.82,12.94,11.764868,36000
2010-07-30,12.69,13.15,12.46,12.92,11.746686,22200
2010-08-02,13.15,13.2,12.62,12.78,11.619398,30500
