Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,20.43,21.030001,20.280001,21.030001,14.026909,511700
2010-01-05,21.209999,21.48,20.25,20.450001,13.640051,359900
2010-01-06,20.360001,20.98,20.15,20.629999,13.760109,256600
2010-01-07,20.549999,21.309999,20.33,21.25,14.173648,340300
2010-01-08,21.23,21.77,21.01,21.639999,14.433777,278800
2010-01-11,21.719999,21.84,21.129999,21.17,14.120287,117600
2010-01-12,21.049999,21.780001,21.040001,21.360001,14.247019,243800
2010-01-13,21.26,21.48,20.639999,21.41,14.280369,281500
2010-01-14,21.469999,21.969999,21.389999,21.92,14.620535,230300
2010-01-15,22.23,22.5,21.65,22.440001,14.967373,285500
2010-01-19,22.459999,22.790001,22.200001,22.469999,14.987379,220300
2010-01-20,22.309999,22.700001,21.059999,21.85,14.573842,460800
2010-01-21,22.0,23.32,21.75,23.040001,15.36757,421100
2010-01-22,22.9,23.389999,22.58,22.6,15.074091,433000
2010-01-25,22.889999,23.26,22.0,22.309999,14.880654,162300
2010-01-26,22.280001,22.290001,21.559999,21.84,14.567179,572500
2010-01-27,21.84,24.299999,21.84,23.93,15.961195,552900
2010-01-28,23.92,24.389999,23.25,24.219999,16.154621,462800
2010-01-29,24.389999,25.0,23.92,24.9,16.608183,461700
2010-02-01,24.93,24.99,23.799999,24.25,16.174629,409100
2010-02-02,24.16,24.75,23.67,23.77,15.854475,398200
2010-02-03,23.75,23.99,22.84,23.51,15.681058,356800
2010-02-04,23.360001,23.360001,22.41,23.15,15.44094,370700
2010-02-05,23.139999,23.940001,22.74,23.67,15.787777,237500
2010-02-08,23.58,23.68,23.02,23.23,15.494302,136500
2010-02-09,23.66,23.690001,22.879999,23.450001,15.641036,169600
2010-02-10,23.35,23.48,23.0,23.4,15.607687,282800
2010-02-11,23.280001,23.559999,23.120001,23.549999,15.707738,215300
2010-02-12,23.389999,23.76,23.33,23.76,15.847804,185600
2010-02-16,23.889999,24.700001,23.52,24.68,16.461441,308100
2010-02-17,24.74,24.76,24.049999,24.76,16.514801,196300
2010-02-18,24.75,25.17,24.309999,25.120001,16.754917,277500
2010-02-19,25.120001,25.200001,24.59,24.92,16.621511,205600
2010-02-22,25.040001,25.040001,24.610001,25.0,16.674879,111400
2010-02-23,25.049999,25.15,24.459999,24.77,16.521469,133700
2010-02-24,24.93,25.610001,24.82,25.139999,16.768257,215100
2010-02-25,24.85,25.08,24.690001,25.02,16.688217,129700
2010-02-26,25.120001,25.120001,24.280001,24.620001,16.421419,169800
2010-03-01,24.75,25.0,24.629999,24.969999,16.654869,154000
2010-03-02,24.950001,25.16,24.799999,25.049999,16.708227,207300
2010-03-03,25.1,25.370001,24.84,24.99,16.668205,196800
2010-03-04,25.1,25.280001,24.879999,25.27,16.854969,151700
2010-03-05,25.360001,26.799999,25.32,26.73,17.828779,243800
2010-03-08,26.639999,26.809999,26.299999,26.35,17.575325,159100
2010-03-09,26.309999,26.52,26.1,26.299999,17.541973,185000
2010-03-10,26.1,26.49,26.09,26.42,17.825338,137200
2010-03-11,26.26,26.74,26.139999,26.549999,17.91305,147700
2010-03-12,26.6,27.049999,26.6,27.049999,18.250397,190400
